case_id,primitive_id,start_state_family,W_layer,environment_mode,candidate_index,candidate_weight_label,duration_s,completed_full_duration,termination_cause,floor_violation,wall_violation,altitude_delta_m,speed_initial_m_s,speed_final_m_s,minimum_speed_m_s,minimum_floor_margin_m,minimum_wall_margin_m,minimum_ceiling_margin_m,yaw_delta_deg,roll_delta_deg,pitch_delta_deg,trajectory_integrated_updraft_gain_m,saturation_fraction,max_abs_command_norm,max_abs_surface_rad,selection_score
same_start_lift_dwell_arc,lift_dwell_arc,inflight_nominal,W0,dry_air,1,lift_dwell_arc_robust_anchor_attitude_heavy_ref_pitch_up_001,0.6,True,completed_full_duration,False,False,-0.6747124797078521,3.914723028198708,3.975813605430264,3.914723028198708,1.1252875202921482,0.8775811807258866,1.309034253789116,-2.724288035138549,0.4547030138579331,10.429203226925383,0.0,0.8,1.0,0.48004221135159103,1.353389362334625
same_start_lift_dwell_arc,lift_dwell_arc,inflight_nominal,W0,dry_air,3,lift_dwell_arc_robust_anchor_rate_damped_ref_damped_level_003,0.6,True,completed_full_duration,False,False,-0.6719035408049849,3.914723028198708,4.0275366860897455,3.914723028198708,1.128096459195015,0.8775811807258866,1.309034253789116,-2.502592582197208,-0.6612488521849269,9.643050140418223,0.0,0.7333333333333333,1.0,0.48004221135159103,1.407846271229105
same_start_lift_dwell_arc,lift_dwell_arc,inflight_nominal,W0,dry_air,5,lift_dwell_arc_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,0.6,True,completed_full_duration,False,False,-0.674921393524081,3.914723028198708,3.97932141053861,3.914723028198708,1.125078606475919,0.8775811807258866,1.309034253789116,-2.234031841321867,0.524234187705829,10.361993719981191,0.0,0.8666666666666667,1.0,0.5200612340522012,1.2999724634748
same_start_lift_dwell_arc,lift_dwell_arc,inflight_nominal,W0,dry_air,6,lift_dwell_arc_robust_anchor_balanced_robust_ref_left_bias_006,0.6,True,completed_full_duration,False,False,-0.6604895960095403,3.914723028198708,3.993792222918015,3.914723028198708,1.1395104039904598,0.8775811807258866,1.309034253789116,-4.333477804810456,0.22092931246135722,8.867023397120345,0.0,0.6333333333333333,1.0,0.48004221135159103,1.4924118491472829
same_start_lift_dwell_arc,lift_dwell_arc,inflight_nominal,W0,dry_air,7,lift_dwell_arc_robust_anchor_balanced_agile_ref_right_bias_007,0.6,True,completed_full_duration,False,False,-0.6912699809438918,3.914723028198708,4.054221839564176,3.914723028198708,1.1087300190561082,0.8775811807258866,1.309034253789116,-1.4233990933455987,3.776018503005117,9.383128608232202,0.0,0.8,1.0,0.48004221135159103,1.346766361840209
same_start_mild_turn_left,mild_turn_left,inflight_nominal,W0,dry_air,0,mild_turn_left_robust_anchor_nominal_ref_nominal_000,0.6,True,completed_full_duration,False,False,-0.7153892922986138,3.914723028198708,4.195546600649445,3.914723028198708,1.0846107077013865,0.8775811807258866,1.309034253789116,-6.720620241895383,-16.429879663325455,7.169662933973925,0.0,0.6666666666666666,1.0,0.48004221135159103,1.443785303964987
same_start_mild_turn_left,mild_turn_left,inflight_nominal,W0,dry_air,1,mild_turn_left_robust_anchor_attitude_heavy_ref_pitch_up_001,0.6,True,completed_full_duration,False,False,-0.7125609800152466,3.914723028198708,4.130746007916676,3.914723028198708,1.0874390199847537,0.8775811807258866,1.309034253789116,-7.8714990027434135,-16.51880137073541,8.085447905723855,0.0,0.6666666666666666,1.0,0.48004221135159103,1.444916628878334
same_start_mild_turn_left,mild_turn_left,inflight_nominal,W0,dry_air,3,mild_turn_left_robust_anchor_rate_damped_ref_damped_level_003,0.6,True,completed_full_duration,False,False,-0.7129158175675234,3.914723028198708,4.214941380968266,3.914723028198708,1.0870841824324766,0.8775811807258866,1.309034253789116,-6.38221172186524,-16.272782198057094,7.003546059580227,0.0,0.7333333333333333,1.0,0.48004221135159103,1.3914413605240898
same_start_mild_turn_left,mild_turn_left,inflight_nominal,W0,dry_air,5,mild_turn_left_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,0.6,True,completed_full_duration,False,False,-0.7146870164389136,3.914723028198708,4.1598172067696835,3.914723028198708,1.0853129835610864,0.8775811807258866,1.309034253789116,-6.362530686296662,-16.079661229182324,7.7762729010012555,0.0,0.7666666666666667,1.0,0.48004221135159103,1.3640662143088669
same_start_mild_turn_left,mild_turn_left,inflight_nominal,W0,dry_air,6,mild_turn_left_robust_anchor_balanced_robust_ref_left_bias_006,0.6,True,completed_full_duration,False,False,-0.7234966416735651,3.914723028198708,4.233291850533472,3.914723028198708,1.076503358326435,0.8775811807258866,1.309034253789116,-6.636580597047902,-18.202553848099143,6.745322551101893,0.0,0.7666666666666667,1.0,0.48004221135159103,1.3605423642150063
same_start_mild_turn_left,mild_turn_left,inflight_nominal,W0,dry_air,7,mild_turn_left_robust_anchor_balanced_agile_ref_right_bias_007,0.6,True,completed_full_duration,False,False,-0.7090790458984331,3.914723028198708,4.163192184365976,3.914723028198708,1.0909209541015672,0.8775811807258866,1.309034253789116,-5.826287082669844,-14.64190664866769,7.65564870496768,0.0,0.6666666666666666,1.0,0.48004221135159103,1.4463094025250594
same_start_mild_turn_right,mild_turn_right,inflight_nominal,W0,dry_air,0,mild_turn_right_robust_anchor_nominal_ref_nominal_000,0.6,True,completed_full_duration,False,False,-0.6689928191965802,3.914723028198708,4.0226116611206,3.914723028198708,1.13100718080342,0.8775811807258866,1.309034253789116,-3.7747648539115657,-0.9691358977616412,9.27414822175628,0.0,0.6333333333333333,1.0,0.48004221135159103,1.489010559872467
