stage_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,active_primitive_family,launch_gate_rows_exist,non_rejected_launch_gate_rows,expected_launch_gate_rows_per_active_primitive,expected_full_dense_launch_gate_rows_present,credible_launch_gate_outcome,r5_launch_entry_gate_passed
W01,inflight_boundary_near,boundary_near,safe_terminal,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,785,0,0,0,0,785,0,0,785,0.0,True,False,785,5120,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,245,339,0,0,0,584,0,0,0,584,0.0,True,False,584,5120,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,glide,glide,transition_object,inflight_entry_evidence_for_8_families,237,347,0,0,0,584,0,0,0,584,0.0,True,False,584,5120,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,241,344,0,0,0,585,0,0,0,585,0.0,True,False,585,5120,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,238,350,0,0,0,588,0,0,0,588,0.0,True,False,588,5120,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,244,342,0,0,0,586,0,0,0,586,0.0,True,False,586,5120,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,239,345,0,0,0,584,0,0,0,584,0.0,True,False,584,5120,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,245,337,0,0,0,582,0,0,0,582,0.0,True,False,582,5120,False,True,False
W01,inflight_lift_region,inflight_stable,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,247,336,0,0,0,583,0,0,0,583,0.0,True,False,583,5120,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,189,547,0,0,0,736,0,0,0,736,0.0,True,False,736,5120,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,glide,glide,transition_object,inflight_entry_evidence_for_8_families,199,537,0,0,0,736,0,0,0,736,0.0,True,False,736,5120,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,194,553,0,0,0,747,0,0,0,747,0.0,True,False,747,5120,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,203,547,0,0,0,750,0,0,0,750,0.0,True,False,750,5120,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,191,527,0,0,0,718,0,0,0,718,0.0,True,False,718,5120,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,213,546,0,0,0,759,0,0,0,759,0.0,True,False,759,5120,False,True,False
W01,inflight_lift_region,inflight_stable,inflight_stable,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,214,527,0,0,0,741,0,0,0,741,0.0,True,False,741,5120,False,True,False
