primitive_id,entry_role,transition_entry_class,transition_exit_class,transition_chain_compatible,transition_failure_reason,row_count
mild_turn_right,transition_object,inflight_stable,inflight_stable,True,,1668
mild_turn_right,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,1207
mild_turn_right,transition_object,launch_gate,inflight_stable,True,,2407
mild_turn_right,transition_object,launch_gate,post_launch_degraded,True,,2713
mild_turn_right,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,346
mild_turn_right,transition_object,recoverable_degraded,inflight_stable,True,,170
mild_turn_right,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_boundary_time_margin_collapsed,28
mild_turn_right,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_floor_margin_collapsed,215
mild_turn_right,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_without_attitude_rate_progress,468
mild_turn_right,transition_object,recoverable_degraded,recoverable_degraded,True,,53
recovery,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,429
recovery,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,2
recovery,transition_object,boundary_near,inflight_stable,True,,51
recovery,transition_object,boundary_near,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,15
recovery,transition_object,boundary_near,safe_terminal,True,,783
recovery,transition_object,inflight_stable,boundary_near,True,,2243
recovery,transition_object,inflight_stable,inflight_stable,True,,1623
recovery,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,1254
recovery,transition_object,launch_gate,inflight_stable,True,,2360
recovery,transition_object,launch_gate,post_launch_degraded,True,,2760
recovery,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,347
recovery,transition_object,recoverable_degraded,inflight_stable,True,,182
