session_label,calibration_profile_hash,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,replay_status,replay_policy,replay_dt_s,replay_command_source,actual_termination_group,sim_first_exit_reason,sim_first_exit_time_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,actual_x_end_m,actual_y_end_m,actual_z_end_m,sim_x_end_m,sim_y_end_m,sim_z_end_m,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_glide_ratio_x_over_altloss,sim_glide_ratio_x_over_altloss,glide_ratio_residual_actual_minus_sim,actual_final_phi_deg,sim_final_phi_deg,actual_final_theta_deg,sim_final_theta_deg,actual_final_psi_deg,sim_final_psi_deg,max_abs_sim_phi_deg,max_abs_sim_theta_deg,max_abs_sim_p_rad_s,max_abs_sim_q_rad_s,max_abs_sim_r_rad_s
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v006,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.02,1.4004305,1.282377403,2.151396632,1.585956795,4.938562563,1.086732298,-0.1244416853,0.2612612538,-0.2022851802,-0.2812470568,2.043236396,-3.966392898,-1.189635523,5.649732353,3.083027738,0.3964614743,8.559635916,3.330261472,0.944017259,4.367354949,7.277258513,-2.909903564,0.9316311053,1.17886484,-0.2472337344,1.18949532,0.6419395355,0.5475557848,0.8493783306,0.4583872855,0.3909910451,3.671603305,11.33636131,-7.664758004,-2.491734714,-0.9373436009,-13.66685487,9.165658854,-17.59434677,7.73258867,2.754776274,9.165658854,0.358100789,0.2027177684,0.7860330356
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v007,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.43,1.4842162,1.273114041,2.111557714,1.721342154,4.849403687,1.223409091,-0.2251240738,0.1339445147,0.2982640509,-0.8102319794,-2.339212512,1.746877072,-4.645805041,5.706305256,3.651825586,0.3963806765,6.67915168,2.441151363,0.8669427108,4.433191216,5.40603764,-0.972846424,1.540267872,0.3295936495,1.210674223,1.324961478,0.8543994434,0.4705620343,0.8927011292,0.5756569989,0.3170441303,3.345901968,6.327295367,-2.981393399,21.021221,9.899922666,-23.05912875,31.76888882,-33.73712609,12.83356749,10.5738445,31.76888882,0.8987326747,0.9689218826,0.8102319794
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v008,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.33,1.4844281,1.278110724,2.105657835,1.640083395,5.084099198,1.504847576,-0.4293241497,0.1472329078,0.6712266861,-1.095028853,6.801326949,0.6604395072,-8.43562339,5.300337357,3.181433594,0.3926985862,6.792239185,3.52242014,0.8088324653,4.022226633,5.514128461,-1.491901827,1.07577576,1.416762306,-0.3409865462,1.247384809,0.8312509296,0.4161338791,0.8403133899,0.5599805943,0.2803327956,3.224527512,6.633530579,-3.409003068,31.80883246,40.52966728,-25.25925784,12.24096705,-10.75139537,60.64908149,40.52966728,24.57689916,1.272458006,1.089341227,1.373863237
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v009,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.975,1.4392856,1.290099128,2.180765631,1.639588914,5.438040071,1.095859268,-0.1874194219,0.179381679,0.07215662408,-0.1855036784,8.777355247,-1.447496389,-1.405374085,6.15381408,2.603462664,0.3966145915,8.903722109,4.424041704,1.153410781,4.863714952,7.613622981,-2.749908029,0.4226970331,2.243276074,-1.820579041,1.242974322,0.4861781331,0.7567961891,0.8636050567,0.3377912855,0.5258137711,3.912964947,15.66015101,-11.74718606,2.689956346,6.428539019,-22.17003327,8.802586217,-2.516228827,25.07459047,8.83242118,8.802586217,0.3710928037,0.183796119,0.9649121596
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v010,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.955,1.4259929,1.271554823,2.1786966,1.57924683,5.481054528,0.7525466379,-0.1184806549,-0.07903907126,-0.05691348878,-0.4401804306,2.078905545,-2.732291811,-1.581198235,6.356339883,2.773446464,0.3899899268,9.108284372,2.852110752,1.134280253,5.08478506,7.836729549,-2.751944489,0.5947498638,0.673414152,-0.07866428822,1.189256903,0.444966577,0.7442903265,0.8339851506,0.3120398264,0.5219453242,4.275598523,17.611951,-13.33635247,-4.122776543,-0.5256727956,-27.71128002,10.00755906,-11.13268023,4.468352922,2.078905545,10.00755906,0.2906008573,0.1918579063,0.5909368111
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v011,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.945,1.497133,1.289711271,2.137684572,1.617469758,5.280294478,1.695567206,-0.09715961764,-0.4225267907,-0.2745700324,-1.111803288,3.14469167,-5.168691294,-8.79882565,6.426357407,3.433914814,0.3970576639,9.568611199,1.911086911,1.072033812,5.136646136,8.278899928,-3.142253792,1.296230242,-0.2265976607,1.522827903,1.220412094,0.5454359462,0.6749761478,0.8151661168,0.3643203017,0.4508458151,4.20894398,15.17850077,-10.96955679,24.93882558,-8.272605953,-19.67270459,9.474362606,-20.88006422,-13.06255135,10.63852249,9.474362606,0.7135770497,0.2745700324,1.175037626
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v012,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,none_before_actual_duration,,1.4243016,1.297164266,2.062861472,1.695168494,4.913531562,1.829323542,0.5363301629,0.09130975971,1.145190657,-0.7657278304,-0.2299085606,10.86221022,-9.911950444,4.393916526,3.041089501,0.389947909,5.160745445,2.472476799,0.4284185743,3.09675226,3.863581179,-0.7668289191,0.9782280291,0.4096153275,0.5686127015,1.305220585,1.266749919,0.03847066526,0.9163933991,0.8893832032,0.02701019591,2.372589198,3.049995205,-0.6774060064,13.2856195,10.2987879,-32.1677385,36.23267077,-31.98376824,21.32893888,13.38131374,37.67902835,0.9478895386,1.145190657,0.7657278304
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v013,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.07,1.4785759,1.284433828,2.022665121,1.68073574,5.493042209,-0.3902356204,0.08871619181,0.3341159531,0.1323899289,0.6384368875,4.072388218,2.620627467,10.8001922,5.327935859,1.574932484,0.3909209357,8.104674478,3.976201466,1.655006652,4.043502031,6.82024065,-2.776738619,-0.4477326371,1.953536345,-2.401268982,1.289814805,0.02572908868,1.264085716,0.8723358771,0.01740126339,0.8549346137,3.134947759,265.0789826,-261.9440348,-30.05084012,18.92758194,-20.35694947,23.03808313,10.65751046,34.65654114,18.92758194,23.03808313,0.6180817473,0.7979581552,0.6384368875
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v014,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.925,1.6547334,1.279150577,2.025478087,1.599978968,6.253436566,0.5118647061,0.2697596107,0.4922571159,0.9116734051,0.2006820789,0.4978040208,2.246343711,0.5711993253,6.114386348,2.322287279,0.3742602034,9.739846403,3.125151499,2.005364812,4.83523577,8.460695826,-3.625460056,0.2968091925,1.099673412,-0.8028642196,1.225718765,-0.4053858438,1.631104608,0.740734891,-0.2449855934,0.9857204843,3.944816633,-20.87072342,24.81554005,-14.93224191,5.91058723,-23.79662497,26.74021748,-14.27251881,13.46368096,5.91058723,26.74021748,0.4922571159,0.9116734051,0.4224062603
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v015,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.015,1.4588349,1.27907402,2.112197877,1.570081474,5.636640069,0.7496944838,0.4584440571,-0.07562709601,0.6591895935,-0.2274682168,2.687893656,2.066972851,-3.357562787,5.623290254,2.114424284,0.3878465478,8.380877927,2.819990365,1.692140333,4.344216234,7.101803907,-2.757587673,0.002226406245,0.7077924875,-0.7055660812,1.182234926,-0.1220588589,1.304293785,0.8103966569,-0.08366872695,0.8940653839,3.674579509,-58.18343683,61.85801634,7.686667197,2.140002304,-27.707233,26.12500484,13.70642713,8.811793224,3.205706233,26.12500484,0.260369672,0.7708660784,0.5750329515
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v016,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.97,1.4625234,1.265291351,2.163065367,1.636062493,5.619604115,1.447708155,0.1310302742,-0.4464127899,0.05978493277,-1.628535073,1.754794165,-1.921324891,-7.077232485,6.016507279,3.595568139,0.390434416,8.839203846,1.356055187,1.61744777,4.751215929,7.573912496,-2.822696567,1.432502772,-0.8070101802,2.239512952,1.245628077,0.01861472258,1.227013354,0.8516978783,0.01272781179,0.8389700665,3.814313451,406.8775381,-403.0632247,26.30093263,-17.83937036,-32.13704254,16.69835479,-26.11868441,-26.96748738,17.83937036,16.69835479,0.9163631699,0.7330795462,1.628535073
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v017,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.135,1.2308217,1.242954097,2.140464519,1.767765775,3.642759225,2.202832901,0.2920701058,0.04667733947,0.5947655496,-1.210196687,-0.368165442,12.76799616,-16.26936117,3.821516539,3.698243022,0.3903901226,4.086777231,2.50876396,0.1381473095,2.578562442,2.843823134,-0.2652606914,1.557778503,0.3682994408,1.189479062,1.377375652,1.629618465,-0.2522428131,1.11907001,1.324008559,-0.2049385488,1.872083653,1.745085242,0.1269984109,-3.095335328,-11.75343668,-29.23887682,31.8525803,-57.26545817,-12.02277051,22.11335229,32.25235511,0.9637427186,0.5947655496,1.210196687
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v018,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.07,1.3246412,1.270658215,2.157144457,1.5246064,4.910615239,1.433260964,0.2546672286,-0.4557101692,0.2931256669,-0.7344185682,-2.678962679,-3.164798804,-10.09830247,5.688318759,3.316263755,0.3900421293,7.681199055,1.407480187,1.225302695,4.417660544,6.41054084,-1.992880296,1.159119298,-0.7496642696,1.908783568,1.134564271,0.2993037052,0.835260566,0.8565068573,0.2259507746,0.6305560826,3.893706735,21.41818069,-17.52447396,17.35259409,-21.70346149,-21.10930404,18.60852784,-28.02822461,-26.59690103,21.70346149,18.60852784,0.9997189586,0.8200355238,0.7884534538
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v019,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.965,1.486635,1.335766158,2.040251753,1.647334035,5.865945528,0.7058527215,0.08270525444,0.001546287236,0.3773395905,-0.8667204193,3.532323663,2.844945475,-6.961698575,6.031497849,2.13326131,0.3883602523,8.827904606,1.967288709,1.887076285,4.695731691,7.492138448,-2.796406757,0.09300955706,-0.07296304373,0.1659726008,1.258973783,-0.2397422495,1.498716032,0.8468613902,-0.1612650378,1.008126428,3.729808956,-31.25080567,34.98061462,32.95918988,-1.77549284,-32.07340192,25.71488111,10.04773682,-1.341635097,3.532323663,25.71488111,0.3668657177,0.7506610388,0.8667204193
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v020,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.94,1.4801292,1.283103943,2.138499254,1.571275891,5.756423139,0.8088386202,0.295494397,-0.2333989493,0.3583714071,-0.1826355962,0.1431096311,-0.8085060243,-4.901809302,6.054290131,2.347460029,0.3966070514,9.260527263,2.268917723,1.534653312,4.771186188,7.977423321,-3.206237132,0.2089607746,0.1304184688,0.07854230579,1.17466884,0.03662257885,1.138046261,0.7936258807,0.02474282573,0.768883055,4.061728741,217.8280058,-213.7662771,-8.758756378,-1.434996318,-27.43405742,15.51353897,-10.65021848,-0.440816246,2.703156105,15.51353897,0.2805682781,0.4387795676,0.5554042625
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v021,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.885,1.5835711,1.290970936,2.063036854,1.520728462,6.199900542,0.7655162348,0.05876163261,-0.1957278549,0.6371679206,-0.1894464967,-0.1603751901,-0.6679397799,-4.890767404,6.506641816,2.055865858,0.3836549376,10.17903667,2.0538669,1.662323634,5.21567088,8.88806573,-3.67239485,-0.007170996021,-0.009169953153,0.001998957132,1.137073525,-0.1415951721,1.278668697,0.7180438723,-0.0894151024,0.8074589747,4.586924915,-62.77096599,67.35789091,-24.18288648,-1.321607314,-17.82423759,15.95148947,-10.06715923,-1.31946523,2.694077112,15.95148947,0.2628308469,0.6371679206,0.527125276
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v022,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.93,1.4493969,1.419269163,2.138084663,1.559203349,5.527383466,1.576028076,0.2721586403,-0.2600128393,0.2175161596,-0.2573419644,-1.709149485,-1.363598545,-9.626468031,6.244855167,2.669454797,0.3981257032,9.123908721,2.003721612,1.504922447,4.825586004,7.704639557,-2.879053553,0.5313701347,-0.1343630504,0.6657331851,1.161077645,0.05428090161,1.106796744,0.8010763963,0.03745068146,0.7636257149,4.156126873,141.9401544,-137.7840276,-13.61564679,-6.87668755,-20.09890386,15.53788289,-14.28267178,-9.201528491,7.861149766,15.53788289,0.4986152814,0.53164771,0.9641155749
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v023,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.12,1.4736096,1.294554189,2.157051042,1.620440392,5.42550613,1.52679036,0.1838940985,-0.1630248062,0.7997087664,-0.02650489037,4.721349335,5.602919798,-8.763839285,5.401309687,2.465155471,0.397418818,7.569142488,3.444939426,1.637946089,4.106755499,6.2745883,-2.167832801,0.3081044287,1.287888384,-0.9797839551,1.223021574,-0.01750569693,1.240527271,0.8299495159,-0.01187946722,0.8418289831,3.357876579,-358.4312195,361.7890961,0.9366787625,7.939287554,-30.18606982,29.84320463,0.6290701928,20.93297723,8.687343727,29.84320463,0.4641556807,0.7997087664,1.091719982
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v024,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.875,1.4222646,1.313169932,2.035619694,1.572355932,5.643958553,1.648888702,-0.411273735,-0.1751325002,-0.004060786147,-0.773710355,1.037264585,-6.63996328,-12.77636802,6.602847967,2.637144206,0.7280549488,9.852062204,1.305143241,0.8052472355,5.289678036,8.538892272,-3.249214236,0.6015245117,-0.7304764524,1.332000964,0.8443009829,0.7671086962,0.07719228672,0.5936314402,0.5393572308,0.0542742094,6.26515679,11.13126773,-4.866110936,13.30959057,-6.574629202,-5.977123944,5.900901733,-15.43933599,-12.21640999,9.433591027,6.673562499,0.6070825311,0.1547967445,1.112688759
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v025,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,none_before_actual_duration,,1.4276458,1.286708037,2.040137192,1.649452152,5.396995884,1.113670807,0.6119696874,-0.2572189175,0.7383199095,-0.2974545724,2.325868882,10.07428018,-9.217890273,4.604510367,2.261054089,0.3893027702,6.519112135,2.69531439,1.413339376,3.31780233,5.232404097,-1.914601768,0.2209168965,0.6551771978,-0.4342603012,1.260149381,0.2361127758,1.024036606,0.8826764884,0.1653861033,0.717290385,2.632864309,22.16061405,-19.52774975,7.899463251,20.72177875,-22.92334199,29.46352674,-12.73877253,29.42293606,20.72177875,29.50968484,0.8103220714,0.7383199095,0.7896428756
