group,split,surface_axis,command_abs,replay_count,high_confidence_count,medium_confidence_count,low_confidence_count,mean_launch_confidence_score,mean_launch_lateral_contamination_score,primary_metric,all_abs_antisym_residual,high_confidence_abs_antisym_residual,confidence_weighted_abs_antisym_residual,high_minus_all_abs_residual,weighted_minus_all_abs_residual,replay_dx_mae_m,replay_dy_mae_m,replay_altitude_loss_mae_m
aileron_0.4,heldout,aileron,0.4,2,1,1,0,0.8095703663,0.3696960373,peak_p_rad_s,0.1759104044,,0.1759104044,,2.220446049e-16,0.3759108724,0.5773270839,0.4691970311
aileron_0.6,heldout,aileron,0.6,2,1,1,0,0.7976980731,0.3828837182,peak_p_rad_s,0.01858518648,,0.01858518648,,0,0.4802948994,0.1623683563,0.5256255969
aileron_0.8,heldout,aileron,0.8,2,2,0,0,0.7916760304,0.3935994389,peak_p_rad_s,0.08832714061,0.08832714061,0.08832714061,0,0,0.1413617525,0.2014491678,0.03314942796
aileron_1,heldout,aileron,1,2,2,0,0,0.9122045153,0.2466712868,peak_p_rad_s,0.4193816807,0.4193816807,0.4193816807,0,0,0.5844924879,0.7476718754,0.2212051403
elevator,heldout,elevator,all,10,7,3,0,0.8286452848,0.3429616591,peak_q_rad_s,0.5431311701,0.4734520811,0.5431311701,-0.06967908896,0,0.1118348024,0.3998128477,0.1104923048
elevator_0.2,heldout,elevator,0.2,2,1,1,0,0.8104282466,0.3632731646,peak_q_rad_s,0.2828345295,,0.2828345295,,0,0.03644341249,0.4428521306,0.03030001399
elevator_0.4,heldout,elevator,0.4,2,2,0,0,0.8491729292,0.3296708462,peak_q_rad_s,0.0008152116698,0.0008152116698,0.0008152116698,0,1.110223025e-16,0.3025092838,0.06186061532,0.0883254476
elevator_0.6,heldout,elevator,0.6,2,1,1,0,0.7728759861,0.4112934503,peak_q_rad_s,0.06885532689,,0.06885532689,,0,0.0414954344,0.5166918612,0.04519717148
elevator_0.8,heldout,elevator,0.8,2,1,1,0,0.7893113921,0.382580341,peak_q_rad_s,1.417061832,,1.417061832,,0,0.09370322103,0.6499090157,0.147791867
elevator_1,heldout,elevator,1,2,2,0,0,0.9214378699,0.2279904931,peak_q_rad_s,0.9460889505,0.9460889505,0.9460889505,0,0,0.08502266005,0.3277506155,0.2408470238
rudder,heldout,rudder,all,10,7,3,0,0.7988171214,0.3754761111,peak_r_rad_s,0.6249096051,0.6254586849,0.6249096051,0.0005490798174,0,0.2318239601,0.4962403706,0.1602667512
rudder_0.2,heldout,rudder,0.2,2,1,1,0,0.6944205942,0.4919719879,peak_r_rad_s,0.7660902831,,0.7660902831,,0,0.3624700835,0.1076670697,0.3596419175
rudder_0.4,heldout,rudder,0.4,2,2,0,0,0.8706840642,0.3030190632,peak_r_rad_s,0.6076511443,0.6076511443,0.6076511443,0,0,0.134435845,0.3534677431,0.08216529073
rudder_0.6,heldout,rudder,0.6,2,1,1,0,0.854968055,0.2948444241,peak_r_rad_s,0.4339820811,,0.4339820811,,0,0.1426161568,0.391494707,0.02393606415
rudder_0.8,heldout,rudder,0.8,2,2,0,0,0.8214590167,0.3577768923,peak_r_rad_s,0.6432662256,0.6432662256,0.6432662256,0,0,0.190134708,0.7722275998,0.1528979333
rudder_1,heldout,rudder,1,2,1,1,0,0.7525538771,0.4297681877,peak_r_rad_s,0.6735582916,,0.6735582916,,0,0.3294630075,0.8563447336,0.1826925503
