t_read_host_s,line_text
7.9701097,"COMMIT_EVENT,49,0,1416865313,1416882262,70692,1500,1500,1500,1500,1500,1500,1500,1500"
8.0017106,"RX_EVENT,50,0,1416900276,32768,32768,32768,32768"
8.0017106,"COMMIT_EVENT,50,0,1416900276,1416902262,70693,1500,1500,1500,1500,1500,1500,1500,1500"
8.0402295,"RX_EVENT,51,0,1416931617,32768,32768,32768,32768"
8.0402295,"COMMIT_EVENT,51,0,1416931617,1416942262,70695,1500,1500,1500,1500,1500,1500,1500,1500"
8.076875,"RX_EVENT,52,0,1416969801,32768,32768,32768,32768"
8.076875,"COMMIT_EVENT,52,0,1416969801,1416982262,70697,1500,1500,1500,1500,1500,1500,1500,1500"
8.1052058,"RX_EVENT,53,0,1417006745,32768,32768,32768,32768"
8.1345867,"COMMIT_EVENT,53,0,1417006745,1417022262,70699,1500,1500,1500,1500,1500,1500,1500,1500"
8.1345867,"RX_EVENT,54,0,1417034573,32768,32768,32768,32768"
8.1345867,"COMMIT_EVENT,54,0,1417034573,1417042262,70700,1500,1500,1500,1500,1500,1500,1500,1500"
8.1618362,"RX_EVENT,55,0,1417064247,32768,32768,32768,32768"
8.1889022,"COMMIT_EVENT,55,0,1417064247,1417082262,70702,1500,1500,1500,1500,1500,1500,1500,1500"
8.1889022,"RX_EVENT,56,0,1417091666,32768,32768,32768,32768"
8.1889022,"COMMIT_EVENT,56,0,1417091666,1417102262,70703,1500,1500,1500,1500,1500,1500,1500,1500"
8.2282865,"RX_EVENT,57,0,1417118279,32768,32768,32768,32768"
8.2282865,"COMMIT_EVENT,57,0,1417118279,1417122263,70704,1500,1500,1500,1500,1500,1500,1500,1500"
8.2659387,"RX_EVENT,58,1,1417160687,9830,32768,32768,32768"
8.2659387,"COMMIT_EVENT,58,1,1417160687,1417162262,70706,1150,1500,1500,1500,1500,1500,1500,1500"
8.2955198,"RX_EVENT,59,1,1417196142,9830,32768,32768,32768"
8.2955198,"COMMIT_EVENT,59,1,1417196142,1417202263,70708,1150,1500,1500,1500,1500,1500,1500,1500"
8.3220879,"RX_EVENT,60,1,1417226305,9830,32768,32768,32768"
8.3518944,"COMMIT_EVENT,60,1,1417226305,1417242263,70710,1150,1500,1500,1500,1500,1500,1500,1500"
8.3518944,"RX_EVENT,61,1,1417252518,9830,32768,32768,32768"
