primitive_variant_id,robustness_profile_version,robustness_profile_row_count,robustness_profile_axis_count,robustness_coverage_labels_json,robustness_coverage_rates_json,robustness_terminal_rates_json,robustness_hard_failure_rates_json,robustness_worst_case_coverage,robustness_mean_coverage,robustness_max_hard_failure_rate,robustness_environment_modes_seen,robustness_start_families_seen,robustness_active_fan_counts_seen,updraft_gain_proxy_mean_m,positive_specific_energy_gain_mean_m,rollout_duration_mean_s
primvar_energy_retaining_bank_inflight_only_b706b03a42ef,coverage_behavior_qr_medoid_profile_v1,40,11,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4""]","[1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.7272727272727273,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4,0.0,0.023176016954057074,0.1
primvar_energy_retaining_bank_inflight_only_b990004772e0,coverage_behavior_qr_medoid_profile_v1,40,11,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4""]","[1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.7272727272727273,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4,0.0,0.02317739503367074,0.1
primvar_energy_retaining_bank_inflight_only_c34e50818f9d,coverage_behavior_qr_medoid_profile_v1,40,11,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4""]","[1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.7272727272727273,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4,0.0,0.02255978617148425,0.1
primvar_energy_retaining_bank_inflight_only_d52e44fbfc4e,coverage_behavior_qr_medoid_profile_v1,40,11,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4""]","[1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.7272727272727273,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4,0.0,0.022641416419590214,0.1
primvar_energy_retaining_bank_inflight_only_dd6d41942761,coverage_behavior_qr_medoid_profile_v1,40,11,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4""]","[1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.7272727272727273,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4,0.0,0.02623905748000871,0.1
primvar_energy_retaining_bank_inflight_only_f33baa0e25a4,coverage_behavior_qr_medoid_profile_v1,40,11,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4""]","[1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.7272727272727273,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4,0.0,0.02354274895038986,0.1
primvar_energy_retaining_bank_inflight_only_f41bc95c5496,coverage_behavior_qr_medoid_profile_v1,40,11,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4""]","[1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.7272727272727273,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4,0.0,0.024451249833980254,0.1
primvar_energy_retaining_bank_inflight_only_f5d4950548df,coverage_behavior_qr_medoid_profile_v1,40,11,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4""]","[1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.7272727272727273,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4,0.0,0.02731350264854836,0.1
primvar_energy_retaining_bank_inflight_only_f6d4d53afac2,coverage_behavior_qr_medoid_profile_v1,40,11,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4""]","[1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.7272727272727273,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4,0.0,0.02267839403441051,0.1
primvar_energy_retaining_bank_inflight_only_f789a8215ded,coverage_behavior_qr_medoid_profile_v1,40,11,"[""env:w3_randomised_four"",""env:w3_randomised_single"",""start:inflight_boundary_near"",""start:inflight_lift_region"",""start:inflight_nominal"",""start:inflight_recovery_edge"",""start:launch_gate"",""active_fan_count:1"",""active_fan_count:2"",""active_fan_count:3"",""active_fan_count:4""]","[1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.7272727272727273,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4,0.0,0.026501692356918082,0.1
