case_id,case_type,alpha_deg,beta_deg,speed_m_s,delta_a_deg,delta_e_deg,delta_r_deg,cx_body,cy_body,cz_body,cl_roll,cm_pitch,cn_yaw,cl_lift,cd_drag,valid_local,local_status,cl_lift_asb,cd_drag_asb,cm_pitch_asb,cy_asb,cl_roll_asb,cn_yaw_asb,valid_aerosandbox,aerosandbox_status,comparison_status,cl_lift_minus_aerosandbox,cd_drag_minus_aerosandbox,cm_pitch_minus_aerosandbox,cy_body_minus_aerosandbox,cl_roll_minus_aerosandbox,cn_yaw_minus_aerosandbox
case_000031,clean,10.0,6.0,4.5,0.0,0.0,0.0,0.05971015186321487,-0.025096094548599936,-0.8340116695216926,-0.005041991271606867,0.028039614173411262,0.00884182324410972,0.8312742445989453,0.08817360702503388,True,ok,0.783999581269415,0.17574671200208442,0.036672008474211176,-0.0030774507998776383,-0.003962876479965866,0.005700119162064736,True,ok: AeroSandbox AeroBuildup.run,matched,0.04727466332953023,-0.08757310497705054,-0.008632394300799914,-0.022018643748722297,-0.001079114791641001,0.003141704082044985
case_000032,clean,12.0,6.0,4.5,0.0,0.0,0.0,0.0574521201862285,-0.02304647338112769,-0.8273645298318327,0.0007958666615692504,0.027532399834078087,0.010485820838214829,0.8207867750203232,0.11759663164023906,True,ok,0.8339691579467916,0.20727691682175087,0.031587337181952266,0.0015878232972393038,-0.0019056657275931539,0.005938463676440875,True,ok: AeroSandbox AeroBuildup.run,matched,-0.01318238292646845,-0.0896802851815118,-0.004054937347874179,-0.024634296678366994,0.002701532389162404,0.004547357161773954
case_000033,clean,-8.0,-6.0,5.5,0.0,0.0,0.0,0.03856603750249022,0.026574854597402203,0.7314974602522938,0.009204736401104923,-0.035197184916182934,-0.01070435029048503,-0.7293766572363073,0.06604339867763331,True,ok,-0.7127036498307058,0.13312307561650882,-0.029949779324142438,0.008117388842269735,0.0066685696267444,-0.006747536567780355,True,ok: AeroSandbox AeroBuildup.run,matched,-0.016673007405601514,-0.06707967693887551,-0.005247405592040497,0.01845746575513247,0.002536166774360523,-0.003956813722704675
case_000034,clean,-6.0,-6.0,5.5,0.0,0.0,0.0,0.013428953530148963,0.02715544056905848,0.565571511538715,0.010680017696695165,-0.027360635285821378,-0.010573103587515918,-0.5635987950797876,0.04835075499020986,True,ok,-0.5530663329564909,0.08257525477506442,-0.01539125999999084,0.013120504982677316,0.008171010344045927,-0.006296025966856305,True,ok: AeroSandbox AeroBuildup.run,matched,-0.010532462123296726,-0.034224499784854555,-0.011969375285830539,0.014034935586381164,0.0025090073526492385,-0.004277077620659613
case_000035,clean,-4.0,-6.0,5.5,0.0,0.0,0.0,-0.006504478323490769,0.027332314073542825,0.38167862903014055,0.010997823092288502,-0.018304971316343427,-0.01023878559576282,-0.3801116085223222,0.03578879627943556,True,ok,-0.38306876107441573,0.04123642817507177,-0.027809340406937694,0.017179349465654567,0.01049044299181048,-0.007083473089227423,True,ok: AeroSandbox AeroBuildup.run,matched,0.002957152552093556,-0.0054476318956362055,0.009504369090594267,0.010152964607888258,0.0005073801004780217,-0.0031553125065353965
case_000036,clean,-2.0,-6.0,5.5,0.0,0.0,0.0,-0.01875902671629878,0.027390874177427797,0.19348019304408426,0.011041284764436101,-0.009354146712828469,-0.009858765355450457,-0.19261666102839675,0.028223395116360833,True,ok,-0.17238330789418374,0.020585784388674887,-0.020107329142708897,0.019404562844550815,0.010662544972569243,-0.006725402108503469,True,ok: AeroSandbox AeroBuildup.run,matched,-0.02023335313421301,0.007637610727685946,0.010753182429880428,0.007986311332876982,0.000378739791866858,-0.003133363246946988
case_000037,clean,0.0,-6.0,5.5,0.0,0.0,0.0,-0.02288971836665748,0.027406288134712315,0.00432466383914349,0.011043057117388028,-0.0008716388078522199,-0.009462294777330108,-0.00432466383914349,0.025629063277046175,True,ok,-4.851094788001591e-17,0.015205197634336034,0.0006613137859657989,0.019543474004958247,0.009245868524590306,-0.0064708421127307545,True,ok: AeroSandbox AeroBuildup.run,matched,-0.004324663839143442,0.010423865642710141,-0.0015329525938180188,0.007862814129754068,0.0017971885927977223,-0.0029914526645993533
case_000038,clean,2.0,-6.0,5.5,0.0,0.0,0.0,-0.018838282167232153,0.027390898245473208,-0.18484082429636217,0.011041359225784274,0.007026647007724277,-0.009053584910833953,0.18397976180728984,0.02800231297777145,True,ok,0.17238328754886165,0.02058578378589919,0.02099200377067818,0.019404562472137694,0.010850012767562214,-0.006155671045448324,True,ok: AeroSandbox AeroBuildup.run,matched,0.011596474258428191,0.007416529191872259,-0.013965356762953903,0.007986335773335514,0.00019134645822205948,-0.0028979138653856297
case_000039,clean,4.0,-6.0,5.5,0.0,0.0,0.0,-0.00665762775813219,0.027334086607255222,-0.3731053251204267,0.011003306929784368,0.014251959624522486,-0.008638919570628187,0.37154838124962264,0.03534615370054467,True,ok,0.3830686720788503,0.04123642232721614,0.027381907888344055,0.01717934923923919,0.010584647637248796,-0.005814958533946424,True,ok: AeroSandbox AeroBuildup.run,matched,-0.011520290829227675,-0.005890268626671469,-0.01312994826382157,0.010154737368016031,0.0004186592925355722,-0.0028239610366817634
case_000040,clean,6.0,-6.0,5.5,0.0,0.0,0.0,0.013239324920526716,0.02716683240813443,-0.5573379143467638,0.010715261592951913,0.020617182874317967,-0.008260325039452914,0.5553900799400439,0.047683571894374166,True,ok,0.553066144479057,0.08257523689872935,0.015096899510920012,0.013120506081643536,0.008169174701719836,-0.006700688935313638,True,ok: AeroSandbox AeroBuildup.run,matched,0.002323935460986859,-0.034891665004355185,0.005520283363397955,0.014046326326490895,0.002546086891232077,-0.0015596361041392759
case_000041,clean,8.0,-6.0,5.5,0.0,0.0,0.0,0.038535955829146644,0.02662263463293974,-0.7247002835472878,0.009352557539061756,0.025575591205848472,-0.008122996024374912,0.72264006554826,0.06513721682546383,True,ok,0.7127033192598933,0.13312303521321114,0.028059760132772147,0.008117392759590412,0.005792967287071208,-0.006686473320241921,True,ok: AeroSandbox AeroBuildup.run,matched,0.009936746288366716,-0.06798581838774731,-0.002484168926923675,0.01850524187334933,0.003559590251990548,-0.0014365227041329915
case_000042,clean,10.0,-6.0,5.5,0.0,0.0,0.0,0.05971015186321487,0.025096094548599946,-0.8340116695216931,0.005041991271606893,0.02803961417341114,-0.008841823244109715,0.8312742445989458,0.08817360702503399,True,ok,0.7879655022273004,0.1755623647175116,0.019695317405390496,0.0037329816460848915,0.004226376555273472,-0.006041417446332724,True,ok: AeroSandbox AeroBuildup.run,matched,0.04330874237164539,-0.08738875769247761,0.008344296768020645,0.021363112902515056,0.0008156147163334215,-0.0028004057977769918
case_000043,clean,12.0,-6.0,5.5,0.0,0.0,0.0,0.05745212018622849,0.023046473381127693,-0.8273645298318328,-0.0007958666615692279,0.027532399834078212,-0.01048582083821483,0.8207867750203233,0.1175966316402391,True,ok,0.84722265268807,0.21008704303338926,0.003041485682045558,-0.0011159450784658832,0.0021995247903969406,-0.006121807903731257,True,ok: AeroSandbox AeroBuildup.run,matched,-0.026435877667746688,-0.09249041139315016,0.024490914152032653,0.024162418459593576,-0.0029953914519661685,-0.0043640129344835734
