event_id,surface_index,surface_name,t0_write_start_host_s,response_window_end_s,command_step_norm,command_before_norm,command_after_norm,delta_base_deg,sigma_base_deg,delta_final_deg,response_amplitude_deg,level_10_deg,level_50_deg,level_90_deg,t10_capture_s,t50_capture_s,t90_capture_s,t10_latency_s,t50_latency_s,t90_latency_s,valid,t90_valid,rejection_reason
50,1,Aileron_L,38.3941933,38.9749722,0.7,-0.7,0,-14.0258302662394,2.53893947688792,1.5434831101655,15.5693133764049,-12.4688989285989,-6.24117357803697,-0.0134482274749956,38.4885823017744,38.5178789258831,38.5341162096073,0.0943890017743527,0.123685625883077,0.13992290960735,1,1,
51,1,Aileron_L,38.986627,39.5749722,0.7,0,0.7,1.5434831101655,2.34576988876867,21.0878027832416,19.5443196730761,3.4979150774731,11.3156429467035,19.133370815934,39.0739368079448,39.1061357841942,39.1383093748617,0.0873098079448198,0.119508784194153,0.151682374861686,1,1,
52,1,Aileron_L,39.5890535,40.1749722,-0.7,0.7,0,21.0878027832416,2.38179164755648,-2.42375677088812,-23.5115595541297,18.7366468278286,9.33202300617673,-0.0726008154751483,39.674688068985,39.7054828592462,39.7324086206226,0.085634568984986,0.11642935924619,0.143355120622552,1,1,
53,3,Rudder,40.1837377,40.7749722000001,-0.7,0,-0.7,4.92228134073095,8.82630788133638,-13.7806066119017,-18.7028879526326,3.05199254546769,-4.42916263558537,-11.9103178166384,40.1996385601014,40.2177692023647,40.285802129257,0.0159008601014179,0.0340315023646909,0.102064429256984,1,1,
54,3,Rudder,40.775509,41.3749722000001,0.7,-0.7,0,-13.5836049293498,4.63971242065923,3.45429445937074,17.0378993887205,-11.8798149904777,-5.06465523498952,1.75050452049869,40.804934014174,40.8946679751547,40.9003696191233,0.0294250141740164,0.119158975154697,0.124860619123339,1,1,
55,3,Rudder,41.3873626,41.9749722000001,0.7,0,0.7,3.49103753233672,4.00949161025698,18.6847781781868,15.1937406458501,5.01041159692172,11.0879078552617,17.1654041136018,41.4583961828134,41.4721940520792,41.4809685666146,0.0710335828134419,0.0848314520792428,0.0936059666145539,1,1,
56,3,Rudder,41.9868747,42.5749722000001,-0.7,0.7,0,18.6847781781868,2.81989868374407,1.64709941384599,-17.0376787643408,16.9810103017527,10.1659387960164,3.35086729028007,42.123828554844,42.1299867181235,42.1422754094489,0.136953854843973,0.143112018123489,0.155400709448877,1,1,
57,2,Aileron_R,42.5757208,43.1749722000001,-0.7,0,-0.7,1.40498232623778,1.19496607808505,-30.7800429020648,-32.1850252283025,-1.81352019659247,-14.6875302879135,-27.5615403792345,42.6645657360421,42.691378814189,42.7416611889572,0.0888449360420651,0.115658014189016,0.165940388957239,1,1,
58,2,Aileron_R,43.1811183,43.7749722000001,0.7,-0.7,0,-30.7800429020648,6.70941835358996,1.14715616244778,31.9271990645125,-27.5873229956135,-14.8164433698085,-2.04556374400347,43.2415459703746,43.2494201004894,43.3217271189709,0.0604276703745512,0.0683018004893867,0.140608818970904,1,1,
59,2,Aileron_R,43.7863346,44.3749722000001,0.7,0,0.7,1.16395329262463,1.67464759041576,24.0211449698098,22.8571916771851,3.44967246034314,12.5925491312172,21.7354258020913,43.8797932995038,43.9054704830668,43.9333117206307,0.0934586995038273,0.119135883066797,0.146977120630744,1,1,
60,2,Aileron_R,44.3788092,44.9749722000001,-0.7,0.7,0,24.1133930489223,0.866389916025621,-3.89928966571372,-28.012682714636,21.3121247774587,10.1070516916043,-1.09802139425012,44.4591729980322,44.4879993781532,44.5055248652535,0.0803637980321668,0.109190178153213,0.126715665253535,1,1,
61,4,Elevator,44.9815691,45.5749722000001,-0.7,0,-0.7,-4.44222907140148,2.10087814745458,-14.6694515963523,-10.2272225249509,-5.46495132389657,-9.55584033387691,-13.6467293438573,44.9903093918608,45.0073728904487,45.091871217881,0.00874029186076797,0.025803790448677,0.110302117881005,1,1,
62,4,Elevator,45.5765678,46.1749722000001,0.7,-0.7,0,-14.6781267843443,1.32966173739477,-5.19794919873115,9.48017758561315,-13.730109025783,-9.93803799153772,-6.14596695729246,45.5886521348899,45.6895998624773,45.7011531344495,0.0120843348898916,0.113032062477266,0.124585334449471,1,1,
63,4,Elevator,46.1804016,46.7749722000001,0.7,0,0.7,-5.09674873270769,3.65959417273529,12.9135919331938,18.0103406659015,-3.29571466611754,3.90842160024305,11.1125578666037,46.2542447578453,46.2754203595876,46.3105195808785,0.0738431578452747,0.0950187595876173,0.130117980878531,1,1,
64,4,Elevator,46.7837358,47.3749722000001,-0.7,0.7,0,12.6745041515679,0.608783709357887,-1.79338325085438,-14.4678874024223,11.2277154113257,5.44056045035676,-0.34659451061215,46.8631796303197,46.8924359971102,46.9035393537849,0.0794438303196756,0.108700197110188,0.119803553784855,1,1,
