surface_index,surface_name,command_level_norm,lookup_deflection_deg,lookup_std_deg,lookup_min_deg,lookup_max_deg,valid_hold_count,direction_groups,sweep_phases
2,Aileron_R,-0.3,-5.84015505662402,0.717894164280238,-6.62377650052692,-5.26922682377382,4,negative_first|positive_first,outbound|return
2,Aileron_R,-0.2,-3.4832952230048,3.18132054298561,-7.94584459463096,-0.306011974827742,4,negative_first|positive_first,outbound|return
2,Aileron_R,-0.15,-1.74004663719181,1.83667649298925,-4.86230132183851,-0.913026455409198,4,negative_first|positive_first,outbound|return
2,Aileron_R,-0.1,-1.60354403374333,1.60216129929711,-2.74078408531972,0.677128734309889,4,negative_first|positive_first,outbound|return
2,Aileron_R,-0.05,-0.0466155731906301,0.466971916458261,-0.365969880315482,0.580729129116472,4,negative_first|positive_first,outbound|return
2,Aileron_R,0,0,1.23726876099554,-2.30321516906372,1.78442826211629,8,negative_first|positive_first,outbound|return
2,Aileron_R,0.05,2.24863255326782,5.09545137747145,-2.2775865258181,9.60784125434612,4,negative_first|positive_first,outbound|return
2,Aileron_R,0.1,5.49587923104559,6.70395778446921,-2.36991625853242,11.4714298383193,4,negative_first|positive_first,outbound|return
2,Aileron_R,0.15,10.2207179585625,6.03434600066882,-0.111784280630033,10.4553503847553,3,negative_first|positive_first,outbound|return
2,Aileron_R,0.2,5.33462207047134,3.78405368981856,2.36312129855797,10.7817880256175,4,negative_first|positive_first,outbound|return
2,Aileron_R,0.3,10.1890157648508,2.59692978938882,5.80794489173516,10.4144266225219,3,negative_first|positive_first,outbound|return
2,Aileron_R,0.45,12.5911964824035,2.18722112557682,10.7641622529239,14.8941044182001,4,negative_first|positive_first,outbound|return
2,Aileron_R,0.6,14.1072886675724,2.46028152508959,11.1551932245338,15.9517688616998,4,negative_first|positive_first,outbound|return
2,Aileron_R,0.8,16.0531648614879,0.257500025978097,15.6990877979775,16.3272411633807,4,negative_first|positive_first,outbound|return
2,Aileron_R,1,16.434543886975,0.28525328826015,16.2328393524905,16.6362484214595,2,negative_first|positive_first,outbound
3,Rudder,-0.8,-54.3462681069246,0,-54.3462681069246,-54.3462681069246,1,negative_first,outbound
3,Rudder,-0.45,-49.8466236398013,2.79340451608913,-54.0605806785333,-48.7769292253712,3,negative_first|positive_first,outbound|return
3,Rudder,-0.3,-48.8547506642153,8.34856461603589,-54.7580773173883,-42.9514240110422,2,negative_first,outbound|return
3,Rudder,-0.2,-52.949459798819,0.508202830035797,-53.3088134661555,-52.5901061314825,2,negative_first|positive_first,return
3,Rudder,-0.15,-54.8725455959157,42.5269282256918,-55.7912929679505,18.3225836380461,3,negative_first|positive_first,outbound|return
3,Rudder,-0.05,-42.7568938879475,7.51137127124541,-46.4823861646352,-32.015964943375,3,negative_first|positive_first,outbound|return
3,Rudder,0,-1.77635683940025e-15,4.37227179569764,-6.61086203476528,3.82160944111627,4,negative_first|positive_first,outbound|return
3,Rudder,0.05,-5.05752914957101,8.64821232935477,-11.1727387327989,1.05768043365686,2,positive_first,outbound|return
3,Rudder,0.1,2.22060492556037,21.1188656279315,-25.4443247639638,16.0288384291966,3,negative_first|positive_first,outbound|return
3,Rudder,0.15,-24.977706824241,15.1332519230711,-25.5793152153215,0.927871634244923,3,negative_first|positive_first,outbound|return
3,Rudder,0.2,-16.9996337765338,18.52063645865,-30.095701408336,-3.90356614473155,2,positive_first,outbound|return
3,Rudder,0.3,-20.4914065524824,13.5144837140587,-21.0992825027631,2.60650743529835,3,negative_first|positive_first,outbound|return
3,Rudder,0.45,-11.011306036688,3.45664565134457,-13.4555236169127,-8.56708845646327,2,negative_first|positive_first,return
3,Rudder,0.6,-10.4745313110954,5.16860911087137,-18.4857200589697,-6.10379668471563,4,negative_first|positive_first,outbound|return
3,Rudder,0.8,-5.11398288300465,9.2583509556828,-19.9958114280782,-3.01290723613499,3,negative_first|positive_first,outbound|return
3,Rudder,1,-11.9337079848138,8.24796438223255,-17.7658995304756,-6.10151643915207,2,negative_first|positive_first,outbound
4,Elevator,-1,-0.425761532335149,0.124518782588839,-0.51380960788881,-0.337713456781487,2,negative_first|positive_first,outbound
4,Elevator,-0.8,-0.444893238145846,0.0419383297655294,-0.479417315214005,-0.389265538587276,4,negative_first|positive_first,outbound|return
4,Elevator,-0.6,-0.575988481127675,0.145595142941924,-0.736004522766851,-0.388197291791386,4,negative_first|positive_first,outbound|return
4,Elevator,-0.45,-0.465474384506327,0.0951750423069079,-0.619132354936419,-0.403079671792612,4,negative_first|positive_first,outbound|return
4,Elevator,-0.3,-0.298348554588251,0.228530031537555,-0.504925189511636,-0.0517544837102682,4,negative_first|positive_first,outbound|return
4,Elevator,-0.2,-0.286261390546715,0.207686056558291,-0.483928588690996,-0.0523300020458843,4,negative_first|positive_first,outbound|return
4,Elevator,-0.15,-0.218692020864635,0.0504269079740583,-0.264597690625268,-0.151365277934838,4,negative_first|positive_first,outbound|return
