source_rollout_id,rollout_id,source_outcome_class,w2_outcome_class,source_reuse_count
r646_c00003_00096,w2_r648_000395,boundary_terminal,boundary_terminal,1
r646_c00003_00180,w2_r648_000396,failed,failed,1
r646_c00003_00411,w2_r648_000397,failed,failed,1
r646_c00003_00926,w2_r648_000398,rejected,rejected,1
r646_c00028_00918,w2_r648_000399,rejected,rejected,1
r646_c00003_00341,w2_r648_000400,accepted,failed,1
r646_c00003_00511,w2_r648_000401,accepted,accepted,1
r646_c00013_00624,w2_r648_000402,weak,failed,1
r646_c00008_00352,w2_r648_000403,weak,accepted,1
r646_c00008_00027,w2_r648_000404,boundary_terminal,rejected,1
r646_c00003_00110,w2_r648_000405,boundary_terminal,boundary_terminal,1
r646_c00003_00181,w2_r648_000406,failed,failed,1
r646_c00003_00412,w2_r648_000407,failed,failed,1
r646_c00003_00927,w2_r648_000408,rejected,rejected,1
r646_c00028_00919,w2_r648_000409,rejected,failed,1
r646_c00003_00343,w2_r648_000410,accepted,accepted,1
r646_c00003_00530,w2_r648_000411,accepted,failed,1
r646_c00013_00643,w2_r648_000412,weak,failed,1
r646_c00008_00394,w2_r648_000413,weak,failed,1
r646_c00008_00064,w2_r648_000414,boundary_terminal,rejected,1
r646_c00003_00111,w2_r648_000415,boundary_terminal,boundary_terminal,1
r646_c00003_00184,w2_r648_000416,failed,failed,1
r646_c00003_00414,w2_r648_000417,failed,failed,1
r646_c00003_00966,w2_r648_000418,rejected,rejected,1
r646_c00033_00118,w2_r648_000419,rejected,rejected,1
r646_c00003_00407,w2_r648_000420,accepted,accepted,1
r646_c00003_00531,w2_r648_000421,accepted,boundary_terminal,1
r646_c00013_00766,w2_r648_000422,weak,failed,1
r646_c00008_00532,w2_r648_000423,weak,accepted,1
r646_c00008_00065,w2_r648_000424,boundary_terminal,rejected,1
r646_c00003_00114,w2_r648_000425,boundary_terminal,boundary_terminal,1
r646_c00003_00185,w2_r648_000426,failed,failed,1
r646_c00003_00418,w2_r648_000427,failed,failed,1
r646_c00003_00967,w2_r648_000428,rejected,rejected,1
r646_c00033_00558,w2_r648_000429,rejected,rejected,1
r646_c00003_00444,w2_r648_000430,accepted,accepted,1
r646_c00003_00631,w2_r648_000431,accepted,accepted,1
r646_c00013_00786,w2_r648_000432,weak,failed,1
r646_c00008_00628,w2_r648_000433,weak,failed,1
r646_c00008_00066,w2_r648_000434,boundary_terminal,failed,1
r646_c00003_00115,w2_r648_000435,boundary_terminal,boundary_terminal,1
r646_c00003_00200,w2_r648_000436,failed,failed,1
r646_c00003_00419,w2_r648_000437,failed,boundary_terminal,1
r646_c00008_00025,w2_r648_000438,rejected,rejected,1
r646_c00033_00559,w2_r648_000439,rejected,rejected,1
r646_c00003_00445,w2_r648_000440,accepted,accepted,1
r646_c00003_00633,w2_r648_000441,accepted,accepted,1
r646_c00013_00787,w2_r648_000442,weak,failed,1
r646_c00008_00631,w2_r648_000443,weak,weak,1
r646_c00008_00067,w2_r648_000444,boundary_terminal,boundary_terminal,1
r646_c00003_00116,w2_r648_000445,boundary_terminal,boundary_terminal,1
r646_c00003_00201,w2_r648_000446,failed,failed,1
r646_c00003_00438,w2_r648_000447,failed,failed,1
r646_c00008_00044,w2_r648_000448,rejected,rejected,1
r646_c00033_00638,w2_r648_000449,rejected,failed,1
r646_c00003_00482,w2_r648_000450,accepted,accepted,1
r646_c00003_00637,w2_r648_000451,accepted,failed,1
r646_c00013_00843,w2_r648_000452,weak,boundary_terminal,1
r646_c00008_00652,w2_r648_000453,weak,failed,1
r646_c00008_00086,w2_r648_000454,boundary_terminal,boundary_terminal,1
r646_c00003_00118,w2_r648_000455,boundary_terminal,boundary_terminal,1
r646_c00003_00205,w2_r648_000456,failed,accepted,1
r646_c00003_00439,w2_r648_000457,failed,failed,1
r646_c00008_00045,w2_r648_000458,rejected,rejected,1
r646_c00033_00818,w2_r648_000459,rejected,rejected,1
r646_c00003_00483,w2_r648_000460,accepted,accepted,1
r646_c00003_00648,w2_r648_000461,accepted,failed,1
r646_c00013_00860,w2_r648_000462,weak,failed,1
r646_c00008_00671,w2_r648_000463,weak,failed,1
r646_c00008_00104,w2_r648_000464,boundary_terminal,boundary_terminal,1
r646_c00003_00119,w2_r648_000465,boundary_terminal,boundary_terminal,1
