audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:super_light_cluster",26,26,0,0,0,0.0,0.0,0.0,0.0,0,0.047506570886222,0.7223462775133954,5.327587952486309e-05,9,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:balanced_cluster",25,25,0,0,0,0.0,0.0,0.0,0.0,0,0.043174828826928524,0.677836352867352,2.0734967134429838e-05,10,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:heavy_cluster",26,26,0,0,0,0.0,0.0,0.0,0.0,0,0.056177959049815825,0.6829343872636323,8.078920778781635e-05,11,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:light_cluster",25,25,0,0,0,0.0,0.0,0.0,0.0,0,0.03720091138234201,0.6897082040127468,2.2206678554156888e-05,9,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:no_cluster_no_merge",26,26,0,0,0,0.0,0.0,0.0,0.0,0,0.05580194493989594,0.681075333102846,4.3379179814048104e-05,13,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:super_light_cluster",26,26,0,0,0,0.0,0.0,0.0,0.0,0,0.03730467684995449,0.7244304968923903,1.6962546642793583e-05,9,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:balanced_cluster",25,25,0,0,0,0.0,0.0,0.0,0.0,0,0.050529493935510414,0.6760155092138391,2.5572368933005543e-05,11,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:heavy_cluster",26,26,0,0,0,0.0,0.0,0.0,0.0,0,0.04982014900177171,0.6792998240324727,2.5914343311726835e-05,11,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:light_cluster",25,25,0,0,0,0.0,0.0,0.0,0.0,0,0.0430058533082689,0.6851553103875342,2.0647632481454994e-05,9,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:no_cluster_no_merge",26,26,1,1,0,2.9676588441638463e-05,0.0007715912994826,9.009062553157693e-06,0.12669545149901354,1,0.05584972801045622,0.6775872929090904,2.5137324552952093e-05,13,2.0203925445034617e-05,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:super_light_cluster",26,26,0,0,0,0.0,0.0,0.0,0.0,0,0.04030219482497873,0.7219338738456925,1.854630915927955e-05,9,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
