group,parameter_name,parameter_symbol,quantity_name,quantity_symbol,difference_scheme,step_size,derivative_estimate,absolute_error_estimate,relative_error_estimate,signal_amplitude,roundoff_floor,roundoff_limited,selected_for_final,selected_step_size,selection_reason,reeval_path,notes
geometry,wing_chord_m,c,turn_radius_ach_m,R_ach,central,0.0001646396706065065,-1.1274882234245078e-09,6.175560496484236e-09,1.2233502538071066,3.7125857943465235e-13,1.5863065962300183e-06,True,False,0.000329279341213013,larger_step_selected_both_steps_roundoff_fragile,full_trim,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.
geometry,wing_chord_m,c,turn_footprint_margin_m,Delta_footprint,central,0.000329279341213013,-5.048072273059728e-09,0.0,0.0,3.3244518249375687e-12,2.3088578569671566e-07,True,True,0.000329279341213013,larger_step_selected_both_steps_roundoff_fragile,full_trim,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.
geometry,wing_chord_m,c,turn_footprint_margin_m,Delta_footprint,central,0.0001646396706065065,1.1274882234245078e-09,6.175560496484236e-09,1.2233502538071066,3.7125857943465235e-13,2.3088578569663625e-07,True,False,0.000329279341213013,larger_step_selected_both_steps_roundoff_fragile,full_trim,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.
geometry,wing_chord_m,c,agility_lateral_margin_mps2,Delta_a_lat,central,0.000329279341213013,-1.7818629674503106e-08,0.0,0.0,1.1734613281078055e-11,9.53753476687515e-07,True,True,0.000329279341213013,larger_step_selected_both_steps_roundoff_fragile,full_trim,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.
geometry,wing_chord_m,c,agility_lateral_margin_mps2,Delta_a_lat,central,0.0001646396706065065,3.978576864954902e-09,2.179720653945801e-08,1.2232818649712383,1.3100631690576847e-12,9.537534766872343e-07,True,False,0.000329279341213013,larger_step_selected_both_steps_roundoff_fragile,full_trim,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.
geometry,tail_arm_m,l_t,objective,J,forward,0.0007999999889605698,0.0664737805091932,7.242746502572617e-06,0.00010896831317484625,5.31790236735219e-05,1.5943052769276415e-06,False,False,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,objective,J,forward,0.0003999999944802849,0.06646653776269063,0.0,0.0,2.65866147381999e-05,1.5942854640390376e-06,False,True,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,sink_rate_mps,V_sink,forward,0.0007999999889605698,0.028921886688602755,8.540374358989578e-06,0.00029537827500728545,2.3137509031601056e-05,4.953015575208043e-07,False,False,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,sink_rate_mps,V_sink,forward,0.0003999999944802849,0.028913346314243766,0.0,0.0,1.1565338366104072e-05,4.952929355817819e-07,False,True,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,mass_total_kg,m,forward,0.0007999999889605698,0.014250264276696834,1.734723475976807e-14,1.2173272314785604e-12,1.140021126404267e-05,8.797905071262494e-08,False,False,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
