group,parameter_name,parameter_symbol,baseline_parameter_value,step_used,quantity_name,quantity_symbol,baseline_quantity_value,sensitivity_raw,sensitivity_normalized,difference_scheme,fd_stability_abs,fd_stability_rel,fd_stable,unit_raw,step_selection_reason,notes,reeval_path
geometry,vtail_height_m,h_v,0.1187676990756998,0.0002375353981513996,agility_lateral_margin_mps2,Delta_a_lat,-1.2801062471306155,-1.8321792416626264e-10,-1.6998879062913243e-11,central,1.3460908714256032e-10,0.1346090871425603,False,m/s^2/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,full_trim
requirement,bank_entry_time_s,t_be,0.2,0.0004,objective,J,2.139787141052715,0.0,0.0,central,0.0,0.0,False,1/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,sink_rate_mps,V_sink,0.6647593597440051,0.0,0.0,central,0.0,0.0,False,m/s/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,mass_total_kg,m,0.11807208277118897,0.0,0.0,central,0.0,0.0,False,kg/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,roll_tau_s,tau_roll,0.0224076468471464,0.0,0.0,central,0.0,0.0,False,s/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,static_margin,SM,8.839820823022325,0.0,0.0,central,0.0,0.0,False,%MAC/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,nom_cl_margin_to_cap,Delta_CL,0.8484469405208732,0.0,0.0,central,0.0,0.0,False,1/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,nom_util_e,u_e,0.0014777075007547573,0.0,0.0,central,0.0,0.0,False,1/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,nom_lateral_residual,r_lat,2.4430072921502608e-17,0.0,0.0,central,0.0,0.0,False,1/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,static_margin_min_margin,Delta_SM_min,3.8398208230223254,0.0,0.0,central,0.0,0.0,False,%MAC/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
