session_label,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,termination_reason,launch_speed_m_s,duration_s,x0_m,y0_m,z0_m,x_end_m,y_end_m,z_end_m,dx_m,dy_m,dz_m,altitude_loss_m,horizontal_distance_m,glide_ratio_x_over_altloss,glide_ratio_horizontal_over_altloss,sink_rate_m_s,mean_speed_m_s,mean_forward_speed_m_s,max_abs_phi_deg,max_abs_theta_deg,max_abs_psi_deg,max_abs_p_rad_s,max_abs_q_rad_s,max_abs_r_rad_s,mean_rate_confidence,min_rate_confidence,spike_downweighted_fraction,body_rate_limited_fraction,sample_count
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_011,neutral,0,0,0,exit_gate_floor,5.543712644,1.497133,1.289711271,2.137684572,1.617469758,6.426357407,3.433914814,0.3970576639,5.136646136,1.296230242,-1.220412094,1.220412094,5.297673675,4.20894398,4.340889197,0.8151661168,3.829722497,3.068831571,28.45705215,24.64371192,23.59268388,1.368182787,1.470781849,1.111803288,0.942173913,0.5,0.01739130435,0,230
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_012,neutral,0,0,0,exit_gate_floor,5.284341681,1.4243016,1.297164266,2.062861472,1.695168494,4.393916526,3.041089501,0.389947909,3.09675226,0.9782280291,-1.305220585,1.305220585,3.247584431,2.372589198,2.488149873,0.9163933991,3.017755778,1.781890797,13.82689635,39.17954682,31.98376824,0.9029919255,2.026448791,0.7718457073,0.9400881057,0.5,0.02202643172,0.004405286344,227
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_013,neutral,0,0,0,exit_gate_floor,5.498303201,1.4785759,1.284433828,2.022665121,1.68073574,5.327935859,1.574932484,0.3909209357,4.043502031,-0.4477326371,-1.289814805,1.289814805,4.068214988,3.134947759,3.15410784,0.8723358771,3.360093643,2.596539605,40.22259236,30.26114126,12.1373305,2.475313033,1.383837791,1.096743314,0.9254201681,0.5,0.05462184874,0.03781512605,238
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_014,neutral,0,0,0,exit_gate_floor,6.263175422,1.6547334,1.279150577,2.025478087,1.599978968,6.114386348,2.322287279,0.3742602034,4.83523577,0.2968091925,-1.225718765,1.225718765,4.844336967,3.944816633,3.952241825,0.740734891,3.474513446,2.859752047,18.06957107,33.38435621,14.48619354,1.198759693,1.628125873,0.6102396571,0.9172413793,0.5,0.07279693487,0.02298850575,261
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_015,neutral,0,0,0,exit_gate_floor,5.702525917,1.4588349,1.27907402,2.112197877,1.570081474,5.623290254,2.114424284,0.3878465478,4.344216234,0.002226406245,-1.182234926,1.182234926,4.344216804,3.674579509,3.674579992,0.8103966569,3.446095738,3.005267067,17.86763081,31.03815733,13.70642713,2.30761788,1.517833934,0.5320839898,0.9340707965,0.5,0.03539823009,0.01769911504,226
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_016,neutral,0,0,0,exit_gate_floor,5.810431603,1.4625234,1.265291351,2.163065367,1.636062493,6.016507279,3.595568139,0.390434416,4.751215929,1.432502772,-1.245628077,1.245628077,4.962470856,3.814313451,3.983910565,0.8516978783,3.848384429,2.859744142,26.30093263,32.13704254,26.89795391,1.74516231,2.013152208,1.628535073,0.9422746781,0.5,0.01716738197,0,233
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_017,neutral,0,0,0,exit_gate_floor,4.278651236,1.2308217,1.242954097,2.140464519,1.767765775,3.821516539,3.698243022,0.3903901226,2.578562442,1.557778503,-1.377375652,1.377375652,3.012583299,1.872083653,2.187190759,1.11907001,3.00671827,0.8293830618,10.2850133,31.85647568,57.26545817,0.3301936848,1.829914532,1.210196687,0.95,0.95,0,0,191
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_018,neutral,0,0,0,exit_gate_floor,5.12650773,1.3246412,1.270658215,2.157144457,1.5246064,5.688318759,3.316263755,0.3900421293,4.417660544,1.159119298,-1.134564271,1.134564271,4.567196321,3.893706735,4.025506917,0.8565068573,3.709681346,2.868487475,19.84959832,23.57444495,29.20663312,1.14545343,1.419608511,0.7344185682,0.9437209302,0.5,0.01395348837,0,215
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_019,neutral,0,0,0,exit_gate_floor,5.909486543,1.486635,1.335766158,2.040251753,1.647334035,6.031497849,2.13326131,0.3883602523,4.695731691,0.09300955706,-1.258973783,1.258973783,4.696652732,3.729808956,3.730540538,0.8468613902,3.449664027,2.961765453,33.45891055,32.07340192,10.04773682,1.453034312,1.668015261,1.232777529,0.9401315789,0.5,0.02192982456,0.004385964912,228
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_020,neutral,0,0,0,exit_gate_floor,5.824020663,1.4801292,1.283103943,2.138499254,1.571275891,6.054290131,2.347460029,0.3966070514,4.771186188,0.2089607746,-1.17466884,1.17466884,4.775759861,4.061728741,4.065622326,0.7936258807,3.653817391,3.238850727,13.16312566,29.59148307,10.79833952,1.537984327,1.611993918,0.3849470236,0.9424686192,0.5,0.01673640167,0.004184100418,239
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_021,neutral,0,0,0,exit_gate_floor,6.24371375,1.5835711,1.290970936,2.063036854,1.520728462,6.506641816,2.055865858,0.3836549376,5.21567088,-0.007170996021,-1.137073525,1.137073525,5.21567581,4.586924915,4.58692925,0.7180438723,3.766710703,3.270649504,24.18288648,31.19415969,14.56314809,2.898048778,1.67019818,0.676605142,0.9379770992,0.5,0.02671755725,0.003816793893,262
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_022,neutral,0,0,0,exit_gate_floor,5.762682732,1.4493969,1.419269163,2.138084663,1.559203349,6.244855167,2.669454797,0.3981257032,4.825586004,0.5313701347,-1.161077645,1.161077645,4.854753804,4.156126873,4.181248191,0.8010763963,3.515014734,2.987920604,14.52931141,27.04440882,15.28369613,1.931181458,1.53471281,0.4376326806,0.9217277487,0.5,0.06282722513,0,191
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_023,neutral,0,0,0,exit_gate_floor,5.640478633,1.4736096,1.294554189,2.157051042,1.620440392,5.401309687,2.465155471,0.397418818,4.106755499,0.3081044287,-1.223021574,1.223021574,4.118296865,3.357876579,3.367313343,0.8299495159,3.341181042,2.807217925,6.138638615,32.78084491,8.921191915,0.9965780263,1.805326732,0.4271674037,0.922107438,0.5,0.06198347107,0.04132231405,242
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_024,neutral,0,0,0,exit_gate_front_wall,5.875191481,1.4222646,1.313169932,2.035619694,1.572355932,6.602847967,2.637144206,0.7280549488,5.289678036,0.6015245117,-0.8443009829,0.8443009829,5.323769854,6.26515679,6.30553554,0.5936314402,3.977491954,3.497160398,26.12071445,27.12744798,17.22208487,1.745048951,1.520916184,0.773710355,0.9397727273,0.5,0.02272727273,0,220
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_025,neutral,0,0,0,exit_gate_floor,5.556713637,1.4276458,1.286708037,2.040137192,1.649452152,4.604510367,2.261054089,0.3893027702,3.31780233,0.2209168965,-1.260149381,1.260149381,3.325149106,2.632864309,2.638694392,0.8826764884,3.115559241,2.129567481,16.25569809,35.9161723,12.73877253,1.430730229,2.254266151,0.4970622003,0.95,0.95,0,0,216
