iteration,pass_index,group,candidate_scale,selected,objective,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,final_theta_mae_deg,final_phi_mae_deg,final_psi_mae_deg,group_scales_json
6,2,attached_lateral,1.25,True,38.43155055,0.3389438604,1.142427663,0.370783955,0.3315829839,48.50289534,56.65397253,60.6750549,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
7,2,post_stall_longitudinal,-0.25,False,44.36058334,0.7025356788,1.076303019,0.5397036283,0.3653084238,51.19495786,61.10473187,58.01995463,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": -0.25, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
7,2,post_stall_longitudinal,0,False,45.3695767,0.7461736958,1.10142196,0.5232730061,0.3606542414,52.63131852,61.64529426,63.78224682,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
7,2,post_stall_longitudinal,0.25,False,38.46400466,0.3388309493,1.142132726,0.370494273,0.3312970179,48.97556519,56.36452751,60.50552971,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.25, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
7,2,post_stall_longitudinal,0.5,True,38.43155055,0.3389438604,1.142427663,0.370783955,0.3315829839,48.50289534,56.65397253,60.6750549,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
7,2,post_stall_longitudinal,0.75,False,38.44053085,0.3390549313,1.1427893,0.3712091278,0.3319869369,48.28649795,56.96791025,60.86276932,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.75, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
7,2,post_stall_longitudinal,1,False,38.47279852,0.3391594035,1.143162943,0.3717549436,0.332497253,48.16117747,57.31000876,61.06238212,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 1.0, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
7,2,post_stall_longitudinal,1.25,False,38.5767722,0.3391217005,1.144140625,0.3729609473,0.3335827117,48.29520145,57.58143627,61.25811158,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 1.25, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
8,2,post_stall_lateral,-0.25,False,39.35270683,0.3450263423,1.191494446,0.372283882,0.3329731317,49.84718238,58.06898513,61.57508818,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": -0.25, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
8,2,post_stall_lateral,0,False,39.00357506,0.3432224865,1.176507655,0.3720325451,0.3327384815,49.1306447,57.46247989,61.32567553,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
