candidate_id,baseline_model_id,term,regime_family,split,fit_sample_count,fit_used_sample_count,fit_coefficient,fit_sign,parameter_keys_json,baseline_dy_mae_m,candidate_dy_mae_m,delta_dy_mae_m,baseline_roll_mae_deg,candidate_roll_mae_deg,delta_roll_mae_deg,baseline_yaw_mae_deg,candidate_yaw_mae_deg,delta_yaw_mae_deg,baseline_dx_mae_m,candidate_dx_mae_m,delta_dx_mae_m,baseline_altitude_loss_mae_m,candidate_altitude_loss_mae_m,delta_altitude_loss_mae_m,baseline_sink_mae_m_s,candidate_sink_mae_m_s,delta_sink_mae_m_s,baseline_pitch_mae_deg,candidate_pitch_mae_deg,delta_pitch_mae_deg,accepted,acceptance_reason
post_stall_Cl_p,primary_longitudinal,Cl_p,post_stall,heldout,891,891,0.5565415357,positive,"[""post_stall_roll_moment_p_hat_rbf_20_coeff""]",1.612228602,1.491456682,-0.1207719194,28.15740301,34.2290559,6.071652886,27.09823695,27.12135051,0.02311355926,0.4075358813,0.4997495517,0.09221367041,0.3434580162,0.4574270414,0.1139690251,0.3088797992,0.4019697152,0.09308991607,5.437063205,10.24054727,4.803484063,False,rejected_lateral_metrics_not_all_improved
attached_Cl_r,primary_longitudinal,Cl_r,attached,train,2311,2297,-0.5865576288,negative,"[""roll_moment_r_hat_coeff""]",1.5767532,0.895829872,-0.6809233281,26.02720489,14.08007578,-11.94712911,23.51136807,10.46759732,-13.04377076,0.630121907,0.7796469347,0.1495250277,0.6965684563,0.6386245496,-0.05794390678,0.447312174,0.420509172,-0.02680300198,5.822187899,7.65689193,1.834704031,,
attached_Cl_r,primary_longitudinal,Cl_r,attached,heldout,2311,2297,-0.5865576288,negative,"[""roll_moment_r_hat_coeff""]",1.612228602,0.7599924948,-0.8522361069,28.15740301,14.40489867,-13.75250434,27.09823695,9.567553832,-17.53068312,0.4075358813,0.490093342,0.0825574607,0.3434580162,0.2679858691,-0.07547214711,0.3088797992,0.2476776703,-0.06120212882,5.437063205,9.168189438,3.731126233,False,rejected_longitudinal_metrics_degraded
transition_Cl_r,primary_longitudinal,Cl_r,transition,train,5180,5174,-0.76876089,negative,"[""transition_roll_moment_r_hat_coeff""]",1.5767532,1.214877022,-0.3618761782,26.02720489,13.36288144,-12.66432345,23.51136807,14.61473572,-8.896632354,0.630121907,0.6993075903,0.06918568331,0.6965684563,0.6873223928,-0.009246063532,0.447312174,0.4385853819,-0.008726792099,5.822187899,8.092732054,2.270544156,,
transition_Cl_r,primary_longitudinal,Cl_r,transition,heldout,5180,5174,-0.76876089,negative,"[""transition_roll_moment_r_hat_coeff""]",1.612228602,1.142984155,-0.4692444466,28.15740301,9.538213261,-18.61918975,27.09823695,16.00409549,-11.09414146,0.4075358813,0.4378383421,0.03030246081,0.3434580162,0.2610419298,-0.08241608647,0.3088797992,0.2407013151,-0.06817848406,5.437063205,8.73738929,3.300326085,False,rejected_longitudinal_metrics_degraded
post_stall_Cl_r,primary_longitudinal,Cl_r,post_stall,train,891,891,-0.7583725585,negative,"[""post_stall_roll_moment_r_hat_rbf_20_coeff""]",1.5767532,1.297523075,-0.2792301249,26.02720489,13.7286183,-12.29858659,23.51136807,14.89873423,-8.612633841,0.630121907,0.6877617201,0.05763981318,0.6965684563,0.669500801,-0.02706765533,0.447312174,0.4231257517,-0.02418642228,5.822187899,6.483751687,0.661563788,,
post_stall_Cl_r,primary_longitudinal,Cl_r,post_stall,heldout,891,891,-0.7583725585,negative,"[""post_stall_roll_moment_r_hat_rbf_20_coeff""]",1.612228602,1.227589374,-0.3846392274,28.15740301,14.00149521,-14.1559078,27.09823695,16.24626531,-10.85197164,0.4075358813,0.4138985167,0.006362635413,0.3434580162,0.2380126797,-0.1054453366,0.3088797992,0.2215229633,-0.08735683584,5.437063205,6.309403151,0.8723399456,False,rejected_longitudinal_metrics_degraded
attached_Cn_beta,primary_longitudinal,Cn_beta,attached,train,2311,2311,-0.04434441041,negative,"[""yaw_moment_beta_coeff""]",1.5767532,1.078074838,-0.4986783625,26.02720489,17.83347873,-8.193726153,23.51136807,11.73796529,-11.77340279,0.630121907,0.6861823993,0.05606049232,0.6965684563,0.6098992899,-0.08666916642,0.447312174,0.3871779558,-0.06013421821,5.822187899,6.587597207,0.7654093079,,
attached_Cn_beta,primary_longitudinal,Cn_beta,attached,heldout,2311,2311,-0.04434441041,negative,"[""yaw_moment_beta_coeff""]",1.612228602,0.9562506133,-0.6559779884,28.15740301,16.07010115,-12.08730186,27.09823695,11.5008092,-15.59742774,0.4075358813,0.4224286591,0.01489277781,0.3434580162,0.1893476751,-0.1541103412,0.3088797992,0.1757435165,-0.1331362826,5.437063205,5.188440907,-0.2486222979,True,heldout_lateral_improved_with_longitudinal_tolerance
transition_Cn_beta,primary_longitudinal,Cn_beta,transition,train,5180,5173,-0.03776790749,negative,"[""transition_yaw_moment_beta_coeff""]",1.5767532,1.503841274,-0.07291192589,26.02720489,20.59507126,-5.432133628,23.51136807,19.23831197,-4.273056102,0.630121907,0.6531902773,0.02306837033,0.6965684563,0.6869072603,-0.009661196058,0.447312174,0.4389135268,-0.008398647199,5.822187899,5.604181211,-0.2180066882,,
