ladder,environment_block_id,library_size_case_id,launch_count,wall_rate,compute_rate,final_score,path_score,nonfinite_path_rate,inflight_decision_count,p99_compute_s
L4,r11_l4_local_fan_position_uncertainty,super_light_cluster,80,0.7,0.6650246305418719,81.43894669682093,11.585172330575869,0.0,812,0.5822609879766242
L4,r11_l4_local_fan_position_uncertainty,no_cluster_no_merge,80,0.7,0.2928921568627451,84.37757748315366,11.581599470047628,0.05,816,1.1153563249885343
L5,r11_l5_active_fan_count_uncertainty,heavy_cluster,80,0.55,0.9854497354497355,50.964458230820995,12.497981613133815,0.0,756,0.10688050499302339
L5,r11_l5_active_fan_count_uncertainty,balanced_cluster,80,0.65,0.9140211640211641,67.30822877409463,12.706615917339622,0.05,756,0.18486926998302816
L5,r11_l5_active_fan_count_uncertainty,light_cluster,80,0.65,0.7513157894736842,69.24171133615671,12.704876834557838,0.0,760,0.3308287189994006
L5,r11_l5_active_fan_count_uncertainty,super_light_cluster,80,0.65,0.6793692509855453,67.27898884487969,12.88877787112312,0.05,761,0.5869195199979003
L5,r11_l5_active_fan_count_uncertainty,no_cluster_no_merge,80,0.65,0.25394736842105264,69.49370983053845,12.899617148305676,0.0875,760,1.1498710109893
L6,r11_l6_environment_only_full_uncertainty,heavy_cluster,80,0.55,0.9868421052631579,50.538674197022864,11.06975995081611,0.0,760,0.112388782002381
L6,r11_l6_environment_only_full_uncertainty,balanced_cluster,80,0.55,0.9070680628272252,54.41960712332339,11.412607005062963,0.05,764,0.18914369298465317
L6,r11_l6_environment_only_full_uncertainty,light_cluster,80,0.6,0.7490196078431373,60.20850509793655,11.68544922759045,0.0625,765,0.3016942520020529
L6,r11_l6_environment_only_full_uncertainty,super_light_cluster,80,0.5,0.6789473684210526,40.37060456479087,11.655613341622223,0.1,760,0.6223692439941806
L6,r11_l6_environment_only_full_uncertainty,no_cluster_no_merge,80,0.55,0.2765957446808511,54.33136370281119,11.318597207711449,0.05,752,1.174259386009071
L7,r11_l7_full_domain_randomisation_arena_wide,heavy_cluster,80,0.4,0.9986338797814208,18.712639224719528,11.379485322880928,0.1,732,0.0812869410018902
L7,r11_l7_full_domain_randomisation_arena_wide,balanced_cluster,80,0.45,0.9157458563535912,26.779853757344256,10.588587111647799,0.05,724,0.1530174999788868
L7,r11_l7_full_domain_randomisation_arena_wide,light_cluster,80,0.45,0.7377049180327869,24.768911331258906,10.76693794483329,0.1,732,0.29435942699608736
L7,r11_l7_full_domain_randomisation_arena_wide,super_light_cluster,80,0.45,0.6537931034482759,27.483386243820167,10.829913520489354,0.0625,725,0.6277450639917516
L7,r11_l7_full_domain_randomisation_arena_wide,no_cluster_no_merge,80,0.45,0.3586206896551724,25.478756044159432,10.853707328030943,0.1125,725,1.0370945439918429
