run_index,objective_weight_w_sink,objective_weight_w_mass,objective_weight_w_trim_effort,objective_weight_w_wing_deflection,objective_weight_w_htail_deflection,objective_weight_w_roll_tau,objective_scale_sink_mps,objective_scale_mass_kg,objective_scale_trim_deg,objective_scale_roll_tau_s,success,candidate_id,feasible_rate,sink_mean,sink_cvar_20,objective,wing_span_m,wing_chord_m,tail_arm_m,htail_span_m,vtail_height_m,sink_rate_mps,mass_total_kg,objective_term_spread_ratio,rank_feasible_rate,rank_sink_cvar_20,rank_wing_span_m,trade_label,is_best,J_sink,J_mass,J_trim,J_wing_deflection,J_htail_deflection,J_roll_tau,J_total,log10_objective_weight_w_sink,log10_objective_weight_w_mass,log10_objective_weight_w_trim_effort,log10_objective_weight_w_wing_deflection,log10_objective_weight_w_htail_deflection,log10_objective_weight_w_roll_tau
11,1.0,88.01618808774326,62.3765818947015,0.8302283415310862,1.836692802030053,32.82145030831549,1.0,0.1,10.0,0.45,True,1,0.6666666666666666,1.4611813937862062,1.660199156925496,103.46233791004477,0.5796126129685245,0.1081686614783661,0.3999999944687783,0.22643553063733304,0.0999999983215561,1.069778639144439,0.10724895946569978,288.39076301879214,-0.6666666666666666,1.660199156925496,0.5796126129685245,fragile,False,1.069778639144439,94.39644588547783,0.3273213222828734,0.6958830523231232,4.795961525876194,2.176947484940297,103.46233791004477,0.0,1.9445625556799242,1.7950215726503376,-0.08080244518001445,0.26403652400327227,1.5161577676671714
12,1.0,0.12694200327351235,0.01006386790887713,0.1798815067642112,0.055979382812861,19.133594207144743,1.0,0.1,10.0,0.45,True,1,1.0,0.8915449253516954,0.901852863419313,1.9503248930095007,0.7615699660670516,0.24610175492465802,0.3999999959095468,0.49999999867910655,0.1452073085967799,0.7122591668720399,0.14502972811857523,31340.285448115337,-1.0,0.901852863419313,0.7615699660670516,robust,False,0.7122591668720399,0.18410364221584782,2.8078460438271472e-05,0.11370856212163095,0.06023847826050216,0.8799869650790416,1.9503248930095007,0.0,-0.8963946523607476,-1.9972350720997447,-0.7450134832530741,-1.2519718940521782,1.281796559034639
13,1.0,2.74903599965513,0.485660561432181,0.10891149985225367,2.1768729008815333,0.057331210338967195,1.0,0.1,10.0,0.45,True,1,1.0,0.891544924340633,0.9018528623372845,7.114513167192107,0.7615699663422428,0.24610175717327934,0.3999999945372192,0.5000000046698324,0.14520730274033763,0.7122591663711774,0.14502972858215663,2942.36300087061,-1.0,0.9018528623372845,0.7615699663422428,robust,False,0.7122591663711774,3.986919448925611,0.0013550059757228897,0.06884626591829693,2.342496518869986,0.002636761131312601,7.114513167192107,0.0,0.4391804271294646,-0.3136671624273255,-0.9629262611193901,0.33783307302033894,-1.2416088895878552
14,1.0,0.44857807391422755,5.112700669023979,25.13734845172522,0.7665074838579709,0.9280640060000213,1.0,0.1,10.0,0.45,True,1,1.0,0.8636402548011889,0.8817520129301599,17.989932211736868,0.7615699665295586,0.17870189820726312,0.39999999447530193,0.37861512207461867,0.1237358885687582,0.6850478740707622,0.12938100507602485,8871.355117307408,-1.0,0.8817520129301599,0.7615699665295586,robust,False,0.6850478740707622,0.5803748205809012,0.001754505433701142,15.56484075760828,1.1085020743212006,0.04941217972202132,17.989932211736868,0.0,-0.3481619581511328,0.7086503670280164,1.4003194653341717,-0.11548360051951699,-0.03242207066256111
15,1.0,5.979443423452179,2.4143826247312306,0.5057324072988556,3.837698070070781,8.760339571966979,1.0,0.1,10.0,0.45,True,1,1.0,0.8907663680074034,0.9011267280433537,14.243082173312475,0.7615699665251913,0.24482363662707238,0.3999999945017584,0.4976706230482763,0.1448297466126172,0.7115954019359971,0.14472314806318484,1306.6404481946154,-1.0,0.9011267280433537,0.7615699665251913,robust,False,0.7115954019359971,8.653638759077065,0.0066228156116197034,0.3195600059560447,4.14822321083956,0.40344197989218744,14.243082173312475,0.0,0.7766607610163558,0.38280609701298385,-0.2960792159143879,0.5840708037344662,0.9425209407997248
16,1.0,0.13143056886325574,0.2555999695376994,0.10744727264742689,78.74844877016187,6.601942877321682,1.0,0.1,10.0,0.45,True,1,1.0,0.8915449246055984,0.9018528629029847,86.01502964483241,0.7615699665236677,0.24610175730386954,0.3999999945015882,0.5000000049999355,0.14520730191375303,0.7122591660769316,0.14502972860860894,118827.98366958431,-1.0,0.9018528629029847,0.7615699665236677,robust,False,0.7122591660769316,0.19061339733113067,0.0007131307451672894,0.06792068342864623,84.73988854101715,0.30363472623338744,86.01502964483241,0.0,-0.8813036123666507,-0.5924392022726743,-0.968804603804045,1.8962420075766326,0.8196717623191474
17,1.0,89.20935767911,0.01616092014366916,7.429333989108204,0.21397410437925243,0.42107227075989917,1.0,0.1,10.0,0.45,True,1,0.5,1.4855939405769163,1.6168284854849344,102.86396966940976,0.5993011404934958,0.09999999748967475,0.3999999944688761,0.21666295205759692,0.09999999832139907,1.0833333338128082,0.10667932182852297,8730633.818556977,-0.5,1.6168284854849344,0.5993011404934958,fragile,False,1.0833333338128082,95.16793777965592,1.0900461496549802e-05,5.969413146114141,0.5876166601252253,0.05565784924019239,102.86396966940976,0.0,1.9504104123945756,-1.791533915718512,0.8709498826946742,-0.6696387827521937,-0.3756433576119891
18,1.0,21.192957060738003,0.08766316016762059,0.22828104690665738,0.8441271699501433,0.4349652711591156,1.0,0.1,10.0,0.45,True,1,0.8333333333333334,1.188768350796763,1.2795828092055692,27.816719468449868,0.5625981049370035,0.18726820718888904,0.3999999945013625,0.3140857160635177,0.09999999851226117,1.0074954005631322,0.11826338630564542,20819.760377589108,-0.8333333333333334,1.2795828092055692,0.5625981049370035,fragile,False,1.0074954005631322,25.06350867833014,0.001203832715832268,0.20038301284953658,1.5128936861410447,0.031234857850184542,27.816719468449868,0.0,1.326191558200276,-1.0571828775262118,-0.6415301444254196,-0.07359212085397715,-0.3615454169443493
19,1.0,5.621927370577294,0.08298386460878653,10.117167470430706,30.026462469284983,12.463547298549672,1.0,0.1,10.0,0.45,True,1,1.0,0.891544924353422,0.9018528623306226,48.145519485103215,0.761569966496776,0.2461017572172343,0.39999999451019497,0.5000000049935205,0.14520730305450275,0.7122591663246379,0.14502972861843383,139555.8443203224,-1.0,0.9018528623306226,0.761569966496776,robust,False,0.7122591663246379,8.153466008673702,0.00023152720107033465,6.395368742852287,32.3109740284916,0.5732200115599203,48.145519485103215,0.0,0.7498852306771044,-1.0810063436792734,1.00505893897116,1.4775041693429718,1.0956416661538788
20,1.0,0.07969296261459534,68.02461780006593,11.62825144079468,0.38799078052718766,1.467194524883676,1.0,0.1,10.0,0.45,True,1,1.0,0.8635440516410262,0.8814605379145668,8.641806027215303,0.761569966466097,0.18151513762007027,0.39999999562189026,0.3740471499160427,0.12470605480046662,0.684982187775415,0.12971838442162564,2157.440307614828,-1.0,0.8814605379145668,0.761569966466097,robust,False,0.684982187775415,0.10337642360138319,0.003338783392078953,7.203225868466094,0.5690445749713485,0.07783818900898211,8.641806027215303,0.0,-1.0985800278208182,1.8326661103519988,1.0655144140657984,-0.4111785940288324,0.16648769767624308
