surface_axis,alpha_regime,candidate_id,candidate_scale,active_scale,fit_split,evidence_replay_count,positive_count,negative_count,primary_metric,primary_response_mae,same_surface_attitude_mae_deg,dx_mae_m,dy_mae_m,altitude_loss_mae_m,trajectory_mae_m,closeness_to_1p0,selection_rank,selected,fit_status,claim_boundary
aileron,normal,STG_aileron_normal_s0p4,0.4,0.65,all,4,4,0,peak_p_rad_s,0.8351884742,4.982201485,0.8143426644,0.5022600949,0.7827055207,0.6997694266,0.6,13,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s0p5,0.5,0.65,all,24,14,10,peak_p_rad_s,0.5838889157,11.41482818,0.37898922,0.3370379051,0.2399884869,0.3186718707,0.5,3,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s0p55,0.55,0.65,all,24,14,10,peak_p_rad_s,0.5844705653,11.41495365,0.3791073512,0.3372318241,0.2399380284,0.3187590679,0.45,4,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s0p6,0.6,0.65,all,24,14,10,peak_p_rad_s,0.5850697709,11.41353187,0.3792132456,0.337430215,0.2399145482,0.3188526696,0.4,5,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s0p65,0.65,0.65,all,24,14,10,peak_p_rad_s,0.5857515456,11.41201023,0.3793131636,0.3376284953,0.2399112203,0.3189509598,0.35,6,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s0p7,0.7,0.65,all,24,14,10,peak_p_rad_s,0.5863393143,11.41676119,0.3794145109,0.337830811,0.2399226907,0.3190560042,0.3,7,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s0p75,0.75,0.65,all,24,14,10,peak_p_rad_s,0.5865451996,11.43512992,0.3795230162,0.3380334963,0.2399469965,0.3191678364,0.25,8,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s0p8,0.8,0.65,all,24,14,10,peak_p_rad_s,0.5867537749,11.45893997,0.3796293844,0.3382172084,0.239970556,0.3192723829,0.2,9,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s0p85,0.85,0.65,all,24,14,10,peak_p_rad_s,0.5870940373,11.49563657,0.3797621201,0.3384261449,0.2400030704,0.3193971118,0.15,10,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s0p9,0.9,0.65,all,24,14,10,peak_p_rad_s,0.5875384539,11.53875864,0.3799307101,0.338637299,0.240031858,0.319533289,0.1,11,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s0p95,0.95,0.65,all,24,14,10,peak_p_rad_s,0.5882585772,11.59253781,0.3801252752,0.3388587934,0.2400513947,0.3196784878,0.05,12,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s1,1,0.65,all,24,14,10,peak_p_rad_s,0.5892568934,11.65079747,0.3803661108,0.3391016079,0.2400677503,0.3198451563,0,13,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s0p4,0.4,0.65,all,31,12,19,peak_p_rad_s,0.7866637402,10.24804418,0.2968170653,0.6844293646,0.1897868511,0.390344427,0.6,1,True,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s0p45,0.45,0.65,all,31,12,19,peak_p_rad_s,0.7876269799,10.22549712,0.3021307418,0.6843141966,0.1896022357,0.3920157247,0.55,2,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s0p5,0.5,0.65,all,31,12,19,peak_p_rad_s,0.7908967968,10.20811448,0.3080821559,0.6842747725,0.1894113614,0.3939227633,0.5,3,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s0p55,0.55,0.65,all,31,12,19,peak_p_rad_s,0.7947975437,10.25498999,0.3146120312,0.6843123013,0.189206372,0.3960435682,0.45,4,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s0p6,0.6,0.65,all,31,12,19,peak_p_rad_s,0.8044450393,10.43894382,0.3216426712,0.6844516563,0.1891264857,0.3984069378,0.4,5,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s0p65,0.65,0.65,all,31,12,19,peak_p_rad_s,0.8142375906,10.6803138,0.3290394286,0.6846960765,0.1890202797,0.4009185949,0.35,7,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s0p7,0.7,0.65,all,31,12,19,peak_p_rad_s,0.8046991024,10.99826253,0.3366824913,0.6850406773,0.1888604822,0.4035278836,0.3,6,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s0p75,0.75,0.65,all,31,12,19,peak_p_rad_s,0.82036838,11.36922782,0.3444388648,0.6854500928,0.1886972188,0.4061953921,0.25,8,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s0p8,0.8,0.65,all,31,12,19,peak_p_rad_s,0.8388320113,11.7910246,0.3528540894,0.6859248951,0.1884724148,0.4090837998,0.2,9,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s0p85,0.85,0.65,all,31,12,19,peak_p_rad_s,0.8599713726,12.24175589,0.3615735564,0.68642789,0.1885509213,0.4121841226,0.15,10,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s0p9,0.9,0.65,all,31,12,19,peak_p_rad_s,0.8804156709,12.78401459,0.3702913121,0.6869112175,0.188873738,0.4153587558,0.1,11,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s0p95,0.95,0.65,all,31,12,19,peak_p_rad_s,0.903439379,13.40083019,0.3789943663,0.6875479551,0.1891289214,0.4185570809,0.05,12,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,post_stall,STG_aileron_post_stall_s1,1,0.65,all,31,12,19,peak_p_rad_s,0.9253129347,14.07216865,0.3876666014,0.6886058554,0.1893240371,0.421865498,0,13,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s0p4,0.4,0.7,all,8,0,8,peak_q_rad_s,0.9443424706,22.4998973,0.2641402178,0.213855344,0.5272437522,0.3350797713,0.6,13,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s0p45,0.45,0.7,all,8,0,8,peak_q_rad_s,0.9029597084,23.75872179,0.2594575982,0.2116114619,0.5564273293,0.3424987964,0.55,11,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s0p5,0.5,0.7,all,8,0,8,peak_q_rad_s,0.9118625787,24.7569895,0.2544658921,0.2092894292,0.5837233247,0.3491595487,0.5,12,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s0p55,0.55,0.7,all,8,0,8,peak_q_rad_s,0.8535257754,25.40736008,0.2504320638,0.2069822894,0.6058542267,0.35442286,0.45,9,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s0p6,0.6,0.7,all,8,0,8,peak_q_rad_s,0.7477004113,25.26701127,0.2476331327,0.2047050919,0.6197101232,0.3573494493,0.4,7,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s0p65,0.65,0.7,all,8,0,8,peak_q_rad_s,0.6984235319,24.61409376,0.243949802,0.2021177601,0.6289770243,0.3583481954,0.35,5,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s0p7,0.7,0.7,all,8,0,8,peak_q_rad_s,0.6495866502,23.4894079,0.2376356988,0.1989204287,0.6368263114,0.3577941463,0.3,3,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s0p75,0.75,0.7,all,8,0,8,peak_q_rad_s,0.5686521427,22.23200834,0.2276646977,0.1951182968,0.6424295639,0.3550708528,0.25,1,True,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s0p8,0.8,0.7,all,8,0,8,peak_q_rad_s,0.5854535567,23.9948791,0.2142378047,0.1909633963,0.6454111634,0.3502041215,0.2,2,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s0p85,0.85,0.7,all,8,0,8,peak_q_rad_s,0.672980575,25.43262075,0.1985228033,0.1868100396,0.6460363638,0.3437897356,0.15,4,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s0p9,0.9,0.7,all,8,0,8,peak_q_rad_s,0.74318313,26.91180361,0.1820471466,0.1829547022,0.6594437838,0.3414818775,0.1,6,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s0p95,0.95,0.7,all,8,0,8,peak_q_rad_s,0.8231776096,27.73840495,0.1759673745,0.1797573201,0.6720466925,0.3425904623,0.05,8,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,normal,STG_elevator_normal_s1,1,0.7,all,8,0,8,peak_q_rad_s,0.8793437534,27.86288278,0.1822281088,0.1779077878,0.6690139579,0.3430499515,0,10,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s0p4,0.4,0.7,all,18,0,18,peak_q_rad_s,0.7460154515,13.4336585,0.08584113982,0.4624913071,0.1307455877,0.2263593449,0.6,7,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s0p45,0.45,0.7,all,18,0,18,peak_q_rad_s,0.7306912504,13.51321782,0.08570193463,0.4625543998,0.1310940436,0.226450126,0.55,4,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s0p5,0.5,0.7,all,18,0,18,peak_q_rad_s,0.7207867402,13.45599269,0.08549450533,0.4625999318,0.1311816672,0.2264253681,0.5,2,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s0p55,0.55,0.7,all,18,0,18,peak_q_rad_s,0.7205289119,13.27941341,0.08526509549,0.4626089115,0.1309629986,0.2262790019,0.45,1,True,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s0p6,0.6,0.7,all,18,0,18,peak_q_rad_s,0.7272864044,13.02340748,0.08501729487,0.4625902794,0.1305066203,0.2260380649,0.4,3,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s0p65,0.65,0.7,all,18,0,18,peak_q_rad_s,0.7339223015,12.70391717,0.08473252252,0.4625402687,0.1297019149,0.2256582354,0.35,5,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s0p7,0.7,0.7,all,18,0,18,peak_q_rad_s,0.7418880202,12.36224538,0.08441764893,0.4624587838,0.1286590418,0.2251784915,0.3,6,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s0p75,0.75,0.7,all,18,0,18,peak_q_rad_s,0.7491325644,12.00138367,0.08407416709,0.4623495532,0.1273529362,0.2245922188,0.25,8,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s0p8,0.8,0.7,all,18,0,18,peak_q_rad_s,0.7559636922,11.74758763,0.08374198848,0.4622167901,0.1258196573,0.2239261453,0.2,9,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s0p85,0.85,0.7,all,18,0,18,peak_q_rad_s,0.7620441113,11.51758822,0.08344830215,0.4620628547,0.1241007191,0.2232039587,0.15,10,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s0p9,0.9,0.7,all,18,0,18,peak_q_rad_s,0.7678991448,11.2404414,0.08328869069,0.4619142955,0.1225568565,0.2225866142,0.1,11,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s0p95,0.95,0.7,all,18,0,18,peak_q_rad_s,0.7741178851,10.89788435,0.0832091769,0.4617356998,0.1205964331,0.2218471033,0.05,12,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,transition,STG_elevator_transition_s1,1,0.7,all,18,0,18,peak_q_rad_s,0.780607209,10.53429547,0.08353711108,0.4615737229,0.1185754907,0.2212287749,0,13,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s0p4,0.4,0.7,all,31,28,3,peak_q_rad_s,0.8854079671,11.22235051,0.1480326,0.5478494597,0.07829993209,0.2580606639,0.6,1,True,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s0p45,0.45,0.7,all,31,28,3,peak_q_rad_s,0.9162145655,13.52627784,0.1457466118,0.546804672,0.07558514675,0.2560454768,0.55,2,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s0p5,0.5,0.7,all,31,28,3,peak_q_rad_s,0.95056094,15.7376573,0.1530298019,0.5457322192,0.07363109642,0.2574643725,0.5,3,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s0p55,0.55,0.7,all,31,28,3,peak_q_rad_s,0.9837716882,17.86488913,0.1655608159,0.5446418432,0.07348562574,0.2612294283,0.45,4,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s0p6,0.6,0.7,all,31,28,3,peak_q_rad_s,1.01970126,19.98599231,0.1788981197,0.5435375009,0.07483799326,0.2657578713,0.4,5,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s0p65,0.65,0.7,all,31,28,3,peak_q_rad_s,1.057748506,22.02771885,0.1941420441,0.5424272399,0.07642834472,0.2709992096,0.35,6,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s0p7,0.7,0.7,all,31,28,3,peak_q_rad_s,1.126031965,23.95902446,0.2090331309,0.5413747951,0.07845135985,0.2762864286,0.3,7,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s0p75,0.75,0.7,all,31,28,3,peak_q_rad_s,1.164105875,25.79030538,0.2231408547,0.5404025315,0.08030888064,0.2812840889,0.25,8,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s0p8,0.8,0.7,all,31,28,3,peak_q_rad_s,1.200781032,27.52969289,0.2375472675,0.5395086056,0.08224318174,0.2864330183,0.2,9,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s0p85,0.85,0.7,all,31,28,3,peak_q_rad_s,1.334787798,29.17139222,0.2517850144,0.5386948454,0.08385431053,0.2914447235,0.15,10,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s0p9,0.9,0.7,all,31,28,3,peak_q_rad_s,1.415575801,30.71993973,0.2651650687,0.5379551707,0.08516190897,0.2960940495,0.1,11,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s0p95,0.95,0.7,all,31,28,3,peak_q_rad_s,1.563253988,32.18262693,0.2781146991,0.5372828927,0.08716176101,0.3008531176,0.05,12,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
elevator,post_stall,STG_elevator_post_stall_s1,1,0.7,all,31,28,3,peak_q_rad_s,1.616787642,33.58595408,0.2905718664,0.5366672691,0.0893343597,0.3055244984,0,13,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s0p4,0.4,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0.6,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s0p45,0.45,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0.55,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s0p5,0.5,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0.5,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s0p55,0.55,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0.45,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s0p6,0.6,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0.4,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s0p65,0.65,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0.35,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s0p7,0.7,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0.3,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s0p75,0.75,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0.25,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s0p8,0.8,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0.2,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s0p85,0.85,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0.15,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s0p9,0.9,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0.1,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s0p95,0.95,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0.05,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,normal,STG_rudder_normal_s1,1,0.45,all,0,0,0,peak_r_rad_s,,,,,,,0,,False,zero_support_candidate_not_scored,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,transition,STG_rudder_transition_s0p4,0.4,0.45,all,38,19,19,peak_r_rad_s,0.4001007497,7.66920932,0.2565475769,0.4443301558,0.1705381043,0.2904719457,0.6,1,True,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,transition,STG_rudder_transition_s0p45,0.45,0.45,all,38,19,19,peak_r_rad_s,0.4019229185,7.774409582,0.2564558358,0.4445243978,0.1704914878,0.2904905738,0.55,2,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,transition,STG_rudder_transition_s0p5,0.5,0.45,all,38,19,19,peak_r_rad_s,0.4042052985,7.879643882,0.25635864,0.4447143966,0.170446863,0.2905066332,0.5,3,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,transition,STG_rudder_transition_s0p55,0.55,0.45,all,38,19,19,peak_r_rad_s,0.4065954088,7.983985101,0.2562570683,0.444898754,0.1704044796,0.2905201006,0.45,4,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
rudder,transition,STG_rudder_transition_s0p6,0.6,0.45,all,38,19,19,peak_r_rad_s,0.4089690499,8.084316785,0.2561583647,0.4450716647,0.1703664282,0.2905321525,0.4,5,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
