chunk_index,status,row_start,row_stop,row_count,partition_path,manifest_path,byte_count,checksum_sha256,duration_s
10,complete,10000,11000,1000,w01_primitive_rows/c00010.csv.gz,chunk_manifests/w01_primitive_rows/c00010.json,2452525,608cf4e862d267af7a975a4ba9a29e7e6f506d72112512e6ce4f67bd4517791c,95.09781098365784
11,complete,11000,12000,1000,w01_primitive_rows/c00011.csv.gz,chunk_manifests/w01_primitive_rows/c00011.json,2481851,f76867a41133febd5ee595a00934192806b65f720d19385a050b57442d0c2dc9,120.59801816940308
12,complete,12000,13000,1000,w01_primitive_rows/c00012.csv.gz,chunk_manifests/w01_primitive_rows/c00012.json,2475143,dfd42b4ae8809a26296d339a357fbbc924fda9f93e87532f78631f82baf18fd8,89.77287912368774
13,complete,13000,14000,1000,w01_primitive_rows/c00013.csv.gz,chunk_manifests/w01_primitive_rows/c00013.json,2452127,11739e6b158dee2cc3acf7922cb45dd79d97b84c26d2a9a9af0a2fbbf74b9df1,94.49692988395691
14,complete,14000,15000,1000,w01_primitive_rows/c00014.csv.gz,chunk_manifests/w01_primitive_rows/c00014.json,2479192,aa572baeeeb89964e5c57d498bded92e901895494d2556baea7944d78fe05d2c,117.79646849632263
15,complete,15000,16000,1000,w01_primitive_rows/c00015.csv.gz,chunk_manifests/w01_primitive_rows/c00015.json,2466656,e8845db50c6fe98434ecc0900959e704a634daa9ab2a4877a6f4365361ce32db,92.69186162948608
16,complete,16000,17000,1000,w01_primitive_rows/c00016.csv.gz,chunk_manifests/w01_primitive_rows/c00016.json,2458764,d7dd25acd645bad67e7e00fc9abcc468a602a1bb0b7ef22de50a6358fccb1865,90.9321608543396
17,complete,17000,18000,1000,w01_primitive_rows/c00017.csv.gz,chunk_manifests/w01_primitive_rows/c00017.json,2464140,dcc72c3a5da38862dc40c746bda60ef89684f4425284275d696ccbfe5f34b281,118.4745659828186
18,complete,18000,19000,1000,w01_primitive_rows/c00018.csv.gz,chunk_manifests/w01_primitive_rows/c00018.json,2470793,d1c3ae8b446d15fcda43a70c98e0770ce1d348884a1a409647ce8c5eaf868081,99.0245532989502
19,complete,19000,20000,1000,w01_primitive_rows/c00019.csv.gz,chunk_manifests/w01_primitive_rows/c00019.json,2471586,c22d14447e6a7db68603e9a9e43e84a5e043bcf74e3b67603fbf08f79abb161f,90.25693821907043
20,complete,20000,21000,1000,w01_primitive_rows/c00020.csv.gz,chunk_manifests/w01_primitive_rows/c00020.json,2456858,8590f343fe22e08d9e9f8b67b1d0959800640f4e8578b3149224ac2281e2b3a8,121.12167930603027
21,complete,21000,22000,1000,w01_primitive_rows/c00021.csv.gz,chunk_manifests/w01_primitive_rows/c00021.json,2474240,2cf15e9d04e8507f49986e8ea6d3825f6288e3e0b9d175cf4a39eebb0db35b24,103.63781142234802
22,complete,22000,23000,1000,w01_primitive_rows/c00022.csv.gz,chunk_manifests/w01_primitive_rows/c00022.json,2478283,09a1288cd054f23705fd7d2d7d1f1f23037e07d164c58a41e353535fd6b5e7e3,88.78525924682617
23,complete,23000,24000,1000,w01_primitive_rows/c00023.csv.gz,chunk_manifests/w01_primitive_rows/c00023.json,2454473,073a700e6553a568c7e5e1897a75f6d27399ae770915e8087a502dd04b5758c1,115.15573358535767
24,complete,24000,25000,1000,w01_primitive_rows/c00024.csv.gz,chunk_manifests/w01_primitive_rows/c00024.json,2480661,2fbb1156acf80a282856766ed4e52ef21a1d66bec06b0bb713560bdf6e95d7d2,106.22173142433167
25,complete,25000,26000,1000,w01_primitive_rows/c00025.csv.gz,chunk_manifests/w01_primitive_rows/c00025.json,2479666,8352c27ce08908472cbdab9a745ce86aed78fc03a4c068ad0a5f55f21547792d,85.55318284034729
26,complete,26000,27000,1000,w01_primitive_rows/c00026.csv.gz,chunk_manifests/w01_primitive_rows/c00026.json,2468592,c4ab7246c76f8a7085df373ffde3ce9e6039969ecca4320dd0f89841f7c79416,116.64345836639404
27,complete,27000,28000,1000,w01_primitive_rows/c00027.csv.gz,chunk_manifests/w01_primitive_rows/c00027.json,2460916,ce7d95c6206d7aadb65820c58a7c9ef07a58a6d80a4ff9953abbfd84e35e4bfc,119.38157629966736
28,complete,28000,29000,1000,w01_primitive_rows/c00028.csv.gz,chunk_manifests/w01_primitive_rows/c00028.json,2476648,fc7aa082fc818cb03447627d9cd25e7bf263580e95061097730d4b8d59f40a66,89.60123109817505
29,complete,29000,30000,1000,w01_primitive_rows/c00029.csv.gz,chunk_manifests/w01_primitive_rows/c00029.json,2468078,98459cfdeb83fa8dba86080d7ee4f1337f5ceb2f98b667f15d463bf6cbd3f5db,115.13874983787537
30,complete,30000,31000,1000,w01_primitive_rows/c00030.csv.gz,chunk_manifests/w01_primitive_rows/c00030.json,2471021,8a50c358690094429b25adfddbab9c5a4865578e8a4c1f35cd1facf83f251dad,121.32090139389038
31,complete,31000,32000,1000,w01_primitive_rows/c00031.csv.gz,chunk_manifests/w01_primitive_rows/c00031.json,2545522,4c8af7f8421946d6f6683e0f77fe46c780ccf6a04912c24d156259c9fd75a34b,88.5215163230896
32,complete,32000,33000,1000,w01_primitive_rows/c00032.csv.gz,chunk_manifests/w01_primitive_rows/c00032.json,2541140,4760d58485634ff32071d2495f5f63dbdabe5529a5883bc2dff3f48d7bb9c888,124.38191556930542
33,complete,33000,34000,1000,w01_primitive_rows/c00033.csv.gz,chunk_manifests/w01_primitive_rows/c00033.json,2506183,03c6bee3eccd449f12a124301bb4ce7c7bfd9e8f3116c0459577f96199e84774,136.7772560119629
34,complete,34000,35000,1000,w01_primitive_rows/c00034.csv.gz,chunk_manifests/w01_primitive_rows/c00034.json,2538676,6c5a69d1be03af7632fd53db0254a6e722c4c26df02085384eef96c55554f89b,97.76925468444824
35,complete,35000,36000,1000,w01_primitive_rows/c00035.csv.gz,chunk_manifests/w01_primitive_rows/c00035.json,2541753,dcb67bde8c308d69fc8aea9efbbf501e223ff1cfe32ba8c42a2082202709fa27,117.54334545135498
36,complete,36000,37000,1000,w01_primitive_rows/c00036.csv.gz,chunk_manifests/w01_primitive_rows/c00036.json,2518524,22d16d85a988bf91eaa38d885ad63ba60eea9bc582e5fd66b93989940fca986e,129.59849381446838
37,complete,37000,38000,1000,w01_primitive_rows/c00037.csv.gz,chunk_manifests/w01_primitive_rows/c00037.json,2527865,f7518db2f7f7c4b9efa1962c32ae538e7fe46c4147fd65d32cf6bb9bdc8ba514,92.04155015945435
38,complete,38000,39000,1000,w01_primitive_rows/c00038.csv.gz,chunk_manifests/w01_primitive_rows/c00038.json,2544480,ba24832fecf6d9ca9ea12c18ed03f42ccc3e6c1c65293ba25f08e1fe6b27af77,119.61507678031921
39,complete,39000,40000,1000,w01_primitive_rows/c00039.csv.gz,chunk_manifests/w01_primitive_rows/c00039.json,2524897,b84e1f9d278265729d2d763bb6f0b9f7d82e3a5d224d5f0c0e59df1a78ef89f6,136.0045301914215
40,complete,40000,41000,1000,w01_primitive_rows/c00040.csv.gz,chunk_manifests/w01_primitive_rows/c00040.json,2514144,a4e39960f5cd76c51d09891c159b524fb0a96947f2f951092d4971d2d320ed9f,81.26165628433228
