episode_id,launch_role,environment_block_id,library_size_case_id,outer_case_index,common_final_launch_key,policy_id,history_length,initial_launch_speed_m_s,selected_primitive_step_count,episode_rollout_duration_s,episode_flight_time_s,mission_success,front_wall_terminal_success,safe_success,full_safe_success,wrong_wall_exit,no_viable_primitive,hard_failure,floor_or_ceiling_violation,terminal_wall_face,mission_outcome_label,terminal_specific_energy_m,terminal_specific_energy_reserve_m,base_failure_penalty,base_failure_penalty_reason,mission_completion_component,updraft_gain_bonus,lift_dwell_bonus,terminal_specific_energy_bonus,launch_score_additive_component,launch_score,launch_score_version,launch_score_scope
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0030,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,30,r10_changed_final_0030,spatial_flow_belief_memory_h30,30,7.046351611631256,9,0.8999999999999999,0.8999999999999999,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,2.733831233805112,2.333831233805112,0.0,none,100.0,0.0,0.0,20.0,120.0,120.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0026,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,26,r10_changed_final_0026,spatial_flow_belief_memory_h30,30,7.303115979474305,8,0.8399999999999999,0.8399999999999999,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,2.7037804751178847,2.3037804751178848,0.0,none,100.0,9.79696541674196,1.7999999999999998,20.0,131.59696541674197,131.59696541674197,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0022,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,22,r10_changed_final_0022,spatial_flow_belief_memory_h30,30,6.591940981560359,10,1.0399999999999998,1.0399999999999998,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,2.376404041103089,1.976404041103089,0.0,none,100.0,0.020086403886175996,0.0,19.76404041103089,119.78412681491707,119.78412681491707,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0014,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,14,r10_changed_final_0014,spatial_flow_belief_memory_h30,30,5.455733772404688,13,1.32,1.32,False,False,False,False,True,False,True,False,front_wall_x_max,hard_failure,1.9465447813516472,1.5465447813516473,-100.0,hard_failure,0.0,20.910073109725317,5.300000000000001,0.0,0.0,-100.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0013,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,13,r10_changed_final_0013,spatial_flow_belief_memory_h30,30,6.77632800434458,11,1.0599999999999998,1.0599999999999998,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,2.1795672436091307,1.7795672436091308,0.0,none,100.0,7.66201050350783,2.3000000000000003,17.79567243609131,127.75768293959914,127.75768293959914,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0027,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,27,r10_changed_final_0027,spatial_flow_belief_memory_h30,30,6.620703824670713,11,1.12,1.12,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,2.3264217962368585,1.9264217962368586,0.0,none,100.0,0.04152339913841201,0.0,19.264217962368587,119.305741361507,119.305741361507,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0031,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,31,r10_changed_final_0031,spatial_flow_belief_memory_h30,30,7.873512931473857,9,0.9399999999999998,0.9399999999999998,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,3.228612203125516,2.828612203125516,0.0,none,100.0,0.002267740058594,0.0,20.0,120.0022677400586,120.0022677400586,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0023,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,23,r10_changed_final_0023,spatial_flow_belief_memory_h30,30,5.584757807672195,9,0.8999999999999999,0.8999999999999999,False,False,False,False,False,False,True,True,none,floor_or_ceiling_violation,1.932773303737443,1.532773303737443,-100.0,hard_failure,0.0,0.041401737183229995,0.0,0.0,0.0,-100.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0035,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,35,r10_changed_final_0035,spatial_flow_belief_memory_h30,30,4.357044858153034,11,1.14,1.14,False,False,False,False,False,False,False,False,none,expected_low_energy_dry_air_sink_not_scored,1.6700605433835594,1.2700605433835594,0.0,expected_low_energy_dry_air_sink_not_scored,0.0,0.0,0.0,0.0,0.0,0.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0032,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,32,r10_changed_final_0032,spatial_flow_belief_memory_h30,30,6.639293708622489,10,0.98,0.98,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,2.6284661280394284,2.2284661280394285,0.0,none,100.0,8.799881966097757,2.1,20.0,130.89988196609775,130.89988196609775,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
