audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_route_memory_score_component,route_memory_score_component_positive_count,mean_route_flow_exploitation_m,mean_route_flow_information_gain,mean_route_flow_confidence,mean_selected_calibrated_regime_mismatch_risk,mean_memory_switch_calibrated_regime_risk_delta,memory_switch_regime_risk_regression_count,mean_memory_cost_benefit_total_benefit,mean_memory_cost_benefit_total_cost,mean_memory_cost_benefit_net_value,memory_cost_benefit_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:super_light_cluster",495,495,18,2,12,0.00033270518667952967,0.0374155879758162,0.00010824365047824585,1585.6242178230825,13,0.03668881624395312,0.840233115501386,1.67927211669153e-06,32,0.5883235448842461,491,0.04899298292660505,491,0.04868212445118914,491,-1.0327380913854894e-06,0.20781304829312405,0.000101430240094576,0.0,0.0,0,0.0485150339074029,2.800671149470061e-05,0.048487027195908194,491,0.00022446153620128318,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:balanced_cluster",497,497,13,3,6,0.0003024239171856208,0.0364169384798061,7.548139254329376e-05,116.90462677676872,9,0.036867286558037386,0.8373529987716084,1.752496022203931e-06,22,0.5876858605728332,493,0.04865831724739805,493,0.04838684909403968,493,-1.5027052805954322e-05,0.20186703040135626,0.0008547316013270512,0.0,0.0,0,0.048327103385145,5.367992185990141e-05,0.04827342346328511,493,0.0002269425246423267,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:heavy_cluster",490,490,5,0,1,5.036413531628367e-06,0.0024678426304979,0.0,5036.413531628371,1,0.03681767306083111,0.8317329575805025,1.0212953794329608e-06,7,0.5939922058013983,486,0.049027705570540966,486,0.04886015683730417,486,-1.842486581441094e-05,0.22189370817434112,0.0006544586910646136,0.0,0.0,0,0.04885512042377255,0.0,0.04885512042377255,486,5.036413531628163e-06,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:light_cluster",495,495,13,2,8,0.00026194574486906543,0.0379285480617491,6.506706675066021e-05,175.90043534931175,10,0.03641926484179919,0.8383412798829156,2.778918530909762e-06,19,0.5887443646430006,492,0.04873822071557711,492,0.04850303010631541,492,-1.4746189653405992e-05,0.20421311786493795,0.0009006084144080147,0.0,0.0,0,0.04840360143075601,2.3872854909206467e-05,0.04837972857584681,492,0.00019687867811840455,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:no_cluster_no_merge",494,494,18,5,10,0.000381762360972992,0.0383716865783983,9.066381269955871e-05,368.23280177425966,15,0.036060393392612515,0.8422505849862604,2.1013627169435974e-06,19,0.5919521638158242,491,0.04889527439395689,491,0.048633217002707084,491,-1.7210134986987081e-06,0.20198382762578782,0.0008162838114595759,0.0,0.0,0,0.04865964740017083,9.482433481175993e-05,0.048564823065359065,491,0.0002910985482734319,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:super_light_cluster",495,495,16,3,9,0.00029138307501828795,0.0374149688560072,9.743948060691353e-05,315.59590311209985,12,0.03597162019473146,0.8407001967624653,1.6935298394533518e-06,21,0.5884769598682063,491,0.04884386367289565,491,0.04857105011721234,491,-1.0541626951569708e-05,0.20672370722923689,0.0008786562305645305,0.0,0.0,0,0.04845955145490391,2.877775963928283e-05,0.04843077369526462,491,0.00019394359441137442,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:balanced_cluster",497,497,21,4,13,0.00036765448409756523,0.0364863928286634,9.428564179120423e-05,25.800322505095146,16,0.04039068785664364,0.8350911612167016,3.518090512269189e-06,57,0.5860716934902283,493,0.0490647553816315,493,0.04874851983282045,493,-1.2410079462296016e-05,0.20902342063683463,0.00033975094104508354,0.0,0.0,0,0.048639372310447876,5.460993211187063e-05,0.048584762378336,493,0.0002733688423063598,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:heavy_cluster",490,490,7,0,3,1.58501728667792e-05,0.0053111167074448,5.897783510601428e-06,5011.16292875183,2,0.03965555280229719,0.8298947850066642,2.938569551897646e-07,42,0.5928515038369853,486,0.04940905357126918,486,0.049210172413350496,486,-6.680084775753432e-05,0.22861339842545922,0.000477899050896333,0.0,0.0,0,0.04919432224048372,0.0,0.04919432224048372,486,9.952389356177222e-06,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:light_cluster",495,495,18,3,12,0.0002986799489195153,0.0372845056178845,6.952338319128666e-05,162.35823707412732,14,0.04002940284071089,0.8360011173111804,4.673982857500697e-06,53,0.5870887266959671,492,0.04906535439574836,492,0.0487913302522244,492,-5.0044989285879436e-05,0.21113626664043755,0.0004213251232488802,0.0,0.0,0,0.04866918739116831,2.4806622778355354e-05,0.04864438076838996,492,0.0002291565657282268,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:no_cluster_no_merge",494,494,22,6,13,0.00047676516144221754,0.0392087423557532,0.00012042134661277107,29.706027129803697,15,0.039784910056150695,0.8398955113541402,2.2260606057835553e-06,55,0.5904058161525557,491,0.04935397887257961,491,0.04901241153702357,491,-4.846755193402439e-05,0.20932120676395494,0.00047816854358858924,0.0,0.0,0,0.04896194369803883,9.575999289926742e-05,0.04886618370513956,491,0.000356343814829445,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:super_light_cluster",495,495,22,4,14,0.0003411835162248078,0.0374149688560072,0.00010679808326577212,655.5994596436752,16,0.03966995139327394,0.8384801901128623,2.578251580216663e-06,54,0.5869423689922217,491,0.049226578094136025,491,0.04890148882585921,491,-5.220665680020959e-05,0.21384499346706504,0.0004847970389479416,0.0,0.0,0,0.048757146899690955,2.971152750843172e-05,0.04872743537218252,491,0.00023438543295903425,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
