comparison_type,environment_block_id,library_size_case_id,policy_id,baseline_policy_id,history_length,start_energy_group_id,start_energy_group_label,start_energy_group_basis,start_energy_feasibility_threshold_m_s,paired_launch_count,mean_paired_delta_launch_score,median_paired_delta_launch_score,win_rate,loss_rate,safety_regression_rate,mission_success_delta_mean,front_wall_terminal_success_delta_mean,wrong_wall_exit_delta_mean,safe_success_delta_mean,hard_failure_delta_mean,floor_or_ceiling_violation_delta_mean,no_viable_primitive_delta_mean,memory_changed_selection_rate,baseline_vs_policy_selection_changed_rate,exploration_changed_selection_rate,mean_net_specific_energy_delta_m_delta,mean_positive_specific_energy_gain_m_delta,mean_updraft_specific_energy_gain_proxy_m_delta,mean_terminal_specific_energy_m_delta,mean_terminal_specific_energy_bonus_delta,mean_gross_specific_energy_loss_m_delta,mean_episode_flight_time_s_delta
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,39,-0.0005207149270263792,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128,0.0,-0.00012883210111429394,0.0,-2.603574635132822e-05,-0.00012883210111429394,0.0,0.00012883210111429394,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,11,-0.008079929415569868,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,-0.0008079929415572309,5.4222805002855015e-05,-4.3400243117835465e-05,-0.0008079929415572007,-0.008079929415571806,0.0008622157465600709,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,no_cluster_no_merge,spatial_flow_belief_memory_h10,no_memory_baseline,10,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,39,-0.008222102467607182,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.0,-0.001791775741884195,0.0,0.0007459849779738829,-0.001791775741884189,-0.008662560717603823,0.001791775741884195,0.0005128205128205133
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,no_cluster_no_merge,spatial_flow_belief_memory_h10,no_memory_baseline,10,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,11,-0.003324794325596837,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,-0.0003324794325596615,4.9061074901008874e-05,-4.610829903015847e-05,-0.0003324794325596514,-0.003324794325596514,0.0003815405074606527,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,no_cluster_no_merge,spatial_flow_belief_memory_h3,no_memory_baseline,3,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,39,-0.008222102467607182,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.0,-0.001791775741884195,0.0,0.0007459849779738829,-0.001791775741884189,-0.008662560717603823,0.001791775741884195,0.0005128205128205133
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,no_cluster_no_merge,spatial_flow_belief_memory_h3,no_memory_baseline,3,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,11,-0.003324794325596837,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,-0.0003324794325596615,4.9061074901008874e-05,-4.610829903015847e-05,-0.0003324794325596514,-0.003324794325596514,0.0003815405074606527,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,no_cluster_no_merge,spatial_flow_belief_memory_h30,no_memory_baseline,30,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,39,-0.008742907463251926,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.1282051282051282,0.0,-0.0017660510134966773,0.0,0.0007199447281916316,-0.001766051013496666,-0.008662560717603823,0.0017660510134966773,0.0005128205128205133
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,no_cluster_no_merge,spatial_flow_belief_memory_h30,no_memory_baseline,30,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,11,-0.003324794325596837,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,-0.0003324794325596615,4.9061074901008874e-05,-4.610829903015847e-05,-0.0003324794325596514,-0.003324794325596514,0.0003815405074606527,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,super_light_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,39,-0.008222012398988818,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128,0.0,-0.0010208129012622051,0.0,2.2027415930743583e-05,-0.0010208129012621993,-0.008662560717603823,0.0010208129012622051,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,super_light_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,super_light_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,39,-0.008222012398988818,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128,0.0,-0.0010208129012622051,0.0,2.2027415930743583e-05,-0.0010208129012621993,-0.008662560717603823,0.0010208129012622051,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,super_light_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,-0.00029341027843286164,0.0,-3.4094894424399564e-10,-0.00029341027843282126,0.0,0.00029341027843286164,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,super_light_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,39,-0.008742817394633562,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,-0.0009950881728746875,0.0,-4.01283385150771e-06,-0.0009950881728746763,-0.008662560717603823,0.0009950881728746875,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,super_light_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,-0.00029341027843286164,0.0,-3.4094894424399564e-10,-0.00029341027843282126,0.0,0.00029341027843286164,0.0
