comparison_type,environment_block_id,library_size_case_id,outer_case_index,common_final_launch_key,policy_id,baseline_policy_id,history_length,launch_score,baseline_launch_score,delta_launch_score,accumulated_selected_score,baseline_accumulated_selected_score,delta_accumulated_selected_score,executed_selected_decision_count,baseline_executed_selected_decision_count,mission_success_delta,safe_success_delta,hard_failure_delta,no_viable_primitive_delta,claim_status
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,41,r10_changed_final_0041,spatial_flow_belief_memory_h3,no_memory_baseline,3,-100.0,-100.0,0.0,9.560027455688422,9.005861137757478,0.5541663179309442,10,10,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,46,r10_changed_final_0046,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,2.946785014641418,2.5291890839844426,0.4175959306569754,7,7,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,34,r10_changed_final_0034,spatial_flow_belief_memory_h3,no_memory_baseline,3,130.30492508513265,130.30492508513265,0.0,11.502897741495698,11.071436871926101,0.4314608695695963,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,47,r10_changed_final_0047,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,4.255695722808183,3.8753103329796543,0.380385389828529,7,7,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,42,r10_changed_final_0042,spatial_flow_belief_memory_h3,no_memory_baseline,3,135.50286742817127,135.50286742817127,0.0,13.749267049888257,13.231503479872233,0.5177635700160241,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,43,r10_changed_final_0043,spatial_flow_belief_memory_h3,no_memory_baseline,3,139.7711002214799,139.7711002214799,0.0,11.017237116400514,10.601968555589002,0.4152685608115121,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,38,r10_changed_final_0038,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,6.181324918828187,5.4695097156159065,0.7118152032122804,12,12,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,39,r10_changed_final_0039,spatial_flow_belief_memory_h3,no_memory_baseline,3,-100.0,-100.0,0.0,9.939295318137294,9.373541379558642,0.5657539385786521,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,48,r10_changed_final_0048,spatial_flow_belief_memory_h3,no_memory_baseline,3,127.21844733770953,127.21844733770953,0.0,12.12791159488032,11.652850663008463,0.47506093187185705,10,10,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,44,r10_changed_final_0044,spatial_flow_belief_memory_h3,no_memory_baseline,3,125.69554903798517,125.69554903798517,0.0,13.35545087879655,12.758882021146428,0.5965688576501211,13,13,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,49,r10_changed_final_0049,spatial_flow_belief_memory_h3,no_memory_baseline,3,-100.0,-100.0,0.0,9.435046324817813,8.963463003228252,0.47158332158956107,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,0,r10_changed_final_0000,spatial_flow_belief_memory_h10,no_memory_baseline,10,0.0,0.0,0.0,6.668903259484279,6.131702385164469,0.5372008743198098,10,10,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,49,r10_changed_final_0049,spatial_flow_belief_memory_h30,no_memory_baseline,30,-100.0,-100.0,0.0,14.575423780001705,14.095131163535726,0.4802926164659791,10,10,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,5,r10_changed_final_0005,spatial_flow_belief_memory_h10,no_memory_baseline,10,120.0,120.0,0.0,12.28235239170301,11.85965271211506,0.4226996795879501,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,48,r10_changed_final_0048,spatial_flow_belief_memory_h30,no_memory_baseline,30,127.20697795039861,127.20697795039861,0.0,11.406767836381807,10.94422201505196,0.46254582132984723,10,10,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,44,r10_changed_final_0044,spatial_flow_belief_memory_h30,no_memory_baseline,30,126.05552258648945,126.05552258648945,0.0,11.888241927681605,11.301295289197377,0.5869466384842283,12,12,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,1,r10_changed_final_0001,spatial_flow_belief_memory_h10,no_memory_baseline,10,117.06648144303944,117.06648144303944,0.0,13.48352239165239,12.948611864316666,0.5349105273357235,12,12,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,10,r10_changed_final_0010,spatial_flow_belief_memory_h10,no_memory_baseline,10,-40.0,-40.0,0.0,0.0,0.0,0.0,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,2,r10_changed_final_0002,spatial_flow_belief_memory_h10,no_memory_baseline,10,-50.0,-50.0,0.0,9.349681528289905,9.080443310247837,0.2692382180420676,6,6,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,6,r10_changed_final_0006,spatial_flow_belief_memory_h10,no_memory_baseline,10,123.57610668688507,123.57610668688507,0.0,11.577069556179223,11.155123321747475,0.42194623443174883,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,15,r10_changed_final_0015,spatial_flow_belief_memory_h10,no_memory_baseline,10,117.53515669530208,117.53515669530208,0.0,13.764012210054112,13.376236180838465,0.38777602921564736,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,11,r10_changed_final_0011,spatial_flow_belief_memory_h10,no_memory_baseline,10,113.28529567541968,113.31708934881236,-0.03179367339268424,16.520334591310757,15.953394454005918,0.5669401373048384,12,12,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
