environment_block_id,library_size_case_id,policy_id,history_length,launch_speed_bin_id,launch_speed_bin_min_m_s,launch_speed_bin_max_m_s,launch_speed_bin_label,launch_count,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,baseline_vs_policy_selection_changed_count,baseline_vs_policy_selection_changed_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h30,30,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,11,2.0,0.18181818181818182,3.0,0.2727272727272727,0.0,0.0,2.0,0.18181818181818182,2.0,0.18181818181818182,0.0,0.0,11.0,1.0,0.0,0.0,8.0,0.7272727272727273,7.0,0.6363636363636364,8.0,0.7272727272727273,7.0,0.6363636363636364,3.0,0.2727272727272727,7.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,5.478759411744329,5.002639158573073,5.876070290237821,-55.48062292266879,-100.0,1.0345454545454544,0.30909090909090914,1.9017346520698892,1.5017346520698889,2.5895882827015675,9.444291620513636e-05,0.2160694132546814,-1.1420365403900181,1.1421309833062234
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h30,30,v0_6_0_to_7_0_m_s,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,9,7.0,0.7777777777777778,7.0,0.7777777777777778,0.0,0.0,7.0,0.7777777777777778,1.0,0.1111111111111111,0.0,0.0,9.0,1.0,0.0,0.0,2.0,0.2222222222222222,1.0,0.1111111111111111,2.0,0.2222222222222222,1.0,0.1111111111111111,7.0,0.7777777777777778,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,6.601646979814053,6.172104642361257,6.984456906350856,75.50057262018163,119.78412681491707,1.04,0.33999999999999997,2.273687858225374,1.8736878582253738,14.567966447515845,0.0,0.2672042525581886,-1.5000330334644247,1.5000330334644247
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h30,30,v0_ge_7_0_m_s,7.0,,initial_launch_speed_m_s >= 7.0,19,15.0,0.7894736842105263,16.0,0.8421052631578947,0.0,0.0,15.0,0.7894736842105263,2.0,0.10526315789473684,0.0,0.0,19.0,1.0,1.0,0.05263157894736842,2.0,0.10526315789473684,1.0,0.05263157894736842,2.0,0.10526315789473684,1.0,0.05263157894736842,16.0,0.8421052631578947,12.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,7.452076261490961,7.046351611631256,7.978637245396595,82.63899763029444,120.02587743834299,0.8621052631578947,0.2473684210526316,2.8923534731080918,2.492353473108092,15.613213190858577,0.0,0.1636574289466564,-1.4610052562870859,1.4610052562870859
r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,no_memory_baseline,0,v0_4_0_to_5_0_m_s,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,4.5587719010272085,4.110284940339293,4.987685674924405,14.420592843519087,0.0,1.04,0.2981818181818182,1.4499057599275327,1.0499057599275328,0.9933201162463619,0.02073818698803018,0.3718747722402203,-1.1315770273167056,1.152315214304736
r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,no_memory_baseline,0,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,11,3.0,0.2727272727272727,4.0,0.36363636363636365,0.0,0.0,3.0,0.2727272727272727,2.0,0.18181818181818182,0.0,0.0,11.0,1.0,2.0,0.18181818181818182,5.0,0.45454545454545453,4.0,0.36363636363636365,5.0,0.45454545454545453,4.0,0.36363636363636365,4.0,0.36363636363636365,7.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,5.478759411744329,5.002639158573073,5.876070290237821,-25.03565783308447,-50.0,1.049090909090909,0.3163636363636364,1.8812332114510157,1.481233211451016,3.8942272389093007,0.0004127903462137455,0.21634553202029772,-1.1625379810088914,1.1629507713551053
r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,no_memory_baseline,0,v0_6_0_to_7_0_m_s,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,9,8.0,0.8888888888888888,8.0,0.8888888888888888,0.0,0.0,8.0,0.8888888888888888,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.8888888888888888,5.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,6.601646979814053,6.172104642361257,6.984456906350856,106.92295181697612,120.04154656002753,1.1155555555555554,0.3711111111111111,2.2367068793263436,1.836706879326344,17.153784004274375,0.0,0.2738081831888687,-1.5370140123634544,1.5370140123634544
r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,no_memory_baseline,0,v0_ge_7_0_m_s,7.0,,initial_launch_speed_m_s >= 7.0,19,15.0,0.7894736842105263,16.0,0.8421052631578947,0.0,0.0,15.0,0.7894736842105263,2.0,0.10526315789473684,0.0,0.0,19.0,1.0,0.0,0.0,3.0,0.15789473684210525,2.0,0.10526315789473684,3.0,0.15789473684210525,2.0,0.10526315789473684,16.0,0.8421052631578947,12.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,7.452076261490961,7.046351611631256,7.978637245396595,79.67866004668413,120.02586319489345,0.8726315789473683,0.23684210526315788,2.967533046898037,2.567533046898037,15.789473684210526,0.0,0.16665188918982557,-1.3858256824971409,1.3858256824971409
r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,spatial_flow_belief_memory_h10,10,v0_4_0_to_5_0_m_s,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,4.5587719010272085,4.110284940339293,4.987685674924405,14.412512914103518,0.0,1.04,0.2981818181818182,1.4490977669859755,1.0490977669859756,0.9852401868307901,0.020792409793033036,0.3718313719971025,-1.1323850202582628,1.153177430051296
r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,spatial_flow_belief_memory_h10,10,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,11,3.0,0.2727272727272727,4.0,0.36363636363636365,0.0,0.0,3.0,0.2727272727272727,2.0,0.18181818181818182,0.0,0.0,11.0,1.0,2.0,0.18181818181818182,5.0,0.45454545454545453,4.0,0.36363636363636365,5.0,0.45454545454545453,4.0,0.36363636363636365,4.0,0.36363636363636365,7.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,5.478759411744329,5.002639158573073,5.876070290237821,-25.03565783308447,-50.0,1.049090909090909,0.3163636363636364,1.8812332114510157,1.481233211451016,3.8942272389093007,0.0004127903462137455,0.21634553202029772,-1.1625379810088914,1.1629507713551053
r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,spatial_flow_belief_memory_h10,10,v0_6_0_to_7_0_m_s,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,9,8.0,0.8888888888888888,8.0,0.8888888888888888,0.0,0.0,8.0,0.8888888888888888,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.8888888888888888,5.0,0.5555555555555556,1.0,0.1111111111111111,1.0,0.1111111111111111,0.0,0.0,6.601646979814053,6.172104642361257,6.984456906350856,106.92295220727347,120.04154656002753,1.1155555555555554,0.3711111111111111,2.236037133065169,1.8360371330651697,17.153784004274375,0.0,0.273808202703736,-1.5376837586246288,1.5376837586246288
