episode_id,episode_index,paired_episode_index,replicate_id,common_random_key,launch_state_seed,environment_seed,policy_id,memory_lambda,uses_memory_features,updates_belief,W_layer,environment_mode,paired_schedule_version,claim_status,governor_config_id,calibration_subrun_dir
v49_r001_context_plus_memory_lambda_0_95_p00005_rep00,35,5,0,v410_run001_seed00511_r00_e00005,511196,1022222,context_plus_memory_lambda_0_95,0.95,True,True,W3,w3_randomised_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_no_memory_baseline_p00006_rep00,36,6,0,v410_run001_seed00511_r00_e00006,511233,1022263,no_memory_baseline,0.0,False,False,W3,w3_randomised_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_static_map_baseline_p00006_rep00,37,6,0,v410_run001_seed00511_r00_e00006,511233,1022263,static_map_baseline,0.8,True,False,W3,w3_randomised_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_only_without_memory_p00006_rep00,38,6,0,v410_run001_seed00511_r00_e00006,511233,1022263,context_only_without_memory,0.0,False,False,W3,w3_randomised_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_5_p00006_rep00,39,6,0,v410_run001_seed00511_r00_e00006,511233,1022263,context_plus_memory_lambda_0_5,0.5,True,True,W3,w3_randomised_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_8_p00006_rep00,40,6,0,v410_run001_seed00511_r00_e00006,511233,1022263,context_plus_memory_lambda_0_8,0.8,True,True,W3,w3_randomised_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_95_p00006_rep00,41,6,0,v410_run001_seed00511_r00_e00006,511233,1022263,context_plus_memory_lambda_0_95,0.95,True,True,W3,w3_randomised_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_no_memory_baseline_p00007_rep00,42,7,0,v410_run001_seed00511_r00_e00007,511270,1022304,no_memory_baseline,0.0,False,False,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_static_map_baseline_p00007_rep00,43,7,0,v410_run001_seed00511_r00_e00007,511270,1022304,static_map_baseline,0.8,True,False,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_only_without_memory_p00007_rep00,44,7,0,v410_run001_seed00511_r00_e00007,511270,1022304,context_only_without_memory,0.0,False,False,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_5_p00007_rep00,45,7,0,v410_run001_seed00511_r00_e00007,511270,1022304,context_plus_memory_lambda_0_5,0.5,True,True,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_8_p00007_rep00,46,7,0,v410_run001_seed00511_r00_e00007,511270,1022304,context_plus_memory_lambda_0_8,0.8,True,True,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_95_p00007_rep00,47,7,0,v410_run001_seed00511_r00_e00007,511270,1022304,context_plus_memory_lambda_0_95,0.95,True,True,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_no_memory_baseline_p00008_rep00,48,8,0,v410_run001_seed00511_r00_e00008,511307,1022345,no_memory_baseline,0.0,False,False,W1,gaussian_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_static_map_baseline_p00008_rep00,49,8,0,v410_run001_seed00511_r00_e00008,511307,1022345,static_map_baseline,0.8,True,False,W1,gaussian_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_only_without_memory_p00008_rep00,50,8,0,v410_run001_seed00511_r00_e00008,511307,1022345,context_only_without_memory,0.0,False,False,W1,gaussian_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_5_p00008_rep00,51,8,0,v410_run001_seed00511_r00_e00008,511307,1022345,context_plus_memory_lambda_0_5,0.5,True,True,W1,gaussian_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_8_p00008_rep00,52,8,0,v410_run001_seed00511_r00_e00008,511307,1022345,context_plus_memory_lambda_0_8,0.8,True,True,W1,gaussian_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_95_p00008_rep00,53,8,0,v410_run001_seed00511_r00_e00008,511307,1022345,context_plus_memory_lambda_0_95,0.95,True,True,W1,gaussian_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_no_memory_baseline_p00009_rep00,54,9,0,v410_run001_seed00511_r00_e00009,511344,1022386,no_memory_baseline,0.0,False,False,W1,gaussian_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_static_map_baseline_p00009_rep00,55,9,0,v410_run001_seed00511_r00_e00009,511344,1022386,static_map_baseline,0.8,True,False,W1,gaussian_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_only_without_memory_p00009_rep00,56,9,0,v410_run001_seed00511_r00_e00009,511344,1022386,context_only_without_memory,0.0,False,False,W1,gaussian_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_5_p00009_rep00,57,9,0,v410_run001_seed00511_r00_e00009,511344,1022386,context_plus_memory_lambda_0_5,0.5,True,True,W1,gaussian_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_8_p00009_rep00,58,9,0,v410_run001_seed00511_r00_e00009,511344,1022386,context_plus_memory_lambda_0_8,0.8,True,True,W1,gaussian_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_95_p00009_rep00,59,9,0,v410_run001_seed00511_r00_e00009,511344,1022386,context_plus_memory_lambda_0_95,0.95,True,True,W1,gaussian_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_no_memory_baseline_p00010_rep00,60,10,0,v410_run001_seed00511_r00_e00010,511381,1022427,no_memory_baseline,0.0,False,False,W2,annular_gp_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_static_map_baseline_p00010_rep00,61,10,0,v410_run001_seed00511_r00_e00010,511381,1022427,static_map_baseline,0.8,True,False,W2,annular_gp_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_only_without_memory_p00010_rep00,62,10,0,v410_run001_seed00511_r00_e00010,511381,1022427,context_only_without_memory,0.0,False,False,W2,annular_gp_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_5_p00010_rep00,63,10,0,v410_run001_seed00511_r00_e00010,511381,1022427,context_plus_memory_lambda_0_5,0.5,True,True,W2,annular_gp_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_8_p00010_rep00,64,10,0,v410_run001_seed00511_r00_e00010,511381,1022427,context_plus_memory_lambda_0_8,0.8,True,True,W2,annular_gp_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_95_p00010_rep00,65,10,0,v410_run001_seed00511_r00_e00010,511381,1022427,context_plus_memory_lambda_0_95,0.95,True,True,W2,annular_gp_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_no_memory_baseline_p00011_rep00,66,11,0,v410_run001_seed00511_r00_e00011,511418,1022468,no_memory_baseline,0.0,False,False,W2,annular_gp_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_static_map_baseline_p00011_rep00,67,11,0,v410_run001_seed00511_r00_e00011,511418,1022468,static_map_baseline,0.8,True,False,W2,annular_gp_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_only_without_memory_p00011_rep00,68,11,0,v410_run001_seed00511_r00_e00011,511418,1022468,context_only_without_memory,0.0,False,False,W2,annular_gp_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_5_p00011_rep00,69,11,0,v410_run001_seed00511_r00_e00011,511418,1022468,context_plus_memory_lambda_0_5,0.5,True,True,W2,annular_gp_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_8_p00011_rep00,70,11,0,v410_run001_seed00511_r00_e00011,511418,1022468,context_plus_memory_lambda_0_8,0.8,True,True,W2,annular_gp_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_95_p00011_rep00,71,11,0,v410_run001_seed00511_r00_e00011,511418,1022468,context_plus_memory_lambda_0_95,0.95,True,True,W2,annular_gp_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_no_memory_baseline_p00012_rep00,72,12,0,v410_run001_seed00511_r00_e00012,511455,1022509,no_memory_baseline,0.0,False,False,W3,w3_randomised_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_static_map_baseline_p00012_rep00,73,12,0,v410_run001_seed00511_r00_e00012,511455,1022509,static_map_baseline,0.8,True,False,W3,w3_randomised_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_only_without_memory_p00012_rep00,74,12,0,v410_run001_seed00511_r00_e00012,511455,1022509,context_only_without_memory,0.0,False,False,W3,w3_randomised_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
