config_id,minimum_wall_margin_m,minimum_speed_margin_m_s,maximum_hard_failure_risk,continuation_weight,terminal_weight,hard_failure_weight,energy_weight,lift_dwell_weight,wall_margin_weight,belief_weight,exploration_bonus_weight,no_viable_penalty,terminal_mode_bias,continuation_mode_bias,terminal_continuation_weight,terminal_terminal_weight,terminal_hard_failure_weight,terminal_energy_weight,terminal_lift_dwell_weight,terminal_wall_margin_weight,claim_status
v410_cfg_019_b0.1_h0.65_tb0.05,0.05,0.0,0.65,1.0,-0.3,-0.8,0.04,0.03,0.02,0.1,0.0076,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_020_b0.2_h0.75_tb0,0.05,0.0,0.75,1.0,-0.3,-0.8,0.04,0.03,0.02,0.2,0.008,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_021_b0.2_h0.75_tb0.05,0.05,0.0,0.75,1.0,-0.3,-0.8,0.04,0.03,0.02,0.2,0.0084,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_022_b0.2_h0.72_tb0,0.05,0.0,0.72,1.0,-0.3,-0.8,0.04,0.03,0.02,0.2,0.0088,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_023_b0.2_h0.72_tb0.05,0.05,0.0,0.72,1.0,-0.3,-0.8,0.04,0.03,0.02,0.2,0.0092,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_024_b0.2_h0.7_tb0,0.05,0.0,0.7,1.0,-0.3,-0.8,0.04,0.03,0.02,0.2,0.0096,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_025_b0.2_h0.7_tb0.05,0.05,0.0,0.7,1.0,-0.3,-0.8,0.04,0.03,0.02,0.2,0.01,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_026_b0.2_h0.68_tb0,0.05,0.0,0.68,1.0,-0.3,-0.8,0.04,0.03,0.02,0.2,0.0104,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_027_b0.2_h0.68_tb0.05,0.05,0.0,0.68,1.0,-0.3,-0.8,0.04,0.03,0.02,0.2,0.0108,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_028_b0.2_h0.65_tb0,0.05,0.0,0.65,1.0,-0.3,-0.8,0.04,0.03,0.02,0.2,0.011200000000000002,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_029_b0.2_h0.65_tb0.05,0.05,0.0,0.65,1.0,-0.3,-0.8,0.04,0.03,0.02,0.2,0.0116,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_030_b0.35_h0.75_tb0,0.05,0.0,0.75,1.0,-0.3,-0.8,0.04,0.03,0.02,0.35,0.012,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_031_b0.35_h0.75_tb0.05,0.05,0.0,0.75,1.0,-0.3,-0.8,0.04,0.03,0.02,0.35,0.0124,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_032_b0.35_h0.72_tb0,0.05,0.0,0.72,1.0,-0.3,-0.8,0.04,0.03,0.02,0.35,0.0128,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_033_b0.35_h0.72_tb0.05,0.05,0.0,0.72,1.0,-0.3,-0.8,0.04,0.03,0.02,0.35,0.0132,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_034_b0.35_h0.7_tb0,0.05,0.0,0.7,1.0,-0.3,-0.8,0.04,0.03,0.02,0.35,0.013600000000000001,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_035_b0.35_h0.7_tb0.05,0.05,0.0,0.7,1.0,-0.3,-0.8,0.04,0.03,0.02,0.35,0.014000000000000002,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_036_b0.35_h0.68_tb0,0.05,0.0,0.68,1.0,-0.3,-0.8,0.04,0.03,0.02,0.35,0.0144,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_037_b0.35_h0.68_tb0.05,0.05,0.0,0.68,1.0,-0.3,-0.8,0.04,0.03,0.02,0.35,0.0148,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_038_b0.35_h0.65_tb0,0.05,0.0,0.65,1.0,-0.3,-0.8,0.04,0.03,0.02,0.35,0.0152,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_039_b0.35_h0.65_tb0.05,0.05,0.0,0.65,1.0,-0.3,-0.8,0.04,0.03,0.02,0.35,0.015600000000000001,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_040_b0.55_h0.75_tb0,0.05,0.0,0.75,1.0,-0.3,-0.8,0.04,0.03,0.02,0.55,0.016,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_041_b0.55_h0.75_tb0.05,0.05,0.0,0.75,1.0,-0.3,-0.8,0.04,0.03,0.02,0.55,0.0164,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_042_b0.55_h0.72_tb0,0.05,0.0,0.72,1.0,-0.3,-0.8,0.04,0.03,0.02,0.55,0.0168,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_043_b0.55_h0.72_tb0.05,0.05,0.0,0.72,1.0,-0.3,-0.8,0.04,0.03,0.02,0.55,0.0172,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_044_b0.55_h0.7_tb0,0.05,0.0,0.7,1.0,-0.3,-0.8,0.04,0.03,0.02,0.55,0.0176,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_045_b0.55_h0.7_tb0.05,0.05,0.0,0.7,1.0,-0.3,-0.8,0.04,0.03,0.02,0.55,0.018000000000000002,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_046_b0.55_h0.68_tb0,0.05,0.0,0.68,1.0,-0.3,-0.8,0.04,0.03,0.02,0.55,0.0184,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_047_b0.55_h0.68_tb0.05,0.05,0.0,0.68,1.0,-0.3,-0.8,0.04,0.03,0.02,0.55,0.0188,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_048_b0.55_h0.65_tb0,0.05,0.0,0.65,1.0,-0.3,-0.8,0.04,0.03,0.02,0.55,0.0192,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_049_b0.55_h0.65_tb0.05,0.05,0.0,0.65,1.0,-0.3,-0.8,0.04,0.03,0.02,0.55,0.0196,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
