event_id,surface_index,surface_name,command_level_norm,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count,settled_deflection_deg,lookup_deflection_deg,lookup_error_deg,linear_fitted_deflection_deg,linear_fit_error_deg,valid,rejection_reason
22,1,Aileron_L,0.05,positive_first,positive,return,22,23,-2.79577969726062,-2.92842419424311,0.132644496982498,0,-2.79577969726062,1,
23,1,Aileron_L,0,positive_first,positive,return,23,23,-1.75685724127825,0.0203986512684016,-1.77725589254665,0,-1.75685724127825,1,
24,1,Aileron_L,-0,positive_first,negative,outbound,1,23,-1.42062103119868,0.0203986512684016,-1.44101968246709,0,-1.42062103119868,1,
25,1,Aileron_L,-0.05,positive_first,negative,outbound,2,23,-3.19189025052438,-2.63683036944425,-0.555059881080128,0,-3.19189025052438,1,
26,1,Aileron_L,-0.075,positive_first,negative,outbound,3,23,-4.48774070247354,-3.37433202509437,-1.11340867737917,0,-4.48774070247354,1,
27,1,Aileron_L,-0.1,positive_first,negative,outbound,4,23,-6.1623700170899,-5.51866574636929,-0.64370427072061,0,-6.1623700170899,1,
28,1,Aileron_L,-0.125,positive_first,negative,outbound,5,23,-3.29603279185372,-5.39720412780088,2.10117133594716,-0.962320941957928,-2.33371184989579,1,
29,1,Aileron_L,-0.15,positive_first,negative,outbound,6,23,-7.11544077546595,-7.68992870470095,0.574487929234995,-1.92464188391586,-5.1907988915501,1,
30,1,Aileron_L,-0.2,positive_first,negative,outbound,7,23,-8.26576993286177,-9.98531332136183,1.71954338850006,-3.84928376783171,-4.41648616503006,1,
31,1,Aileron_L,-0.3,positive_first,negative,outbound,8,23,-11.4894068854285,-16.2144470994331,4.7250402140046,-7.69856753566343,-3.79083934976511,1,
32,1,Aileron_L,-0.45,positive_first,negative,outbound,9,23,-19.949476345677,-19.949476345677,0,-13.472493187411,-6.476983158266,1,
33,1,Aileron_L,-0.6,positive_first,negative,outbound,10,23,-25.0755190626822,-22.5708266144223,-2.50469244825992,-19.2464188391586,-5.82910022352367,1,
34,1,Aileron_L,-0.8,positive_first,negative,outbound,11,23,-25.3054851885214,-25.7772215220184,0.471736333496963,-26.5567330857505,1.25124789722906,1,
35,1,Aileron_L,-1,positive_first,negative,outbound,12,23,-26.0488832774557,-24.431529836595,-1.6173534408607,-26.5567330857505,0.507849808294718,1,
36,1,Aileron_L,-0.8,positive_first,negative,return,13,23,-26.5567330857505,-25.7772215220184,-0.7795115637321,-26.5567330857505,0,1,
37,1,Aileron_L,-0.6,positive_first,negative,return,14,23,-22.1031174105867,-22.5708266144223,0.467709203835575,-19.2464188391586,-2.85669857142818,1,
38,1,Aileron_L,-0.45,positive_first,negative,return,15,23,-15.4520527736419,-19.949476345677,4.49742357203504,-13.472493187411,-1.97955958623095,0,unstable_final_window
39,1,Aileron_L,-0.3,positive_first,negative,return,16,23,-16.7900641611904,-16.2144470994331,-0.575617061757267,-7.69856753566343,-9.09149662552699,1,
40,1,Aileron_L,-0.2,positive_first,negative,return,17,23,-11.4403703475473,-9.98531332136183,-1.45505702618544,-3.84928376783171,-7.59108657971556,1,
41,1,Aileron_L,-0.15,positive_first,negative,return,18,23,-8.26441663393594,-7.68992870470095,-0.574487929234995,-1.92464188391586,-6.33977475002009,1,
42,1,Aileron_L,-0.125,positive_first,negative,return,19,23,-7.49837546374803,-5.39720412780088,-2.10117133594716,-0.962320941957928,-6.5360545217901,1,
