t_read_host_s,line_text
8.9795563,"COMMIT_EVENT,49,0,3788354434,3788362249,189266,1500,1500,1500,1500,1500,1500,1500,1500"
9.0203631,"RX_EVENT,50,0,3788397646,32768,32768,32768,32768"
9.0203631,"COMMIT_EVENT,50,0,3788397646,3788402249,189268,1500,1500,1500,1500,1500,1500,1500,1500"
9.0667648,"RX_EVENT,51,0,3788438489,32768,32768,32768,32768"
9.0667648,"COMMIT_EVENT,51,0,3788438489,3788442250,189270,1500,1500,1500,1500,1500,1500,1500,1500"
9.1046108,"RX_EVENT,52,0,3788484905,32768,32768,32768,32768"
9.1046108,"COMMIT_EVENT,52,0,3788484905,3788502249,189273,1500,1500,1500,1500,1500,1500,1500,1500"
9.1474461,"RX_EVENT,53,0,3788523224,32768,32768,32768,32768"
9.1474461,"COMMIT_EVENT,53,0,3788523224,3788542249,189275,1500,1500,1500,1500,1500,1500,1500,1500"
9.1955176,"RX_EVENT,54,0,3788565898,32768,32768,32768,32768"
9.1955176,"COMMIT_EVENT,54,0,3788565898,3788582249,189277,1500,1500,1500,1500,1500,1500,1500,1500"
9.2450549,"RX_EVENT,55,0,3788614674,32768,32768,32768,32768"
9.2450549,"COMMIT_EVENT,55,0,3788614674,3788622249,189279,1500,1500,1500,1500,1500,1500,1500,1500"
9.3150377,"RX_EVENT,56,0,3788664002,32768,32768,32768,32768"
9.3150377,"COMMIT_EVENT,56,0,3788664002,3788682249,189282,1500,1500,1500,1500,1500,1500,1500,1500"
9.386953,"RX_EVENT,57,0,3788734148,32768,32768,32768,32768"
9.386953,"COMMIT_EVENT,57,0,3788734148,3788742249,189285,1500,1500,1500,1500,1500,1500,1500,1500"
9.4499045,"RX_EVENT,58,0,3788806200,32768,32768,32768,32768"
9.4499045,"COMMIT_EVENT,58,0,3788806200,3788822249,189289,1500,1500,1500,1500,1500,1500,1500,1500"
9.5211546,"RX_EVENT,59,0,3788868241,32768,32768,32768,32768"
9.5211546,"COMMIT_EVENT,59,0,3788868241,3788882249,189292,1500,1500,1500,1500,1500,1500,1500,1500"
9.5691513,"RX_EVENT,60,0,3788940327,32768,32768,32768,32768"
9.5691513,"COMMIT_EVENT,60,0,3788940327,3788942249,189295,1500,1500,1500,1500,1500,1500,1500,1500"
9.6192779,"RX_EVENT,61,0,3788987671,32768,32768,32768,32768"
9.6192779,"COMMIT_EVENT,61,0,3788987671,3789002249,189298,1500,1500,1500,1500,1500,1500,1500,1500"
9.6652363,"RX_EVENT,62,0,3789037386,32768,32768,32768,32768"
9.6652363,"COMMIT_EVENT,62,0,3789037386,3789042249,189300,1500,1500,1500,1500,1500,1500,1500,1500"
9.7132503,"RX_EVENT,63,0,3789083399,32768,32768,32768,32768"
9.7132503,"COMMIT_EVENT,63,0,3789083399,3789102249,189303,1500,1500,1500,1500,1500,1500,1500,1500"
9.7666821,"RX_EVENT,64,0,3789132238,32768,32768,32768,32768"
9.7666821,"COMMIT_EVENT,64,0,3789132238,3789142249,189305,1500,1500,1500,1500,1500,1500,1500,1500"
9.818942,"RX_EVENT,65,0,3789185135,32768,32768,32768,32768"
9.818942,"COMMIT_EVENT,65,0,3789185135,3789202249,189308,1500,1500,1500,1500,1500,1500,1500,1500"
9.870992,"RX_EVENT,66,0,3789237286,32768,32768,32768,32768"
9.870992,"COMMIT_EVENT,66,0,3789237286,3789242249,189310,1500,1500,1500,1500,1500,1500,1500,1500"
9.9139884,"RX_EVENT,67,0,3789290021,32768,32768,32768,32768"
9.9139884,"COMMIT_EVENT,67,0,3789290021,3789302249,189313,1500,1500,1500,1500,1500,1500,1500,1500"
9.9554174,"RX_EVENT,68,0,3789331993,32768,32768,32768,32768"
9.9554174,"COMMIT_EVENT,68,0,3789331993,3789342249,189315,1500,1500,1500,1500,1500,1500,1500,1500"
10.0015415,"RX_EVENT,69,0,3789373896,32768,32768,32768,32768"
10.0015415,"COMMIT_EVENT,69,0,3789373896,3789382249,189317,1500,1500,1500,1500,1500,1500,1500,1500"
10.0600577,"RX_EVENT,70,0,3789420336,32768,32768,32768,32768"
10.0600577,"COMMIT_EVENT,70,0,3789420336,3789422249,189319,1500,1500,1500,1500,1500,1500,1500,1500"
10.1114071,"RX_EVENT,71,0,3789479117,32768,32768,32768,32768"
10.1114071,"COMMIT_EVENT,71,0,3789479117,3789482249,189322,1500,1500,1500,1500,1500,1500,1500,1500"
10.1798918,"RX_EVENT,72,0,3789530189,32768,32768,32768,32768"
10.1798918,"COMMIT_EVENT,72,0,3789530189,3789542249,189325,1500,1500,1500,1500,1500,1500,1500,1500"
10.2314342,"RX_EVENT,73,0,3789598369,32768,32768,32768,32768"
10.2314342,"COMMIT_EVENT,73,0,3789598369,3789602249,189328,1500,1500,1500,1500,1500,1500,1500,1500"
10.2844904,"RX_EVENT,74,0,3789650881,32768,32768,32768,32768"
10.2844904,"COMMIT_EVENT,74,0,3789650881,3789662249,189331,1500,1500,1500,1500,1500,1500,1500,1500"
10.3313489,"RX_EVENT,75,0,3789702868,32768,32768,32768,32768"
10.3313489,"COMMIT_EVENT,75,0,3789702868,3789722249,189334,1500,1500,1500,1500,1500,1500,1500,1500"
10.3709039,"RX_EVENT,76,0,3789749412,32768,32768,32768,32768"
10.3709039,"COMMIT_EVENT,76,0,3789749412,3789762249,189336,1500,1500,1500,1500,1500,1500,1500,1500"
10.4105296,"RX_EVENT,77,0,3789789560,32768,32768,32768,32768"
10.4105296,"COMMIT_EVENT,77,0,3789789560,3789802249,189338,1500,1500,1500,1500,1500,1500,1500,1500"
10.4539651,"RX_EVENT,78,0,3789828633,32768,32768,32768,32768"
10.4539651,"COMMIT_EVENT,78,0,3789828633,3789842249,189340,1500,1500,1500,1500,1500,1500,1500,1500"
10.5037342,"RX_EVENT,79,0,3789872871,32768,32768,32768,32768"
10.5037342,"COMMIT_EVENT,79,0,3789872871,3789882249,189342,1500,1500,1500,1500,1500,1500,1500,1500"
10.548067,"RX_EVENT,80,0,3789921931,32768,32768,32768,32768"
10.548067,"COMMIT_EVENT,80,0,3789921931,3789922249,189344,1500,1500,1500,1500,1500,1500,1500,1500"
10.5968015,"RX_EVENT,81,0,3789966477,32768,32768,32768,32768"
10.5968015,"COMMIT_EVENT,81,0,3789966477,3789982249,189347,1500,1500,1500,1500,1500,1500,1500,1500"
10.6470215,"RX_EVENT,82,0,3790015067,32768,32768,32768,32768"
10.6470215,"COMMIT_EVENT,82,0,3790015067,3790022249,189349,1500,1500,1500,1500,1500,1500,1500,1500"
10.7063547,"RX_EVENT,83,0,3790065533,32768,32768,32768,32768"
10.7063547,"COMMIT_EVENT,83,0,3790065533,3790082249,189352,1500,1500,1500,1500,1500,1500,1500,1500"
10.7848287,"RX_EVENT,84,0,3790125306,32768,32768,32768,32768"
10.7848287,"COMMIT_EVENT,84,0,3790125306,3790142249,189355,1500,1500,1500,1500,1500,1500,1500,1500"
10.8399902,"RX_EVENT,85,0,3790203545,32768,32768,32768,32768"
10.8399902,"COMMIT_EVENT,85,0,3790203545,3790222249,189359,1500,1500,1500,1500,1500,1500,1500,1500"
10.8871496,"RX_EVENT,86,0,3790258327,32768,32768,32768,32768"
10.8871496,"COMMIT_EVENT,86,0,3790258327,3790262249,189361,1500,1500,1500,1500,1500,1500,1500,1500"
10.9290019,"RX_EVENT,87,0,3790305627,32768,32768,32768,32768"
10.9290019,"COMMIT_EVENT,87,0,3790305627,3790322249,189364,1500,1500,1500,1500,1500,1500,1500,1500"
10.9799192,"RX_EVENT,88,0,3790347806,32768,32768,32768,32768"
10.9799192,"COMMIT_EVENT,88,0,3790347806,3790362250,189366,1500,1500,1500,1500,1500,1500,1500,1500"
11.0304902,"RX_EVENT,89,0,3790398642,32768,32768,32768,32768"
11.0304902,"COMMIT_EVENT,89,0,3790398642,3790402249,189368,1500,1500,1500,1500,1500,1500,1500,1500"
11.0763778,"RX_EVENT,90,0,3790448759,32768,32768,32768,32768"
11.0763778,"COMMIT_EVENT,90,0,3790448759,3790462249,189371,1500,1500,1500,1500,1500,1500,1500,1500"
11.1199108,"RX_EVENT,91,0,3790494874,32768,32768,32768,32768"
11.1199108,"COMMIT_EVENT,91,0,3790494874,3790502249,189373,1500,1500,1500,1500,1500,1500,1500,1500"
11.1639408,"RX_EVENT,92,0,3790538425,32768,32768,32768,32768"
11.1639408,"COMMIT_EVENT,92,0,3790538425,3790542250,189375,1500,1500,1500,1500,1500,1500,1500,1500"
11.2074412,"RX_EVENT,93,0,3790582097,32768,32768,32768,32768"
11.2074412,"COMMIT_EVENT,93,0,3790582097,3790602249,189378,1500,1500,1500,1500,1500,1500,1500,1500"
11.2533971,"RX_EVENT,94,0,3790626354,32768,32768,32768,32768"
11.2533971,"COMMIT_EVENT,94,0,3790626354,3790642249,189380,1500,1500,1500,1500,1500,1500,1500,1500"
11.3098377,"RX_EVENT,95,0,3790671931,32768,32768,32768,32768"
11.3098377,"COMMIT_EVENT,95,0,3790671931,3790682249,189382,1500,1500,1500,1500,1500,1500,1500,1500"
11.3538397,"RX_EVENT,96,0,3790728095,32768,32768,32768,32768"
11.3538397,"COMMIT_EVENT,96,0,3790728095,3790742250,189385,1500,1500,1500,1500,1500,1500,1500,1500"
11.4023999,"RX_EVENT,97,0,3790771941,32768,32768,32768,32768"
11.4023999,"COMMIT_EVENT,97,0,3790771941,3790782249,189387,1500,1500,1500,1500,1500,1500,1500,1500"
11.4418788,"RX_EVENT,98,0,3790820471,32768,32768,32768,32768"
11.4418788,"COMMIT_EVENT,98,0,3790820471,3790822249,189389,1500,1500,1500,1500,1500,1500,1500,1500"
