stage_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,credible_launch_gate_outcome,r5_launch_entry_gate_passed
W01,inflight_nominal,inflight_stable,boundary_near,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,612,1546,0,0,0,2158,0,0,0,2158,0.0,True,False
W01,inflight_nominal,inflight_stable,boundary_near,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,620,1538,0,0,0,2158,0,0,0,2158,0.0,True,False
W01,inflight_nominal,inflight_stable,boundary_near,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,603,1554,0,0,0,2157,0,0,0,2157,0.0,True,False
W01,inflight_nominal,inflight_stable,boundary_near,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,610,1547,0,0,0,2157,0,0,0,2157,0.0,True,False
W01,inflight_nominal,inflight_stable,boundary_near,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,603,1556,0,0,0,2159,0,0,0,2159,0.0,True,False
W01,inflight_nominal,inflight_stable,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,622,1534,0,0,0,2156,0,0,0,2156,0.0,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,33,135,0,0,0,168,0,0,0,168,0.0,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,glide,glide,transition_object,inflight_entry_evidence_for_8_families,36,142,0,0,0,178,0,0,0,178,0.0,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,37,145,0,0,0,182,0,0,0,182,0.0,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,32,144,0,0,0,176,0,0,0,176,0.0,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,39,139,0,0,0,178,0,0,0,178,0.0,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,33,137,0,0,0,170,0,0,0,170,0.0,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,36,139,0,0,0,175,0,0,0,175,0.0,True,False
