case_id,alpha_deg,speed_m_s,delta_e_deg,surface_name,surface_code,fx_b_n,fy_b_n,fz_b_n,mx_b_nm,my_b_nm,mz_b_nm,cx_body,cy_body,cz_body,cl_roll,cm_pitch,cn_yaw,cl_lift,cd_drag,valid_local,local_status
longitudinal_000052,8.0,8.5,-10.0,vertical_tail,2,-0.006093663440552426,0.0,0.0,0.0,0.0003385631880761191,0.0,-0.0010923384394084515,0.0,0.0,0.0,0.0003678193258750518,0.0,-0.00015202412791035273,0.001081707876805188,True,ok
longitudinal_000053,10.0,8.5,-10.0,total,-1,0.18201021157217911,0.0,-4.63893897064744,2.42861286636753e-17,0.40027910571357855,-1.5178830414797062e-18,0.03262680198943385,0.0,-0.8315673166302558,5.698278688468565e-18,0.4348682786869767,-3.561424180292853e-19,0.8245995252775986,0.11226902158503457,True,ok
longitudinal_000053,10.0,8.5,-10.0,wing,0,0.282440973564853,0.0,-3.763015116877115,2.7755575615628914e-17,0.6242772957986269,-1.734723475976807e-18,0.05062982806626189,0.0,-0.6745508839371214,6.512318501106931e-18,0.67822274301164,-4.070199063191832e-19,0.6730947176818116,0.06727388452596836,True,ok
longitudinal_000053,10.0,8.5,-10.0,horizontal_tail,1,-0.09440411392542682,0.0,-0.8759238537703274,-3.469446951953614e-18,-0.2243330299072612,2.168404344971009e-19,-0.016922700684908493,0.0,-0.15701643269313478,-8.140398126383664e-19,-0.24371823853881314,5.08774882898979e-20,0.1516924041313814,0.04393122423732797,True,ok
longitudinal_000053,10.0,8.5,-10.0,vertical_tail,2,-0.006026648067247083,0.0,0.0,0.0,0.00033483982221292147,0.0,-0.0010803253919195509,0.0,0.0,0.0,0.0003637742141499117,0.0,-0.0001875965355941423,0.0010639128217383258,True,ok
longitudinal_000054,12.0,8.5,-10.0,total,-1,0.16253485667448686,-2.0816681711721685e-17,-4.667538707869437,-2.0816681711721685e-17,0.37711936424361786,6.938893903907228e-18,0.029135687164434206,-3.7315585011342715e-18,-0.8366940507581478,-4.884238875830198e-18,0.40970724288941035,1.6280796252767328e-18,0.8244679282788261,0.1454594722946646,True,ok
longitudinal_000054,12.0,8.5,-10.0,wing,0,0.2729156390533304,-2.0816681711721685e-17,-3.725319123662116,-1.3877787807814457e-17,0.6181441996465408,6.938893903907228e-18,0.048922334842084615,-3.7315585011342715e-18,-0.6677935723786264,-3.2561592505534656e-18,0.6715596698494154,1.6280796252767328e-18,0.6633722059633806,0.09098882630239102,True,ok
longitudinal_000054,12.0,8.5,-10.0,horizontal_tail,1,-0.1044353738587973,0.0,-0.9422195842073194,-6.938893903907228e-18,-0.24135516156592776,0.0,-0.01872088513139395,0.0,-0.16890047837952113,-1.6280796252767328e-18,-0.2622112974777532,0.0,0.16131730680844744,0.05342817291470081,True,ok
longitudinal_000054,12.0,8.5,-10.0,vertical_tail,2,-0.005945408520046166,0.0,0.0,0.0,0.0003303261630050363,0.0,-0.0010657625462564414,0.0,0.0,0.0,0.0003588705177483384,0.0,-0.00022158449300241717,0.0010424730775726897,True,ok
longitudinal_000055,-8.0,4.5,0.0,total,-1,0.05946013331448966,-1.734723475976807e-18,1.1582606681788508,-4.336808689942018e-18,-0.0961664400524727,-3.7947076036992655e-19,0.038029223268840354,-1.1094860152549427e-18,0.740794732509553,-3.630517065624813e-18,-0.3727616039434447,-3.1767024324217114e-19,-0.7388780140255903,0.06543957461606015,True,ok
