event_id,surface_index,surface_name,command_level_norm,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count,settled_deflection_deg,fitted_deflection_deg,implementation_error_deg,valid,rejection_reason
118,3,Rudder,-0.6,negative_first,negative,return,8,11,-22.2337730628753,0,-22.2337730628753,1,
119,3,Rudder,-0.4,negative_first,negative,return,9,11,-12.8163255955154,0,-12.8163255955154,1,
120,3,Rudder,-0.2,negative_first,negative,return,10,11,-8.26952985136827,0,-8.26952985136827,1,
121,3,Rudder,-0,negative_first,negative,return,11,11,-5.69433972111226,0,-5.69433972111226,1,
122,3,Rudder,0,negative_first,positive,outbound,1,11,-6.61199045610559,0,-6.61199045610559,0,unstable_final_window
123,3,Rudder,0.2,negative_first,positive,outbound,2,11,3.56115932295928,0,3.56115932295928,1,
124,3,Rudder,0.4,negative_first,positive,outbound,3,11,14.0777512563164,0,14.0777512563164,1,
125,3,Rudder,0.6,negative_first,positive,outbound,4,11,26.3521618621379,0,26.3521618621379,0,unstable_final_window
126,3,Rudder,0.8,negative_first,positive,outbound,5,11,19.665806343619,0,19.665806343619,1,
127,3,Rudder,1,negative_first,positive,outbound,6,11,18.1689193199781,0,18.1689193199781,0,unstable_final_window
128,3,Rudder,0.8,negative_first,positive,return,7,11,20.0036492099671,0,20.0036492099671,1,
129,3,Rudder,0.6,negative_first,positive,return,8,11,20.5357044666333,0,20.5357044666333,1,
130,3,Rudder,0.4,negative_first,positive,return,9,11,17.0955937784108,0,17.0955937784108,0,unstable_final_window
131,3,Rudder,0.2,negative_first,positive,return,10,11,13.0383341455413,0,13.0383341455413,1,
132,3,Rudder,0,negative_first,positive,return,11,11,8.97485233744062,0,8.97485233744062,1,
133,4,Elevator,0,positive_first,positive,outbound,1,11,-0.0257350956225154,0,-0.0257350956225154,1,
134,4,Elevator,0.2,positive_first,positive,outbound,2,11,0.0393317315144205,0,0.0393317315144205,1,
135,4,Elevator,0.4,positive_first,positive,outbound,3,11,-0.109531357571935,0,-0.109531357571935,1,
136,4,Elevator,0.6,positive_first,positive,outbound,4,11,0.175481214032662,0,0.175481214032662,1,
137,4,Elevator,0.8,positive_first,positive,outbound,5,11,1.03063886336321,0,1.03063886336321,1,
138,4,Elevator,1,positive_first,positive,outbound,6,11,1.33344362987316,-0.057495237415199,1.39093886728836,1,
139,4,Elevator,0.8,positive_first,positive,return,7,11,1.46865659148499,0,1.46865659148499,1,
140,4,Elevator,0.6,positive_first,positive,return,8,11,0.72938627386303,0,0.72938627386303,1,
141,4,Elevator,0.4,positive_first,positive,return,9,11,0.309499693779224,0,0.309499693779224,1,
142,4,Elevator,0.2,positive_first,positive,return,10,11,0.527166942803092,0,0.527166942803092,1,
143,4,Elevator,0,positive_first,positive,return,11,11,-0.41941174622628,0,-0.41941174622628,1,
144,4,Elevator,-0,positive_first,negative,outbound,1,11,-0.33421666103741,0,-0.33421666103741,1,
145,4,Elevator,-0.2,positive_first,negative,outbound,2,11,-0.26537515804534,0,-0.26537515804534,1,
146,4,Elevator,-0.4,positive_first,negative,outbound,3,11,-0.40443614071042,0,-0.40443614071042,1,
147,4,Elevator,-0.6,positive_first,negative,outbound,4,11,-0.304084194269295,0,-0.304084194269295,1,
148,4,Elevator,-0.8,positive_first,negative,outbound,5,11,-0.101940804948168,0,-0.101940804948168,1,
149,4,Elevator,-1,positive_first,negative,outbound,6,11,-0.158296650176896,0,-0.158296650176896,1,
150,4,Elevator,-0.8,positive_first,negative,return,7,11,-0.212272865466104,0,-0.212272865466104,1,
151,4,Elevator,-0.6,positive_first,negative,return,8,11,-0.0642171417846155,0,-0.0642171417846155,1,
152,4,Elevator,-0.4,positive_first,negative,return,9,11,-0.304302982578421,0,-0.304302982578421,1,
153,4,Elevator,-0.2,positive_first,negative,return,10,11,-0.0537426075444505,0,-0.0537426075444505,1,
