diagnostic_version,outer_case_index,environment_block_id,paired_start_condition_index,neutral_status,neutral_policy_id,initial_launch_speed_m_s,termination_cause,trajectory_status,mission_success,front_wall_terminal_success,wrong_wall_exit,floor_or_ceiling_violation,hard_failure,safe_geometric,terminal_wall_face,episode_flight_time_s,start_specific_energy_m,terminal_specific_energy_m,net_specific_energy_delta_m,final_exit_x_w_m,final_exit_y_w_m,final_exit_z_w_m,min_wall_margin_m,floor_margin_m,ceiling_margin_m,max_abs_surface_rad,neutral_diagnostic_score,wind_mode,environment_instance_id,W_layer,environment_mode,fan_count,active_fan_count,path_points_json
r11_balanced_true_neutral_intervention_diagnostic_v1,48,r11_l2_four_fan_fixed_nominal,21,complete,true_neutral_open_loop,4.804748838946783,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,1.24,2.795298008854937,2.149846628012206,-0.6454513808427311,6.6596855678412545,0.6344017828608206,1.0525571620975798,-0.059685567841254894,0.6525571620975797,1.881740602972775,0.0,117.49846628012206,panel,W2_annular_gp_four_s22001988,W2,annular_gp_four,4,4,"[[1.29449388153863,2.147102199396998,1.618259397027225],[1.3830148075263513,2.1134032623894976,1.6021625406376723],[1.8256520662620743,1.9554614960229617,1.5074843159654088],[2.2693382455383238,1.8127392457138962,1.4067023331672404],[2.715515570648295,1.680513249953442,1.3138883781959472],[3.1624967746100814,1.5553900040343585,1.2594431013331397],[3.6006529310118918,1.4371577929361545,1.264291873920526],[4.025769143315457,1.325324085973139,1.3003767123880892],[4.442743882779394,1.2173474268973659,1.3197023065083948],[4.857806343969265,1.11144352646006,1.29138886029226],[5.278919238516652,1.003500141915448,1.2466989517617768],[5.708545358285115,0.8922799851431124,1.2054539474682873],[6.14164304924405,0.7765655625710501,1.1608688768897202],[6.573290623685714,0.6583088840372244,1.0753910835516773],[6.6596855678412545,0.6344017828608206,1.0525571620975798]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,49,r11_l2_four_fan_fixed_nominal,23,complete,true_neutral_open_loop,7.392307456997559,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,0.8,4.476922166235313,3.3671362335269057,-1.109785932708407,6.679613200147161,1.9530111605633602,1.4285039623391198,-0.07961320014716122,1.0285039623391197,1.8092591259889288,0.0,120.0,panel,W2_annular_gp_four_s22002029,W2,annular_gp_four,4,4,"[[1.3718843081906091,2.1641505097851934,1.6907408740110712],[1.518229862501436,2.1775326294879718,1.6866045225847355],[2.234377901942273,2.2063259062447225,1.6036873262647735],[2.933069323416123,2.181237562270813,1.5265855709001583],[3.6145131696514725,2.1288858121803007,1.509501893321567],[4.277514230175392,2.0718368098531967,1.506331008318056],[4.926597540164251,2.020861562467555,1.494249412301079],[5.563623778637969,1.9860359462630677,1.497180964707351],[6.18844834185591,1.965056735380089,1.4816059358086826],[6.679613200147161,1.9530111605633602,1.4285039623391198]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,50,r11_l2_four_fan_fixed_nominal,26,complete,true_neutral_open_loop,5.12330928775431,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,1.44,2.7216908421480497,2.083680665805187,-0.6380101763428625,6.60108637882941,0.16791702309746437,0.6349384742292269,-0.0010863788294104282,0.23493847422922687,1.688361275902544,0.0,116.83680665805187,panel,W2_annular_gp_four_s22002070,W2,annular_gp_four,4,4,"[[1.3957531903334113,1.8094267108893485,1.3834000875075974],[1.4914838090843416,1.793177122687223,1.413269869038018],[1.960237531238986,1.716654027687885,1.5176703345417895],[2.400126523136798,1.6388446456131598,1.5899531852417426],[2.809413899775527,1.5558234355691036,1.647841024697063],[3.184479419445814,1.4682198027928821,1.7076481264679884],[3.5274008621214166,1.3772110849860368,1.764494311035033],[3.8482346580575006,1.2829154197412271,1.803995405210571],[4.157568843622484,1.1847352175657768,1.8075780758260875],[4.4638497998030555,1.0818484021225963,1.7637573656259102],[4.774126383152153,0.970288693976216,1.6755874801808561],[5.095142430211624,0.8462774221706862,1.5507784392086637],[5.429975052606663,0.7079729951790886,1.3925862500195343],[5.782290248049547,0.5518238218344759,1.2084796168196843],[6.146361290361484,0.383767413537669,0.9783236486908246],[6.523471510352159,0.20551657333701645,0.6961710385966803],[6.60108637882941,0.16791702309746437,0.6349384742292269]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,51,r11_l2_four_fan_fixed_nominal,28,complete,true_neutral_open_loop,7.877210689848201,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,0.84,4.952963599796348,3.7868445123728396,-1.1661190874235086,6.604780841924428,3.62407323227901,2.1958103620137006,-0.004780841924428181,1.3892711945275371,1.3041896379862994,0.0,120.0,panel,W2_annular_gp_four_s22002111,W2,annular_gp_four,4,4,"[[1.2488137938142587,2.1845752729232126,1.789271194527537],[1.40426273404521,2.1995850684742906,1.8006408403192717],[2.156021224900164,2.3167585138178017,1.8059097525490362],[2.868977038727938,2.481259438810725,1.8029081080587912],[3.544340140280854,2.6714019552248733,1.845562623653872],[4.184466638035695,2.8673683293374563,1.919044860609455],[4.798705206173454,3.058205501800377,1.9816969619051468],[5.388355531152212,3.243004454293344,2.044651706604371],[5.954291791103213,3.421245780958498,2.115315405627324],[6.498045994099195,3.5908794537887805,2.187235485295422],[6.604780841924428,3.62407323227901,2.1958103620137006]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,52,r11_l2_four_fan_fixed_nominal,31,complete,true_neutral_open_loop,7.507516957482443,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,1.44,4.260858635560952,2.6887096557701993,-1.5721489797907529,6.630872742028464,0.11641321216704359,2.3296927735185475,-0.030872742028464017,0.9871550330623192,0.6619193259497749,0.0,120.0,panel,W2_annular_gp_four_s22002152,W2,annular_gp_four,4,4,"[[1.2821716302867352,1.8726811501121425,1.3871550330623192],[1.4116104143196166,1.8079568370935923,1.422018713356561],[2.0540645875881003,1.542960323440631,1.5644409877328538],[2.6682415493000726,1.3508536649545022,1.7079305349876859],[3.231718499731561,1.2002780657980172,1.896511100151321],[3.7391463969187098,1.0696130775439356,2.109085679749609],[4.190359902054376,0.9509079685403132,2.3214490949689073],[4.588421373391999,0.8382084313635798,2.513531502040899],[4.941015018031363,0.7302308588290374,2.669076544617248],[5.2571517535127965,0.6288640508536657,2.775674216890739],[5.5394518786483795,0.5330759988963818,2.8308105810512223],[5.792486134058576,0.44226890675457997,2.8320614251332343],[6.02089979250096,0.3564549930104484,2.780104733243459],[6.228408124710526,0.2759416552618011,2.6798377125716155],[6.418624726341509,0.20075160053960697,2.5392582493161275],[6.596297553655841,0.1301259072357454,2.3671965153860475],[6.630872742028464,0.11641321216704359,2.3296927735185475]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,53,r11_l2_four_fan_fixed_nominal,34,complete,true_neutral_open_loop,4.742186607006741,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,1.46,2.92909703286442,2.1788744250764824,-0.7502226077879377,6.637433711012798,1.0029706505023621,0.8829032672480737,-0.03743371101279802,0.48290326724807364,1.6355012526418264,0.0,117.78874425076482,panel,W2_annular_gp_four_s22002193,W2,annular_gp_four,4,4,"[[1.3106082522619282,2.0624271639870537,1.7825111031292857],[1.4026451328518472,2.047321053622241,1.7954450790240446],[1.8475859405326593,1.9807363897447448,1.8415927165157202],[2.2685589909157216,1.9257525314490336,1.8627761263125728],[2.6694573495118816,1.8796163176179372,1.8616119148380113],[3.049416913613843,1.8387168942183112,1.856165124365618],[3.405122843550295,1.80045834675956,1.8584293945266612],[3.738736332324066,1.7632621557535109,1.861311666846275],[4.057319500030947,1.7250681603078803,1.847945237091004],[4.368820154772899,1.6821739365302595,1.8032367036882693],[4.680204545337698,1.629014995691462,1.723081687825291],[4.9992937945449105,1.5579361663583702,1.6108543710126297],[5.336399229997064,1.4629416623685765,1.4819869979902267],[5.700567020096282,1.3453639612142076,1.3464478292010211],[6.094806895080285,1.206665769157816,1.2073009767633989],[6.486673833011184,1.0610311645059334,0.9971917295056646],[6.637433711012798,1.0029706505023621,0.8829032672480737]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,54,r11_l2_four_fan_fixed_nominal,36,complete,true_neutral_open_loop,7.586201665736088,wall_boundary_exit_retained,finite_neutral_rollout,False,False,True,False,False,True,side_wall_y_max,0.92,4.5501586518980925,3.3259570583382443,-1.2242015935598483,5.560319931561631,4.43158564791804,2.830873945086582,-0.03158564791803986,1.2159020141463128,0.6691260549134181,0.0,-50.0,panel,W2_annular_gp_four_s22002234,W2,annular_gp_four,4,4,"[[1.2140151327637245,1.981272440781908,1.6159020141463127],[1.3526037080585094,2.0366735504320466,1.6381164529089236],[2.029638692429685,2.3141702035045273,1.6963832185775705],[2.662404449818088,2.614104785379375,1.732399973688137],[3.240564722701859,2.935963703770473,1.8068969363001013],[3.7619368042879673,3.259314712053045,1.9497565386349747],[4.225271269005476,3.562294563233188,2.139478163210427],[4.631210834271126,3.8305528398021487,2.345237799666606],[4.987221679005137,4.064067754033789,2.534716209276197],[5.295466602269244,4.263136927461252,2.6993850755565423],[5.560319931561631,4.43158564791804,2.830873945086582]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,55,r11_l2_four_fan_fixed_nominal,39,complete,true_neutral_open_loop,4.820379237181031,floor_margin_stop,finite_neutral_rollout,False,False,False,True,False,False,none,1.72,2.8829387266785096,0.6616937728829375,-2.221244953795572,5.235608328563046,2.9124546663227044,0.37780272559093303,0.13448881671540036,-0.02219727440906699,1.4411163185845846,0.0,-80.0,panel,W2_annular_gp_four_s22002275,W2,annular_gp_four,4,4,"[[1.3344888167154003,1.961600705985052,1.698229575732673],[1.4175862599939035,1.9794075833818328,1.7408957707263757],[1.829675008753154,2.0688522286406075,1.8878995351228691],[2.2169690698949966,2.1510951289025435,1.9809831110817464],[2.574920442484541,2.2297058916151995,2.0351393707904766],[2.902480382795959,2.306535022145903,2.0569230141338246],[3.1973130781838224,2.3791717742431295,2.0558267175883134],[3.459336869028536,2.446404457466836,2.0348143875169633],[3.6912160574997945,2.5081250685409957,1.9892736676048852],[3.8972926572603805,2.5647662404566454,1.9127187271617947],[4.081823692651853,2.6168412945695287,1.8024759376808968],[4.248427263912796,2.664767843689464,1.6610085095572429],[4.400285943433743,2.708973549273266,1.4953124897040801],[4.54081521149771,2.750024257104481,1.3144406378204292],[4.674525056835415,2.7886747779607792,1.1259198890591768],[4.806727064709649,2.825728376021255,0.9354656756640359],[4.942615558443511,2.860917650256293,0.7445262178120069],[5.086571955472364,2.890473148463431,0.5593382065965758],[5.235608328563046,2.9124546663227044,0.37780272559093303]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,56,r11_l2_four_fan_fixed_nominal,41,complete,true_neutral_open_loop,6.544365872773158,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,1.44,3.880703284678709,2.453669932402223,-1.427033352276486,6.609170189814347,3.8603851102021434,2.0497191470021114,-0.009170189814347474,1.2970460379778492,1.11967610505442,0.0,120.0,panel,W2_annular_gp_four_s22002316,W2,annular_gp_four,4,4,"[[1.21733324718355,1.915092105075508,1.6970460379778491],[1.3351893727103643,1.9563651525986754,1.731992879809061],[1.9223794481303498,2.1391509440969014,1.8347452126865886],[2.4870383919444117,2.2968563736684535,1.90243119752598],[3.015301293505201,2.4430186857043075,1.9836078267178654],[3.503037453477851,2.5855068325934902,2.082908881233657],[3.950674417970868,2.7270888722477333,2.1848633164989226],[4.356726746187564,2.8684917176601217,2.275352196819722],[4.7246406777661925,3.0088238937160803,2.3400668858191174],[5.058355661867043,3.145304812867423,2.374399894325242],[5.361767832877248,3.2762281821482366,2.3781405013339185],[5.638948841419747,3.4013928217803935,2.3546300648557072],[5.892702177637093,3.5196950768534836,2.3155694681738574],[6.127236630447723,3.6301407553278175,2.2627716646656584],[6.34852748796118,3.7352403171754656,2.187365844917063],[6.565482365657548,3.8392597468644154,2.0770328511797813],[6.609170189814347,3.8603851102021434,2.0497191470021114]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,57,r11_l2_four_fan_fixed_nominal,44,complete,true_neutral_open_loop,5.574092124922031,wall_boundary_exit_retained,finite_neutral_rollout,True,True,False,False,False,True,front_wall_x_max,1.16,3.0583142998341657,2.096575439079227,-0.9617388607549389,6.660410057349572,3.6765917947438203,1.0752717639619618,-0.06041005734957228,0.6752717639619618,2.0258404837625674,0.0,116.96575439079227,panel,W2_annular_gp_four_s22002357,W2,annular_gp_four,4,4,"[[1.2040993825430446,1.8171438376925828,1.4741595162374328],[1.3140579833124133,1.8198655657905556,1.456248626856643],[1.8577660532456208,1.8559960549580357,1.349875052361189],[2.3935535979284723,1.9310437285845532,1.2440192148408842],[2.9233515007676534,2.0413652931746777,1.1762701451821354],[3.4420922578060926,2.1754494688457893,1.1483645402403222],[3.93851932153616,2.3331732238054457,1.149438537052546],[4.4112469268674905,2.511537061251635,1.1416419367212636],[4.863824566010456,2.706270421065372,1.115872286775037],[5.299112112928537,2.9150774218537903,1.094418116553901],[5.722193698506616,3.128357720819055,1.095976857060951],[6.126901063974228,3.348751051720616,1.1104586691416614],[6.51125160805013,3.580792668208246,1.0979972620111684],[6.660410057349572,3.6765917947438203,1.0752717639619618]]"
r11_balanced_true_neutral_intervention_diagnostic_v1,58,r11_l2_four_fan_fixed_nominal,46,complete,true_neutral_open_loop,5.259157298811943,wall_boundary_exit_retained,finite_neutral_rollout,False,False,True,False,False,True,side_wall_y_min,0.92,2.9590032147715384,2.225722584142046,-0.7332806306294923,5.510009054136842,-0.021824110335250807,0.8701540711292628,-0.021824110335250807,0.4701540711292628,1.9511998358954548,0.0,-50.0,panel,W2_annular_gp_four_s22002398,W2,annular_gp_four,4,4,"[[1.374722217522628,1.8428152198265049,1.5488001641045452],[1.47535510961401,1.8182029105013109,1.5309764934559735],[1.9768900482009601,1.703654275615925,1.4191164772363951],[2.4735967385681343,1.5709589931090566,1.3122424213176533],[2.960671986156813,1.4068626904756654,1.2334437251385053],[3.4279837292458155,1.2076254875789432,1.1967582560656331],[3.872492339768592,0.9829017679734888,1.2025527223221781],[4.295519390207591,0.7395266408316568,1.2095288621264606],[4.706322892235241,0.4901892757201104,1.1590910304380428],[5.11064732115732,0.23861138660045253,1.0412963673223548],[5.510009054136842,-0.021824110335250807,0.8701540711292628]]"
