case_id,case_kind,source_primitive_id,w3_role,family,updraft_config_requested,wind_fidelity_requested,start_condition_label,x_w,y_w,z_w,speed_m_s,available_clearance_x_plus_m,available_clearance_x_minus_m,available_clearance_y_plus_m,available_clearance_y_minus_m,available_floor_margin_m,available_ceiling_margin_m,required_clearance_x_plus_m,required_clearance_x_minus_m,required_clearance_y_plus_m,required_clearance_y_minus_m,required_floor_margin_m,required_ceiling_margin_m,lift_belief_available,lift_confidence,wind_query_region,recovery_fallback_available,no_go_flag,expected_governor_decision_status
recovery_none_favourable_U4_four_fan_W1_dp1__wrong_wind_fidelity_case,wrong_wind_fidelity_case,recovery_none_favourable_U4_four_fan_W1_dp1,recovery_fallback,recovery,U4_four_fan,W2,favourable,2.0,2.2,1.8,6.5,4.372808772122653,0.2,0.2,0.2,1.2709298838713305,1.8,4.172808772122653,0.0,0.0,0.0,1.1709298838713305,1.7,True,0.9,measured,True,False,rejected_wind_fidelity
recovery_none_favourable_U4_four_fan_W1_dp1__low_lift_confidence_case,low_lift_confidence_case,recovery_none_favourable_U4_four_fan_W1_dp1,recovery_fallback,recovery,U4_four_fan,W1,favourable,2.0,2.2,1.8,6.5,4.372808772122653,0.2,0.2,0.2,1.2709298838713305,1.8,4.172808772122653,0.0,0.0,0.0,1.1709298838713305,1.7,True,0.2,measured,True,False,rejected_lift_belief
recovery_none_favourable_U4_four_fan_W1_dp1__insufficient_clearance_case,insufficient_clearance_case,recovery_none_favourable_U4_four_fan_W1_dp1,recovery_fallback,recovery,U4_four_fan,W1,favourable,2.0,2.2,1.8,6.5,4.122808772122653,0.2,0.2,0.2,1.2709298838713305,1.8,4.172808772122653,0.0,0.0,0.0,1.1709298838713305,1.7,True,0.9,measured,True,False,rejected_clearance
recovery_none_favourable_U4_four_fan_W1_dp1__entry_outside_true_safety_case,entry_outside_true_safety_case,recovery_none_favourable_U4_four_fan_W1_dp1,recovery_fallback,recovery,U4_four_fan,W1,favourable,1.0999999999999999,2.2,1.8,6.5,4.372808772122653,0.2,0.2,0.2,1.2709298838713305,1.8,4.172808772122653,0.0,0.0,0.0,1.1709298838713305,1.7,True,0.9,measured,True,False,rejected_entry_envelope
recovery_none_favourable_U4_four_fan_W1_dp1__recovery_unavailable_case,recovery_unavailable_case,recovery_none_favourable_U4_four_fan_W1_dp1,recovery_fallback,recovery,U4_four_fan,W1,favourable,2.0,2.2,1.8,6.5,4.372808772122653,0.2,0.2,0.2,1.2709298838713305,1.8,4.172808772122653,0.0,0.0,0.0,1.1709298838713305,1.7,True,0.9,measured,False,False,rejected_recovery_class
recovery_none_favourable_U4_four_fan_W1_dp1__unsupported_model_region_case,unsupported_model_region_case,recovery_none_favourable_U4_four_fan_W1_dp1,recovery_fallback,recovery,U4_four_fan,W1,favourable,2.0,2.2,1.8,6.5,4.372808772122653,0.2,0.2,0.2,1.2709298838713305,1.8,4.172808772122653,0.0,0.0,0.0,1.1709298838713305,1.7,True,0.9,extrapolated,True,False,rejected_model_region
mild_bank_none_favourable_U1_single_fan_W2_dp1__nominal_valid_case,nominal_valid_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,mild_bank_updraft_encounter,mild_bank,U1_single_fan,W2,favourable,2.0,2.2,1.8,6.5,3.9675061848152193,0.2,0.2725636096832325,0.20000000016168668,1.3856834977322912,1.524698876384641,3.767506184815219,0.0,0.0725636096832325,1.616866640574699e-10,1.285683497732291,1.4246988763846409,True,0.9,measured,True,False,accepted_governor_seed
mild_bank_none_favourable_U1_single_fan_W2_dp1__wrong_updraft_config_case,wrong_updraft_config_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,mild_bank_updraft_encounter,mild_bank,U4_four_fan,W2,favourable,2.0,2.2,1.8,6.5,3.9675061848152193,0.2,0.2725636096832325,0.20000000016168668,1.3856834977322912,1.524698876384641,3.767506184815219,0.0,0.0725636096832325,1.616866640574699e-10,1.285683497732291,1.4246988763846409,True,0.9,measured,True,False,rejected_lift_belief
mild_bank_none_favourable_U1_single_fan_W2_dp1__wrong_wind_fidelity_case,wrong_wind_fidelity_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,mild_bank_updraft_encounter,mild_bank,U1_single_fan,W1,favourable,2.0,2.2,1.8,6.5,3.9675061848152193,0.2,0.2725636096832325,0.20000000016168668,1.3856834977322912,1.524698876384641,3.767506184815219,0.0,0.0725636096832325,1.616866640574699e-10,1.285683497732291,1.4246988763846409,True,0.9,measured,True,False,rejected_wind_fidelity
mild_bank_none_favourable_U1_single_fan_W2_dp1__low_lift_confidence_case,low_lift_confidence_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,mild_bank_updraft_encounter,mild_bank,U1_single_fan,W2,favourable,2.0,2.2,1.8,6.5,3.9675061848152193,0.2,0.2725636096832325,0.20000000016168668,1.3856834977322912,1.524698876384641,3.767506184815219,0.0,0.0725636096832325,1.616866640574699e-10,1.285683497732291,1.4246988763846409,True,0.2,measured,True,False,rejected_lift_belief
mild_bank_none_favourable_U1_single_fan_W2_dp1__insufficient_clearance_case,insufficient_clearance_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,mild_bank_updraft_encounter,mild_bank,U1_single_fan,W2,favourable,2.0,2.2,1.8,6.5,3.7175061848152193,0.2,0.2725636096832325,0.20000000016168668,1.3856834977322912,1.524698876384641,3.767506184815219,0.0,0.0725636096832325,1.616866640574699e-10,1.285683497732291,1.4246988763846409,True,0.9,measured,True,False,rejected_clearance
mild_bank_none_favourable_U1_single_fan_W2_dp1__entry_outside_true_safety_case,entry_outside_true_safety_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,mild_bank_updraft_encounter,mild_bank,U1_single_fan,W2,favourable,1.0999999999999999,2.2,1.8,6.5,3.9675061848152193,0.2,0.2725636096832325,0.20000000016168668,1.3856834977322912,1.524698876384641,3.767506184815219,0.0,0.0725636096832325,1.616866640574699e-10,1.285683497732291,1.4246988763846409,True,0.9,measured,True,False,rejected_entry_envelope
mild_bank_none_favourable_U1_single_fan_W2_dp1__recovery_unavailable_case,recovery_unavailable_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,mild_bank_updraft_encounter,mild_bank,U1_single_fan,W2,favourable,2.0,2.2,1.8,6.5,3.9675061848152193,0.2,0.2725636096832325,0.20000000016168668,1.3856834977322912,1.524698876384641,3.767506184815219,0.0,0.0725636096832325,1.616866640574699e-10,1.285683497732291,1.4246988763846409,True,0.9,measured,False,False,rejected_recovery_class
mild_bank_none_favourable_U1_single_fan_W2_dp1__unsupported_model_region_case,unsupported_model_region_case,mild_bank_none_favourable_U1_single_fan_W2_dp1,mild_bank_updraft_encounter,mild_bank,U1_single_fan,W2,favourable,2.0,2.2,1.8,6.5,3.9675061848152193,0.2,0.2725636096832325,0.20000000016168668,1.3856834977322912,1.524698876384641,3.767506184815219,0.0,0.0725636096832325,1.616866640574699e-10,1.285683497732291,1.4246988763846409,True,0.9,extrapolated,True,False,rejected_model_region
glide_none_favourable_U1_single_fan_W2_dp1__nominal_valid_case,nominal_valid_case,glide_none_favourable_U1_single_fan_W2_dp1,environment_comparison,glide,U1_single_fan,W2,favourable,2.0,2.2,1.8,6.5,3.4031285669992135,0.2,0.2,0.21715214665414462,1.3802209594985229,1.7516646308826869,3.2031285669992133,0.0,0.0,0.0171521466541446,1.2802209594985228,1.6516646308826868,True,0.9,measured,True,False,accepted_governor_seed
glide_none_favourable_U1_single_fan_W2_dp1__wrong_updraft_config_case,wrong_updraft_config_case,glide_none_favourable_U1_single_fan_W2_dp1,environment_comparison,glide,U4_four_fan,W2,favourable,2.0,2.2,1.8,6.5,3.4031285669992135,0.2,0.2,0.21715214665414462,1.3802209594985229,1.7516646308826869,3.2031285669992133,0.0,0.0,0.0171521466541446,1.2802209594985228,1.6516646308826868,True,0.9,measured,True,False,rejected_lift_belief
glide_none_favourable_U1_single_fan_W2_dp1__wrong_wind_fidelity_case,wrong_wind_fidelity_case,glide_none_favourable_U1_single_fan_W2_dp1,environment_comparison,glide,U1_single_fan,W1,favourable,2.0,2.2,1.8,6.5,3.4031285669992135,0.2,0.2,0.21715214665414462,1.3802209594985229,1.7516646308826869,3.2031285669992133,0.0,0.0,0.0171521466541446,1.2802209594985228,1.6516646308826868,True,0.9,measured,True,False,rejected_wind_fidelity
glide_none_favourable_U1_single_fan_W2_dp1__low_lift_confidence_case,low_lift_confidence_case,glide_none_favourable_U1_single_fan_W2_dp1,environment_comparison,glide,U1_single_fan,W2,favourable,2.0,2.2,1.8,6.5,3.4031285669992135,0.2,0.2,0.21715214665414462,1.3802209594985229,1.7516646308826869,3.2031285669992133,0.0,0.0,0.0171521466541446,1.2802209594985228,1.6516646308826868,True,0.2,measured,True,False,rejected_lift_belief
glide_none_favourable_U1_single_fan_W2_dp1__insufficient_clearance_case,insufficient_clearance_case,glide_none_favourable_U1_single_fan_W2_dp1,environment_comparison,glide,U1_single_fan,W2,favourable,2.0,2.2,1.8,6.5,3.1531285669992135,0.2,0.2,0.21715214665414462,1.3802209594985229,1.7516646308826869,3.2031285669992133,0.0,0.0,0.0171521466541446,1.2802209594985228,1.6516646308826868,True,0.9,measured,True,False,rejected_clearance
glide_none_favourable_U1_single_fan_W2_dp1__entry_outside_true_safety_case,entry_outside_true_safety_case,glide_none_favourable_U1_single_fan_W2_dp1,environment_comparison,glide,U1_single_fan,W2,favourable,1.0999999999999999,2.2,1.8,6.5,3.4031285669992135,0.2,0.2,0.21715214665414462,1.3802209594985229,1.7516646308826869,3.2031285669992133,0.0,0.0,0.0171521466541446,1.2802209594985228,1.6516646308826868,True,0.9,measured,True,False,rejected_entry_envelope
glide_none_favourable_U1_single_fan_W2_dp1__recovery_unavailable_case,recovery_unavailable_case,glide_none_favourable_U1_single_fan_W2_dp1,environment_comparison,glide,U1_single_fan,W2,favourable,2.0,2.2,1.8,6.5,3.4031285669992135,0.2,0.2,0.21715214665414462,1.3802209594985229,1.7516646308826869,3.2031285669992133,0.0,0.0,0.0171521466541446,1.2802209594985228,1.6516646308826868,True,0.9,measured,False,False,rejected_recovery_class
glide_none_favourable_U1_single_fan_W2_dp1__unsupported_model_region_case,unsupported_model_region_case,glide_none_favourable_U1_single_fan_W2_dp1,environment_comparison,glide,U1_single_fan,W2,favourable,2.0,2.2,1.8,6.5,3.4031285669992135,0.2,0.2,0.21715214665414462,1.3802209594985229,1.7516646308826869,3.2031285669992133,0.0,0.0,0.0171521466541446,1.2802209594985228,1.6516646308826868,True,0.9,extrapolated,True,False,rejected_model_region
bank_yaw_energy_retaining_015_favourable_U1_single_fan_W1_dp1__target_steering_marginal_rejected_case,target_steering_marginal_rejected_case,bank_yaw_energy_retaining_015_favourable_U1_single_fan_W1_dp1,target_steering,bank_yaw_energy_retaining,U1_single_fan,W1,favourable,2.0,2.2,1.8,6.5,4.424120148016817,0.2,0.4116385767130078,0.2004823519592647,1.3429512041273932,1.7552461822112138,4.224120148016817,0.0,0.2116385767130078,0.0004823519592647,1.2429512041273931,1.6552461822112137,True,0.9,measured,True,False,rejected_target_steering_marginal
