iteration,stage,objective_mode,parameter,cd0_strip_scale,drag_area_fuse_scale,efficiency_strip_scale,roll_moment_bias_coeff,yaw_moment_bias_coeff,delta_a_trim_rad,delta_e_trim_rad,delta_r_trim_rad,train_count,train_objective,train_dx_mae_m,train_dy_mae_m,train_altitude_loss_mae_m,train_sink_mae_m_s,train_final_phi_mae_deg,train_final_theta_mae_deg,train_final_psi_mae_deg,train_dx_mean_m,train_dy_mean_m,train_altitude_loss_mean_m,train_sink_mean_m_s,train_final_phi_mean_deg,train_final_theta_mean_deg,train_final_psi_mean_deg
10,lateral_surface_trim_diagnostic,lateral,delta_r_trim_rad,3,5,1,-0.02,0,0.12,-0.06,0.18,64,2.903523787,0.2880113411,0.3579531783,0.1516616038,0.1461620374,15.74768971,37.36730733,8.061121271,-0.05570228703,0.03832457982,-0.009826768222,-0.007720394124,2.497567208,-37.36730733,0.5453159949
11,refine_1_longitudinal,longitudinal,cd0_strip_scale,3,5,1,-0.02,0,0.12,-0.06,0.18,64,11.5765481,0.2880113411,0.3579531783,0.1516616038,0.1461620374,15.74768971,37.36730733,8.061121271,-0.05570228703,0.03832457982,-0.009826768222,-0.007720394124,2.497567208,-37.36730733,0.5453159949
12,refine_1_longitudinal,longitudinal,drag_area_fuse_scale,3,3,1,-0.02,0,0.12,-0.06,0.18,64,11.56853463,0.2894469158,0.3582194034,0.1519577796,0.1464606508,15.75390034,37.36117746,8.069340011,-0.05801113661,0.03843459567,-0.008624185049,-0.006581467973,2.491386708,-37.36117746,0.5356565133
13,refine_1_longitudinal,longitudinal,efficiency_strip_scale,3,3,1.12,-0.02,0,0.12,-0.06,0.18,64,11.55222127,0.2912519771,0.3597603118,0.1521037035,0.1466515478,15.78505574,37.26551931,8.114534657,-0.06059313039,0.04285465857,-0.007876589269,-0.00584741814,2.697650978,-37.26551931,0.8652536859
14,refine_1_longitudinal,longitudinal,delta_e_trim_rad,3,3,1.12,-0.02,0,0.12,-0.09,0.18,64,11.12879216,0.3700184787,0.3785820211,0.1594036796,0.1537267133,16.01429572,31.34389201,8.638107748,-0.1756611182,0.08051611899,-0.003137556928,-0.002157412909,2.221667218,-31.34389201,0.7296239172
15,refine_1_lateral,lateral,roll_moment_bias_coeff,3,3,1.12,-0.02,0,0.12,-0.09,0.18,64,3.111432549,0.3700184787,0.3785820211,0.1594036796,0.1537267133,16.01429572,31.34389201,8.638107748,-0.1756611182,0.08051611899,-0.003137556928,-0.002157412909,2.221667218,-31.34389201,0.7296239172
16,refine_1_lateral,lateral,yaw_moment_bias_coeff,3,3,1.12,-0.02,0,0.12,-0.09,0.18,64,3.111432549,0.3700184787,0.3785820211,0.1594036796,0.1537267133,16.01429572,31.34389201,8.638107748,-0.1756611182,0.08051611899,-0.003137556928,-0.002157412909,2.221667218,-31.34389201,0.7296239172
17,refine_1_lateral,lateral,delta_a_trim_rad,3,3,1.12,-0.02,0,0.12,-0.09,0.18,64,3.111432549,0.3700184787,0.3785820211,0.1594036796,0.1537267133,16.01429572,31.34389201,8.638107748,-0.1756611182,0.08051611899,-0.003137556928,-0.002157412909,2.221667218,-31.34389201,0.7296239172
18,refine_1_lateral,lateral,delta_r_trim_rad,3,3,1.12,-0.02,0,0.12,-0.09,0.18,64,3.111432549,0.3700184787,0.3785820211,0.1594036796,0.1537267133,16.01429572,31.34389201,8.638107748,-0.1756611182,0.08051611899,-0.003137556928,-0.002157412909,2.221667218,-31.34389201,0.7296239172
19,refine_2_longitudinal,longitudinal,cd0_strip_scale,3,3,1.12,-0.02,0,0.12,-0.09,0.18,64,11.12879216,0.3700184787,0.3785820211,0.1594036796,0.1537267133,16.01429572,31.34389201,8.638107748,-0.1756611182,0.08051611899,-0.003137556928,-0.002157412909,2.221667218,-31.34389201,0.7296239172
20,refine_2_longitudinal,longitudinal,drag_area_fuse_scale,3,1,1.12,-0.02,0,0.12,-0.09,0.18,64,11.1222794,0.3717715047,0.3790069699,0.159690689,0.1540170282,16.0201056,31.32908143,8.647491875,-0.178188463,0.08079605672,-0.002001424045,-0.001082451951,2.21877842,-31.32908143,0.7206431931
21,refine_2_longitudinal,longitudinal,efficiency_strip_scale,3,1,1.24,-0.02,0,0.12,-0.09,0.18,64,11.11257232,0.3737223912,0.3814500075,0.1598051392,0.1541633184,16.04489231,31.22682495,8.647531327,-0.1805896819,0.08534844314,-0.00166049983,-0.000732770003,2.399652475,-31.22682495,0.9829682523
22,refine_2_longitudinal,longitudinal,delta_e_trim_rad,3,1,1.24,-0.02,0,0.12,-0.105,0.18,64,11.05432175,0.4207493888,0.3952878637,0.1644337637,0.1584763758,16.15381693,28.0633214,8.816000049,-0.2409678794,0.1085152225,-0.006244415525,-0.005414062178,2.398324392,-27.9645508,0.8735118183
23,refine_2_lateral,lateral,roll_moment_bias_coeff,3,1,1.24,-0.02,0,0.12,-0.105,0.18,64,3.272778959,0.4207493888,0.3952878637,0.1644337637,0.1584763758,16.15381693,28.0633214,8.816000049,-0.2409678794,0.1085152225,-0.006244415525,-0.005414062178,2.398324392,-27.9645508,0.8735118183
24,refine_2_lateral,lateral,yaw_moment_bias_coeff,3,1,1.24,-0.02,0,0.12,-0.105,0.18,64,3.272778959,0.4207493888,0.3952878637,0.1644337637,0.1584763758,16.15381693,28.0633214,8.816000049,-0.2409678794,0.1085152225,-0.006244415525,-0.005414062178,2.398324392,-27.9645508,0.8735118183
25,refine_2_lateral,lateral,delta_a_trim_rad,3,1,1.24,-0.02,0,0.12,-0.105,0.18,64,3.272778959,0.4207493888,0.3952878637,0.1644337637,0.1584763758,16.15381693,28.0633214,8.816000049,-0.2409678794,0.1085152225,-0.006244415525,-0.005414062178,2.398324392,-27.9645508,0.8735118183
26,refine_2_lateral,lateral,delta_r_trim_rad,3,1,1.24,-0.02,0,0.12,-0.105,0.18,64,3.272778959,0.4207493888,0.3952878637,0.1644337637,0.1584763758,16.15381693,28.0633214,8.816000049,-0.2409678794,0.1085152225,-0.006244415525,-0.005414062178,2.398324392,-27.9645508,0.8735118183
27,refine_3_longitudinal,longitudinal,cd0_strip_scale,3,1,1.24,-0.02,0,0.12,-0.105,0.18,64,11.05432175,0.4207493888,0.3952878637,0.1644337637,0.1584763758,16.15381693,28.0633214,8.816000049,-0.2409678794,0.1085152225,-0.006244415525,-0.005414062178,2.398324392,-27.9645508,0.8735118183
28,refine_3_longitudinal,longitudinal,drag_area_fuse_scale,3,0.2,1.24,-0.02,0,0.12,-0.105,0.18,64,11.05319064,0.4215588881,0.3954950969,0.1645945374,0.158634085,16.15803168,28.05527694,8.821898282,-0.2420120364,0.1086775716,-0.005818370292,-0.005010005128,2.401174244,-27.95647743,0.8719733676
29,refine_3_longitudinal,longitudinal,efficiency_strip_scale,3,0.2,1.12,-0.02,0,0.12,-0.105,0.18,64,11.05139513,0.4194959408,0.3926892212,0.163929021,0.1580255684,16.10397479,28.17378916,8.790327867,-0.239584356,0.1035421426,-0.005906374674,-0.005137047231,2.174479969,-28.07751289,0.5815761037
30,refine_3_longitudinal,longitudinal,delta_e_trim_rad,3,0.2,1.12,-0.02,0,0.12,-0.105,0.18,64,11.05139513,0.4194959408,0.3926892212,0.163929021,0.1580255684,16.10397479,28.17378916,8.790327867,-0.239584356,0.1035421426,-0.005906374674,-0.005137047231,2.174479969,-28.07751289,0.5815761037
31,refine_3_lateral,lateral,roll_moment_bias_coeff,3,0.2,1.12,-0.02,0,0.12,-0.105,0.18,64,3.212343302,0.4194959408,0.3926892212,0.163929021,0.1580255684,16.10397479,28.17378916,8.790327867,-0.239584356,0.1035421426,-0.005906374674,-0.005137047231,2.174479969,-28.07751289,0.5815761037
32,refine_3_lateral,lateral,yaw_moment_bias_coeff,3,0.2,1.12,-0.02,0,0.12,-0.105,0.18,64,3.212343302,0.4194959408,0.3926892212,0.163929021,0.1580255684,16.10397479,28.17378916,8.790327867,-0.239584356,0.1035421426,-0.005906374674,-0.005137047231,2.174479969,-28.07751289,0.5815761037
33,refine_3_lateral,lateral,delta_a_trim_rad,3,0.2,1.12,-0.02,0,0.12,-0.105,0.18,64,3.212343302,0.4194959408,0.3926892212,0.163929021,0.1580255684,16.10397479,28.17378916,8.790327867,-0.239584356,0.1035421426,-0.005906374674,-0.005137047231,2.174479969,-28.07751289,0.5815761037
34,refine_3_lateral,lateral,delta_r_trim_rad,3,0.2,1.12,-0.02,0,0.12,-0.105,0.18,64,3.212343302,0.4194959408,0.3926892212,0.163929021,0.1580255684,16.10397479,28.17378916,8.790327867,-0.239584356,0.1035421426,-0.005906374674,-0.005137047231,2.174479969,-28.07751289,0.5815761037
35,final,combined,final_combined_score,3,0.2,1.12,-0.02,0,0.12,-0.105,0.18,64,14.26373843,0.4194959408,0.3926892212,0.163929021,0.1580255684,16.10397479,28.17378916,8.790327867,-0.239584356,0.1035421426,-0.005906374674,-0.005137047231,2.174479969,-28.07751289,0.5815761037
