model_id,model_role,matched_candidate_id,split,regime,report_regime,sample_count,throw_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.160014417,0.2551467734,0.2722953726,0.4243141664,4.514066126,6.761631004,3.048973576
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.3097338237,0.280037898,0.3342585349,0.4967294855,8.396812836,5.72317614,7.627749059
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p85_local_post_stall_Cl_r_s0p75,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7,heldout,attached,normal,604,14,0.1452808891,0.234885334,0.1497925527,0.244089527,4.657696067,3.94658362,2.055459837
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7,heldout,transition,transition,1630,14,0.1595463978,0.2547335008,0.272307065,0.4243494544,4.683207473,6.768020904,3.052759107
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7,heldout,post_stall,post_stall,164,5,0.3085415727,0.2773070206,0.3339786524,0.4963348762,8.48121289,5.709380547,7.302135089
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p8_local_post_stall_Cl_r_s0p7,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65,heldout,attached,normal,604,14,0.1450908833,0.2358302788,0.1499959473,0.2442888395,4.808097023,3.94910785,2.015417138
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65,heldout,transition,transition,1630,14,0.1590965089,0.2543340211,0.2723199046,0.4243864904,4.868883115,6.774511228,3.05926867
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65,heldout,post_stall,post_stall,164,5,0.307410137,0.2746526458,0.3337203465,0.4959696998,8.619028566,5.697106978,6.999653103
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p65,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6,heldout,attached,normal,604,14,0.1450184362,0.2359392809,0.1500027471,0.2442945529,4.955903161,3.950281742,1.932126697
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6,heldout,transition,transition,1630,14,0.1590485378,0.2543905701,0.2723238597,0.4243921206,5.026612777,6.78003203,3.025413941
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6,selected_candidate,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6,heldout,post_stall,post_stall,164,5,0.3072920075,0.2746406741,0.3336777574,0.4959071532,8.766181123,5.700780782,6.897686067
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6__matched_reference,matched_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6__global_reference,global_longitudinal_reference,jp040local_L00_proposal_stage_5_stage5_tran_local_yaw_beta_s0p75_local_post_stall_Cl_r_s0p6,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
