time_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,phase
0.6,5.168278284275111,2.2757788487777026,1.4969036928633688,0.3889249362900477,0.24128220166469055,0.11873205695108177,6.15830497956976,0.4421896160679408,0.9301131639562709,0.9651944898560895,0.9528111336365616,0.5201724051225038,0.10985712238136233,0.05091764010954564,0.1815639677806526,crest_redirect
0.62,5.2910804364888495,2.2926541809551133,1.5073374316870967,0.41228967410389616,0.25390457879154554,0.13674684339136464,6.114239117037021,0.44982087364309437,0.8944514832317487,0.9304352748384128,0.8922686903731547,0.5959590427430143,0.10875718290587523,0.049001381709965854,0.18426077229657611,crest_redirect
0.64,5.412430577563015,2.311553451746867,1.5195359035214373,0.43555964568102595,0.26446888565982773,0.15606500556973638,6.068819324250532,0.451639867131612,0.8604501731437609,0.9020726931362824,0.8405798535992167,0.671541196903429,0.10796900611094028,0.04762826033619289,0.18619320475063036,unload_descend
0.66,5.53225230415864,2.3325112643629944,1.5332719311098004,0.4579225019698528,0.2725611954642542,0.17631914430212509,6.02336232786027,0.4480098528787548,0.8190557737492759,0.7585356800439321,0.7103209820884294,0.7356895590945579,0.05370073337584852,-0.023898393603578448,0.1135080547321043,unload_descend
0.68,5.650453595981837,2.3556011148394194,1.5483829465495467,0.47590835198582765,0.27669328641926266,0.1960977774929664,5.977932929397572,0.440816997722954,0.7642859132028181,0.49126455499009036,0.5104715526878003,0.7742932962439845,0.014814054404663955,-0.07515180355116151,0.061424508448253076,unload_descend
0.7000000000000001,5.766975416390664,2.380830883054049,1.5645682258214237,0.4879023290570277,0.27643411707869475,0.21440178967752554,5.932400609111603,0.4316255850404733,0.6990715220334106,0.20975203060235043,0.2765314022706261,0.7956878992854122,-0.013050731504214687,-0.11187814102903351,0.02410332533436175,unload_descend
0.72,5.881808035349756,2.408141892094992,1.5814854202696158,0.4939161019432459,0.27129611768964146,0.2304436616102789,5.887854735061285,0.4214863020948073,0.6211021924528726,-0.0356191992036535,-0.012095424727049386,0.8071759320710465,-0.033017627991389464,-0.1381949044583933,-0.002639682936034532,unload_descend
0.74,5.994992005313076,2.437426029289348,1.5987873820161085,0.49458955616827205,0.2603508388012364,0.2434089957541568,5.845398832631122,0.41125375420803245,0.526392943420116,-0.22991216057962535,-0.3662377732855734,0.8123571362198717,-0.047325182933073945,-0.1570525440968184,-0.02180275419151922,exit_glide
0.76,6.106645405182694,2.4685007326654858,1.6160458109170908,0.49119278526021626,0.24328122054469273,0.2530292460416062,5.805764054299683,0.40161116436530897,0.4237945323860812,-0.3278016577040193,-0.6664168073391887,0.8165089317655108,-0.039827998859693695,-0.12619159622402107,-0.023587565286087023,exit_glide
0.78,6.217007023431087,2.5010681617795947,1.6326349023778797,0.48612279925050755,0.2224769058123186,0.26071886689049,5.7682057251509145,0.39271820343010805,0.33863406488764575,-0.3481461816985698,-0.7934744364870605,0.8205099804510945,-0.03445578825567174,-0.10407775857648677,-0.02486649628132002,exit_glide
0.8,6.326324138763196,2.5348252142803553,1.6479336849739135,0.4807151398277476,0.20050287149945148,0.2679055605076754,5.732566671917513,0.38449224275828053,0.27972736086113387,-0.3404648077212455,-0.8121971835751473,0.8226593552911832,-0.030606256686020208,-0.08823178334859826,-0.02578293191730745,exit_glide
