time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd,phase
0.72,-0.11499999999999999,-0.253,-0.06899999999999999,-0.11499999999999999,-0.253,-0.06899999999999999,-0.05218534463463045,-0.1324704902263696,-0.04214970143566305,early_unload
0.74,-0.11499999999999999,-0.253,-0.06899999999999999,-0.11499999999999999,-0.253,-0.06899999999999999,-0.05218534463463045,-0.1324704902263696,-0.04214970143566305,early_unload
0.76,-0.11499999999999999,-0.253,-0.06899999999999999,-0.11499999999999999,-0.253,-0.06899999999999999,-0.05218534463463045,-0.1324704902263696,-0.04214970143566305,early_unload
0.78,-0.11499999999999999,-0.253,-0.06899999999999999,-0.11499999999999999,-0.253,-0.06899999999999999,-0.05218534463463045,-0.1324704902263696,-0.04214970143566305,early_unload
0.8,-0.11499999999999999,-0.253,-0.06899999999999999,-0.11499999999999999,-0.253,-0.06899999999999999,-0.05218534463463045,-0.1324704902263696,-0.04214970143566305,early_unload
0.8200000000000001,-0.11499999999999999,-0.253,-0.06899999999999999,-0.11499999999999999,-0.253,-0.06899999999999999,-0.05218534463463045,-0.1324704902263696,-0.04214970143566305,early_unload
0.84,-0.11499999999999999,-0.253,-0.06899999999999999,-0.11499999999999999,-0.253,-0.06899999999999999,-0.05218534463463045,-0.1324704902263696,-0.04214970143566305,early_unload
0.86,-0.023,-0.06899999999999999,-0.023,-0.023,-0.06899999999999999,-0.023,-0.01043706892692609,-0.03612831551628262,-0.014049900478554351,exit_glide
0.88,-0.023,-0.06899999999999999,-0.023,-0.023,-0.06899999999999999,-0.023,-0.01043706892692609,-0.03612831551628262,-0.014049900478554351,exit_glide
0.9,-0.023,-0.06899999999999999,-0.023,-0.023,-0.06899999999999999,-0.023,-0.01043706892692609,-0.03612831551628262,-0.014049900478554351,exit_glide
