time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd,phase
0.72,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
0.74,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
0.76,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
0.78,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
0.8,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
0.8200000000000001,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
0.84,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
0.86,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
0.88,0.27599999999999997,0.11499999999999999,0.391,0.27599999999999997,0.11499999999999999,0.391,0.10597639218109567,0.04415683007545653,0.1910786465083392,crest_redirect
0.9,-0.184,-0.391,-0.11499999999999999,-0.184,-0.391,-0.11499999999999999,-0.08349655141540872,-0.20472712125893486,-0.07024950239277175,unload_descend
0.92,-0.184,-0.391,-0.11499999999999999,-0.184,-0.391,-0.11499999999999999,-0.08349655141540872,-0.20472712125893486,-0.07024950239277175,unload_descend
0.9400000000000001,-0.184,-0.391,-0.11499999999999999,-0.184,-0.391,-0.11499999999999999,-0.08349655141540872,-0.20472712125893486,-0.07024950239277175,unload_descend
0.96,-0.184,-0.391,-0.11499999999999999,-0.184,-0.391,-0.11499999999999999,-0.08349655141540872,-0.20472712125893486,-0.07024950239277175,unload_descend
0.98,-0.184,-0.391,-0.11499999999999999,-0.184,-0.391,-0.11499999999999999,-0.08349655141540872,-0.20472712125893486,-0.07024950239277175,unload_descend
1.0,-0.184,-0.391,-0.11499999999999999,-0.184,-0.391,-0.11499999999999999,-0.08349655141540872,-0.20472712125893486,-0.07024950239277175,unload_descend
1.02,-0.184,-0.391,-0.11499999999999999,-0.184,-0.391,-0.11499999999999999,-0.08349655141540872,-0.20472712125893486,-0.07024950239277175,unload_descend
1.04,-0.184,-0.391,-0.11499999999999999,-0.184,-0.391,-0.11499999999999999,-0.08349655141540872,-0.20472712125893486,-0.07024950239277175,unload_descend
1.06,-0.046,-0.092,-0.046,-0.046,-0.092,-0.046,-0.02087413785385218,-0.04817108735504349,-0.028099800957108702,exit_glide
1.08,-0.046,-0.092,-0.046,-0.046,-0.092,-0.046,-0.02087413785385218,-0.04817108735504349,-0.028099800957108702,exit_glide
1.1,-0.046,-0.092,-0.046,-0.046,-0.092,-0.046,-0.02087413785385218,-0.04817108735504349,-0.028099800957108702,exit_glide
1.12,-0.046,-0.092,-0.046,-0.046,-0.092,-0.046,-0.02087413785385218,-0.04817108735504349,-0.028099800957108702,exit_glide
1.1400000000000001,-0.046,-0.092,-0.046,-0.046,-0.092,-0.046,-0.02087413785385218,-0.04817108735504349,-0.028099800957108702,exit_glide
1.16,-0.046,-0.092,-0.046,-0.046,-0.092,-0.046,-0.02087413785385218,-0.04817108735504349,-0.028099800957108702,exit_glide
1.18,-0.046,-0.092,-0.046,-0.046,-0.092,-0.046,-0.02087413785385218,-0.04817108735504349,-0.028099800957108702,exit_glide
1.2,-0.046,-0.092,-0.046,-0.046,-0.092,-0.046,-0.02087413785385218,-0.04817108735504349,-0.028099800957108702,exit_glide
