candidate_id,selection_class,sweep_stage,split,score,longitudinal_score,lateral_score,parameter_count,lateral_parameter_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg,parameter_updates_json
joint_0011_transition_cm_1.25,,transition_cm,train,16.02322159,7.678717167,8.344504422,2,0,0.2944621295,1.531322024,0.3682375379,0.2670200626,37.43724487,9.583299601,32.79233133,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0012_transition_cm_1.5,,transition_cm,train,15.99875974,7.650414997,8.348344741,2,0,0.292479209,1.526414539,0.3640085998,0.2632343348,37.66145881,10.09735955,32.72143558,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0013_transition_cm_0,,transition_cm,train,18.70501005,11.18755795,7.517452099,1,0,0.4499949185,1.714354368,0.6386216223,0.3775270497,26.44471659,5.9045754,27.07288819,"{""attached_pitch_moment_bias_coeff"": 0.09424860350273269}"
joint_0014_transition_cm_0.5,,transition_cm,train,18.54647696,10.92223958,7.624237375,2,0,0.4309667928,1.707575177,0.6270415334,0.367661193,27.94690206,5.837255647,27.01291258,"{""attached_pitch_moment_bias_coeff"": 0.09424860350273269, ""transition_pitch_moment_bias_coeff"": 0.019038529659665793}"
joint_0015_transition_cm_0.75,,transition_cm,train,18.4739685,10.77676434,7.697204154,2,0,0.4192789985,1.704857495,0.6203499715,0.3622197475,28.83614645,5.873871114,27.10115533,"{""attached_pitch_moment_bias_coeff"": 0.09424860350273269, ""transition_pitch_moment_bias_coeff"": 0.02855779448949869}"
joint_0016_transition_cm_1,,transition_cm,train,18.41507371,10.6301495,7.784924209,2,0,0.4056682755,1.702181638,0.6130331615,0.3567007419,29.81681017,6.023048148,27.316155,"{""attached_pitch_moment_bias_coeff"": 0.09424860350273269, ""transition_pitch_moment_bias_coeff"": 0.038077059319331585}"
joint_0017_transition_cm_1.25,,transition_cm,train,18.35953022,10.47945051,7.880079711,2,0,0.3879728601,1.699459693,0.6039294113,0.3508995791,30.81795295,6.444667561,27.63611768,"{""attached_pitch_moment_bias_coeff"": 0.09424860350273269, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0018_transition_cm_1.5,,transition_cm,train,18.23637456,10.25271556,7.983659,2,0,0.359809857,1.697155344,0.5880112028,0.3436298991,31.82219271,7.169570257,28.0863592,"{""attached_pitch_moment_bias_coeff"": 0.09424860350273269, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0019_transition_cm_0,,transition_cm,train,20.44627236,13.77904615,6.667226209,1,0,0.6556752555,1.588399323,0.734711224,0.4815705737,21.89931652,6.551626971,23.62512405,"{""attached_pitch_moment_bias_coeff"": 0.07539888280218615}"
joint_0020_transition_cm_0.5,,transition_cm,train,20.21639982,13.49428286,6.722116955,2,0,0.647033994,1.583025776,0.7216750357,0.4698821565,22.8442572,6.247226884,23.41068835,"{""attached_pitch_moment_bias_coeff"": 0.07539888280218615, ""transition_pitch_moment_bias_coeff"": 0.019038529659665793}"
joint_0021_transition_cm_0.75,,transition_cm,train,20.11663877,13.35624773,6.760391048,2,0,0.6430131178,1.580823444,0.715372656,0.4642362825,23.41799633,6.090690421,23.32710662,"{""attached_pitch_moment_bias_coeff"": 0.07539888280218615, ""transition_pitch_moment_bias_coeff"": 0.02855779448949869}"
joint_0022_transition_cm_1,,transition_cm,train,20.02847365,13.21770157,6.81077208,2,0,0.639121542,1.579056789,0.7091036994,0.4586160813,24.11211963,5.919381169,23.26344643,"{""attached_pitch_moment_bias_coeff"": 0.07539888280218615, ""transition_pitch_moment_bias_coeff"": 0.038077059319331585}"
joint_0023_transition_cm_1.25,,transition_cm,train,19.96391468,13.0858149,6.878099787,2,0,0.635322623,1.577828466,0.7029777944,0.4531288326,24.96284379,5.786362087,23.24839185,"{""attached_pitch_moment_bias_coeff"": 0.07539888280218615, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0024_transition_cm_1.5,,transition_cm,train,19.91902331,12.96433789,6.954685415,2,0,0.6317973854,1.576909545,0.6971655303,0.447912606,25.86362559,5.695077943,23.31251726,"{""attached_pitch_moment_bias_coeff"": 0.07539888280218615, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0025_transition_cm_0,,transition_cm,train,23.03246471,16.98307451,6.049390201,1,0,0.6742894502,1.455005018,0.9236299011,0.6116931127,18.0669768,9.215960422,23.58835771,"{""attached_pitch_moment_bias_coeff"": 0.05654916210163961}"
joint_0026_transition_cm_0.5,,transition_cm,train,22.73581355,16.64019022,6.095623326,2,0,0.6664271963,1.451039502,0.907831479,0.5972263256,18.83926099,8.812406503,23.42074831,"{""attached_pitch_moment_bias_coeff"": 0.05654916210163961, ""transition_pitch_moment_bias_coeff"": 0.019038529659665793}"
joint_0027_transition_cm_0.75,,transition_cm,train,22.59679733,16.47499232,6.121805007,2,0,0.6629779653,1.449226513,0.9004200049,0.5904325452,19.2659715,8.572402746,23.32447234,"{""attached_pitch_moment_bias_coeff"": 0.05654916210163961, ""transition_pitch_moment_bias_coeff"": 0.02855779448949869}"
joint_0028_transition_cm_1,,transition_cm,train,22.48088658,16.33006835,6.150818229,2,0,0.6598166861,1.44752498,0.8941899685,0.584747989,19.72406226,8.316164371,23.22763556,"{""attached_pitch_moment_bias_coeff"": 0.05654916210163961, ""transition_pitch_moment_bias_coeff"": 0.038077059319331585}"
joint_0029_transition_cm_1.25,,transition_cm,train,22.37285649,16.18778021,6.185076277,2,0,0.6567928602,1.446071577,0.8881315551,0.5792163628,20.2333387,8.052107604,23.13850186,"{""attached_pitch_moment_bias_coeff"": 0.05654916210163961, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0030_transition_cm_1.5,,transition_cm,train,22.28613309,16.05801811,6.228114977,2,0,0.6539359062,1.444996646,0.8822725762,0.5738670964,20.82189861,7.872893255,23.07335583,"{""attached_pitch_moment_bias_coeff"": 0.05654916210163961, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0031_transition_cm_0,,transition_cm,train,26.01353792,20.07196561,5.941572307,1,0,0.6295620324,1.391661781,1.085530083,0.7627417123,19.18896316,12.99924355,22.49838553,"{""attached_pitch_moment_bias_coeff"": 0.037699441401093076}"
joint_0032_transition_cm_0.5,,transition_cm,train,25.70355118,19.71697909,5.986572091,2,0,0.6266473012,1.388556079,1.068617503,0.7470770057,19.91298014,12.5223884,22.34658429,"{""attached_pitch_moment_bias_coeff"": 0.037699441401093076, ""transition_pitch_moment_bias_coeff"": 0.019038529659665793}"
joint_0033_transition_cm_0.75,,transition_cm,train,25.55309425,19.54359088,6.00950337,2,0,0.6251322475,1.386956931,1.060623374,0.7396235624,20.27721179,12.25052981,22.27696573,"{""attached_pitch_moment_bias_coeff"": 0.037699441401093076, ""transition_pitch_moment_bias_coeff"": 0.02855779448949869}"
joint_0034_transition_cm_1,,transition_cm,train,25.4099372,19.37716946,6.032767737,2,0,0.6235756615,1.385385763,1.05310549,0.7325934909,20.63656585,11.96769926,22.21953996,"{""attached_pitch_moment_bias_coeff"": 0.037699441401093076, ""transition_pitch_moment_bias_coeff"": 0.038077059319331585}"
joint_0035_transition_cm_1.25,,transition_cm,train,25.27692035,19.22024306,6.056677292,2,0,0.6219506313,1.383892271,1.046080325,0.7260106523,20.98622275,11.69631718,22.18516628,"{""attached_pitch_moment_bias_coeff"": 0.037699441401093076, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0036_transition_cm_1.5,,transition_cm,train,25.1662991,19.08488924,6.081409861,2,0,0.6201962296,1.382487736,1.040068153,0.720387508,21.32633246,11.46458783,22.17636936,"{""attached_pitch_moment_bias_coeff"": 0.037699441401093076, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0037_transition_cm_0,,transition_cm,train,33.47135583,28.69437853,4.776977299,0,0,0.8456170059,1.253905255,1.435392174,1.162621491,13.6090813,22.87838818,15.41575923,{}
joint_0038_transition_cm_0.5,,transition_cm,train,33.41283663,28.60339397,4.809442663,1,0,0.8421981568,1.256890415,1.431479187,1.158735553,13.9248334,22.79718018,15.40710124,"{""transition_pitch_moment_bias_coeff"": 0.019038529659665793}"
joint_0039_transition_cm_0.75,,transition_cm,train,33.37204797,28.54249762,4.829550355,1,0,0.8402586693,1.258445925,1.428872108,1.156158041,14.13249894,22.72787407,15.39532098,"{""transition_pitch_moment_bias_coeff"": 0.02855779448949869}"
joint_0040_transition_cm_1,,transition_cm,train,33.32078346,28.46886363,4.851919829,1,0,0.8382714469,1.259981293,1.425726472,1.153061953,14.37470446,22.62952013,15.37324852,"{""transition_pitch_moment_bias_coeff"": 0.038077059319331585}"
joint_0041_transition_cm_1.25,,transition_cm,train,33.25975306,28.38424205,4.875511012,1,0,0.8364681021,1.261351301,1.422118872,1.149515567,14.636881,22.49868775,15.34982469,"{""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0042_transition_cm_1.5,,transition_cm,train,33.19545594,28.29709418,4.898361761,1,0,0.8351557383,1.262296717,1.418384786,1.145822419,14.88275111,22.3514431,15.35451635,"{""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0043_blend_12_20,,transition_blend,train,15.97024503,7.859080521,8.111164509,1,0,0.3105982048,1.559657376,0.3905188165,0.2879970545,33.7849492,6.894591559,32.9372423,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923}"
joint_0044_blend_12_22,,transition_blend,train,15.89289434,7.67341025,8.219484089,2,0,0.298833715,1.539181903,0.3758712494,0.2738782886,35.89136653,8.062545698,32.54638766,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0}"
joint_0045_blend_14_20,,transition_blend,train,16.39011157,7.793204502,8.596907063,2,0,0.2959021426,1.537670046,0.3658913971,0.2643984781,39.3879829,11.13784269,34.15555094,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_start_alpha_deg"": 14.0}"
joint_0046_blend_14_22,,transition_blend,train,15.99591559,7.610112106,8.38580348,3,0,0.2885546911,1.51463836,0.3529932394,0.2531283323,38.19630315,11.75369485,33.0644735,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0}"
joint_0047_blend_12_20,,transition_blend,train,15.97149005,7.759557317,8.211932737,2,0,0.3030731815,1.547294345,0.3817294035,0.27917133,35.39205251,7.765217163,32.83493669,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""transition_pitch_moment_bias_coeff"": 0.019038529659665793}"
joint_0048_blend_12_22,,transition_blend,train,15.77877186,7.560044759,8.218727098,3,0,0.2921745157,1.522907061,0.3639906604,0.2633304684,36.60069847,9.195695195,32.11975763,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""transition_pitch_moment_bias_coeff"": 0.019038529659665793}"
joint_0049_blend_14_20,,transition_blend,train,16.24011139,7.708059861,8.53205153,3,0,0.2915820436,1.52697227,0.3591428912,0.2585073899,39.17100636,11.5818839,33.74152719,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.019038529659665793}"
joint_0050_blend_14_22,,transition_blend,train,15.68704919,7.492767492,8.194281701,4,0,0.2866062668,1.501705484,0.3464766486,0.2475635718,36.73939457,11.74472147,32.31975941,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.019038529659665793}"
joint_0051_blend_12_20,,transition_blend,train,15.99875974,7.650414997,8.348344741,2,0,0.292479209,1.526414539,0.3640085998,0.2632343348,37.66145881,10.09735955,32.72143558,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0052_blend_12_22,,transition_blend,train,15.32303078,7.339255593,7.983775183,3,0,0.2877251524,1.496946675,0.3457123491,0.2473768957,35.08733027,10.25466552,31.19909087,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0053_blend_14_20,,transition_blend,train,15.88155468,7.57534223,8.306212447,3,0,0.2876676641,1.508932494,0.3490731948,0.2497596871,37.56795759,12.09909856,32.80258791,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0054_blend_14_22,,transition_blend,train,15.13619958,7.278854017,7.857345559,4,0,0.2872897386,1.484287572,0.3358843432,0.238549778,33.8220058,11.36687581,31.3277085,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0055_blend_12_20,,transition_blend,train,16.01085942,7.731954794,8.278904621,2,0,0.2994366796,1.541633016,0.3773635356,0.2751940129,36.3260549,8.371962695,32.86588018,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""transition_pitch_moment_bias_coeff"": 0.02855779448949869}"
joint_0056_blend_12_22,,transition_blend,train,15.6804071,7.498600814,8.181806291,3,0,0.2902045053,1.5153666,0.3585362346,0.2585085238,36.52159547,9.583652701,31.87545601,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""transition_pitch_moment_bias_coeff"": 0.02855779448949869}"
joint_0057_blend_14_20,,transition_blend,train,16.16315816,7.678386039,8.484772117,3,0,0.2900103973,1.522011789,0.3563500292,0.2560876372,38.87696496,11.81224766,33.52997912,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.02855779448949869}"
joint_0058_blend_14_22,,transition_blend,train,15.52818262,7.428235976,8.099946641,4,0,0.2862733938,1.496430368,0.3432917665,0.2448377543,35.96482977,11.64849065,31.99458016,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.02855779448949869}"
joint_0059_blend_12_20,,transition_blend,train,16.02322159,7.678717167,8.344504422,2,0,0.2944621295,1.531322024,0.3682375379,0.2670200626,37.43724487,9.583299601,32.79233133,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0060_blend_12_22,,transition_blend,train,15.45316723,7.394276633,8.058890596,3,0,0.2882720087,1.50227743,0.3497150531,0.2508599722,35.71292888,10.10478107,31.39954018,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0061_blend_14_20,,transition_blend,train,15.98197258,7.611437778,8.370534807,3,0,0.2880861516,1.512887543,0.3513249585,0.2517169799,38.06490897,12.06272819,33.05676133,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0062_blend_14_22,,transition_blend,train,15.25563257,7.319973954,7.935658617,4,0,0.2865611934,1.487767547,0.3380207005,0.240345291,34.53842635,11.44477895,31.5235137,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0063_blend_12_20,,transition_blend,train,16.02401949,7.704632153,8.319387333,2,0,0.2967473462,1.53640114,0.3726721937,0.2709781065,36.96762834,9.000916529,32.84148389,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""transition_pitch_moment_bias_coeff"": 0.038077059319331585}"
joint_0064_blend_12_22,,transition_blend,train,15.5723684,7.445456364,8.126912034,3,0,0.2890468655,1.508402286,0.3539366157,0.2545162284,36.20771536,9.873327304,31.63675213,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""transition_pitch_moment_bias_coeff"": 0.038077059319331585}"
joint_0065_blend_14_20,,transition_blend,train,16.07581171,7.64525893,8.430552777,3,0,0.2888082188,1.517327182,0.3537047546,0.2537873129,38.50372625,11.97152116,33.30127332,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.038077059319331585}"
joint_0066_blend_14_22,,transition_blend,train,15.38090318,7.368875193,8.012027988,4,0,0.2862130413,1.491815686,0.3402824684,0.2422517094,35.19911858,11.56627391,31.74519848,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.038077059319331585}"
joint_0067_post_stall_cm_0,,post_stall_cm,train,15.13619958,7.278854017,7.857345559,4,0,0.2872897386,1.484287572,0.3358843432,0.238549778,33.8220058,11.36687581,31.3277085,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0068_post_stall_cm_0.5,,post_stall_cm,train,14.41866114,6.993632855,7.425028283,5,0,0.3023118861,1.471745373,0.3234762714,0.2275190146,29.30539045,10.15100827,30.82260848,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_moment_coeff"": 0.037929372931228854, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0069_post_stall_cm_0.75,,post_stall_cm,train,14.18745718,6.940079724,7.247377456,5,0,0.3217596986,1.468043734,0.3149322365,0.2198189173,27.004212,10.44922918,31.22472684,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_moment_coeff"": 0.05689405939684328, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0070_post_stall_cm_1,,post_stall_cm,train,14.37907295,7.171066887,7.208006063,5,0,0.3609600918,1.466330485,0.308822887,0.2144807788,25.83545128,12.49534735,32.33771279,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_moment_coeff"": 0.07585874586245771, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0071_post_stall_cm_1.25,,post_stall_cm,train,14.96538179,7.664988028,7.300393767,5,0,0.4183527458,1.465546874,0.3069628988,0.2135406186,25.86629364,15.77048533,33.98577237,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_moment_coeff"": 0.09482343232807214, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0072_post_stall_cm_1.5,,post_stall_cm,train,15.71373894,8.252352726,7.46138621,5,0,0.4807130642,1.463169849,0.3068115012,0.2145935495,26.714339,19.4727784,35.70664932,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_moment_coeff"": 0.11378811879368655, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0073_post_stall_cm_0,,post_stall_cm,train,15.25563257,7.319973954,7.935658617,4,0,0.2865611934,1.487767547,0.3380207005,0.240345291,34.53842635,11.44477895,31.5235137,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0074_post_stall_cm_0.5,,post_stall_cm,train,14.52075071,7.032545841,7.488204873,5,0,0.299571039,1.47318904,0.3262575426,0.2299148616,30.03215154,10.16014241,30.81189883,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_moment_coeff"": 0.037929372931228854, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0075_post_stall_cm_0.75,,post_stall_cm,train,14.24095272,6.957218111,7.283734606,5,0,0.3178212027,1.468610576,0.3174101608,0.2219188027,27.49774608,10.33541401,31.11618075,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_moment_coeff"": 0.05689405939684328, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0076_post_stall_cm_1,,post_stall_cm,train,14.38887039,7.168077328,7.220793062,5,0,0.354867331,1.466405132,0.3108658097,0.2161532465,26.09272395,12.33105345,32.17898391,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_moment_coeff"": 0.07585874586245771, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0077_post_stall_cm_1.25,,post_stall_cm,train,14.94113363,7.644331054,7.29680258,5,0,0.410877215,1.465519633,0.3085081257,0.2147581212,25.93655421,15.56258078,33.81682981,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_moment_coeff"": 0.09482343232807214, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0078_post_stall_cm_1.5,,post_stall_cm,train,15.66949275,8.21913012,7.450362628,5,0,0.4720308553,1.463849804,0.3076900102,0.2153938222,26.64441668,19.27672296,35.58591014,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_moment_coeff"": 0.11378811879368655, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""post_stall_residual_blend_start_alpha_deg"": 14.0, ""transition_pitch_moment_bias_coeff"": 0.04759632414916448}"
joint_0079_post_stall_cm_0,,post_stall_cm,train,15.32303078,7.339255593,7.983775183,3,0,0.2877251524,1.496946675,0.3457123491,0.2473768957,35.08733027,10.25466552,31.19909087,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0080_post_stall_cm_0.5,,post_stall_cm,train,14.53453324,7.010119241,7.524414003,4,0,0.2959056804,1.477838557,0.3290650864,0.2326201834,30.49976228,9.553560856,30.57626636,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_moment_coeff"": 0.037929372931228854, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
joint_0081_post_stall_cm_0.75,,post_stall_cm,train,14.24725312,6.946516297,7.300736821,4,0,0.3140315159,1.472189903,0.3184715317,0.2231194178,27.66242269,10.14620968,31.03203263,"{""attached_pitch_moment_bias_coeff"": 0.11309832420327923, ""post_stall_pitch_moment_coeff"": 0.05689405939684328, ""post_stall_residual_blend_full_alpha_deg"": 22.0, ""transition_pitch_moment_bias_coeff"": 0.05711558897899738}"
