check_id,observed,passed,required
recovery_to_inflight_passes_transition_gate,"{""entry_class"": ""recoverable_degraded"", ""exit_class"": ""inflight_stable"", ""flight_time_s"": 0.0, ""hard_failure_probability"": 0.0, ""next_allowed_entry_classes"": ""inflight_stable"", ""next_allowed_entry_roles"": ""transition_object;inflight_only"", ""recovery_progress_boundary_time_delta_s"": 0.0, ""recovery_progress_exit_risk"": 0.0, ""recovery_progress_floor_margin_delta_m"": 0.0, ""recovery_progress_initial_risk"": 0.0, ""recovery_progress_risk_delta"": 0.0, ""recovery_progress_status"": ""not_recoverable_degraded_self_transition"", ""recovery_progress_valid"": false, ""transition_chain_compatible"": true, ""transition_failure_reason"": """", ""transition_label_version"": ""transition_labels_v3_recovery_progress"", ""transition_pair"": ""recoverable_degraded->inflight_stable"", ""transition_success_probability"": 1.0, ""updraft_gain_proxy_m"": 0.0}",True,recoverable_degraded transition object can restore inflight_stable
recovery_self_transition_requires_measurable_progress,"{""entry_class"": ""recoverable_degraded"", ""exit_class"": ""recoverable_degraded"", ""flight_time_s"": 0.0, ""hard_failure_probability"": 0.0, ""next_allowed_entry_classes"": ""recoverable_degraded"", ""next_allowed_entry_roles"": ""transition_object;terminal_or_recovery"", ""recovery_progress_boundary_time_delta_s"": 0.0, ""recovery_progress_exit_risk"": 0.5359942298799976, ""recovery_progress_floor_margin_delta_m"": 0.0, ""recovery_progress_initial_risk"": 0.866192328461223, ""recovery_progress_risk_delta"": 0.3301980985812254, ""recovery_progress_status"": ""recoverable_degraded_self_transition_with_measurable_recovery_progress"", ""recovery_progress_valid"": true, ""transition_chain_compatible"": true, ""transition_failure_reason"": """", ""transition_label_version"": ""transition_labels_v3_recovery_progress"", ""transition_pair"": ""recoverable_degraded->recoverable_degraded"", ""transition_success_probability"": 1.0, ""updraft_gain_proxy_m"": 0.0}",True,recoverable_degraded can remain recoverable only with measured progress
recovery_self_transition_without_progress_rejected,"{""entry_class"": ""recoverable_degraded"", ""exit_class"": ""recoverable_degraded"", ""flight_time_s"": 0.0, ""hard_failure_probability"": 0.0, ""next_allowed_entry_classes"": ""recoverable_degraded"", ""next_allowed_entry_roles"": ""transition_object;terminal_or_recovery"", ""recovery_progress_boundary_time_delta_s"": 0.0, ""recovery_progress_exit_risk"": 0.9557455408088109, ""recovery_progress_floor_margin_delta_m"": 0.0, ""recovery_progress_initial_risk"": 0.866192328461223, ""recovery_progress_risk_delta"": -0.08955321234758795, ""recovery_progress_status"": ""recoverable_degraded_self_transition_without_attitude_rate_progress"", ""recovery_progress_valid"": false, ""transition_chain_compatible"": false, ""transition_failure_reason"": ""recoverable_degraded_self_transition_without_attitude_rate_progress"", ""transition_label_version"": ""transition_labels_v3_recovery_progress"", ""transition_pair"": ""recoverable_degraded->recoverable_degraded"", ""transition_success_probability"": 0.0, ""updraft_gain_proxy_m"": 0.0}",True,recoverable_degraded self transition without progress rejected
recovery_to_boundary_near_is_route_not_full_pass,"{""entry_class"": ""recoverable_degraded"", ""exit_class"": ""boundary_near"", ""flight_time_s"": 0.0, ""hard_failure_probability"": 0.0, ""next_allowed_entry_classes"": ""boundary_near"", ""next_allowed_entry_roles"": ""transition_object;terminal_or_recovery"", ""recovery_progress_boundary_time_delta_s"": 0.0, ""recovery_progress_exit_risk"": 0.0, ""recovery_progress_floor_margin_delta_m"": 0.0, ""recovery_progress_initial_risk"": 0.0, ""recovery_progress_risk_delta"": 0.0, ""recovery_progress_status"": ""not_recoverable_degraded_self_transition"", ""recovery_progress_valid"": false, ""transition_chain_compatible"": false, ""transition_failure_reason"": ""exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object"", ""transition_label_version"": ""transition_labels_v3_recovery_progress"", ""transition_pair"": ""recoverable_degraded->boundary_near"", ""transition_success_probability"": 0.0, ""updraft_gain_proxy_m"": 0.0}",True,boundary_near from recoverable_degraded remains a route/weak condition
active_primitive_catalogue_has_8_variants,8,True,8
launch_capture_aliases_retired_not_active,"{""active"": [""glide"", ""recovery"", ""lift_entry"", ""lift_dwell_arc"", ""mild_turn_left"", ""mild_turn_right"", ""energy_retaining_bank"", ""safe_exit_or_recovery_handoff""], ""retired"": [""launch_capture_glide_stabilise"", ""launch_capture_lift_seek"", ""launch_capture_energy_build"", ""launch_capture_shallow_left"", ""launch_capture_shallow_right"", ""launch_capture_safe_handoff""]}",True,retired launch_capture aliases disjoint from active primitives
r5_dense_target_dynamic_8x32x8x50,"{""candidate_count"": 32, ""evidence_block_count"": 8, ""paired_tests"": 50, ""row_count"": 102400}",True,8*32*8*50=102400
r5_qr_reference_tuning_method_transition_robust,w01_transition_robust_reference_v8,True,w01_transition_robust_reference_v8
r5_qr_reference_generator_exact_32_structured_candidates,structured Q/R plus attitude/bank reference-bias candidate generator,True,"candidate 0 nominal, 1-7 physical anchors, 8-31 LHS log Q/R plus small attitude/bank reference bias; speed is scheduling-only; turn metrics are audit-only"
r5_selection_score_has_no_turn_expression_bonus,0.55*success_lcb + 0.20*worst_env_success_lcb + 0.10*clipped_updraft_gain + 0.05*clipped_lift_dwell + 0.05*clipped_rollout_duration - 0.35*hard_failure_ucb - 0.10*saturation_mean,True,transition robustness score excludes turn expression bonus
r5_official_environment_cases_annular_gp_only,"[[""W0"", ""dry_air""], [""W1"", ""w1_annular_gp_randomised_single""], [""W1"", ""w1_annular_gp_randomised_four""]]",True,W0 dry plus W1 annular-GP single/four
r5_evidence_blocks_anchor_plus_uncertainty_family,"[""r5_anchor_dry_air"", ""r5_anchor_single_fan_fixed"", ""r5_anchor_four_fan_fixed"", ""r5_random_single_fan_local"", ""r5_random_four_fan_parameter"", ""r5_random_active_fan_count"", ""r5_random_local_fan_position"", ""r5_random_arena_wide""]",True,8 R5 blocks with dry/single/four anchors plus randomized uncertainty-family blocks
r5_active_fan_count_sequence_balanced_0_1_2_3_4,"[0, 1, 2, 3, 4]",True,"[0, 1, 2, 3, 4]"
r5_schedule_has_no_cross_entry_role_start_family,"{""environment_case_counts"": {""W0|dry_air"": 12800, ""W1|w1_annular_gp_randomised_four"": 64000, ""W1|w1_annular_gp_randomised_single"": 25600}, ""evidence_block_counts"": {""r5_anchor_dry_air"": 12800, ""r5_anchor_four_fan_fixed"": 12800, ""r5_anchor_single_fan_fixed"": 12800, ""r5_random_active_fan_count"": 12800, ""r5_random_arena_wide"": 12800, ""r5_random_four_fan_parameter"": 12800, ""r5_random_local_fan_position"": 12800, ""r5_random_single_fan_local"": 12800}, ""family_counts"": {""inflight_boundary_near"": 10240, ""inflight_lift_region"": 15360, ""inflight_nominal"": 25600, ""inflight_recovery_edge"": 10240, ""launch_gate"": 40960}, ""mismatch_count"": 0, ""mismatch_examples"": [], ""primitive_count_range"": [12800, 12800], ""role_family_counts"": {""transition_object|inflight_boundary_near"": 10240, ""transition_object|inflight_lift_region"": 15360, ""transition_object|inflight_nominal"": 25600, ""transition_object|inflight_recovery_edge"": 10240, ""transition_object|launch_gate"": 40960}, ""row_count"": 102400}",True,all scheduled rows transition-object compatible
r5_transition_entry_start_family_counts,"{""inflight_boundary_near"": 10240, ""inflight_lift_region"": 15360, ""inflight_nominal"": 25600, ""inflight_recovery_edge"": 10240, ""launch_gate"": 40960}",True,"{""inflight_boundary_near"": 10240, ""inflight_lift_region"": 15360, ""inflight_nominal"": 25600, ""inflight_recovery_edge"": 10240, ""launch_gate"": 40960}"
r5_environment_case_counts_reflect_block_ladder,"{""W0|dry_air"": 12800, ""W1|w1_annular_gp_randomised_four"": 64000, ""W1|w1_annular_gp_randomised_single"": 25600}",True,"R5 block ladder: 1 dry block, 2 single-fan blocks, 5 four-fan blocks"
r5_evidence_block_counts_balanced,"{""r5_anchor_dry_air"": 12800, ""r5_anchor_four_fan_fixed"": 12800, ""r5_anchor_single_fan_fixed"": 12800, ""r5_random_active_fan_count"": 12800, ""r5_random_arena_wide"": 12800, ""r5_random_four_fan_parameter"": 12800, ""r5_random_local_fan_position"": 12800, ""r5_random_single_fan_local"": 12800}",True,12800 rows per R5 evidence block
r7_uses_direct_r5_frozen_bundle_not_active_w2_gate,r5_frozen_bundle_direct,True,r5_frozen_bundle_direct
r7_environment_cases_dry_air_annular_gp_single_four,"[""dry_air"", ""w3_randomised_single"", ""w3_randomised_four""]",True,"[""dry_air"", ""w3_randomised_single"", ""w3_randomised_four""]"
r7_evidence_blocks_anchor_plus_uncertainty_family,"[""r7_anchor_dry_air"", ""r7_anchor_single_fan_fixed"", ""r7_anchor_four_fan_fixed"", ""r7_random_single_fan_local"", ""r7_random_four_fan_parameter"", ""r7_random_active_fan_count"", ""r7_random_local_fan_position"", ""r7_random_arena_wide""]",True,8 R7 blocks with dry/single/four anchors plus held-out uncertainty-family blocks
r7_active_fan_count_sequence_balanced_0_1_2_3_4,"[0, 1, 2, 3, 4]",True,"[0, 1, 2, 3, 4]"
r7_row_scheduler_uses_r5_selected_transition_entry_class,R5 selected transition-entry W3 scheduler source,True,start family selected from r5_transition_selected_for_r7 transition_entry_class
r8_library_cases_group_by_primitive_and_transition_entry,active grouping source,True,"W3-eligible frame grouped by [""primitive_id"", ""transition_entry_class""]"
r8_selection_applies_hard_safety_filter_first,coverage selection source,True,_hard_safety_filtered_group before scoring
r8_compressed_cases_use_coverage_medoid_policy,"{""balanced_cluster"": ""coverage_medoid_greedy_marginal_top_3_per_primitive_transition_entry"", ""heavy_cluster"": ""coverage_medoid_best_worst_case_per_primitive_transition_entry"", ""light_cluster"": ""coverage_medoid_greedy_marginal_top_6_per_primitive_transition_entry"", ""no_cluster_no_merge"": ""all_w3_eligible_transition_objects_no_clustering_no_merging"", ""super_light_cluster"": ""coverage_medoid_greedy_marginal_top_12_per_primitive_transition_entry""}",True,heavy/balanced/light/super_light use coverage_medoid; no_cluster keeps all W3-eligible transition objects
r8_heavy_medoid_prefers_worst_case_coverage,synthetic coverage-medoid selection,True,select existing variant with stronger worst-case coverage
r8_medoid_preserves_speed_bin_coverage_when_budget_allows,synthetic speed-bin medoid selection,True,compressed R8 cases preserve distinct W3-eligible local LQR speed bins up to case budget
r8_representative_score_uses_updraft_gain_not_net_energy,updraft-gain score check,True,net energy residual must not improve representative score
five_library_size_cases,"[""heavy_cluster"", ""balanced_cluster"", ""light_cluster"", ""super_light_cluster"", ""no_cluster_no_merge""]",True,heavy/balanced/light/super_light/no_cluster
r9_reduced_internal_preflight_blocks_exact,"[[""no_updraft"", ""W0"", ""dry_air"", 1], [""single_fan"", ""W2"", ""annular_gp_single"", 1], [""four_fan"", ""W2"", ""annular_gp_four"", 1]]",True,"1 no-updraft, 1 single-fan, 1 four-fan internal preflight cases"
r10_single_l7_training_block_exact,"[[""r10_l7_full_domain_randomisation_arena_wide_training"", ""W3"", ""w3_randomised_four"", 50]]",True,one hard L7 full-domain randomisation training block with 50 outer cases
r11_fidelity_ladder_blocks_exact,"[[""r11_l0_dry_air_fixed"", ""W0"", ""dry_air"", 10], [""r11_l1_single_fan_fixed_nominal"", ""W2"", ""annular_gp_single"", 10], [""r11_l2_four_fan_fixed_nominal"", ""W2"", ""annular_gp_four"", 10], [""r11_l3_fan_parameter_uncertainty"", ""W3"", ""w3_randomised_four"", 10], [""r11_l4_local_fan_position_uncertainty"", ""W3"", ""w3_randomised_four"", 10], [""r11_l5_active_fan_count_uncertainty"", ""W3"", ""w3_randomised_four"", 10], [""r11_l6_environment_only_full_uncertainty"", ""W3"", ""w3_randomised_four"", 10], [""r11_l7_full_domain_randomisation_arena_wide"", ""W3"", ""w3_randomised_four"", 10]]",True,"L0 dry, L1 single fixed, L2 four fixed, L3 fan params, L4 local position, L5 active count, L6 environment-only, L7 full-domain"
r10_r11_arena_wide_fan_positions_nonoverlap_radius_0p5m,0.5,True,0.5 m radius; centers must be at least 1.0 m apart
r9_is_internal_reduced_preflight,internal_fixed_case_outer_loop_preflight_initial_governor_tuning_not_thesis_evidence,True,internal_fixed_case_outer_loop_preflight_initial_governor_tuning_not_thesis_evidence
r10_is_governor_learning_not_final_claim_gate,changed_case_viability_governor_learning_rollout_validation_not_final_claim_gate,True,changed_case_viability_governor_learning_rollout_validation_not_final_claim_gate
r10_relaxed_failure_gate_allows_bounded_floor_ceiling_violations,"{""floor_or_ceiling"": 0.2, ""hard_failure"": 0.2}",True,R10 tuning gate allows bounded failures under full-domain randomisation
r11_is_strict_heldout_validation,strict_heldout_environment_only_changed_case_repeated_launch_rollout_validation,True,strict_heldout_environment_only_changed_case_repeated_launch_rollout_validation
r11_strict_floor_ceiling_gate_zero,0.0,True,0.0
r11_gates_full_safe_success,0.99,True,0.99
r9_quick_preflight_policy_history_conditions,"[""no_memory_baseline"", ""directional_3d_residual_memory_h3"", ""directional_3d_residual_memory_h10"", ""directional_3d_residual_memory_h30""]",True,no_memory_baseline + h3/h10/h30
r9_expected_final_launches_quick_preflight,60,True,library_cases*4*3=60
r9_expected_history_launches_quick_preflight,645,True,library_cases*3*(h3+h10+h30)=645
r10_expected_final_launches_l7_training,1000,True,library_cases*4*50
r10_expected_history_launches_l7_training,10750,True,library_cases*50*(h3+h10+h30)
r11_expected_final_launches_fidelity_ladder,1600,True,library_cases*4*80
r11_expected_history_launches_fidelity_ladder,17200,True,library_cases*80*(h3+h10+h30)
four_policy_history_conditions_core,4,True,4
history_lengths_core_exact,"[3, 10, 30]",True,"[3, 10, 30]"
empty_prior_baseline_name,empty_frozen_prior_baseline,True,empty_frozen_prior_baseline
governor_wall_guard_0p10cm,0.001,True,0.001
no_physical_speed_boundary_rejection_reason,"[""entry_role_incompatible_start_family"", ""transition_entry_class_incompatible"", ""transition_success_probability_zero"", ""transition_predicted_exit_class_incompatible"", ""context_vertical_safety_violation"", ""timing_payload_checksum_missing"", ""known_hard_failure_boundary_high"", ""missing_outcome_evidence_for_candidate"", ""continuation_probability_zero"", ""terminal_and_continuation_probability_zero"", ""primitive_not_in_compact_library"", ""unsupported_feedback_or_latency_case""]",True,no speed-margin or low-speed physical hard gate; local_speed_bin_incompatible is controller-scheduling compatibility only
active_governor_uses_updraft_gain_weight,v53_mission_aligned_safe_exploration_governor_wall_0p10cm,True,updraft_gain_weight fields
active_governor_uses_front_wall_mission_terms,v53_mission_aligned_safe_exploration_governor_wall_0p10cm,True,front-wall progress and terminal-energy proxy fields
legacy_energy_weight_maps_to_updraft_gain_weight,"{""terminal"": 0.34, ""updraft"": 0.12}",True,"{""terminal"": 0.34, ""updraft"": 0.12}"
launch_score_has_no_speed_energy_loss_or_wall_margin_factor,"[""airborne_time_reward_status"", ""base_failure_penalty"", ""base_failure_penalty_reason"", ""episode_flight_time_s"", ""front_wall_terminal_success"", ""launch_score"", ""launch_score_additive_component"", ""launch_score_version"", ""lift_dwell_bonus"", ""mission_completion_component"", ""mission_outcome_label"", ""mission_score_version"", ""mission_success"", ""terminal_specific_energy_bonus"", ""terminal_specific_energy_bonus_status"", ""terminal_specific_energy_m"", ""terminal_specific_energy_reference_m"", ""terminal_specific_energy_reserve_m"", ""terminal_wall_face"", ""updraft_gain_bonus"", ""wrong_wall_exit""]",True,"[""energy_loss_factor"", ""net_energy_factor"", ""speed_factor"", ""speed_margin_factor"", ""wall_margin_factor""]"
history_launches_not_outer_loop_scored,history_launch_memory_update_not_outer_loop_score,True,history_launch_memory_update_not_outer_loop_score
final_heldout_launches_are_outer_loop_scored,final_heldout_outer_loop_score,True,final_heldout_outer_loop_score
launch_score_version_mentions_r10_r11_not_r9,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,True,r10_r11 without r9
outer_loop_final_launches_controlled_paired,"{""belief_reinitialised"": true, ""history_scoped"": true, ""pairing_passed"": true, ""pairing_row_count"": 3}",True,"same final launch key, start seed, and environment seed across policies/library cases"
outer_loop_history_memory_scoped_to_same_final_case,"{""belief_reinitialised"": true, ""history_scoped"": true, ""pairing_passed"": true, ""pairing_row_count"": 3}",True,history rows keep library/policy/common final key and use shifted seeds
outer_loop_belief_reinitialised_per_final_row,"{""belief_reinitialised"": true, ""history_scoped"": true, ""pairing_passed"": true, ""pairing_row_count"": 3}",True,fresh belief per final schedule row
first_primitive_uses_launch_gate_entry_class,"{""current_state_class"": ""launch_gate"", ""launch_sequence_phase"": ""first_0p10s_launch_entry"", ""route_reason"": ""first_0p10s_launch_window"", ""route_required_entry_class"": ""launch_gate"", ""route_required_entry_role"": ""transition_object"", ""start_state_family"": ""launch_gate""}",True,launch_gate
later_nominal_route_uses_inflight_entry_class,"{""current_state_class"": ""post_launch_degraded"", ""launch_sequence_phase"": ""post_launch_inflight"", ""route_reason"": ""state_unavailable_default_post_launch_handoff"", ""route_required_entry_class"": ""inflight_stable"", ""route_required_entry_role"": ""transition_object"", ""start_state_family"": ""inflight_nominal""}",True,inflight_stable
r10_l7_arena_wide_varies_fan_positions_and_active_count,"{""active_count"": ""balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation"", ""fan_position"": ""independent_uniform_xy_bounds""}",True,R10 single hard L7 training distribution
r10_l7_uses_full_w3_randomisation,r10_l7_full_w3_randomisation,True,True
r11_l0_no_updraft_zero_fan_block,0,True,0
r11_l0_no_updraft_no_fan_positions,no_fan_positions,True,no_fan_positions
r11_l1_l2_nominal_fan_positions_fixed,"{""l1"": ""fixed_base_positions"", ""l2"": ""fixed_base_positions""}",True,fixed_base_positions
r11_l2_l3_l4_fixed_to_4_active_fans,L2/L3/L4 active counts,True,4
r11_l5_active_fan_variation_policy,balanced_0_1_2_3_4_for_active_fan_number_variation,True,balanced_0_1_2_3_4_for_active_fan_number_variation
r11_l7_arena_wide_varies_fan_positions_and_active_count,"{""active_count"": ""balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation"", ""fan_position"": ""independent_uniform_xy_bounds""}",True,R11 L7 independent positions plus balanced 0/1/2/3/4 active fan count
r11_l7_uses_full_w3_randomisation,r11_l7_full_w3_randomisation,True,True
r10_full_domain_fixed_within_outer_case,"[{""active_fan_count_fixed_within_outer_case"": true, ""actuator_model_fixed"": true, ""environment_block_id"": ""r10_l7_full_domain_randomisation_arena_wide_training"", ""fan_layout_fixed_within_outer_case"": true, ""full_w3_randomisation_exception"": false, ""glider_model_fixed"": true, ""latency_model_fixed"": true, ""mass_cg_inertia_surface_calibration_not_varied"": true, ""outer_case_index"": 0, ""row_count"": 20, ""updraft_parameter_noise_allowed"": true, ""variation_audit_passed"": true, ""variation_policy"": ""fixed_layout_count_and_plant_per_outer_case_parameter_noise_only""}]",True,full-domain block samples W3 perturbations across outer cases but fixes layout/count/plant within each outer case
r10_history_varies_only_launch_and_updraft_parameters,"{""history"": {""W_layer"": ""W3"", ""active_fan_count_policy"": ""balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation"", ""adaptation_launch_index"": 0, ""between_episode_active_fan_count_variation"": false, ""between_episode_environment_parameter_variation"": true, ""between_episode_environment_variation"": true, ""between_episode_fan_layout_variation"": false, ""claim_status"": ""simulation_only_controlled_outer_case"", ""common_final_launch_key"": ""r10_changed_final_0000"", ""environment_active_fan_seed"": 18200019, ""environment_block_id"": ""r10_l7_full_domain_randomisation_arena_wide_training"", ""environment_block_label"": ""R10 L7 full-domain randomisation arena-wide governor tuning"", ""environment_block_local_index"": 0, ""environment_change_family"": ""r10_l7_full_domain_randomisation_arena_wide_training"", ""environment_layout_seed"": 18200018, ""environment_mode"": ""w3_randomised_four"", ""environment_parameter_seed"": 19200020, ""environment_seed"": 19200020, ""episode_id"": ""audit_hist_000"", ""fan_layout_policy"": ""four_fan_geometry"", ""fan_position_policy"": ""independent_uniform_xy_bounds"", ""fan_position_safety_radius_m"": 0.5, ""fan_position_xy_bounds_m"": ""x=0.000:8.000;y=0.000:4.800"", ""history_launch_index"": 0, ""launch_role"": ""history"", ""launch_sequence_policy"": ""state_class_transition_entry_governor_no_launch_specific_family"", ""launch_state_seed"": 10100011, ""outer_case_id"": ""r10_changed_outer_0000"", ""outer_case_index"": 0, ""outer_case_type"": ""r10_l7_full_domain_randomisation_arena_wide_training"", ""plant_implementation_seed"": 27300023, ""plant_implementation_variation_scope"": ""fixed_per_outer_case"", ""scheduled_active_fan_count"": 0, ""scheduled_fan_layout_count"": 4, ""start_state_family"": ""launch_gate""}, ""outer"": {""W_layer"": ""W3"", ""active_fan_count_policy"": ""balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation"", ""between_episode_active_fan_count_variation"": false, ""between_episode_environment_parameter_variation"": true, ""between_episode_environment_variation"": true, ""between_episode_fan_layout_variation"": false, ""claim_status"": ""simulation_only_controlled_outer_case"", ""common_final_launch_key"": ""r10_changed_final_0000"", ""environment_active_fan_seed"": 18200019, ""environment_block_id"": ""r10_l7_full_domain_randomisation_arena_wide_training"", ""environment_block_label"": ""R10 L7 full-domain randomisation arena-wide governor tuning"", ""environment_block_local_index"": 0, ""environment_change_family"": ""r10_l7_full_domain_randomisation_arena_wide_training"", ""environment_layout_seed"": 18200018, ""environment_mode"": ""w3_randomised_four"", ""environment_parameter_seed"": 18200020, ""environment_seed"": 18200020, ""fan_layout_policy"": ""four_fan_geometry"", ""fan_position_policy"": ""independent_uniform_xy_bounds"", ""fan_position_safety_radius_m"": 0.5, ""fan_position_xy_bounds_m"": ""x=0.000:8.000;y=0.000:4.800"", ""launch_sequence_policy"": ""state_class_transition_entry_governor_no_launch_specific_family"", ""launch_state_seed"": 9100011, ""outer_case_id"": ""r10_changed_outer_0000"", ""outer_case_index"": 0, ""outer_case_type"": ""r10_l7_full_domain_randomisation_arena_wide_training"", ""plant_implementation_seed"": 27300023, ""plant_implementation_variation_scope"": ""fixed_per_outer_case"", ""scheduled_active_fan_count"": 0, ""scheduled_fan_layout_count"": 4, ""start_state_family"": ""launch_gate""}}",True,history shifts launch and mild updraft parameter seed while fan layout/count and plant/implementation stay fixed per outer case
