primitive_variant_id,primitive_id,environment_mode,compatible_row_count,positive_continuation_count,transition_chain_compatible_count,episode_terminal_useful_count,hard_failure_count,minimum_wall_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s
primvar_energy_retaining_bank_transition_object_19045785191b,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.01711630640513097,0.0
primvar_energy_retaining_bank_transition_object_19045785191b,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.014978334578683836,0.0102
primvar_energy_retaining_bank_transition_object_19045785191b,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.01720185485402289,0.0
primvar_energy_retaining_bank_transition_object_1ca4b9487516,energy_retaining_bank,dry_air,20,20,20,0,0,0.2005441866852875,-0.023646705887811155,0.0
primvar_energy_retaining_bank_transition_object_1ca4b9487516,energy_retaining_bank,w3_randomised_four,100,80,80,0,0,0.2005851501523823,0.001571228994573385,0.0742
primvar_energy_retaining_bank_transition_object_1ca4b9487516,energy_retaining_bank,w3_randomised_single,40,25,25,0,0,0.1991626401661248,-0.0025571107139668466,0.064
primvar_energy_retaining_bank_transition_object_1feb3ceebf37,energy_retaining_bank,dry_air,20,9,9,0,0,0.4462003251179072,-0.0032655638331309197,0.0
primvar_energy_retaining_bank_transition_object_1feb3ceebf37,energy_retaining_bank,w3_randomised_four,100,24,24,0,0,0.4461659549043487,0.011756541025593098,0.0796
primvar_energy_retaining_bank_transition_object_1feb3ceebf37,energy_retaining_bank,w3_randomised_single,40,15,15,0,0,0.4459886345305439,0.0008654138366296346,0.0425
primvar_energy_retaining_bank_transition_object_228476f7db35,energy_retaining_bank,dry_air,20,20,20,0,0,0.2002685165381104,-0.02324571681571847,0.0
primvar_energy_retaining_bank_transition_object_228476f7db35,energy_retaining_bank,w3_randomised_four,100,81,81,0,0,0.2001679946131211,0.0015521137885593115,0.0746
primvar_energy_retaining_bank_transition_object_228476f7db35,energy_retaining_bank,w3_randomised_single,40,28,28,0,0,0.2002934687053468,-0.0026194516962911225,0.0655
primvar_energy_retaining_bank_transition_object_22b2087a5f38,energy_retaining_bank,dry_air,20,14,14,11,0,-0.0720449490422217,-0.0351835080562283,0.0
primvar_energy_retaining_bank_transition_object_22b2087a5f38,energy_retaining_bank,w3_randomised_four,100,61,61,55,0,-0.0722400723818754,-0.028731948495886533,0.043
primvar_energy_retaining_bank_transition_object_22b2087a5f38,energy_retaining_bank,w3_randomised_single,40,28,28,22,0,-0.0720822294024401,-0.03461423378110005,0.007000000000000001
primvar_energy_retaining_bank_transition_object_293bfcebbc26,energy_retaining_bank,dry_air,20,8,8,0,0,0.446225516850647,-0.0033463333829460776,0.0
primvar_energy_retaining_bank_transition_object_293bfcebbc26,energy_retaining_bank,w3_randomised_four,100,34,34,0,0,0.4459764422387313,0.011323545937780009,0.0756
primvar_energy_retaining_bank_transition_object_293bfcebbc26,energy_retaining_bank,w3_randomised_single,40,16,16,0,0,0.4459711329509886,0.0010409628558890147,0.047
primvar_energy_retaining_bank_transition_object_2b4462c59aba,energy_retaining_bank,dry_air,20,14,14,11,0,-0.072088342407067,-0.03498296498051698,0.0
primvar_energy_retaining_bank_transition_object_2b4462c59aba,energy_retaining_bank,w3_randomised_four,100,63,63,55,0,-0.0723651143000827,-0.027737247891481506,0.044199999999999996
primvar_energy_retaining_bank_transition_object_2b4462c59aba,energy_retaining_bank,w3_randomised_single,40,28,28,22,0,-0.0721695371332105,-0.0347973833634546,0.006500000000000001
primvar_energy_retaining_bank_transition_object_2cba77597e5d,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.017108398242957033,0.0
primvar_energy_retaining_bank_transition_object_2cba77597e5d,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.012544508255094473,0.013000000000000001
primvar_energy_retaining_bank_transition_object_2cba77597e5d,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.017052244948312215,0.0
primvar_energy_retaining_bank_transition_object_2cf92e43b350,energy_retaining_bank,dry_air,60,54,54,11,0,-0.0721015964441003,-0.025066065122365914,0.0
primvar_energy_retaining_bank_transition_object_2cf92e43b350,energy_retaining_bank,w3_randomised_four,300,241,241,55,0,-0.0723220488665941,-0.014149371328669344,0.04293333333333334
primvar_energy_retaining_bank_transition_object_2cf92e43b350,energy_retaining_bank,w3_randomised_single,120,92,92,22,0,-0.0721420738896574,-0.018080400587941917,0.022166666666666668
primvar_energy_retaining_bank_transition_object_2d807a309322,energy_retaining_bank,dry_air,40,34,34,11,0,-0.0720702947564584,-0.02907939096123105,0.0
primvar_energy_retaining_bank_transition_object_2d807a309322,energy_retaining_bank,w3_randomised_four,200,136,136,55,0,-0.0722732620688528,-0.013269520700596752,0.0582
primvar_energy_retaining_bank_transition_object_2d807a309322,energy_retaining_bank,w3_randomised_single,80,53,53,22,0,-0.072041266008493,-0.01833057307305846,0.035250000000000004
primvar_energy_retaining_bank_transition_object_2f23757206de,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.017088236164388815,0.0
