primitive_variant_id,primitive_id,environment_mode,compatible_row_count,positive_continuation_count,episode_terminal_useful_count,hard_failure_count,minimum_wall_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s
primvar_glide_inflight_only_377ffa3b39b9,glide,w3_randomised_four,20,20,0,0,0.2938592193106197,0.00333784673930823,0.082
primvar_glide_inflight_only_377ffa3b39b9,glide,w3_randomised_single,20,20,0,0,0.2938197261592039,-0.005739430948563718,0.044
primvar_glide_inflight_only_3b8b7f863485,glide,w3_randomised_four,20,20,0,0,0.2941131197003619,-0.004197827447291695,0.05700000000000001
primvar_glide_inflight_only_3b8b7f863485,glide,w3_randomised_single,20,20,0,0,0.2936580349182716,-0.0045455983019311655,0.045
primvar_glide_inflight_only_462d0aafe0d7,glide,w3_randomised_four,20,20,0,0,0.2938189006663716,-0.008019389334253845,0.051000000000000004
primvar_glide_inflight_only_462d0aafe0d7,glide,w3_randomised_single,20,20,0,0,0.2932131079070297,-0.0007248023112019404,0.047
primvar_glide_inflight_only_467f4fe3befd,glide,w3_randomised_four,20,20,0,0,0.2938955832773811,-0.0005973003605012156,0.073
primvar_glide_inflight_only_467f4fe3befd,glide,w3_randomised_single,20,20,0,0,0.2927674791789902,0.0007039026786032753,0.049
primvar_glide_inflight_only_56e2b8f06b33,glide,w3_randomised_four,20,20,0,0,0.2955707133036194,-0.0008917746082494508,0.075
primvar_glide_inflight_only_56e2b8f06b33,glide,w3_randomised_single,20,20,0,0,0.2939547814571259,-0.006152165338407499,0.04
primvar_glide_inflight_only_6e5db12749da,glide,w3_randomised_four,20,20,0,0,0.2959639354143801,-0.0002573166300476028,0.077
primvar_glide_inflight_only_6e5db12749da,glide,w3_randomised_single,20,20,0,0,0.2926477714663669,-0.004855687192845693,0.044
primvar_glide_inflight_only_7bf26b5e630a,glide,w3_randomised_four,20,20,0,0,0.2950539666519969,0.0017846819307886703,0.078
primvar_glide_inflight_only_7bf26b5e630a,glide,w3_randomised_single,20,20,0,0,0.2934987472118067,-0.004446760231474644,0.046
primvar_glide_inflight_only_8e4761b111da,glide,w3_randomised_four,20,20,0,0,0.2955562966580816,-0.006964086959502172,0.064
primvar_glide_inflight_only_8e4761b111da,glide,w3_randomised_single,20,20,0,0,0.2935163295007079,-0.004814257187391974,0.044
primvar_glide_inflight_only_9807040a9087,glide,w3_randomised_four,20,20,0,0,0.2937599522733336,0.0018117494366866754,0.073
primvar_glide_inflight_only_9807040a9087,glide,w3_randomised_single,20,20,0,0,0.29346797857038,-0.004041539017814499,0.044
primvar_glide_inflight_only_98a21aab2434,glide,w3_randomised_four,20,20,0,0,0.2939215308656164,-0.0028450127506035147,0.068
primvar_glide_inflight_only_98a21aab2434,glide,w3_randomised_single,20,20,0,0,0.293236764869798,-0.0052609661924973156,0.05
primvar_glide_inflight_only_9d1f141056b5,glide,w3_randomised_four,20,20,0,0,0.2961799580795539,-0.005457853908412456,0.069
primvar_glide_inflight_only_9d1f141056b5,glide,w3_randomised_single,20,20,0,0,0.2933837638671157,-0.0034818362346574335,0.043000000000000003
primvar_glide_inflight_only_a01e608aa658,glide,w3_randomised_four,20,20,0,0,0.2946027744804134,-0.003137127608231996,0.066
primvar_glide_inflight_only_a01e608aa658,glide,w3_randomised_single,20,20,0,0,0.292794746574847,-0.002266666410444801,0.052000000000000005
