primitive_id,candidate_index,candidate_weight_label,candidate_family,row_count,accepted_or_weak_rate,continuation_valid_rate,episode_terminal_useful_rate,launch_gate_pass_rate,nominal_inflight_pass_rate,systemic_blocker_ratio,hard_failure_ratio,missing_metadata_ratio,speed_low_ratio,floor_ceiling_ratio,robust_lift_dwell_p20,robust_energy_residual_p20,wall_margin_p10,saturation_fraction_p95,uncertainty_m_s_p95,dominant_failure_label,lqr_Q_weights_json,lqr_R_weights_json,lqr_gain_checksum,lqr_synthesis_status,sampled_data_check,robust_score,eligibility_status,selection_reason
glide,9,glide_qr_009,unknown,100,0.34,0.17,0.17,0.4,0.25,0.0,0.66,0.0,0.0,0.0,0.0,-0.7782569463979874,-0.04260562068850333,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":4.0,""q_rates"":3.2,""q_surfaces"":0.15,""q_velocity"":1.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.0,""r_elevator"":0.9,""r_rudder"":1.1}",ae9887c53c8e4de7a3a37d10ae3f0614e699848a2638445dc286d65a1c429fe5,solved,sampled_stable,-0.1789476187947946,accepted_fallback,accepted_fallback_below_preferred_threshold
glide,3,glide_qr_003,unknown,100,0.33,0.19,0.14,0.45,0.35,0.0,0.67,0.0,0.0,0.0,0.0,-0.7509562553866981,-0.06522475371272435,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":3.2,""q_surfaces"":0.15,""q_velocity"":2.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":4.0,""r_elevator"":3.6,""r_rudder"":4.4}",957b467dbe4326a49f105f2375c23d0ec9755cf9fed2541a099b9f4ef4d164b2,solved,sampled_stable,-0.18144527902952867,accepted_fallback,accepted_fallback_below_preferred_threshold
glide,0,glide_qr_000,unknown,100,0.34,0.13,0.21,0.275,0.325,0.0,0.66,0.0,0.0,0.0,0.0,-0.6603353781234883,-0.07158838635136873,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":1.6,""q_surfaces"":0.15,""q_velocity"":1.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.5,""r_elevator"":0.45,""r_rudder"":0.55}",f5c618486773078ba6fefa045251cbd3c8cca6b7b49b78b0efd647d915108e91,solved,sampled_stable,-0.22393097587907063,rejected,below_minimum_empirical_gate
glide,2,glide_qr_002,unknown,100,0.35,0.08,0.27,0.175,0.3,0.0,0.65,0.0,0.0,0.0,0.0,-0.9913814325849394,-0.06526979822070833,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":1.6,""q_surfaces"":0.15,""q_velocity"":2.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":2.0,""r_elevator"":1.8,""r_rudder"":2.2}",6f7f49fafc1d43a1f9773fe1b1c4ad4b1c40dbe0c9028fb61e4b35a966da0517,solved,sampled_stable,-0.2727648624485294,rejected,below_minimum_empirical_gate
glide,6,glide_qr_006,unknown,100,0.35,0.06,0.29,0.125,0.35,0.0,0.65,0.0,0.0,0.0,0.0,-1.0114042179134233,-0.06760584516280665,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":1.6,""q_surfaces"":0.15,""q_velocity"":8.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":2.0,""r_elevator"":1.8,""r_rudder"":2.2}",63b6ef6fd13c1eabfc34d97bb696573f0e6066837ec8307fc12d884db03a7bed,solved,sampled_stable,-0.29868924825773213,rejected,below_minimum_empirical_gate
glide,14,glide_qr_014,unknown,100,0.33,0.05,0.28,0.1,0.225,0.0,0.67,0.0,0.0,0.0,0.0,-0.9363179718541634,-0.07892326530816132,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":4.0,""q_rates"":1.6,""q_surfaces"":0.15,""q_velocity"":8.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":2.0,""r_elevator"":1.8,""r_rudder"":2.2}",495e2ddaa7a14a5b3877662ad5be830bf69cee05c755846e374da4331151a4e8,solved,sampled_stable,-0.36492354138651883,rejected,below_minimum_empirical_gate
glide,1,glide_qr_001,unknown,100,0.27,0.16,0.11,0.3,0.25,0.0,0.73,0.0,0.0,0.0,0.0,-0.8542971844787736,-0.042352469805614607,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":3.2,""q_surfaces"":0.15,""q_velocity"":1.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.0,""r_elevator"":0.9,""r_rudder"":1.1}",72eae2a8feb5f75aaa70b8a20471ab326aa7d30ceee66fc2b58ec22032278699,solved,sampled_stable,-0.3943668979996009,rejected,below_minimum_empirical_gate
glide,11,glide_qr_011,unknown,100,0.26,0.13,0.13,0.2,0.5,0.0,0.74,0.0,0.0,0.0,0.0,-0.9020768427664873,-0.02395588483841433,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":4.0,""q_rates"":3.2,""q_surfaces"":0.15,""q_velocity"":2.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":4.0,""r_elevator"":3.6,""r_rudder"":4.4}",ae5ec9202d05bf5dca15c0bd107851ac65b31b929e2b6b6cc03c1c95e380f52e,solved,sampled_stable,-0.4623330167728761,rejected,below_minimum_empirical_gate
glide,15,glide_qr_015,unknown,100,0.25,0.13,0.12,0.225,0.35,0.0,0.75,0.0,0.0,0.0,0.0,-0.8481511091511805,-0.030899998224926877,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":4.0,""q_rates"":3.2,""q_surfaces"":0.15,""q_velocity"":8.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":4.0,""r_elevator"":3.6,""r_rudder"":4.4}",d51c962ef56fbe12675c468e71e4269da919fca906fbcef1d36b5105345d0edc,solved,sampled_stable,-0.48847579989405254,rejected,below_minimum_empirical_gate
glide,5,glide_qr_005,unknown,100,0.25,0.12,0.13,0.25,0.5,0.0,0.75,0.0,0.0,0.0,0.0,-1.1487556698861792,-0.05900506651702472,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":3.2,""q_surfaces"":0.15,""q_velocity"":4.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.0,""r_elevator"":0.9,""r_rudder"":1.1}",563e03c9b29ea7ffd39453fda62b008b6fc6c51c4d87924031e7eb559bedafd4,solved,sampled_stable,-0.5147840558100485,rejected,below_minimum_empirical_gate
