combo_idx,combo_names,fan_robust_loss,fan_robust_f_scale,overall_wrmse,overall_sae,overall_n,F01_wrmse,F01_sae,F01_n,F02_wrmse,F02_sae,F02_n,F03_wrmse,F03_sae,F03_n,F04_wrmse,F04_sae,F04_n
"0,1,1,0","baseline,huber,huber,baseline","soft_l1,huber,huber,soft_l1","1.000,1.000,1.000,1.000",0.5993455695082338,509.42124791009024,1365,0.3400981188695252,131.35477855350246,357,0.8225276842514748,113.97680915227767,315,0.5772855468940824,138.57273806304855,371,0.4051155550731271,125.51692214126156,322
"0,0,1,1","baseline,baseline,huber,huber","soft_l1,soft_l1,huber,huber","1.000,1.000,1.000,1.000",0.5995145505967054,509.09525227693564,1365,0.3397948902596149,131.15788723552922,357,0.8225330086176322,115.08327407838311,315,0.5775630089241507,138.6938846615743,371,0.4061136858112356,124.16020630144904,322
"1,1,1,0","huber,huber,huber,baseline","huber,huber,huber,soft_l1","1.000,1.000,1.000,1.000",0.5995878974055528,509.05686195596707,1365,0.34229638690691155,130.66931565598094,357,0.8222924134534868,114.17793933206464,315,0.5774762126059755,138.7435856145194,371,0.4052427231573754,125.4660213534021,322
"1,0,1,1","huber,baseline,huber,huber","huber,soft_l1,huber,huber","1.000,1.000,1.000,1.000",0.599739794236553,508.72950282940974,1365,0.34199808915154695,130.3888767859713,357,0.8223025931930518,115.32627518669904,315,0.5776806591416345,138.85859595414377,371,0.40622641569067985,124.15575490259565,322
"0,1,1,1","baseline,huber,huber,huber","soft_l1,huber,huber,huber","1.000,1.000,1.000,1.000",0.5997986354103962,508.9586799165646,1365,0.3400321572846021,131.30428557951439,357,0.8228713094539639,114.3243761911297,315,0.5775104182274422,138.72635770673685,371,0.40696312995170036,124.60366043918366,322
"1,1,1,1","huber,huber,huber,huber","huber,huber,huber,huber","1.000,1.000,1.000,1.000",0.600020639930057,508.5687837031596,1365,0.34225634291119095,130.61462164767988,357,0.8226377243504321,114.51501230598213,315,0.5776258793558724,138.88881788305392,371,0.40704640874953135,124.55033186644368,322
"2,1,0,0","cauchy,huber,baseline,baseline","cauchy,huber,soft_l1,soft_l1","0.500,1.000,1.000,1.000",0.6006264596474725,514.6426958187458,1365,0.36619594784460013,137.91078681555544,357,0.8222149466248965,112.57661306626308,315,0.569024761687682,138.46156227972762,371,0.4046084854907286,125.69373365719962,322
"2,0,0,0","cauchy,baseline,baseline,baseline","cauchy,soft_l1,soft_l1,soft_l1","0.500,1.000,1.000,1.000",0.6011890018690196,515.5248996159814,1365,0.3703577304532416,138.8028157896458,357,0.8224385568868711,113.22807699596768,315,0.5691722687251041,138.28903805483372,371,0.4035586466538258,125.20496877553421,322
"2,1,0,1","cauchy,huber,baseline,huber","cauchy,huber,soft_l1,huber","0.500,1.000,1.000,1.000",0.6016340846353351,514.8039036151007,1365,0.3698107216671254,138.4404336707526,357,0.8224941800705174,112.94755905311757,315,0.569375675321318,138.58312191730602,371,0.4068032621091817,124.83278897392447,322
"2,0,0,1","cauchy,baseline,baseline,huber","cauchy,soft_l1,soft_l1,huber","0.500,1.000,1.000,1.000",0.6018155026485011,515.4272846279252,1365,0.3712996710234425,138.97599129287624,357,0.8226858149929098,113.56779965666983,315,0.5694168429049437,138.49708045517423,371,0.4059471711187514,124.38641322320493,322
"2,1,1,0","cauchy,huber,huber,baseline","cauchy,huber,huber,soft_l1","0.500,1.000,1.000,1.000",0.6034192104211423,515.6580265020896,1365,0.37346863509565503,138.97730380727918,357,0.8225092163135638,112.73569243441294,315,0.5762649673690633,138.14424449348388,371,0.40414301970839145,125.80078576691352,322
"2,0,1,0","cauchy,baseline,huber,baseline","cauchy,soft_l1,huber,soft_l1","0.500,1.000,1.000,1.000",0.6035562149917796,516.300781412584,1365,0.37518913494010797,139.5595916757598,357,0.822570853599436,113.36471767885457,315,0.5763035076928333,138.04154574207956,371,0.4031265093927808,125.33492631589002,322
"2,1,1,1","cauchy,huber,huber,huber","cauchy,huber,huber,huber","0.500,1.000,1.000,1.000",0.6040636960977045,515.5401708326428,1365,0.3746882553459138,139.21749399407778,357,0.8227592576535386,113.06736370735169,315,0.5765057089906301,138.34537459427645,371,0.40637879878117333,124.90993853693688,322
"2,0,1,1","cauchy,baseline,huber,huber","cauchy,soft_l1,huber,huber","0.500,1.000,1.000,1.000",0.6041173991271723,516.1075994062481,1365,0.3759135652024995,139.69036225737233,357,0.8228875659608846,113.70851413612546,315,0.5764703028516932,138.2704800599418,371,0.40518003928685614,124.43824295280852,322
"1,0,1,2","huber,baseline,huber,cauchy","huber,soft_l1,huber,cauchy","1.000,1.000,1.000,0.500",0.6045475190152136,518.7826254830775,1365,0.34248064219635604,130.68682456477265,357,0.8211304801078423,113.16932559675293,315,0.5748102823883301,137.05159674253483,371,0.4471115133939865,137.874878579017,322
"0,0,1,2","baseline,baseline,huber,cauchy","soft_l1,soft_l1,huber,cauchy","1.000,1.000,1.000,0.500",0.6051288458717692,519.2886279317062,1365,0.3404068951343614,131.3503537408194,357,0.8214882889402829,112.9501023077546,315,0.5744960971050114,136.87700249366713,371,0.45212408159090434,138.111169389465,322
"0,1,0,2","baseline,huber,baseline,cauchy","soft_l1,huber,soft_l1,cauchy","1.000,1.000,1.000,0.500",0.6054391369073039,516.6066206531846,1365,0.34056729660465046,131.3821023098041,357,0.8224539204491104,111.96342309123126,315,0.5701724079010106,138.34144303913183,371,0.45791488063224156,134.91965221301737,322
"0,0,0,2","baseline,baseline,baseline,cauchy","soft_l1,soft_l1,soft_l1,cauchy","1.000,1.000,1.000,0.500",0.6055283983152275,517.2007075279685,1365,0.34019656629542194,131.20024542087916,357,0.8209583629705032,112.54937166222018,315,0.5700206425025762,138.30825835009344,371,0.46317221352813137,135.14283209477566,322
"1,1,0,2","huber,huber,baseline,cauchy","huber,huber,soft_l1,cauchy","1.000,1.000,1.000,0.500",0.605639903303745,516.292236907827,1365,0.3427250372975285,130.74105543122576,357,0.8222060252724379,112.24173381253503,315,0.570272084981019,138.50852786295354,371,0.45798296657878623,134.8009198011127,322
"1,0,0,2","huber,baseline,baseline,cauchy","huber,soft_l1,soft_l1,cauchy","1.000,1.000,1.000,0.500",0.6057168866225768,516.9071315683975,1365,0.34236763514153246,130.53103586551055,357,0.8206667197232135,112.88205875227438,315,0.5701473804447471,138.5032203054897,371,0.46323144962389373,134.99081664512286,322
"0,1,1,2","baseline,huber,huber,cauchy","soft_l1,huber,huber,cauchy","1.000,1.000,1.000,0.500",0.6071695278376184,519.3711178190416,1365,0.34079968659667137,131.51225198565538,357,0.8225311655548813,112.09042764105607,315,0.5756496546275854,137.81595279790105,371,0.46031907192536453,137.9524853944291,322
"1,1,1,2","huber,huber,huber,cauchy","huber,huber,huber,cauchy","1.000,1.000,1.000,0.500",0.6073709130539964,518.9891191475951,1365,0.3428422575501124,130.87587078574205,357,0.8223097872347804,112.35362331260586,315,0.5757592289169406,137.98127486068614,371,0.4603972454707673,137.77835018856106,322
"2,1,0,2","cauchy,huber,baseline,cauchy","cauchy,huber,soft_l1,cauchy","0.500,1.000,1.000,0.500",0.6086335414212495,522.0094079239371,1365,0.36536728062589213,137.09052478921387,357,0.8219082516606983,110.84897234591996,315,0.5683745405900855,137.90564837586987,371,0.4617948303036046,136.16426241293345,322
"2,0,0,2","cauchy,baseline,baseline,cauchy","cauchy,soft_l1,soft_l1,cauchy","0.500,1.000,1.000,0.500",0.6087338454112605,523.0234667505853,1365,0.3680717510208745,137.60036457258022,357,0.8212453632103732,111.2698875659717,315,0.5683135463509924,137.70787287465723,371,0.4620086975635585,136.44534173737614,322
"0,0,2,0","baseline,baseline,cauchy,baseline","soft_l1,soft_l1,cauchy,soft_l1","1.000,1.000,0.500,1.000",0.6091984044561949,510.6557814927659,1365,0.3403384675366258,129.95066607491924,357,0.8200282615575663,114.05593277635738,315,0.6192160681852568,141.483701300734,371,0.40894262440436885,125.16548134075532,322
"1,0,2,1","huber,baseline,cauchy,huber","huber,soft_l1,cauchy,huber","1.000,1.000,0.500,1.000",0.6092159190944,509.6118522286481,1365,0.3424786977942778,129.28115902459976,357,0.8204529835144722,114.79812819061803,315,0.6167529783668333,141.07184275975806,371,0.41031443939853984,124.46072225367229,322
"2,0,1,2","cauchy,baseline,huber,cauchy","cauchy,soft_l1,huber,cauchy","0.500,1.000,1.000,0.500",0.6093691466186626,525.5587866724177,1365,0.37415698016806875,138.68414442962396,357,0.8217875042017174,111.81806241797585,315,0.574169732910001,136.36624058631142,371,0.4502481910439805,138.6903392385065,322
