environment_block_id,library_size_case_id,policy_id,history_length,launch_speed_bin_id,launch_speed_bin_min_m_s,launch_speed_bin_max_m_s,launch_speed_bin_label,launch_count,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h10,10,v0_6_0_to_7_0_m_s,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,14,14.0,1.0,14.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,8.0,0.5714285714285714,2.0,0.14285714285714285,0.0,0.0,6.54308520799183,6.106340861654188,6.947160686683218,124.3356639857627,120.37662921569688,0.9285714285714286,0.20285714285714287,3.3111725117306254,2.9111725117306255,20.0,0.005359643400792151,0.16606891357384848,-0.5699000741780266,0.5752597175788187
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h10,10,v0_ge_7_0_m_s,7.0,,initial_launch_speed_m_s >= 7.0,12,11.0,0.9166666666666666,11.0,0.9166666666666666,0.0,0.0,11.0,0.9166666666666666,1.0,0.08333333333333333,0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.08333333333333333,0.0,0.0,1.0,0.08333333333333333,0.0,0.0,11.0,0.9166666666666666,11.0,0.9166666666666666,0.0,0.0,0.0,0.0,7.46890974012759,7.013578014947912,7.907311911278154,106.21999379001045,123.75816633045876,0.7949999999999999,0.32666666666666666,4.017673532747176,3.617673532747176,18.333333333333332,0.040758319296438084,0.20048437944474187,-0.5019017592630274,0.5426600785594654
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h10,10,v0_lt_4_0_m_s,,4.0,initial_launch_speed_m_s < 4.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,1.0,0.09090909090909091,0.0,0.0,3.548800506099386,3.004820898252463,3.994861598062479,12.752428131893716,0.0,1.0654545454545454,0.24727272727272728,1.2068354770388683,0.8068354770388683,1.331694459828021,0.009937125753072073,0.3669259488724783,-1.1227403851773916,1.1326775109304636
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h3,3,v0_4_0_to_5_0_m_s,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,6,2.0,0.3333333333333333,2.0,0.3333333333333333,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,2.0,0.3333333333333333,4.0,0.6666666666666666,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,2.0,0.3333333333333333,2.0,0.3333333333333333,5.0,0.8333333333333334,1.0,0.16666666666666666,0.0,0.0,4.480614965380852,4.062270882158154,4.974404679318456,30.093286385382186,0.0,1.2233333333333334,0.4633333333333334,1.7569575038144614,1.3569575038144617,5.792058796120308,0.006659833658758867,0.29937993980209865,-0.9435078174787362,0.9501676511374951
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h3,3,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,7,6.0,0.8571428571428571,6.0,0.8571428571428571,0.0,0.0,6.0,0.8571428571428571,1.0,0.14285714285714285,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.0,1.0,0.14285714285714285,0.0,0.0,6.0,0.8571428571428571,4.0,0.5714285714285714,0.0,0.0,0.0,0.0,5.333457613646035,5.02929389802401,5.961663813537895,91.20494936318407,120.0,1.1714285714285713,0.3685714285714286,2.3358430033781303,1.9358430033781306,16.92760209129788,0.0,0.1758292469041534,-0.7692052930339263,0.7692052930339263
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h3,3,v0_6_0_to_7_0_m_s,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,14,14.0,1.0,14.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,8.0,0.5714285714285714,2.0,0.14285714285714285,0.0,0.0,6.54308520799183,6.106340861654188,6.947160686683218,124.3356639857627,120.37662921569688,0.9285714285714286,0.20285714285714287,3.3111725117306254,2.9111725117306255,20.0,0.005359643400792151,0.16606891357384848,-0.5699000741780266,0.5752597175788187
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h3,3,v0_ge_7_0_m_s,7.0,,initial_launch_speed_m_s >= 7.0,12,11.0,0.9166666666666666,11.0,0.9166666666666666,0.0,0.0,11.0,0.9166666666666666,1.0,0.08333333333333333,0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.08333333333333333,0.0,0.0,1.0,0.08333333333333333,0.0,0.0,11.0,0.9166666666666666,11.0,0.9166666666666666,0.0,0.0,0.0,0.0,7.46890974012759,7.013578014947912,7.907311911278154,106.21999379001045,123.75816633045876,0.7949999999999999,0.32666666666666666,4.017673532747176,3.617673532747176,18.333333333333332,0.040758319296438084,0.20048437944474187,-0.5019017592630274,0.5426600785594654
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h3,3,v0_lt_4_0_m_s,,4.0,initial_launch_speed_m_s < 4.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,0.0,0.0,0.0,0.0,3.548800506099386,3.004820898252463,3.994861598062479,12.752428131893716,0.0,1.0654545454545454,0.24727272727272728,1.207200542263909,0.8072005422639088,1.331694459828021,0.009937125753072073,0.3669259488724783,-1.122375319952351,1.132312445705423
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h30,30,v0_4_0_to_5_0_m_s,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,6,2.0,0.3333333333333333,2.0,0.3333333333333333,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,2.0,0.3333333333333333,4.0,0.6666666666666666,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,2.0,0.3333333333333333,2.0,0.3333333333333333,5.0,0.8333333333333334,1.0,0.16666666666666666,0.0,0.0,4.480614965380852,4.062270882158154,4.974404679318456,30.093286385382186,0.0,1.2233333333333334,0.4633333333333334,1.7569575038144614,1.3569575038144617,5.792058796120308,0.006659833658758867,0.29937993980209865,-0.9435078174787362,0.9501676511374951
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h30,30,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,7,6.0,0.8571428571428571,6.0,0.8571428571428571,0.0,0.0,6.0,0.8571428571428571,1.0,0.14285714285714285,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.0,1.0,0.14285714285714285,0.0,0.0,6.0,0.8571428571428571,4.0,0.5714285714285714,2.0,0.2857142857142857,0.0,0.0,5.333457613646035,5.02929389802401,5.961663813537895,91.2139219055391,120.0,1.1714285714285713,0.37142857142857144,2.3218322553478794,1.9218322553478797,16.906539651259965,0.0,0.17661671030951448,-0.783216041064177,0.783216041064177
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,spatial_flow_belief_memory_h30,30,v0_6_0_to_7_0_m_s,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,14,14.0,1.0,14.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,8.0,0.5714285714285714,2.0,0.14285714285714285,0.0,0.0,6.54308520799183,6.106340861654188,6.947160686683218,124.3356639857627,120.37662921569688,0.9285714285714286,0.20285714285714287,3.3111725117306254,2.9111725117306255,20.0,0.005359643400792151,0.16606891357384848,-0.5699000741780266,0.5752597175788187
