environment_block_id,library_size_case_id,policy_id,history_length,launch_speed_bin_id,source_validation_run_count,source_validation_run_labels,launch_count,launch_speed_bin_min_m_s,launch_speed_bin_max_m_s,launch_speed_bin_label,start_energy_feasibility_threshold_m_s,start_energy_group_basis,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r11_l5_active_fan_count_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,4,E03.1;E03.2;E03.3;E03.4,27,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,21,0.7777777777777778,25,0.9259259259259259,0,0.0,21,0.7777777777777778,4,0.14814814814814814,0,0.0,0,0.0,1,0.037037037037037035,1,0.037037037037037035,1,0.037037037037037035,1,0.037037037037037035,1,0.037037037037037035,25,0.9259259259259259,22,0.8148148148148148,0,0.0,0,0.0,7.616733485403874,7.025729538848876,8.034078728789705,88.24799768385574,127.1565595569896,0.9333333333333333,0.46370370370370373,3.1481516552193,2.7481516552193,14.94350966963555,0.0,0.3948146426673187,-1.4080593616661778,1.4080593616661778
r11_l5_active_fan_count_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,4,E03.1;E03.2;E03.3;E03.4,17,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,1,0.058823529411764705,1,0.058823529411764705,0,0.0,1,0.058823529411764705,3,0.17647058823529413,9,0.5294117647058824,0,0.0,4,0.23529411764705882,3,0.17647058823529413,0,0.0,12,0.7058823529411765,9,0.5294117647058824,1,0.058823529411764705,12,0.7058823529411765,0,0.0,0,0.0,4.57718943642704,4.1060983395932,4.902884016874245,-18.326318716159395,0.0,1.2305882352941178,0.6317647058823529,1.4315776884964553,1.0315776884964554,0.8661856308910586,0.00019050772411764117,0.46968052859540854,-1.2668928309436132,1.267083338667731
r11_l5_active_fan_count_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,4,E03.1;E03.2;E03.3;E03.4,19,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,5,0.2631578947368421,10,0.5263157894736842,0,0.0,5,0.2631578947368421,7,0.3684210526315789,0,0.0,0,0.0,2,0.10526315789473684,7,0.3684210526315789,5,0.2631578947368421,7,0.3684210526315789,5,0.2631578947368421,10,0.5263157894736842,16,0.8421052631578947,0,0.0,0,0.0,5.495970239291155,5.12330928775431,5.959681147377292,-20.73819343087618,-50.0,1.2905263157894737,0.6589473684210527,1.6339382112158263,1.2339382112158264,3.6372149997939367,0.0,0.594600033301411,-1.4681303190684238,1.4681303190684238
r11_l5_active_fan_count_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,4,E03.1;E03.2;E03.3;E03.4,17,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,13,0.7647058823529411,14,0.8235294117647058,0,0.0,13,0.7647058823529411,1,0.058823529411764705,0,0.0,0,0.0,0,0.0,3,0.17647058823529413,3,0.17647058823529413,3,0.17647058823529413,3,0.17647058823529413,14,0.8235294117647058,11,0.6470588235294118,0,0.0,0,0.0,6.600901092811046,6.099974731221514,6.979864483039106,77.50979944932,123.768616772123,1.069411764705882,0.46235294117647063,2.4233816959897285,2.023381695989728,14.168611143266864,0.0,0.2714644866848637,-1.3617470419663238,1.3617470419663238
r11_l6_environment_only_full_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,4,E03.1;E03.2;E03.3;E03.4,17,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,12,0.7058823529411765,13,0.7647058823529411,0,0.0,12,0.7058823529411765,1,0.058823529411764705,0,0.0,0,0.0,0,0.0,4,0.23529411764705882,4,0.23529411764705882,4,0.23529411764705882,4,0.23529411764705882,13,0.7647058823529411,13,0.7647058823529411,0,0.0,0,0.0,6.600901092811046,6.099974731221514,6.979864483039106,62.408408647789265,119.66470536914044,1.1035294117647059,0.4388235294117647,2.2786775007584295,1.8786775007584293,13.026470868588959,0.0,0.26492167668048044,-1.5064512371976224,1.5064512371976224
r11_l6_environment_only_full_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,4,E03.1;E03.2;E03.3;E03.4,17,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,2,0.11764705882352941,2,0.11764705882352941,0,0.0,2,0.11764705882352941,1,0.058823529411764705,9,0.5294117647058824,0,0.0,5,0.29411764705882354,1,0.058823529411764705,0,0.0,10,0.5882352941176471,9,0.5294117647058824,2,0.11764705882352941,13,0.7647058823529411,0,0.0,0,0.0,4.57718943642704,4.1060983395932,4.902884016874245,-2.215326769839905,0.0,1.2470588235294118,0.6047058823529412,1.3635733596815365,0.9635733596815366,0.8827167238703356,0.006736933655491423,0.4681980771274024,-1.334897159758532,1.3416340934140236
r11_l6_environment_only_full_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,4,E03.1;E03.2;E03.3;E03.4,27,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,19,0.7037037037037037,22,0.8148148148148148,0,0.0,19,0.7037037037037037,3,0.1111111111111111,0,0.0,0,0.0,2,0.07407407407407407,3,0.1111111111111111,3,0.1111111111111111,3,0.1111111111111111,3,0.1111111111111111,22,0.8148148148148148,21,0.7777777777777778,0,0.0,0,0.0,7.616733485403874,7.025729538848876,8.034078728789705,71.1245959711539,123.6782880879569,0.9029629629629626,0.46296296296296297,3.192686476282784,2.7926864762827828,13.810011994807667,0.0,0.34109478837574064,-1.363524540602694,1.363524540602694
r11_l6_environment_only_full_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,4,E03.1;E03.2;E03.3;E03.4,19,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,5,0.2631578947368421,9,0.47368421052631576,0,0.0,5,0.2631578947368421,5,0.2631578947368421,0,0.0,0,0.0,2,0.10526315789473684,8,0.42105263157894735,7,0.3684210526315789,8,0.42105263157894735,7,0.3684210526315789,9,0.47368421052631576,16,0.8421052631578947,0,0.0,0,0.0,5.495970239291155,5.12330928775431,5.959681147377292,-22.192763272713236,-50.0,1.2715789473684211,0.7021052631578947,1.6701859320921018,1.2701859320921016,4.008535051659674,0.009129733544928256,0.6057309111942013,-1.4318825981921484,1.4410123317370767
r11_l7_full_domain_randomisation_arena_wide,heavy_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,4,E03.1;E03.2;E03.3;E03.4,17,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,10,0.5882352941176471,11,0.6470588235294118,0,0.0,10,0.5882352941176471,2,0.11764705882352941,0,0.0,0,0.0,0,0.0,6,0.35294117647058826,5,0.29411764705882354,6,0.35294117647058826,5,0.29411764705882354,11,0.6470588235294118,10,0.5882352941176471,0,0.0,0,0.0,6.600901092811046,6.099974731221514,6.979864483039106,37.051710629010685,120.0,1.1376470588235295,0.30823529411764705,2.2085155556448015,1.8085155556448016,11.536824263429923,0.0,0.25289461501887134,-1.5766131823112508,1.5766131823112508
r11_l7_full_domain_randomisation_arena_wide,heavy_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,4,E03.1;E03.2;E03.3;E03.4,17,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,1,0.058823529411764705,10,0.5882352941176471,0,0.0,5,0.29411764705882354,2,0.11764705882352941,0,0.0,12,0.7058823529411765,10,0.5882352941176471,0,0.0,9,0.5294117647058824,0,0.0,0,0.0,4.577189436427041,4.1060983395932,4.902884016874245,-23.529411764705884,0.0,1.3282352941176474,0.5376470588235295,1.26289275240982,0.86289275240982,0.0,0.011629039372420175,0.6297979632654525,-1.4355777670302485,1.4472068064026686
