family,target_heading_deg,candidate_class,updraft_config,wind_fidelity,start_condition,row_count,best_heading_error_deg,best_path_length_xy_m,best_footprint_m2,best_energy_residual_m,best_terminal_speed_m_s,pass_fraction_true_safe,pass_fraction_heading_band,dominant_failure_label,dominant_envelope_status,dominant_coverage_status,library_growth_trigger_count,group_status
bank_yaw_energy_retaining,15.0,boundary_evidence,U4_four_fan,W1,mid_arena,1,4.472894119464984,4.142528659783665,0.44254966875255936,-0.1775248823262192,6.633310079090246,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
bank_yaw_energy_retaining,15.0,boundary_evidence,U4_four_fan,W2,mid_arena,1,4.620926802168549,4.119796402356048,0.4659144916960831,-0.14630867446800266,6.546921194320972,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
bank_yaw_energy_retaining,30.0,boundary_evidence,none,W0,favourable,1,11.196537437663334,6.280590058680879,3.273291175178803,-0.556149325173092,7.360951606747596,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
bank_yaw_energy_retaining,30.0,boundary_evidence,U1_single_fan,W1,favourable,1,15.790431282051102,6.409636610752081,3.001610184566411,0.08094100336849319,7.138042504157213,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
bank_yaw_energy_retaining,30.0,boundary_evidence,U1_single_fan,W2,favourable,1,17.65085900508562,5.97950453841946,1.6265178548470143,-0.1378468048290462,6.1266980320703945,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
bank_yaw_energy_retaining,30.0,boundary_evidence,U4_four_fan,W1,favourable,1,11.728172587966476,6.296461674494584,3.209734313890664,-0.281254834255686,7.203365061571288,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
bank_yaw_energy_retaining,30.0,boundary_evidence,U4_four_fan,W2,favourable,1,8.605833695094315,6.134724435691391,4.026563941006018,-0.19966630263445495,6.663814064416729,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
bank_yaw_energy_retaining,30.0,boundary_evidence,none,W0,mid_arena,1,11.196537437663334,6.280590058680883,3.2732911751788047,-0.556149325173092,7.360951606747596,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
bank_yaw_energy_retaining,30.0,boundary_evidence,U1_single_fan,W1,mid_arena,1,12.035662691155757,6.2283228093587395,2.9178362099009734,-0.21453308611023125,7.140977000419172,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
bank_yaw_energy_retaining,30.0,boundary_evidence,U1_single_fan,W2,mid_arena,1,16.632244640116774,6.313907201178063,2.022879289736991,-0.3881266861201915,8.441294235075292,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
bank_yaw_energy_retaining,30.0,boundary_evidence,U4_four_fan,W1,mid_arena,1,12.126850723904969,6.26757264182494,3.013446407481821,-0.3563604402982099,7.255734644018143,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
bank_yaw_energy_retaining,30.0,boundary_evidence,U4_four_fan,W2,mid_arena,1,11.84682262288425,6.213797634625157,3.010273084591737,-0.319646273852515,7.223448375217732,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
