frame_number,t_capture_host_s,state_ready_host_s,subject_name,surface_index,surface_name,surface_angle_rad,surface_angle_deg,surface_rate_radps,surface_rate_degps,quality_flag
2730131,6.54561074000127,6.5539539,Elevator,4,Elevator,0.000584989807426606,0.0335174470237153,-0.0451733251346983,-2.58824087679045,ok
2730135,6.5617204050002,6.5705362,Aileron_L,1,Aileron_L,0.0472419444924794,2.70676403541037,-3.27459855760382,-187.620676950326,ok
2730135,6.5617204050002,6.5705362,Aileron_R,2,Aileron_R,-0.0215286153660679,-1.23349879923618,-1.49464130640407,-85.6366387428728,ok
2730135,6.5617204050002,6.5705362,Rudder,3,Rudder,0.0345303778489243,1.97844491573539,-3.04381937682379,-174.398003892144,ok
2730135,6.5617204050002,6.5705362,Elevator,4,Elevator,0.00225295491596711,0.129084808118166,0.103538162255478,5.93229971577962,ok
2730140,6.57764811249994,6.5868521,Aileron_L,1,Aileron_L,0.00428815649166214,0.245693268863867,-2.69679663576919,-154.515065434654,ok
2730140,6.57764811249994,6.5868521,Aileron_R,2,Aileron_R,-0.00580135726831532,-0.332393286922012,0.987415050032043,56.5747149945351,ok
2730140,6.57764811249994,6.5868521,Rudder,3,Rudder,-0.0478211959893917,-2.73995270146008,-5.17033438990859,-296.238339213109,ok
2730140,6.57764811249994,6.5868521,Elevator,4,Elevator,0.00203913555617419,0.116833861223843,-0.013424365044147,-0.769159459672576,ok
2730145,6.59432838499912,6.6036374,Aileron_L,1,Aileron_L,-0.0148462862204517,-0.850629541875113,-1.1471301031233,-65.725713461372,ok
2730145,6.59432838499912,6.6036374,Aileron_R,2,Aileron_R,-0.0386143083508839,-2.21243689732242,-1.96717116486997,-112.710605326883,ok
2730145,6.59432838499912,6.6036374,Rudder,3,Rudder,-0.0727543079870459,-4.16851478905266,-1.49476646732682,-85.6438099355063,ok
2730145,6.59432838499912,6.6036374,Elevator,4,Elevator,0.000127104898988595,0.00728257426748313,-0.114628262654529,-6.56771566302157,ok
2730150,6.60992183250025,6.6186073,Aileron_L,1,Aileron_L,-0.0151460841577005,-0.867806698386195,-0.0192258919797575,-1.10156246781453,ok
2730150,6.60992183250025,6.6186073,Aileron_R,2,Aileron_R,-0.0420982729447772,-2.41205336452551,-0.223424909317878,-12.8013043420075,ok
2730150,6.60992183250025,6.6186073,Rudder,3,Rudder,-0.0578695994414562,-3.31568381010807,0.954548924765344,54.6916247278049,ok
2730150,6.60992183250025,6.6186073,Elevator,4,Elevator,0.000450797798230429,0.0258288112523936,0.0207582639578805,1.18936091480508,ok
2730154,6.62466394250074,6.6334908,Aileron_L,1,Aileron_L,-0.0254297501720711,-1.45701735893175,-0.697570837148034,-39.96786487999,ok
2730154,6.62466394250074,6.6334908,Aileron_R,2,Aileron_R,0.00350865501544195,0.201031124152233,3.09364995639713,177.253085792386,ok
2730154,6.62466394250074,6.6334908,Rudder,3,Rudder,0.0133931141231902,0.767368913795856,4.83395616789423,276.965286771572,ok
2730154,6.62466394250074,6.6334908,Elevator,4,Elevator,0.00053282609375005,0.0305286863863198,0.0055642167584485,0.318806136555063,ok
2730159,6.64023107749941,6.6489058,Aileron_L,1,Aileron_L,0.0310684438771109,1.78009071019752,3.62932511692284,207.945011680503,ok
2730159,6.64023107749941,6.6489058,Aileron_R,2,Aileron_R,-0.0537784179207343,-3.08127637574879,-3.6800010368697,-210.848528016401,ok
2730159,6.64023107749941,6.6489058,Rudder,3,Rudder,-0.0282409368030532,-1.61808648831063,-2.67448383596692,-153.236636176863,ok
2730159,6.64023107749941,6.6489058,Elevator,4,Elevator,-0.000385533578786568,-0.0220894469250447,-0.0589934931903268,-3.38007817853949,ok
2730164,6.65582610749999,6.6646022,Aileron_L,1,Aileron_L,-0.0401519595633406,-2.30053782215936,-4.56686543326935,-261.662114930518,ok
