t_read_host_s,line_text
7.6516758,"RX_EVENT,58,2,20085787,32768,39321,32768,32768"
7.6679569,"COMMIT_EVENT,58,2,20085787,20102260,853,1500,1600,1500,1500,1500,1500,1500,1500"
7.6847511,"RX_EVENT,59,2,20117411,32768,39321,32768,32768"
7.7038664,"COMMIT_EVENT,59,2,20117411,20122260,854,1500,1600,1500,1500,1500,1500,1500,1500"
7.7038664,"RX_EVENT,60,2,20133659,32768,39321,32768,32768"
7.7247563,"COMMIT_EVENT,60,2,20133659,20142260,855,1500,1600,1500,1500,1500,1500,1500,1500"
7.7247563,"RX_EVENT,61,2,20153168,32768,39321,32768,32768"
7.7247563,"COMMIT_EVENT,61,2,20153168,20162260,856,1500,1600,1500,1500,1500,1500,1500,1500"
7.7437546,"RX_EVENT,62,2,20173939,32768,39321,32768,32768"
7.7437546,"COMMIT_EVENT,62,2,20173939,20182260,857,1500,1600,1500,1500,1500,1500,1500,1500"
7.7605486,"RX_EVENT,63,2,20193029,32768,39321,32768,32768"
7.7776743,"COMMIT_EVENT,63,2,20193029,20202260,858,1500,1600,1500,1500,1500,1500,1500,1500"
7.7776743,"RX_EVENT,64,2,20209649,32768,39321,32768,32768"
7.7984108,"COMMIT_EVENT,64,2,20209649,20222260,859,1500,1600,1500,1500,1500,1500,1500,1500"
7.7984108,"RX_EVENT,65,2,20227059,32768,39321,32768,32768"
7.8176707,"COMMIT_EVENT,65,2,20227059,20242260,860,1500,1600,1500,1500,1500,1500,1500,1500"
7.8176707,"RX_EVENT,66,2,20247653,32768,39321,32768,32768"
7.8342478,"COMMIT_EVENT,66,2,20247653,20262260,861,1500,1600,1500,1500,1500,1500,1500,1500"
7.8342478,"RX_EVENT,67,2,20267029,32768,39321,32768,32768"
7.8523539,"COMMIT_EVENT,67,2,20267029,20282261,862,1500,1600,1500,1500,1500,1500,1500,1500"
7.8523539,"RX_EVENT,68,2,20283815,32768,39321,32768,32768"
7.8669128,"COMMIT_EVENT,68,2,20283815,20302260,863,1500,1600,1500,1500,1500,1500,1500,1500"
7.8827838,"RX_EVENT,69,2,20315861,32768,39321,32768,32768"
7.9000102,"COMMIT_EVENT,69,2,20315861,20322260,864,1500,1600,1500,1500,1500,1500,1500,1500"
7.9000102,"RX_EVENT,70,2,20331854,32768,39321,32768,32768"
7.9187596,"COMMIT_EVENT,70,2,20331854,20342260,865,1500,1600,1500,1500,1500,1500,1500,1500"
7.9187596,"RX_EVENT,71,2,20349211,32768,39321,32768,32768"
7.9375577,"COMMIT_EVENT,71,2,20349211,20362260,866,1500,1600,1500,1500,1500,1500,1500,1500"
7.9375577,"RX_EVENT,72,2,20368029,32768,39321,32768,32768"
7.9375577,"COMMIT_EVENT,72,2,20368029,20382260,867,1500,1600,1500,1500,1500,1500,1500,1500"
7.9534103,"RX_EVENT,73,2,20386810,32768,39321,32768,32768"
7.9702264,"COMMIT_EVENT,73,2,20386810,20402260,868,1500,1600,1500,1500,1500,1500,1500,1500"
8.0048411,"RX_EVENT,74,2,20419265,32768,39321,32768,32768"
8.0048411,"COMMIT_EVENT,74,2,20419265,20422260,869,1500,1600,1500,1500,1500,1500,1500,1500"
8.0259332,"RX_EVENT,75,2,20454308,32768,45875,32768,32768"
8.0472798,"COMMIT_EVENT,75,2,20454308,20462260,871,1500,1700,1500,1500,1500,1500,1500,1500"
8.0472798,"RX_EVENT,76,2,20475060,32768,45875,32768,32768"
8.0472798,"COMMIT_EVENT,76,2,20475060,20482260,872,1500,1700,1500,1500,1500,1500,1500,1500"
8.0651539,"RX_EVENT,77,2,20496450,32768,45875,32768,32768"
8.0651539,"COMMIT_EVENT,77,2,20496450,20502260,873,1500,1700,1500,1500,1500,1500,1500,1500"
8.0835931,"RX_EVENT,78,2,20514279,32768,45875,32768,32768"
8.0835931,"COMMIT_EVENT,78,2,20514279,20522261,874,1500,1700,1500,1500,1500,1500,1500,1500"
8.1007369,"RX_EVENT,79,2,20532873,32768,45875,32768,32768"
8.1159721,"COMMIT_EVENT,79,2,20532873,20542260,875,1500,1700,1500,1500,1500,1500,1500,1500"
8.1159721,"RX_EVENT,80,2,20549763,32768,45875,32768,32768"
8.1313593,"COMMIT_EVENT,80,2,20549763,20562260,876,1500,1700,1500,1500,1500,1500,1500,1500"
8.1313593,"RX_EVENT,81,2,20564952,32768,45875,32768,32768"
8.147262,"RX_EVENT,82,2,20580279,32768,45875,32768,32768"
8.147262,"COMMIT_EVENT,82,2,20580279,20582260,877,1500,1700,1500,1500,1500,1500,1500,1500"
8.1612903,"RX_EVENT,83,2,20596248,32768,45875,32768,32768"
8.1744178,"COMMIT_EVENT,83,2,20596248,20602260,878,1500,1700,1500,1500,1500,1500,1500,1500"
8.1744178,"RX_EVENT,84,2,20610138,32768,45875,32768,32768"
8.1889924,"COMMIT_EVENT,84,2,20610138,20622260,879,1500,1700,1500,1500,1500,1500,1500,1500"
8.1889924,"RX_EVENT,85,2,20623890,32768,45875,32768,32768"
8.2168131,"COMMIT_EVENT,85,2,20623890,20642260,880,1500,1700,1500,1500,1500,1500,1500,1500"
8.2304052,"RX_EVENT,86,2,20649957,32768,45875,32768,32768"
8.2304052,"COMMIT_EVENT,86,2,20649957,20662261,881,1500,1700,1500,1500,1500,1500,1500,1500"
8.2423368,"RX_EVENT,87,2,20666325,32768,45875,32768,32768"
8.2554251,"COMMIT_EVENT,87,2,20666325,20682260,882,1500,1700,1500,1500,1500,1500,1500,1500"
8.2554251,"RX_EVENT,88,2,20691188,32768,45875,32768,32768"
8.2680536,"COMMIT_EVENT,88,2,20691188,20702260,883,1500,1700,1500,1500,1500,1500,1500,1500"
8.2680536,"RX_EVENT,89,2,20704304,32768,45875,32768,32768"
8.280606,"COMMIT_EVENT,89,2,20704304,20722260,884,1500,1700,1500,1500,1500,1500,1500,1500"
8.2957988,"RX_EVENT,90,2,20729423,32768,45875,32768,32768"
