event_id,surface_index,surface_name,command_level_norm,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count,settled_deflection_deg,lookup_deflection_deg,lookup_error_deg,linear_fitted_deflection_deg,linear_fit_error_deg,valid,rejection_reason
21,1,Aileron_L,-0.2,positive_first,negative,return,10,11,-10.4678369932174,-10.7389780959811,0.271141102763663,0,-10.4678369932174,1,
22,1,Aileron_L,-0,positive_first,negative,return,11,11,1.18048298444945,-5.55111512312578e-17,1.18048298444945,0,1.18048298444945,1,
23,1,Aileron_L,-0,negative_first,negative,outbound,1,11,1.41272141549865,-5.55111512312578e-17,1.41272141549865,0,1.41272141549865,1,
24,1,Aileron_L,-0.2,negative_first,negative,outbound,2,11,-10.9085393385811,-10.7389780959811,-0.169561242600023,0,-10.9085393385811,1,
25,1,Aileron_L,-0.4,negative_first,negative,outbound,3,11,-12.0258435395374,-11.1129538958445,-0.912889643692862,-8.07010331458701,-3.95574022495035,1,
26,1,Aileron_L,-0.6,negative_first,negative,outbound,4,11,-20.8202010417643,-19.5514591676381,-1.2687418741262,-16.140206629174,-4.67999441259033,1,
27,1,Aileron_L,-0.8,negative_first,negative,outbound,5,11,-22.4868586336644,-23.1380256232835,0.651166989619096,-24.210309943761,1.72345131009661,0,unstable_final_window
28,1,Aileron_L,-1,negative_first,negative,outbound,6,11,-26.5301644985222,-28.2459947030763,1.71583020455413,-29.9618249076305,3.43166040910825,1,
29,1,Aileron_L,-0.8,negative_first,negative,return,7,11,-23.1380256232835,-23.1380256232835,0,-24.210309943761,1.07228432047751,1,
30,1,Aileron_L,-0.6,negative_first,negative,return,8,11,-18.9864700783209,-19.5514591676381,0.564989089317219,-16.140206629174,-2.8462634491469,1,
31,1,Aileron_L,-0.4,negative_first,negative,return,9,11,-10.7487511156188,-11.1129538958445,0.364202780225714,-8.07010331458701,-2.67864780103177,1,
32,1,Aileron_L,-0.2,negative_first,negative,return,10,11,-10.569416853381,-10.7389780959811,0.169561242600023,0,-10.569416853381,1,
33,1,Aileron_L,-0,negative_first,negative,return,11,11,0.591265883388004,-5.55111512312578e-17,0.591265883388004,0,0.591265883388004,1,
34,1,Aileron_L,0,negative_first,positive,outbound,1,11,0.755606198427429,-5.55111512312578e-17,0.755606198427429,0,0.755606198427429,1,
35,1,Aileron_L,0.2,negative_first,positive,outbound,2,11,4.77193629203443,4.96052501482624,-0.188588722791804,0,4.77193629203443,1,
36,1,Aileron_L,0.4,negative_first,positive,outbound,3,11,9.52513040217081,9.6232164436786,-0.0980860415077913,0,9.52513040217081,1,
37,1,Aileron_L,0.6,negative_first,positive,outbound,4,11,14.8032025746718,14.174221320487,0.628981254184813,8.0629932512743,6.74020932339749,1,
38,1,Aileron_L,0.8,negative_first,positive,outbound,5,11,20.6959952772535,21.2437815529863,-0.547786275732779,16.1259865025486,4.57000877470492,1,
39,1,Aileron_L,1,negative_first,positive,outbound,6,11,21.7512067722309,22.0443945459414,-0.293187773710557,22.337582319652,-0.586375547421113,1,
40,1,Aileron_L,0.8,negative_first,positive,return,7,11,22.2726664646213,21.2437815529863,1.02888491163495,16.1259865025486,6.14667996207265,1,
41,1,Aileron_L,0.6,negative_first,positive,return,8,11,13.0124032952571,14.174221320487,-1.16181802522991,8.0629932512743,4.94941004398277,1,
42,1,Aileron_L,0.4,negative_first,positive,return,9,11,7.66454309963133,9.6232164436786,-1.95867334404727,0,7.66454309963133,1,
