row_index,kept,filter_reason,session_label,case_id,throw_id,alignment_window_s,alignment_elapsed_s,phi0_deg,psi0_deg,u0_m_s,v0_m_s,w0_m_s,speed0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,launch_lateral_score,launch_confidence_weight
10,True,kept,20260604_190407,C0_neutral,v001,0.1,0.1016245,13.15939535,-4.923163779,4.580654621,0.8240074788,0.8690114713,4.734613608,0.7879344265,0.5705010801,-0.1641870389,0.4969406776,0.6904407925
11,False,aligned_w_outside_launch_gate,20260604_190407,C0_neutral,v002,0.1,0.1031908,11.72687567,-3.507556056,4.97722127,0.7757127111,0.9282428727,5.122118372,0.4655994559,0.5241966979,0.08648629311,0.3987089936,0.7878454858
12,True,kept,20260604_190407,C0_neutral,v003,0.1,0.105335,17.59130772,-4.452851036,5.195213361,1.000837892,0.5645296267,5.320771753,0.7277024476,0.3716790503,-0.3296287942,0.5778708694,0.6059837475
13,True,kept,20260604_190407,C0_neutral,v004,0.1,0.1018438,11.82869592,-1.908018942,5.684932567,0.630110198,0.7467790258,5.768290567,0.1556025182,0.8356557346,-0.1451507923,0.3342678163,0.8456899638
14,False,aligned_w_outside_launch_gate,20260604_190407,C0_neutral,v005,0.1,0.1054788,5.166071587,-3.220105586,5.929172756,0.609645104,0.9622552935,6.037606477,0.07093798243,1.036286832,-0.07785320873,0.2294315316,0.9240785117
15,True,kept,20260604_190407,C0_neutral,v006,0.1,0.1001807,17.60516664,-6.445952138,5.949342633,1.147838748,0.6313905667,6.091868811,0.3297163619,0.9365422858,-0.6450873485,0.5776216177,0.6062455968
16,True,kept,20260604_190407,C0_neutral,v007,0.1,0.1015873,13.82008343,-3.096788656,5.178424088,1.026968341,0.2771449929,5.286544179,0.4228927406,0.3157839684,-0.4339224949,0.4801059483,0.7076875598
17,True,kept,20260604_190407,C0_neutral,v008,0.1,0.1022722,12.16072722,-4.389501559,5.42540112,0.9699276001,0.5669914484,5.540506851,0.8489056121,0.4611101205,-0.3488468343,0.5242132677,0.6621922714
18,True,kept,20260604_190407,C0_neutral,v009,0.1,0.1021409,8.627963419,-7.26551973,4.852660972,1.188257266,0.7611395839,5.053672655,0.5691859532,0.6037771507,-0.2294247765,0.4872034746,0.7004370102
19,True,kept,20260604_190407,C0_neutral,v010,0.1,0.1040429,12.69446353,-10.19800215,4.840901927,1.484048865,0.2791261316,5.070960846,0.3103298945,-0.008689681561,-0.4743625987,0.5963296635,0.5865991325
20,True,kept,20260604_191406,C0_neutral,v001,0.1,0.1010652,9.677486148,-7.403641391,5.052514397,1.200002064,0.6851686229,5.238068607,0.03561776411,0.5556169967,-0.3627814936,0.4588404512,0.7292039353
21,True,kept,20260604_191406,C0_neutral,v002,0.1,0.1033392,7.339980252,-7.856384356,4.506674167,1.187765421,0.7206770405,4.715959515,0.3725207107,0.519339903,-0.139955435,0.4513150289,0.7367343622
22,False,aligned_w_outside_launch_gate,20260604_191406,C0_neutral,v003,0.1,0.100444,1.278607117,-8.703073223,4.947658717,1.138830854,1.137633454,5.202929211,-0.293738627,0.8630849411,0.1222829735,0.4085082998,0.7785527383
23,True,kept,20260604_191406,C0_neutral,v004,0.1,0.1007974,13.31106113,-8.610329033,4.981281033,1.311758349,0.5874867923,5.184497221,0.05482608641,0.7118871169,-0.2887745536,0.533083593,0.6529418686
24,True,kept,20260604_191406,C0_neutral,v005,0.1,0.100655,13.39334926,-4.325186318,6.0870436,0.9667917309,0.8334062783,6.21943342,0.4126846312,1.065161364,-0.2886462755,0.4592654137,0.7287773002
25,True,kept,20260604_191406,C0_neutral,v006,0.1,0.10468,8.911090317,-6.537467757,5.269519955,1.086574152,0.7343442466,5.430262002,0.2826620462,0.7667848453,-0.1303910549,0.4220965568,0.765483013
26,True,kept,20260604_191406,C0_neutral,v007,0.1,0.1012948,1.697734267,-9.567042446,5.029480009,1.431317029,0.7650760032,5.284853725,0.06857240438,0.3530357154,-0.5187013629,0.4965584911,0.6908341472
27,False,aligned_v_outside_launch_gate,20260604_191406,C0_neutral,v008,0.1,0.1141751,11.62390537,-7.949653364,5.288296354,1.521964301,0.4222859752,5.519128473,0.08373848095,0.5508105017,-0.4076415956,0.562394461,0.6222388264
28,False,aligned_w_outside_launch_gate,20260604_191406,C0_neutral,v009,0.1,0.1004655,5.204161456,-4.20735361,5.790927828,0.8098222082,1.061122725,5.942780372,-0.1024410709,0.9700773953,0.01148813585,0.2866228044,0.8840612354
29,True,kept,20260604_191406,C0_neutral,v010,0.1,0.1034737,10.37162881,-8.403972744,5.921309479,1.359592156,0.7140338847,6.117208609,-0.1845665696,0.9448682801,-0.3976002443,0.5175892524,0.6690824711
30,False,aligned_v_outside_launch_gate,20260604_195702,C0_neutral,v001,0.1,0.1041406,10.4705507,-11.70143921,4.468433221,1.652145915,0.3445464762,4.77652529,0.1332522657,0.1339542087,-0.5399488753,0.6215872099,0.5601470226
31,True,kept,20260604_195702,C0_neutral,v002,0.1,0.1004006,13.52583492,-3.620711739,5.178211767,0.9952682749,0.4898895506,5.295698992,0.161312056,0.373626537,-0.4678047978,0.4507786571,0.7372692681
32,True,kept,20260604_195702,C0_neutral,v003,0.1,0.1082812,17.17106154,3.574912813,5.730605719,0.4301826793,0.5224106694,5.77042563,0.6778534671,0.2718416148,-0.1579335629,0.4854063239,0.7022758883
33,True,kept,20260604_195702,C0_neutral,v004,0.1,0.1341591,9.55937098,-6.256949855,5.054958437,1.266110433,0.4641091633,5.231733723,0.08475659991,0.4031579258,-0.04984857316,0.4570652848,0.7309845083
34,True,kept,20260604_195702,C0_neutral,v005,0.1,0.1158391,17.17736229,2.581962198,5.184625383,0.3642605848,0.673627355,5.240877784,0.5182877082,0.4905516416,-0.1067141489,0.4479620879,0.7400740366
35,False,aligned_v_outside_launch_gate,20260604_195702,C0_neutral,v006,0.1,0.1009725,11.34858867,-8.432682736,5.305858468,1.50640443,0.5582058265,5.543733592,0.6172200071,0.5711905096,-0.4008808925,0.6037326172,0.5788339618
36,True,kept,20260604_195702,C0_neutral,v007,0.1,0.1035381,15.73156793,-9.032845563,5.102118398,1.32168939,0.5263041771,5.296741553,0.1970319898,0.6833328663,-0.5014104048,0.5837166562,0.5998427736
37,True,kept,20260604_195702,C0_neutral,v008,0.1,0.103885,14.81994382,0.9599441589,5.394134455,0.6051719414,0.7195376638,5.475459254,0.4636777744,0.5375642755,-0.1762083213,0.4178606209,0.7695793226
38,True,kept,20260604_195702,C0_neutral,v009,0.1,0.1044301,12.62441685,-6.052791573,5.391586719,1.234767948,0.7215639468,5.578038523,0.4171408123,0.7674267089,-0.4894122757,0.5219997359,0.6644965542
39,False,aligned_u_outside_launch_gate,20260604_195702,C0_neutral,v010,0.1,0.1840726,9.613286471,-9.531920551,3.738084589,0.8785730579,0.776907954,3.917748458,-0.07363364403,0.7731742692,-0.2052460902,0.4044778162,0.7823888154
40,True,kept,20260604_203516,C0_neutral,v001,0.1,0.1035336,15.25191263,-0.4737257015,5.075539403,0.7382041046,0.5071793336,5.153957355,0.6720191344,0.4226784246,-0.1745629745,0.479026913,0.7087870323
41,True,kept,20260604_203516,C0_neutral,v002,0.1,0.1013227,10.32007238,-5.283949639,4.803518709,1.182092126,0.6355338796,4.987488055,0.1214172849,0.5651872165,0.01748119422,0.4398710652,0.7480916132
42,True,kept,20260604_203516,C0_neutral,v003,0.1,0.1120167,9.450571715,-3.824033481,4.692494391,0.9000147539,0.4330432651,4.797609471,0.1466856511,0.2662047921,-0.0719051441,0.3567607248,0.8262008939
43,False,aligned_v_outside_launch_gate,20260604_203516,C0_neutral,v004,0.1,0.1041821,10.59904238,-9.113709344,5.300256981,1.502123524,0.3933348901,5.523025573,0.4853955849,0.3779414226,-0.4209187888,0.5847447385,0.5987628831
44,True,kept,20260604_203516,C0_neutral,v005,0.1,0.1042943,15.90811654,-1.665360774,5.407184573,0.5387598148,0.871410735,5.503386577,0.5244912496,0.5640475314,-0.404654942,0.4494849561,0.738558409
45,True,kept,20260604_203516,C0_neutral,v006,0.1,0.1004765,17.52584983,-2.347582289,5.492078978,1.106380274,0.5439283141,5.628753576,0.5532609137,0.6299445429,-0.3128423929,0.5600848961,0.6246632114
46,True,kept,20260604_203516,C0_neutral,v007,0.1,0.1072117,12.49700028,-6.150653542,5.333126319,1.356348536,0.5004629722,5.525611357,0.1465324534,0.4122148863,-0.09545085562,0.5138818897,0.6729313941
47,True,kept,20260604_203516,C0_neutral,v008,0.1,0.1034154,5.271405985,-5.887741735,5.48174885,0.9759698809,0.8510881326,5.632622717,0.2329764291,0.7171393413,-0.2111275917,0.355225219,0.8275568822
48,True,kept,20260604_203516,C0_neutral,v009,0.1,0.1058144,11.54204449,-4.725314115,5.5844594,1.095633885,0.5693684048,5.719333946,0.4425684506,0.5341087026,-0.2362613101,0.4638173063,0.724198509
49,True,kept,20260604_203516,C0_neutral,v010,0.1,0.1204406,7.308898916,-6.576186882,4.100040612,0.9702206722,0.8771415828,4.303607618,0.06845098265,0.6951991369,-0.07995624573,0.3647631162,0.8190761695
50,True,kept,20260604_203516,C0_neutral,v011,0.1,0.1024617,8.803784032,-11.0306675,4.651844643,1.380835869,0.651750498,4.896033598,0.382122777,0.4653990891,-0.05707443915,0.5381055472,0.6476943539
51,True,kept,20260604_203516,C0_neutral,v012,0.1,0.1057231,17.45214027,-8.302767219,5.192108979,1.441132576,0.4988659809,5.411443986,0.5701421368,0.7534723265,-0.4116716451,0.6534335948,0.5270482418
52,True,kept,20260604_203516,C0_neutral,v013,0.1,0.1023077,9.929743353,-3.604202662,5.802567892,0.8788395884,0.870847998,5.933003404,0.1559808003,0.8472761942,-0.3274407263,0.3666697467,0.8173645691
53,False,aligned_v_outside_launch_gate,20260604_203516,C0_neutral,v014,0.1,0.1044534,7.153852168,-8.589299067,5.407679143,1.532947734,0.7194391593,5.666614083,0.6487473125,0.4332851048,-0.2507229432,0.5776628338,0.6062022975
54,False,aligned_u_outside_launch_gate,20260604_203516,C0_neutral,v015,0.1,0.103689,3.105487629,-11.52118784,3.706525382,1.074292224,0.6079756946,3.906669763,-0.2126317087,0.5936158957,-0.2774818496,0.4298956186,0.7578912568
55,True,kept,20260604_203516,C0_neutral,v016,0.1,0.1018607,12.98264991,-6.29692244,5.18601171,1.070492659,0.6597522097,5.336285691,-0.06996482424,0.7137541561,-0.1591946095,0.4562971515,0.731754184
56,True,kept,20260604_203516,C0_neutral,v017,0.1,0.1039873,9.460076806,-10.28335204,5.167214196,1.442588757,0.6385195554,5.40267268,0.3595339676,0.592348732,-0.1858393596,0.5501716131,0.6350616451
57,True,kept,20260604_203516,C0_neutral,v018,0.1,0.100767,6.993706933,-4.082000001,5.24715434,0.9107422505,0.7373255942,5.376404853,0.2243528324,0.6496191658,-0.1240805907,0.3383157962,0.8422432871
58,False,aligned_w_outside_launch_gate,20260604_203516,C0_neutral,v019,0.1,0.1006004,17.38995454,1.115371551,5.076755044,0.4722628657,0.927494506,5.182346964,0.6414353111,0.7990571406,-0.2143593446,0.4812827951,0.7064875541
59,True,kept,20260604_203516,C0_neutral,v020,0.1,0.10492,13.54407858,-8.432848212,4.714144952,1.337040512,0.7383768677,4.955405165,0.2841726059,0.704199896,-0.2647448793,0.5492945707,0.6359808742
60,True,kept,20260604_203516,C0_neutral,v021,0.1,0.1018425,7.183257567,-4.909195802,5.111214751,1.013888701,0.8634390711,5.281857018,0.3219194127,0.6741024594,-0.1031141793,0.3798348478,0.8054035947
61,True,kept,20260604_203516,C0_neutral,v022,0.1,0.1034374,6.219371389,-1.477596497,4.322441531,0.43357339,0.7740541405,4.412555551,0.2306256036,0.2900778118,0.2222859639,0.2181263461,0.931118568
62,False,aligned_u_outside_launch_gate,20260604_203516,C0_neutral,v023,0.1,0.1017835,9.823263534,-5.506384371,3.805802493,0.8096885689,0.3521862968,3.906886661,0.4792254574,0.1329416683,-0.02756060361,0.3919531212,0.7941833906
63,True,kept,20260604_203516,C0_neutral,v024,0.1,0.1037852,9.743520765,-4.679664972,4.86967825,0.9115396676,0.8115252574,5.020283266,0.3570472209,0.5220764979,-0.07882009196,0.3877697016,0.798078742
64,False,aligned_u_outside_launch_gate,20260604_203516,C0_neutral,v025,0.1,0.1076752,10.21292454,-7.289896429,3.392460762,0.6601617734,0.3600294328,3.474798524,-0.07659159679,0.2829860374,-0.0966463532,0.3447513999,0.8367078684
65,True,kept,20260604_203516,C0_neutral,v026,0.1,0.101042,2.274619592,-5.314306018,5.096011275,0.8671613676,0.8750196068,5.242800689,0.2664840882,0.5730364916,0.05174590676,0.3059049782,0.8690394276
66,True,kept,20260604_203516,C0_neutral,v027,0.1,0.1020548,6.087001986,-1.82595351,5.562075868,0.6323042801,0.8358738962,5.659963059,0.5066774727,0.6368343729,0.08364187634,0.3030166538,0.8713351063
67,False,aligned_w_outside_launch_gate,20260604_203516,C0_neutral,v028,0.1,0.108219,12.70855273,-10.57041629,5.437784542,1.36808424,0.974330837,5.691263111,-0.1363779262,1.102651421,-0.3943116393,0.5614005827,0.6232821825
68,True,kept,20260604_203516,C0_neutral,v029,0.1,0.1039248,7.897316975,4.154844862,5.899695653,0.113580731,0.4573320692,5.918484773,0.6619159055,0.1341636318,0.3250700345,0.3291451432,0.8500120204
69,False,aligned_w_outside_launch_gate,20260604_203516,C0_neutral,v030,0.1,0.1017343,5.936718962,-6.12880297,4.944508884,0.8920286267,0.9275182519,5.109224333,0.09366930299,0.5883975597,-0.109576905,0.3302929592,0.8490474896
70,True,kept,20260604_210642,C0_neutral,v001,0.1,0.105178,9.633807264,-1.948998553,4.969246167,0.7851369513,0.5177659848,5.057462715,0.3327274223,0.1040778649,0.001301993741,0.3442023241,0.8371827777
71,True,kept,20260604_210642,C0_neutral,v002,0.1,0.1038166,16.94568061,0.7158443359,5.070144274,0.5883866828,0.1779509302,5.107272108,0.5512004876,-0.08944338101,-0.003504984185,0.4656240457,0.72237663
72,True,kept,20260604_210642,C0_neutral,v003,0.1,0.1059972,10.45620377,0.8066411224,4.980711974,0.6600928765,0.8020563606,5.087878613,0.02662825662,0.6765148889,0.09983681094,0.3073045458,0.8679213962
73,False,aligned_v_outside_launch_gate,20260604_210642,C0_neutral,v004,0.1,0.1055072,9.137552255,-11.48116946,5.115376591,1.601200356,0.3254876519,5.369996505,0.1181686158,0.1644813949,-0.2293455514,0.5837289355,0.5998298753
74,False,aligned_w_outside_launch_gate,20260604_210642,C0_neutral,v005,0.1,0.1042997,7.627988662,-2.915457685,5.07228044,0.4521471936,0.9458010087,5.179479268,0.4813770005,0.712440659,-0.2276072547,0.2947828766,0.8777921746
75,True,kept,20260604_210642,C0_neutral,v006,0.1,0.1039619,12.08453263,-1.176453374,5.247139469,0.6400887252,0.675629505,5.329039446,0.9143440723,0.421606978,-0.2332077502,0.4791666898,0.7086446514
76,True,kept,20260604_210642,C0_neutral,v007,0.1,0.1063447,8.63248609,-4.957486571,4.84901583,0.907652352,0.8368221019,5.003704482,0.1927366136,0.6859201707,0.06956142257,0.3581003747,0.8250149121
77,True,kept,20260604_210642,C0_neutral,v008,0.1,0.1045874,9.863124489,-4.182846656,5.471022726,1.145436213,0.6714076024,5.629822551,0.2002876094,0.7678126197,0.0960163787,0.4244451788,0.7632035063
78,True,kept,20260604_210642,C0_neutral,v009,0.1,0.1079639,8.293802313,-8.186388342,6.209355396,1.482173558,0.2866522539,6.390234926,0.263340697,0.3772551694,-0.479344532,0.5357160653,0.6501920138
79,False,aligned_w_outside_launch_gate,20260604_210642,C0_neutral,v010,0.1,0.1019908,0.3623816655,-9.572449389,5.472734486,1.065714728,1.052461085,5.673997266,-0.3515989664,0.9038339262,-0.2378067285,0.4092645684,0.7778308224
80,False,aligned_v_outside_launch_gate,20260604_210642,C0_neutral,v011,0.1,0.1039899,9.93244766,-10.46295101,5.404006321,1.574461375,0.6176215087,5.662479075,0.6909677655,0.6433740795,-0.4313065346,0.6341973702,0.5469983699
81,False,aligned_w_outside_launch_gate,20260604_210642,C0_neutral,v012,0.1,0.1043144,8.546414072,-12.07808152,5.232525824,1.391064124,0.907277047,5.489766619,0.1276207154,0.7561866082,-0.1779129393,0.5344921727,0.6514707212
82,True,kept,20260604_210642,C0_neutral,v013,0.1,0.1049669,11.48489738,-8.584853014,5.211096066,1.456438595,0.4504082754,5.429512244,0.7040727947,0.453109936,-0.2506714167,0.6033922042,0.5791908544
83,True,kept,20260604_210642,C0_neutral,v014,0.1,0.1339858,10.466823,-2.788271345,4.973326844,0.8649061501,0.4666084864,5.069493666,0.4002342171,0.3841987585,-0.3372912628,0.3929754284,0.7932280412
84,True,kept,20260604_210642,C0_neutral,v015,0.1,0.1032699,7.7875915,-6.776196714,4.948572426,1.11453542,0.7406977323,5.126323379,0.3639360426,0.6306929158,-0.09698271679,0.4274048212,0.7603227067
85,False,aligned_w_outside_launch_gate,20260604_210642,C0_neutral,v016,0.1,0.1034217,6.333868017,-10.80297355,4.846783329,1.252923758,0.9696971187,5.099160626,-0.1320233169,0.8561568094,-0.4204439175,0.480919128,0.7068584739
86,False,aligned_w_outside_launch_gate,20260604_210642,C0_neutral,v017,0.1,0.1037571,1.377143871,-2.4357194,5.150762971,0.6391571858,1.095460686,5.304612635,0.2031461424,0.799646058,-0.07728805101,0.2152397097,0.9328674107
87,False,aligned_w_outside_launch_gate,20260604_210642,C0_neutral,v018,0.1,0.1185032,0.9885142961,-10.28464481,4.589658975,1.207842316,0.931583461,4.836496698,-0.259719308,0.8140133888,-0.2082815848,0.4417018389,0.7462827182
88,True,kept,20260604_210642,C0_neutral,v019,0.1,0.1055744,7.849835206,-5.794193195,5.726677245,0.8845453946,0.6947030046,5.836083026,0.05487329377,0.4489283306,-0.2580298165,0.3488163292,0.8331769392
89,True,kept,20260604_210642,C0_neutral,v020,0.1,0.1033563,9.029367225,-3.554845342,5.539419144,0.8285770875,0.6882976226,5.643178011,0.01163520134,0.4361622115,-0.1950292947,0.3323788589,0.8472888979
90,True,kept,20260604_210642,C0_neutral,v021,0.1,0.1031418,0.4346816914,-10.29979668,5.787496797,1.426732244,0.8251446289,6.017603155,-0.3602524894,0.4833763446,-0.1913920763,0.5043440374,0.6828060947
91,False,aligned_w_outside_launch_gate,20260604_210642,C0_neutral,v022,0.1,0.1017921,4.70475695,-3.467751302,5.431260865,1.010952956,0.9711440148,5.609254956,0.2901645834,0.4718951484,0.01140383948,0.3458736885,0.8357356596
92,True,kept,20260604_210642,C0_neutral,v023,0.1,0.1056233,9.199503183,-3.431487617,5.17170276,0.4217562562,0.8572469261,5.259207171,0.2575699362,0.6154369153,0.006377963593,0.2706124655,0.8959715133
93,True,kept,20260604_210642,C0_neutral,v024,0.1,0.10572,11.76891629,-7.046840057,5.2647393,0.9968567535,0.7718017598,5.413583032,0.702765928,0.5888136479,-0.4584597901,0.5137922576,0.6730243788
94,False,aligned_v_outside_launch_gate,20260604_210642,C0_neutral,v025,0.1,0.1057775,10.5128531,-11.23784469,5.527437353,1.623930224,0.7267628261,5.806711399,-0.2505444066,0.8454931807,-0.5052912976,0.6142448596,0.5678232312
95,True,kept,20260604_210642,C0_neutral,v026,0.1,0.1013567,8.234421792,-3.544627217,6.360704652,0.809999843,0.7745756131,6.458686461,0.2564247606,0.6178893607,0.04489360371,0.3282710491,0.8507450173
96,False,aligned_w_outside_launch_gate,20260604_210642,C0_neutral,v027,0.1,0.1047411,9.712383161,-3.74046351,5.934935939,0.7867333274,1.309058612,6.128298979,-0.07028654697,1.270108168,-0.05192260237,0.3317092113,0.8478542769
97,False,aligned_w_outside_launch_gate,20260604_210642,C0_neutral,v028,0.1,0.1155629,9.143200532,-6.111890251,4.749414251,0.7903720488,1.009358567,4.919393095,-0.1859048587,0.7801627557,-0.2020534571,0.3511761148,0.8311150921
98,True,kept,20260604_210642,C0_neutral,v029,0.1,0.1054606,10.02292441,-5.617447585,5.209041029,1.064009143,0.7650452902,5.371360925,0.3814806541,0.6814088855,-0.2911133624,0.4382730856,0.7496679181
99,True,kept,20260604_210642,C0_neutral,v030,0.1,0.1011469,12.58186284,-7.971024806,4.830760052,1.081897134,0.7924725449,5.013457572,0.5765524732,0.4677728382,-0.3441541365,0.5181163007,0.6685348504
