session_label,source_session_root,calibration_profile_id,calibration_profile_hash,vicon_calibration_source,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,termination_reason,termination_group,launch_speed_m_s,duration_s,x0_m,y0_m,z0_m,launch_x_offset_m,launch_y_offset_m,launch_z_offset_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,speed0_m_s,horizontal_speed0_m_s,flight_path_angle_proxy0_deg,sideslip_proxy0_deg,vicon_offset_x_m,vicon_offset_y_m,vicon_offset_z_m,x_end_m,y_end_m,z_end_m,dx_m,dy_m,dz_m,altitude_loss_m,horizontal_distance_m,glide_ratio_x_over_altloss,glide_ratio_horizontal_over_altloss,sink_rate_m_s,mean_speed_m_s,mean_forward_speed_m_s,max_abs_phi_deg,max_abs_theta_deg,max_abs_psi_deg,max_abs_p_rad_s,max_abs_q_rad_s,max_abs_r_rad_s,mean_rate_confidence,min_rate_confidence,spike_downweighted_fraction,body_rate_limited_fraction,sample_count
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v016,neutral,0,0,0,exit_gate_floor,floor,5.810431603,1.4625234,1.265291351,2.163065367,1.636062493,-0.03470864935,0.163065367,0.0860624928,5.619604115,1.447708155,0.1310302742,-0.4464127899,0.05978493277,-1.628535073,1.754794165,-1.921324891,-7.077232485,5.804565293,5.803086188,-1.293485225,14.44627657,4.136158795,2.411427206,0.03414746063,6.016507279,3.595568139,0.390434416,4.751215929,1.432502772,-1.245628077,1.245628077,4.962470856,3.814313451,3.983910565,0.8516978783,3.848384429,2.859744142,26.30093263,32.13704254,26.89795391,1.74516231,2.013152208,1.628535073,0.9422746781,0.5,0.01716738197,0,233
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v017,neutral,0,0,0,exit_gate_floor,floor,4.278651236,1.2308217,1.242954097,2.140464519,1.767765775,-0.05704590312,0.1404645189,0.217765775,3.642759225,2.202832901,0.2920701058,0.04667733947,0.5947655496,-1.210196687,-0.368165442,12.76799616,-16.26936117,4.267021503,4.257013926,-3.924864033,31.16200304,4.136158795,2.411427206,0.03414746063,3.821516539,3.698243022,0.3903901226,2.578562442,1.557778503,-1.377375652,1.377375652,3.012583299,1.872083653,2.187190759,1.11907001,3.00671827,0.8293830618,10.2850133,31.85647568,57.26545817,0.3301936848,1.829914532,1.210196687,0.95,0.95,0,0,191
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v018,neutral,0,0,0,exit_gate_floor,floor,5.12650773,1.3246412,1.270658215,2.157144457,1.5246064,-0.02934178547,0.1571444569,-0.02539359955,4.910615239,1.433260964,0.2546672286,-0.4557101692,0.2931256669,-0.7344185682,-2.678962679,-3.164798804,-10.09830247,5.121838968,5.115503789,-2.850026415,16.2709376,4.136158795,2.411427206,0.03414746063,5.688318759,3.316263755,0.3900421293,4.417660544,1.159119298,-1.134564271,1.134564271,4.567196321,3.893706735,4.025506917,0.8565068573,3.709681346,2.868487475,19.84959832,23.57444495,29.20663312,1.14545343,1.419608511,0.7344185682,0.9437209302,0.5,0.01395348837,0,215
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v019,neutral,0,0,0,exit_gate_floor,floor,5.909486543,1.486635,1.335766158,2.040251753,1.647334035,0.03576615846,0.04025175314,0.09733403505,5.865945528,0.7058527215,0.08270525444,0.001546287236,0.3773395905,-0.8667204193,3.532323663,2.844945475,-6.961698575,5.908839578,5.908260742,-0.8019877171,6.861445548,4.136158795,2.411427206,0.03414746063,6.031497849,2.13326131,0.3883602523,4.695731691,0.09300955706,-1.258973783,1.258973783,4.696652732,3.729808956,3.730540538,0.8468613902,3.449664027,2.961765453,33.45891055,32.07340192,10.04773682,1.453034312,1.668015261,1.232777529,0.9401315789,0.5,0.02192982456,0.004385964912,228
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v020,neutral,0,0,0,exit_gate_floor,floor,5.824020663,1.4801292,1.283103943,2.138499254,1.571275891,-0.01689605722,0.1384992542,0.02127589132,5.756423139,0.8088386202,0.295494397,-0.2333989493,0.3583714071,-0.1826355962,0.1431096311,-0.8085060243,-4.901809302,5.820476287,5.812970606,-2.910047604,7.998302701,4.136158795,2.411427206,0.03414746063,6.054290131,2.347460029,0.3966070514,4.771186188,0.2089607746,-1.17466884,1.17466884,4.775759861,4.061728741,4.065622326,0.7936258807,3.653817391,3.238850727,13.16312566,29.59148307,10.79833952,1.537984327,1.611993918,0.3849470236,0.9424686192,0.5,0.01673640167,0.004184100418,239
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v021,neutral,0,0,0,exit_gate_floor,floor,6.24371375,1.5835711,1.290970936,2.063036854,1.520728462,-0.009029063814,0.06303685358,-0.02927153765,6.199900542,0.7655162348,0.05876163261,-0.1957278549,0.6371679206,-0.1894464967,-0.1603751901,-0.6679397799,-4.890767404,6.24725818,6.246981818,-0.5389313353,7.038818393,4.136158795,2.411427206,0.03414746063,6.506641816,2.055865858,0.3836549376,5.21567088,-0.007170996021,-1.137073525,1.137073525,5.21567581,4.586924915,4.58692925,0.7180438723,3.766710703,3.270649504,24.18288648,31.19415969,14.56314809,2.898048778,1.67019818,0.676605142,0.9379770992,0.5,0.02671755725,0.003816793893,262
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v022,neutral,0,0,0,exit_gate_floor,floor,5.762682732,1.4493969,1.419269163,2.138084663,1.559203349,0.1192691633,0.1380846628,0.009203348632,5.527383466,1.576028076,0.2721586403,-0.2600128393,0.2175161596,-0.2573419644,-1.709149485,-1.363598545,-9.626468031,5.754120506,5.747680617,-2.710989691,15.91449072,4.136158795,2.411427206,0.03414746063,6.244855167,2.669454797,0.3981257032,4.825586004,0.5313701347,-1.161077645,1.161077645,4.854753804,4.156126873,4.181248191,0.8010763963,3.515014734,2.987920604,14.52931141,27.04440882,15.28369613,1.931181458,1.53471281,0.4376326806,0.9217277487,0.5,0.06282722513,0,191
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v023,neutral,0,0,0,exit_gate_floor,floor,5.640478633,1.4736096,1.294554189,2.157051042,1.620440392,-0.005445811255,0.1570510419,0.07044039214,5.42550613,1.52679036,0.1838940985,-0.1630248062,0.7997087664,-0.02650489037,4.721349335,5.602919798,-8.763839285,5.639239542,5.636240375,-1.8687314,15.71711989,4.136158795,2.411427206,0.03414746063,5.401309687,2.465155471,0.397418818,4.106755499,0.3081044287,-1.223021574,1.223021574,4.118296865,3.357876579,3.367313343,0.8299495159,3.341181042,2.807217925,6.138638615,32.78084491,8.921191915,0.9965780263,1.805326732,0.4271674037,0.922107438,0.5,0.06198347107,0.04132231405,242
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v024,neutral,0,0,0,exit_gate_front_wall,front_wall,5.875191481,1.4222646,1.313169932,2.035619694,1.572355932,0.01316993181,0.03561969382,0.0223559317,5.643958553,1.648888702,-0.411273735,-0.1751325002,-0.004060786147,-0.773710355,1.037264585,-6.63996328,-12.77636802,5.894255525,5.879889634,4.001084101,16.28578131,4.136158795,2.411427206,0.03414746063,6.602847967,2.637144206,0.7280549488,5.289678036,0.6015245117,-0.8443009829,0.8443009829,5.323769854,6.26515679,6.30553554,0.5936314402,3.977491954,3.497160398,26.12071445,27.12744798,17.22208487,1.745048951,1.520916184,0.773710355,0.9397727273,0.5,0.02272727273,0,220
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v025,neutral,0,0,0,exit_gate_floor,floor,5.556713637,1.4276458,1.286708037,2.040137192,1.649452152,-0.01329196271,0.04013719241,0.09945215158,5.396995884,1.113670807,0.6119696874,-0.2572189175,0.7383199095,-0.2974545724,2.325868882,10.07428018,-9.217890273,5.544577002,5.510701156,-6.336797965,11.65934346,4.136158795,2.411427206,0.03414746063,4.604510367,2.261054089,0.3893027702,3.31780233,0.2209168965,-1.260149381,1.260149381,3.325149106,2.632864309,2.638694392,0.8826764884,3.115559241,2.129567481,16.25569809,35.9161723,12.73877253,1.430730229,2.254266151,0.4970622003,0.95,0.95,0,0,216
