t (s),x (m),y (m),ψ (rad),ψ (deg),p (rad/s),ϕ (deg),δ_A_roll (deg)
0.5453659027798325,2.5877869319975666,1.3433568682664974,-0.2943668917107229,-16.865980523408957,1.500000007009114,28.25618528140366,8.82748984569254
0.5552816464667386,2.6371496349313697,1.3283913413371986,-0.2843167728547176,-16.29015112935501,1.5000000073746944,29.10838068137556,8.827489847510977
0.5651973901536447,2.686660247741439,1.3139226628773741,-0.2739052715359283,-15.693616045393492,1.5000000077175144,29.96057608155516,8.82748984922382
0.5751131338405507,2.7363188150597075,1.2999702391058756,-0.2631263518191493,-15.076029437911705,1.5000000080395124,30.812771481929524,8.827489850839411
0.5850288775274568,2.7861248867563315,1.2865538812039268,-0.2519736585181254,-14.43702718155921,1.500000008342416,31.664966882486823,8.827489852365249
0.5949446212143629,2.8360774864045686,1.273693818000917,-0.24044050032866868,-13.776225892846599,1.5000000086277716,32.517162283216216,8.827489853808107
0.6048603649012688,2.886175077753866,1.2614107085329822,-0.22851983165252007,-13.093221888729481,1.5000000088969654,33.36935768410772,8.827489855174099
0.6147761085881749,2.9364155290632583,1.249725654428227,-0.2162042329962789,-12.387590063549872,1.5000000091512449,34.221553085152166,8.827489856468771
0.624691852275081,2.986796075135246,1.2386602120651427,-0.2034858898172252,-11.658882676991098,1.5000000093917347,35.073748486341074,8.827489857697175
0.634607595961987,3.037313276877305,1.2282364044424636,-0.19035656967382636,-10.906628044898248,1.5000000096194517,35.92594388766661,8.827489858863885
0.6445233396488931,3.087962978203882,1.2184767326892234,-0.17680759752291644,-10.13032912391082,1.5000000098353168,36.778139289121526,8.827489859973085
0.6544390833357991,3.1387402600761107,1.20940418713295,-0.16282982898772003,-9.329461979833308,1.5000000100401667,37.63033469069908,8.8274898610286
0.6643548270227052,3.1896393914592855,1.2010422578316,-0.14841362140075945,-8.50347412851599,1.5000000102347624,38.48253009239301,8.827489862033921
0.6742705707096112,3.2406537769593045,1.1934149444607018,-0.13354880240289402,-7.6517827367124145,1.5000000104197984,39.3347254941975,8.827489862992266
0.6841863143965172,3.2917759008785894,1.1865467654310242,-0.11822463585388777,-6.773772668898801,1.5000000105959082,40.186920896107104,8.827489863906566
0.6941020580834233,3.342997267409213,1.1804627660935854,-0.10242978478051785,-5.868794364357027,1.5000000107636724,41.039116298116774,8.827489864779537
0.7040178017703294,3.394308336655924,1.1751885258675743,-0.08615227105476304,-4.936161526905008,1.5000000109236233,41.891311700221756,8.827489865613675
0.7139335454572354,3.4456984561541684,1.1707501641023872,-0.069379431456403,-3.9751486074690745,1.500000011076249,42.74350710241761,8.827489866411284
0.7238492891441415,3.4971557875177917,1.1671743444569467,-0.05209786973063944,-2.984988057188003,1.5000000112219993,43.59570250470017,8.827489867174483
0.7337650328310474,3.5486672278175804,1.1644882775471768,-0.03429340420121441,-1.964867325865792,1.5000000113612881,44.44789790706553,8.827489867905248
0.7436807765179535,3.6002183252547524,1.1627197215752951,-0.01595101044186454,-0.9139255772879445,1.5000000114944974,45.30009330951003,8.827489868605396
0.7535965202048596,3.651793188652623,1.1618969806115549,0.002945241557472809,0.16874991088972924,1.5000000116219798,46.15228871203021,8.827489869276624
0.7635122638917656,3.703374390244448,1.1620489001493404,0.022412256370031917,1.2841276993680235,1.5000000117440622,47.00448411462283,8.827489869920491
0.7734280075786717,3.754942861185415,1.163204859496847,0.042467988986412054,2.4332365333294734,1.5000000118610468,47.856679517284796,8.827489870538459
0.7833437512655778,3.8064777791614017,1.1653947605016373,0.06313152837612591,3.6171701301624104,1.500000011973214,48.708874920013216,8.827489871131887
0.7932594949524838,3.8579564474057864,1.1686490120264972,0.08442318970938012,4.837092463379764,1.5000000120808241,49.56107032280538,8.827489871702044
0.8031752386393898,3.9093541643676644,1.1729985095042663,0.10636461633259243,6.094243605385811,1.5000000121841193,50.41326572565867,8.82748987225009
