model_id,model_role,matched_candidate_id,split,regime,report_regime,sample_count,throw_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg
jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn,selected_candidate,jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn,heldout,post_stall,post_stall,164,5,0.34421081,0.2777031665,0.3813196102,0.5631217041,8.240876082,5.115279635,7.892956603
jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn__matched_reference,matched_longitudinal_reference,jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn,heldout,attached,normal,604,14,0.1586896481,0.2470483382,0.1710531232,0.2635489626,7.127103076,4.042338389,1.816799581
jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn__matched_reference,matched_longitudinal_reference,jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn,heldout,transition,transition,1630,14,0.1690416616,0.2489763856,0.2943663953,0.451839225,8.499749735,6.693256697,3.268270879
jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn__matched_reference,matched_longitudinal_reference,jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn,heldout,post_stall,post_stall,164,5,0.326953252,0.2352323772,0.3779740116,0.5583980604,13.50180598,4.849727907,3.97791032
jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn__global_reference,global_longitudinal_reference,jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn__global_reference,global_longitudinal_reference,jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn__global_reference,global_longitudinal_reference,jp040h_L05_proposal_stage_9_stage9__X029_ablation_post_stall_ablation_attached_Cn,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,selected_candidate,jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,heldout,attached,normal,604,14,0.1458656112,0.2330333211,0.1490043787,0.2433129332,4.512945718,3.941666751,1.960264909
jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,selected_candidate,jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,heldout,transition,transition,1630,14,0.1612810051,0.2565806664,0.2723098534,0.4242678096,4.442778424,6.759790381,2.971955555
jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,selected_candidate,jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,heldout,post_stall,post_stall,164,5,0.3130284248,0.2882587514,0.3350173995,0.4977853736,8.363205091,5.776469959,8.296746446
jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn__matched_reference,matched_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn__matched_reference,matched_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn__matched_reference,matched_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn__global_reference,global_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn__global_reference,global_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn__global_reference,global_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X029_ablation_post_stall_ablation_attached_Cn,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,selected_candidate,jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,heldout,attached,normal,604,14,0.1455785478,0.2345433868,0.1490440367,0.2433461637,5.168292407,3.947521713,1.555756716
jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,selected_candidate,jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,heldout,transition,transition,1630,14,0.1610154077,0.25674737,0.2723334196,0.4242988249,5.095356313,6.785046075,2.929524908
jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,selected_candidate,jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,heldout,post_stall,post_stall,164,5,0.3120856156,0.2875561542,0.3346657164,0.4972783323,8.693810804,5.771371783,7.595620762
jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall__matched_reference,matched_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall__matched_reference,matched_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall__matched_reference,matched_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall__global_reference,global_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall__global_reference,global_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall__global_reference,global_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X031_ablation_attached_Cn_ablation_post_stall,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,selected_candidate,jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,heldout,attached,normal,604,14,0.1449134154,0.2362299079,0.1499949856,0.244287183,5.241593064,3.952700607,1.770955105
jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,selected_candidate,jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,heldout,transition,transition,1630,14,0.1589754348,0.2545041667,0.2723256404,0.4243967617,5.341129725,6.790895634,2.967560462
jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,selected_candidate,jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,heldout,post_stall,post_stall,164,5,0.3070823104,0.2746252487,0.3335949829,0.4957854821,9.089993758,5.70656667,6.701698052
jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall__matched_reference,matched_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall__matched_reference,matched_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall__matched_reference,matched_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall__global_reference,global_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall__global_reference,global_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall__global_reference,global_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X033_ablation_attached_Cn_ablation_post_stall,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn,selected_candidate,jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn,heldout,attached,normal,604,14,0.145034627,0.2387392305,0.1496315517,0.2439653609,6.537122012,4.014830275,1.289620216
jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn,selected_candidate,jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn,heldout,transition,transition,1630,14,0.158984437,0.2550821019,0.2722316731,0.4243078754,7.03225221,6.842678427,2.986902406
jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn,selected_candidate,jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn,heldout,post_stall,post_stall,164,5,0.3064911886,0.274685147,0.3332145369,0.4952257296,10.65408421,5.707844634,5.895953011
jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn__matched_reference,matched_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn__matched_reference,matched_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn__matched_reference,matched_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn__global_reference,global_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn,heldout,attached,normal,604,14,0.1437985204,0.2530412485,0.1522078171,0.2465284635,7.289073167,4.055780274,1.979073979
jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn__global_reference,global_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn,heldout,transition,transition,1630,14,0.1539379511,0.2530412086,0.2726873727,0.425173656,8.638616493,6.881058291,3.357161686
jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn__global_reference,global_longitudinal_reference,jp040h_L00_proposal_stage_5_stage5__X008_ablation_attached_Cn,heldout,post_stall,post_stall,164,5,0.2945950142,0.2406142952,0.3315393143,0.492840701,13.37001691,5.512778447,4.227061028
