event_id,surface_index,surface_name,command_before_norm_1,command_before_norm_2,command_before_norm_3,command_before_norm_4,command_after_norm_1,command_after_norm_2,command_after_norm_3,command_after_norm_4,scheduled_start_s,scheduled_end_s,random_seed,repetition_index,step_kind,step_label,latency_method
77,1,Aileron_L,0,0,0,0,0.7,0,0,0,54.1260649000001,54.7260649000001,2,5,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
78,1,Aileron_L,0.7,0,0,0,0,0,0,0,54.7260649000001,55.3260649000001,2,5,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
79,1,Aileron_L,0,0,0,0,-0.7,0,0,0,55.3260649000001,55.9260649000001,2,5,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
80,1,Aileron_L,-0.7,0,0,0,0,0,0,0,55.9260649000001,56.5260649000001,2,5,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
81,2,Aileron_R,0,0,0,0,0,-0.7,0,0,56.5260649000001,57.1260649000001,2,6,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
82,2,Aileron_R,0,-0.7,0,0,0,0,0,0,57.1260649000001,57.7260649000001,2,6,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
83,2,Aileron_R,0,0,0,0,0,0.7,0,0,57.7260649000001,58.3260649000001,2,6,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
84,2,Aileron_R,0,0.7,0,0,0,0,0,0,58.3260649000001,58.9260649000001,2,6,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
85,4,Elevator,0,0,0,0,0,0,0,-0.7,58.9260649000001,59.5260649000001,2,6,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
86,4,Elevator,0,0,0,-0.7,0,0,0,0,59.5260649000001,60.1260649000001,2,6,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
87,4,Elevator,0,0,0,0,0,0,0,0.7,60.1260649000001,60.7260649000001,2,6,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
88,4,Elevator,0,0,0,0.7,0,0,0,0,60.7260649000001,61.3260649000001,2,6,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
89,3,Rudder,0,0,0,0,0,0,-0.7,0,61.3260649000001,61.9260649000001,2,6,step_to_command,latency_bang_bang_Rudder_step_to_command_-0.700,bang_bang_measured_response_fraction
90,3,Rudder,0,0,-0.7,0,0,0,0,0,61.9260649000001,62.5260649000001,2,6,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_+0.700,bang_bang_measured_response_fraction
91,3,Rudder,0,0,0,0,0,0,0.7,0,62.5260649000001,63.1260649000001,2,6,step_to_command,latency_bang_bang_Rudder_step_to_command_+0.700,bang_bang_measured_response_fraction
92,3,Rudder,0,0,0.7,0,0,0,0,0,63.1260649000001,63.7260649000001,2,6,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_-0.700,bang_bang_measured_response_fraction
93,1,Aileron_L,0,0,0,0,-0.7,0,0,0,63.7260649000001,64.3260649000001,2,6,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
94,1,Aileron_L,-0.7,0,0,0,0,0,0,0,64.3260649000001,64.9260649000001,2,6,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
95,1,Aileron_L,0,0,0,0,0.7,0,0,0,64.9260649000001,65.5260649000001,2,6,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
96,1,Aileron_L,0.7,0,0,0,0,0,0,0,65.5260649000001,66.1260649000001,2,6,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
97,4,Elevator,0,0,0,0,0,0,0,0.7,66.1260649000001,66.7260649000001,2,7,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
98,4,Elevator,0,0,0,0.7,0,0,0,0,66.7260649000001,67.3260649000001,2,7,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
99,4,Elevator,0,0,0,0,0,0,0,-0.7,67.3260649000001,67.9260649000001,2,7,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
100,4,Elevator,0,0,0,-0.7,0,0,0,0,67.9260649000001,68.5260649000001,2,7,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
101,1,Aileron_L,0,0,0,0,0.7,0,0,0,68.5260649000001,69.1260649000001,2,7,step_to_command,latency_bang_bang_Aileron_L_step_to_command_+0.700,bang_bang_measured_response_fraction
102,1,Aileron_L,0.7,0,0,0,0,0,0,0,69.1260649000001,69.7260649000001,2,7,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_-0.700,bang_bang_measured_response_fraction
