split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
all,elevator,1,q_impulse_rad,6,6,-0.3882009641,-1.1351103,0.3734546679,-0.7616556321,0.3422114242,-1.359410848,0.850811136,-0.5085997118,-0.477356468,-0.2530559203
all,elevator,1,theta_change_deg,6,6,3.339841448,-44.21663158,23.77823652,-20.43839507,39.35734737,-65.02953266,52.19344001,-12.83609264,-28.4152035,-7.602302423
all,elevator,1,response_altitude_loss_m,6,6,0.4740161066,0.8881346597,-0.2070592766,0.6810753831,0.5702387739,0.9839345369,-0.2068478815,0.7770866554,-0.00021139506,-0.09601127233
all,elevator,1,max_abs_alpha_deg,6,6,41.14189809,15.5244327,12.80873269,28.3331654,80.97146602,19.61211163,30.6796772,50.29178882,-17.8709445,-21.95862343
all,rudder,0.2,peak_r_rad_s,6,5,0.3606797643,0.2103742887,0.0751527378,0.2855270265,0.3593264357,-0.05175498555,0.2055407106,0.1537857251,-0.1303879728,0.1317413014
all,rudder,0.2,r_impulse_rad,6,5,0.1751674843,0.1584350773,0.008366203487,0.1668012808,0.163531132,-0.01093430411,0.08723271807,0.07629841396,-0.07886651458,0.09050286681
all,rudder,0.2,psi_change_deg,6,5,11.97824894,9.537324585,1.220462177,10.75778676,15.34386079,3.092906043,6.125477371,9.218383414,-4.905015194,1.539403349
all,rudder,0.2,roll_coupling_phi_change_deg,6,5,-9.959654836,-22.50267672,6.271510941,-16.23116578,0.407109432,0.004476035882,0.2013166981,0.205792734,6.070194243,-16.43695851
all,rudder,0.2,response_dy_m,6,5,-0.0717327363,-0.1428720417,0.03556965271,-0.107302389,0.05904236233,-0.003568619947,0.03130549114,0.02773687119,0.004264161566,-0.1350392602
all,rudder,0.4,peak_r_rad_s,5,6,0.6100461587,0.038436329,0.2858049148,0.3242412438,0.5958061754,-0.5125908074,0.5541984914,0.041607684,-0.2683935766,0.2826335599
all,rudder,0.4,r_impulse_rad,5,6,0.2281589816,0.08327352125,0.0724427302,0.1557162515,0.2511404914,-0.1630184671,0.2070794792,0.04406101218,-0.1346367491,0.1116552393
all,rudder,0.4,psi_change_deg,5,6,11.28054947,1.568026114,4.856261679,6.424287793,20.16433059,-3.038737977,11.60153428,8.562796306,-6.745272605,-2.138508513
