split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
train,aileron,0.2,peak_p_rad_s,5,5,-0.7270586246,0.08030064195,,-0.3233789913,0.1213438792,0.7232722459,,0.4223080625,,-0.7456870539
train,aileron,0.2,p_impulse_rad,5,5,-0.2238579658,0.02698290749,,-0.09843752915,0.01620533079,0.3529648546,,0.1845850927,,-0.2830226218
train,aileron,0.2,phi_change_deg,5,5,-11.42016496,-3.690877723,,-7.555521342,-5.952423371,10.21080542,,2.129191022,,-9.684712364
train,aileron,0.2,yaw_coupling_psi_change_deg,5,5,5.999204862,7.886972557,,6.94308871,8.801052824,5.322200719,,7.061626771,,-0.1185380618
train,aileron,0.2,response_dy_m,5,5,0.07191724039,0.04084477152,,0.05638100596,-0.04134773224,-0.1131727668,,-0.0772602495,,0.1336412555
train,aileron,0.4,peak_p_rad_s,5,5,-0.8196995066,0.1779070608,,-0.3208962229,-0.2469896055,0.9758380895,,0.364424242,,-0.6853204649
train,aileron,0.4,p_impulse_rad,5,5,-0.3565916231,0.03095544655,,-0.1628180883,-0.1686902613,0.4669557638,,0.1491327513,,-0.3119508395
train,aileron,0.4,phi_change_deg,5,5,-24.83571943,0.6703686411,,-12.08267539,-13.65932064,19.34251061,,2.841594987,,-14.92427038
train,aileron,0.4,yaw_coupling_psi_change_deg,5,5,11.15998987,10.04598117,,10.60298552,14.02614547,2.854646393,,8.440395933,,2.162589583
train,aileron,0.4,response_dy_m,5,5,-0.01654734892,-0.07574125024,,-0.04614429958,-0.01944411666,-0.04121415753,,-0.03032913709,,-0.01581516249
train,aileron,0.6,peak_p_rad_s,5,5,-1.021395257,-0.1995412697,,-0.6104682633,-0.939718032,1.317711756,,0.188996862,,-0.7994651253
train,aileron,0.6,p_impulse_rad,5,5,-0.4965398098,-0.008959701821,,-0.2527497558,-0.4171980919,0.6083444915,,0.09557319981,,-0.3483229556
train,aileron,0.6,phi_change_deg,5,5,-29.57135468,4.206137196,,-12.68260874,-28.47397076,28.29655108,,-0.08870984072,,-12.5938989
train,aileron,0.6,yaw_coupling_psi_change_deg,5,5,10.61243572,5.228799288,,7.920617502,15.52289964,0.1900068799,,7.856453258,,0.06416424404
train,aileron,0.6,response_dy_m,5,5,-0.2110078196,-0.2206946772,,-0.2158512484,0.3166476289,0.1454932961,,0.2310704625,,-0.4469217109
train,aileron,0.8,peak_p_rad_s,5,4,-1.690052328,0.4247984261,,-0.6326269509,-0.8331179934,1.243114765,,0.2049983857,,-0.8376253366
