episode_id,episode_index,paired_episode_index,replicate_id,common_random_key,launch_state_seed,environment_seed,policy_id,governor_config_id,memory_lambda,uses_memory_features,updates_belief,W_layer,environment_mode,episode_counted_for_claim,primitive_count,episode_duration_s,continuation_valid,episode_terminal_useful,hard_failure,termination_cause,no_viable_primitive,x_y_terminal,governor_rejection_count,prediction_actual_agreement_rate,belief_update_count_before,belief_update_count_after,observed_lift_evidence_m_s,energy_residual_m,lift_dwell_time_s,minimum_wall_margin_m,floor_margin_m,ceiling_margin_m,minimum_speed_m_s,claim_status
v49_r001_context_plus_memory_lambda_0_8_p00005_rep00,34,5,0,v410_run001_seed00511_r00_e00005,511196,1022222,context_plus_memory_lambda_0_8,v410_cfg_000_b0.05_h0.75_tb0,0.8,True,True,W3,w3_randomised_single,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,5,6,-0.0010285758048513033,0.01155695957717473,0.0,-0.07325409315839426,1.269218775143893,1.7406195514481353,5.919063468251366,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_95_p00005_rep00,35,5,0,v410_run001_seed00511_r00_e00005,511196,1022222,context_plus_memory_lambda_0_95,v410_cfg_000_b0.05_h0.75_tb0,0.95,True,True,W3,w3_randomised_single,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,5,6,-0.0010285758048513033,0.01155695957717473,0.0,-0.07325409315839426,1.269218775143893,1.7406195514481353,5.919063468251366,simulation_only_paired_full_loop_validation_episode
v49_r001_no_memory_baseline_p00006_rep00,36,6,0,v410_run001_seed00511_r00_e00006,511233,1022263,no_memory_baseline,v410_cfg_000_b0.05_h0.75_tb0,0.0,False,False,W3,w3_randomised_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,0,0,0.5404350440379516,-0.35716171382747386,0.5000000000000001,-0.02892720207444821,1.0763865566222561,1.6664517295502699,4.882959345574559,simulation_only_paired_full_loop_validation_episode
v49_r001_static_map_baseline_p00006_rep00,37,6,0,v410_run001_seed00511_r00_e00006,511233,1022263,static_map_baseline,v410_cfg_000_b0.05_h0.75_tb0,0.8,True,False,W3,w3_randomised_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,0,0,0.5404350440379516,-0.35716171382747386,0.5000000000000001,-0.02892720207444821,1.0763865566222561,1.6664517295502699,4.882959345574559,simulation_only_paired_full_loop_validation_episode
v49_r001_context_only_without_memory_p00006_rep00,38,6,0,v410_run001_seed00511_r00_e00006,511233,1022263,context_only_without_memory,v410_cfg_000_b0.05_h0.75_tb0,0.0,False,False,W3,w3_randomised_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,0,0,0.5404350440379516,-0.35716171382747386,0.5000000000000001,-0.02892720207444821,1.0763865566222561,1.6664517295502699,4.882959345574559,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_5_p00006_rep00,39,6,0,v410_run001_seed00511_r00_e00006,511233,1022263,context_plus_memory_lambda_0_5,v410_cfg_000_b0.05_h0.75_tb0,0.5,True,True,W3,w3_randomised_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,6,7,0.5404350440379516,-0.35716171382747386,0.5000000000000001,-0.02892720207444821,1.0763865566222561,1.6664517295502699,4.882959345574559,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_8_p00006_rep00,40,6,0,v410_run001_seed00511_r00_e00006,511233,1022263,context_plus_memory_lambda_0_8,v410_cfg_000_b0.05_h0.75_tb0,0.8,True,True,W3,w3_randomised_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,6,7,0.5404350440379516,-0.35716171382747386,0.5000000000000001,-0.02892720207444821,1.0763865566222561,1.6664517295502699,4.882959345574559,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_95_p00006_rep00,41,6,0,v410_run001_seed00511_r00_e00006,511233,1022263,context_plus_memory_lambda_0_95,v410_cfg_000_b0.05_h0.75_tb0,0.95,True,True,W3,w3_randomised_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,6,7,0.5404350440379516,-0.35716171382747386,0.5000000000000001,-0.02892720207444821,1.0763865566222561,1.6664517295502699,4.882959345574559,simulation_only_paired_full_loop_validation_episode
v49_r001_no_memory_baseline_p00007_rep00,42,7,0,v410_run001_seed00511_r00_e00007,511270,1022304,no_memory_baseline,v410_cfg_000_b0.05_h0.75_tb0,0.0,False,False,W0,dry_air,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,0.0,-1.289859596307019,0.0,0.12936482569297092,-0.02061070493556383,1.8307511086285448,4.297197475956023,simulation_only_paired_full_loop_validation_episode
v49_r001_static_map_baseline_p00007_rep00,43,7,0,v410_run001_seed00511_r00_e00007,511270,1022304,static_map_baseline,v410_cfg_000_b0.05_h0.75_tb0,0.8,True,False,W0,dry_air,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,0.0,-1.289859596307019,0.0,0.12936482569297092,-0.02061070493556383,1.8307511086285448,4.297197475956023,simulation_only_paired_full_loop_validation_episode
v49_r001_context_only_without_memory_p00007_rep00,44,7,0,v410_run001_seed00511_r00_e00007,511270,1022304,context_only_without_memory,v410_cfg_000_b0.05_h0.75_tb0,0.0,False,False,W0,dry_air,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,0.0,-1.289859596307019,0.0,0.12936482569297092,-0.02061070493556383,1.8307511086285448,4.297197475956023,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_5_p00007_rep00,45,7,0,v410_run001_seed00511_r00_e00007,511270,1022304,context_plus_memory_lambda_0_5,v410_cfg_000_b0.05_h0.75_tb0,0.5,True,True,W0,dry_air,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,7,8,0.0,-1.289859596307019,0.0,0.12936482569297092,-0.02061070493556383,1.8307511086285448,4.297197475956023,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_8_p00007_rep00,46,7,0,v410_run001_seed00511_r00_e00007,511270,1022304,context_plus_memory_lambda_0_8,v410_cfg_000_b0.05_h0.75_tb0,0.8,True,True,W0,dry_air,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,7,8,0.0,-1.289859596307019,0.0,0.12936482569297092,-0.02061070493556383,1.8307511086285448,4.297197475956023,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_95_p00007_rep00,47,7,0,v410_run001_seed00511_r00_e00007,511270,1022304,context_plus_memory_lambda_0_95,v410_cfg_000_b0.05_h0.75_tb0,0.95,True,True,W0,dry_air,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,7,8,0.0,-1.289859596307019,0.0,0.12936482569297092,-0.02061070493556383,1.8307511086285448,4.297197475956023,simulation_only_paired_full_loop_validation_episode
v49_r001_no_memory_baseline_p00008_rep00,48,8,0,v410_run001_seed00511_r00_e00008,511307,1022345,no_memory_baseline,v410_cfg_000_b0.05_h0.75_tb0,0.0,False,False,W1,gaussian_single,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,0,0,-0.011128889559833231,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r001_static_map_baseline_p00008_rep00,49,8,0,v410_run001_seed00511_r00_e00008,511307,1022345,static_map_baseline,v410_cfg_000_b0.05_h0.75_tb0,0.8,True,False,W1,gaussian_single,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,0,0,-0.011128889559833231,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r001_context_only_without_memory_p00008_rep00,50,8,0,v410_run001_seed00511_r00_e00008,511307,1022345,context_only_without_memory,v410_cfg_000_b0.05_h0.75_tb0,0.0,False,False,W1,gaussian_single,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,0,0,-0.011128889559833231,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_5_p00008_rep00,51,8,0,v410_run001_seed00511_r00_e00008,511307,1022345,context_plus_memory_lambda_0_5,v410_cfg_000_b0.05_h0.75_tb0,0.5,True,True,W1,gaussian_single,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,8,9,-0.011128889559833231,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
v49_r001_context_plus_memory_lambda_0_8_p00008_rep00,52,8,0,v410_run001_seed00511_r00_e00008,511307,1022345,context_plus_memory_lambda_0_8,v410_cfg_000_b0.05_h0.75_tb0,0.8,True,True,W1,gaussian_single,True,0,0.0,False,False,False,no_viable_primitive,True,False,58,0.0,8,9,-0.011128889559833231,0.0,0.0,0.0,0.0,0.0,0.0,simulation_only_paired_full_loop_validation_episode
