event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count
126,3,Rudder,0.8,198.6939835,200.1939835,negative_first,positive,outbound,5,11
127,3,Rudder,1,200.1939835,201.6939835,negative_first,positive,outbound,6,11
128,3,Rudder,0.8,201.6939835,203.1939835,negative_first,positive,return,7,11
129,3,Rudder,0.6,203.1939835,204.6939835,negative_first,positive,return,8,11
130,3,Rudder,0.4,204.6939835,206.1939835,negative_first,positive,return,9,11
131,3,Rudder,0.2,206.1939835,207.6939835,negative_first,positive,return,10,11
132,3,Rudder,0,207.6939835,209.1939835,negative_first,positive,return,11,11
133,4,Elevator,0,209.1939835,210.6939835,positive_first,positive,outbound,1,11
134,4,Elevator,0.2,210.6939835,212.1939835,positive_first,positive,outbound,2,11
135,4,Elevator,0.4,212.1939835,213.6939835,positive_first,positive,outbound,3,11
136,4,Elevator,0.6,213.6939835,215.1939835,positive_first,positive,outbound,4,11
137,4,Elevator,0.8,215.1939835,216.6939835,positive_first,positive,outbound,5,11
138,4,Elevator,1,216.6939835,218.1939835,positive_first,positive,outbound,6,11
139,4,Elevator,0.8,218.1939835,219.6939835,positive_first,positive,return,7,11
140,4,Elevator,0.6,219.6939835,221.1939835,positive_first,positive,return,8,11
141,4,Elevator,0.4,221.1939835,222.6939835,positive_first,positive,return,9,11
142,4,Elevator,0.2,222.6939835,224.1939835,positive_first,positive,return,10,11
143,4,Elevator,0,224.1939835,225.6939835,positive_first,positive,return,11,11
144,4,Elevator,-0,225.6939835,227.1939835,positive_first,negative,outbound,1,11
145,4,Elevator,-0.2,227.1939835,228.6939835,positive_first,negative,outbound,2,11
146,4,Elevator,-0.4,228.6939835,230.1939835,positive_first,negative,outbound,3,11
147,4,Elevator,-0.6,230.1939835,231.6939835,positive_first,negative,outbound,4,11
148,4,Elevator,-0.8,231.6939835,233.1939835,positive_first,negative,outbound,5,11
149,4,Elevator,-1,233.1939835,234.6939835,positive_first,negative,outbound,6,11
150,4,Elevator,-0.8,234.6939835,236.1939835,positive_first,negative,return,7,11
151,4,Elevator,-0.6,236.1939835,237.6939835,positive_first,negative,return,8,11
152,4,Elevator,-0.4,237.6939835,239.1939835,positive_first,negative,return,9,11
153,4,Elevator,-0.2,239.1939835,240.6939835,positive_first,negative,return,10,11
154,4,Elevator,-0,240.6939835,242.1939835,positive_first,negative,return,11,11
155,4,Elevator,-0,242.1939835,243.6939835,negative_first,negative,outbound,1,11
156,4,Elevator,-0.2,243.6939835,245.1939835,negative_first,negative,outbound,2,11
157,4,Elevator,-0.4,245.1939835,246.6939835,negative_first,negative,outbound,3,11
158,4,Elevator,-0.6,246.6939835,248.1939835,negative_first,negative,outbound,4,11
159,4,Elevator,-0.8,248.1939835,249.6939835,negative_first,negative,outbound,5,11
160,4,Elevator,-1,249.6939835,251.1939835,negative_first,negative,outbound,6,11
161,4,Elevator,-0.8,251.1939835,252.6939835,negative_first,negative,return,7,11
162,4,Elevator,-0.6,252.6939835,254.1939835,negative_first,negative,return,8,11
163,4,Elevator,-0.4,254.1939835,255.6939835,negative_first,negative,return,9,11
164,4,Elevator,-0.2,255.6939835,257.1939835,negative_first,negative,return,10,11
165,4,Elevator,-0,257.1939835,258.6939835,negative_first,negative,return,11,11
166,4,Elevator,0,258.6939835,260.1939835,negative_first,positive,outbound,1,11
167,4,Elevator,0.2,260.1939835,261.6939835,negative_first,positive,outbound,2,11
168,4,Elevator,0.4,261.6939835,263.1939835,negative_first,positive,outbound,3,11
169,4,Elevator,0.6,263.1939835,264.6939835,negative_first,positive,outbound,4,11
170,4,Elevator,0.8,264.6939835,266.1939835,negative_first,positive,outbound,5,11
171,4,Elevator,1,266.1939835,267.6939835,negative_first,positive,outbound,6,11
172,4,Elevator,0.8,267.6939835,269.1939835,negative_first,positive,return,7,11
173,4,Elevator,0.6,269.1939835,270.6939835,negative_first,positive,return,8,11
174,4,Elevator,0.4,270.6939835,272.1939835,negative_first,positive,return,9,11
175,4,Elevator,0.2,272.1939835,273.6939835,negative_first,positive,return,10,11
176,4,Elevator,0,273.6939835,275.1939835,negative_first,positive,return,11,11
