group,split,surface_axis,command_abs,replay_count,high_confidence_count,medium_confidence_count,low_confidence_count,mean_launch_confidence_score,mean_launch_lateral_contamination_score,primary_metric,all_abs_antisym_residual,high_confidence_abs_antisym_residual,confidence_weighted_abs_antisym_residual,high_minus_all_abs_residual,weighted_minus_all_abs_residual,replay_dx_mae_m,replay_dy_mae_m,replay_altitude_loss_mae_m
elevator_0.6,all,elevator,0.6,11,10,1,0,0.8611188903,0.2954188421,peak_q_rad_s,0.3012444047,0.2706393672,0.3012967429,-0.03060503751,5.233822347e-05,0.1893045068,0.4108245757,0.1042772837
elevator_0.8,all,elevator,0.8,11,9,2,0,0.8286984477,0.346911196,peak_q_rad_s,0.05605872721,0.2017234693,0.00183718981,0.1456647421,-0.0542215374,0.1137937387,0.5828186861,0.1765921544
elevator_1,all,elevator,1,12,10,2,0,0.8460421419,0.3249563092,peak_q_rad_s,0.2061348297,0.04948880311,0.1408492408,-0.1566460266,-0.06528558888,0.1194863332,0.3804373223,0.1743612045
rudder,all,rudder,all,58,51,7,0,0.8451880781,0.3259007645,peak_r_rad_s,0.2595495542,0.2519078863,0.2572588536,-0.007641667859,-0.002290700591,0.2277557118,0.4926531059,0.1528257538
rudder_0.2,all,rudder,0.2,11,8,3,0,0.7982200048,0.3785289079,peak_r_rad_s,0.05945514189,0.02890995195,0.05801414104,-0.03054518995,-0.001441000853,0.2541816574,0.3029042481,0.2006424927
rudder_0.4,all,rudder,0.4,11,11,0,0,0.86353583,0.3107020325,peak_r_rad_s,0.1145144064,0.1145144064,0.1055930886,0,-0.008921317844,0.172105975,0.4520949763,0.08361813386
rudder_0.6,all,rudder,0.6,12,11,1,0,0.8566965256,0.3130380542,peak_r_rad_s,0.3810734001,0.3536847176,0.3609443275,-0.02738868255,-0.02012907263,0.2203582967,0.5205386735,0.146954502
rudder_0.8,all,rudder,0.8,12,11,1,0,0.8621548766,0.3054313083,peak_r_rad_s,0.2036033768,0.2338293756,0.2168764489,0.03022599881,0.01327307208,0.1659914188,0.5570876745,0.1127153561
rudder_1,all,rudder,1,12,10,2,0,0.8429481265,0.3249226372,peak_r_rad_s,0.5391014457,0.5286009801,0.544866262,-0.0105004656,0.005764816298,0.3237058951,0.611447708,0.2184157108
all,train,all,all,144,117,27,0,0.8261758377,0.3473243128,mean_primary,0.4233636852,0.4742603354,0.4189850397,0.05089665029,-0.00437864549,0.2664782053,0.5129695561,0.2139199401
aileron,train,aileron,all,49,31,18,0,0.7780958735,0.4035154171,peak_p_rad_s,0.5334458162,0.7460040762,0.5508074533,0.2125582599,0.01736163709,0.4025140143,0.569285477,0.299390403
aileron_0.2,train,aileron,0.2,10,8,2,0,0.8083777181,0.3695045959,peak_p_rad_s,0.07771597507,0.2365587718,0.09886165303,0.1588427967,0.02114567796,0.2968765539,0.5439358123,0.2319228782
aileron_0.4,train,aileron,0.4,10,5,5,0,0.7637608137,0.4188250907,peak_p_rad_s,0.4107089401,0.6888261615,0.4378320476,0.2781172213,0.02712310742,0.324657664,0.3584400158,0.2454895862
aileron_0.6,train,aileron,0.6,10,8,2,0,0.7978226059,0.3794294309,peak_p_rad_s,0.8815481703,1.018969967,0.9172996438,0.1374217968,0.0357514735,0.5373067029,0.7664752362,0.3536939973
aileron_0.8,train,aileron,0.8,9,5,4,0,0.758219494,0.4276400359,peak_p_rad_s,0.5026941724,1.024176808,0.5036525595,0.5214826356,0.0009583871019,0.4208287458,0.5915896227,0.3818588069
aileron_1,train,aileron,1,10,5,5,0,0.760311098,0.4245903939,peak_p_rad_s,0.7945618233,0.7614886727,0.7963913628,-0.03307315062,0.00182953947,0.4347318778,0.5882171124,0.2922335867
elevator,train,elevator,all,47,42,5,0,0.8470188408,0.3211694121,peak_q_rad_s,0.4298015706,0.3882034313,0.4073597513,-0.04159813929,-0.02244181936,0.1716646246,0.477347776,0.185453766
elevator_0.2,train,elevator,0.2,10,10,0,0,0.8585799726,0.311739842,peak_q_rad_s,0.62557294,0.62557294,0.5678039334,0,-0.05776900661,0.2179996996,0.4709887475,0.2534102383
elevator_0.4,train,elevator,0.4,9,7,2,0,0.8278710963,0.3395762655,peak_q_rad_s,0.4774797638,0.4438348405,0.4525416459,-0.03364492328,-0.02493811786,0.1804115927,0.6112645824,0.2097771351
elevator_0.6,train,elevator,0.6,9,9,0,0,0.8807284246,0.2696689292,peak_q_rad_s,0.371536632,0.371536632,0.3663721935,0,-0.005164438439,0.2107736867,0.3754777644,0.11830566
elevator_0.8,train,elevator,0.8,9,8,1,0,0.8374511268,0.3389847193,peak_q_rad_s,0.2455154649,0.3350071771,0.2750804697,0.08949171214,0.02956500474,0.1167959557,0.5516315246,0.1803669301
elevator_1,train,elevator,1,10,8,2,0,0.8309629963,0.3443494724,peak_q_rad_s,0.4289030524,0.1650655671,0.3750005137,-0.2638374853,-0.05390253864,0.1316409245,0.3880093156,0.1606177095
rudder,train,rudder,all,48,44,4,0,0.854848694,0.3155725673,peak_r_rad_s,0.3068436686,0.2885734988,0.2987879144,-0.01827016979,-0.0080557542,0.2204466146,0.4903600466,0.1545419714
rudder_0.2,train,rudder,0.2,9,7,2,0,0.8212865405,0.3533193346,peak_r_rad_s,0.2570795096,0.1755790733,0.2323892116,-0.08150043628,-0.02469029802,0.2374869316,0.3193773476,0.1717672372
rudder_0.4,train,rudder,0.4,9,9,0,0,0.8619473335,0.312409359,peak_r_rad_s,0.03571640143,0.03571640143,0.0241583934,0,-0.01155800803,0.1770687058,0.4698702031,0.08108434142
rudder_0.6,train,rudder,0.6,10,10,0,0,0.8570422197,0.3166767803,peak_r_rad_s,0.3997711226,0.3997711226,0.3865926524,0,-0.01317847023,0.228006266,0.5339747847,0.1747398016
rudder_0.8,train,rudder,0.8,10,9,1,0,0.8702940486,0.2949621915,peak_r_rad_s,0.2266730002,0.2639875902,0.2380796078,0.03731459003,0.01140660756,0.1495059201,0.519001216,0.1024449785
rudder_1,train,rudder,1,10,9,1,0,0.8610269764,0.3039535271,peak_r_rad_s,0.6149783093,0.5678133066,0.612719707,-0.04716500272,-0.002258602283,0.3075314903,0.5904294272,0.237050262
all,heldout,all,all,30,22,8,0,0.8172092517,0.3572969452,mean_primary,0.4495042335,0.4818373583,0.4495042335,0.03233312479,0,0.2857382037,0.4387495651,0.1808713408
aileron,heldout,aileron,all,10,8,2,0,0.824165349,0.3534530654,peak_p_rad_s,0.4105217331,0.6326750847,0.4105217331,0.2221533517,0,0.4791168077,0.3746858439,0.2864953028
aileron_0.2,heldout,aileron,0.2,2,2,0,0,0.8096777596,0.3744148455,peak_p_rad_s,0.05962867555,0.05962867555,0.05962867555,0,0,0.43162002,0.08682129252,0.2287001529
aileron_0.4,heldout,aileron,0.4,2,1,1,0,0.8095703663,0.3696960373,peak_p_rad_s,0.0589706386,,0.0589706386,,1.110223025e-16,0.4312073704,0.6738039772,0.4578676268
aileron_0.6,heldout,aileron,0.6,2,1,1,0,0.7976980731,0.3828837182,peak_p_rad_s,0.09561277243,,0.09561277243,,-2.220446049e-16,0.5523574843,0.09491424613,0.5079634829
aileron_0.8,heldout,aileron,0.8,2,2,0,0,0.7916760304,0.3935994389,peak_p_rad_s,1.075063263,1.075063263,1.075063263,0,2.220446049e-16,0.2601018807,0.28272962,0.03043865649
aileron_1,heldout,aileron,1,2,2,0,0,0.9122045153,0.2466712868,peak_p_rad_s,0.7633333158,0.7633333158,0.7633333158,0,0,0.7202972829,0.7351600837,0.207506595
elevator,heldout,elevator,all,10,7,3,0,0.8286452848,0.3429616591,peak_q_rad_s,0.5791411209,0.4587810655,0.5791411209,-0.1203600555,0,0.1152584254,0.4379030611,0.1115308106
elevator_0.2,heldout,elevator,0.2,2,1,1,0,0.8104282466,0.3632731646,peak_q_rad_s,0.4522618765,,0.4522618765,,0,0.06514795749,0.4953477525,0.01554048012
elevator_0.4,heldout,elevator,0.4,2,2,0,0,0.8491729292,0.3296708462,peak_q_rad_s,0.009855846939,0.009855846939,0.009855846939,0,-1.665334537e-16,0.2594538329,0.05854405779,0.0982796391
elevator_0.6,heldout,elevator,0.6,2,1,1,0,0.7728759861,0.4112934503,peak_q_rad_s,0.05068053296,,0.05068053296,,0,0.09269319726,0.5698852265,0.04114959036
elevator_0.8,heldout,elevator,0.8,2,1,1,0,0.7893113921,0.382580341,peak_q_rad_s,1.475201064,,1.475201064,,0,0.1002837623,0.7231609125,0.159605664
elevator_1,heldout,elevator,1,2,2,0,0,0.9214378699,0.2279904931,peak_q_rad_s,0.907706284,0.907706284,0.907706284,0,0,0.05871337689,0.342577356,0.2430786794
rudder,heldout,rudder,all,10,7,3,0,0.7988171214,0.3754761111,peak_r_rad_s,0.3588498464,0.2786370613,0.3588498464,-0.08021278512,5.551115123e-17,0.2628393782,0.5036597904,0.144587909
rudder_0.2,heldout,rudder,0.2,2,1,1,0,0.6944205942,0.4919719879,peak_r_rad_s,0.7896731942,,0.7896731942,,1.110223025e-16,0.3293079232,0.2287753002,0.3305811424
rudder_0.4,heldout,rudder,0.4,2,2,0,0,0.8706840642,0.3030190632,peak_r_rad_s,0.469018863,0.469018863,0.469018863,0,0,0.1497736862,0.3721064558,0.09502019987
rudder_0.6,heldout,rudder,0.6,2,1,1,0,0.854968055,0.2948444241,peak_r_rad_s,0.2875847876,,0.2875847876,,0,0.1821184501,0.4533581175,0.008028004271
rudder_0.8,heldout,rudder,0.8,2,2,0,0,0.8214590167,0.3577768923,peak_r_rad_s,0.08825525965,0.08825525965,0.08825525965,0,0,0.248418912,0.7475199665,0.1640672437
rudder_1,heldout,rudder,1,2,1,1,0,0.7525538771,0.4297681877,peak_r_rad_s,0.1597171277,,0.1597171277,,0,0.4045779194,0.7165391121,0.1252429549
