split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
heldout,aileron,0.4,yaw_coupling_psi_change_deg,1,1,12.3231291,-3.041030272,,4.641049414,8.573539666,-8.976161425,,-0.2013108793,,4.842360293
heldout,aileron,0.4,response_dy_m,1,1,0.1125537275,0.1248564687,,0.1187050981,-0.3083751097,-0.1571895345,,-0.2327823221,,0.3514874202
heldout,aileron,0.6,peak_p_rad_s,1,1,-1.47448281,0.8242861402,,-0.3250983347,-1.324567798,1.165426697,,-0.07957055073,,-0.245527784
heldout,aileron,0.6,p_impulse_rad,1,1,-0.5375037989,0.1757805639,,-0.1808616175,-0.6325760606,0.4100197358,,-0.1112781624,,-0.06958345511
heldout,aileron,0.6,phi_change_deg,1,1,-31.21621182,7.106231839,,-12.05498999,-42.40472904,8.642198043,,-16.8812655,,4.826275509
heldout,aileron,0.6,yaw_coupling_psi_change_deg,1,1,10.5429283,19.11840808,,14.83066819,9.633431453,-10.49247627,,-0.4295224104,,15.2601906
heldout,aileron,0.6,response_dy_m,1,1,-0.09899873899,-0.3142839254,,-0.2066413322,0.02627912878,-0.2882162459,,-0.1309685586,,-0.07567277362
heldout,aileron,0.8,peak_p_rad_s,1,1,-1.261596786,-0.3506877991,,-0.8061422923,-1.628743008,1.432292504,,-0.09822525208,,-0.7079170403
heldout,aileron,0.8,p_impulse_rad,1,1,-0.4949193886,-0.07118896678,,-0.2830541777,-0.4805813714,0.6084782153,,0.06394842192,,-0.3470025996
heldout,aileron,0.8,phi_change_deg,1,1,-33.0434936,-4.304539435,,-18.67401652,-34.36770767,16.55168509,,-8.908011287,,-9.766005229
heldout,aileron,0.8,yaw_coupling_psi_change_deg,1,1,9.95291179,4.217489604,,7.085200697,33.98684707,-20.81829963,,6.584273722,,0.5009269746
heldout,aileron,0.8,response_dy_m,1,1,0.1277673893,-0.04374883397,,0.04200927764,-0.09608080349,-0.1009470406,,-0.09851392206,,0.1405231997
heldout,aileron,1,peak_p_rad_s,1,1,-1.431688354,0.4757241443,,-0.4779821049,-1.780629819,1.653449311,,-0.06359025361,,-0.4143918513
heldout,aileron,1,p_impulse_rad,1,1,-0.5741958367,0.08633299142,,-0.2439314226,-0.8124678716,0.6867079539,,-0.06287995886,,-0.1810514638
heldout,aileron,1,phi_change_deg,1,1,-35.67572128,14.90964929,,-10.38303599,-54.48460647,15.87772914,,-19.30343867,,8.920402672
heldout,aileron,1,yaw_coupling_psi_change_deg,1,1,1.808413735,7.13730692,,4.472860328,8.942010748,-31.7957414,,-11.42686533,,15.89972565
heldout,aileron,1,response_dy_m,1,1,0.2192356657,-0.3823853193,,-0.08157482682,-0.03916445132,-0.04334515609,,-0.04125480371,,-0.04032002311
heldout,elevator,0.2,peak_q_rad_s,1,1,-1.90815287,-2.032979229,,-1.97056605,-1.704361461,-2.733711573,,-2.219036517,,0.2484704674
heldout,elevator,0.2,q_impulse_rad,1,1,-0.7976639195,-0.8477438704,,-0.8227038949,-0.7076051299,-1.161521629,,-0.9345633792,,0.1118594843
heldout,elevator,0.2,theta_change_deg,1,1,-27.10678827,-18.32634541,,-22.71656684,-17.73335483,-20.72675404,,-19.23005443,,-3.486512407
heldout,elevator,0.2,response_altitude_loss_m,1,1,0.5878808145,0.3899085043,,0.4888946594,0.6522994091,0.4619687506,,0.5571340799,,-0.06823942053
heldout,elevator,0.2,max_abs_alpha_deg,1,1,24.1932818,16.52731533,,20.36029856,29.71036045,21.4305987,,25.57047958,,-5.210181012
heldout,elevator,0.4,peak_q_rad_s,1,1,-1.936860687,-1.953486199,,-1.945173443,0.7519307384,0.7155935329,,0.7337621356,,-2.678935578
heldout,elevator,0.4,q_impulse_rad,1,1,-0.5957262994,-0.6699699893,,-0.6328481444,0.2513621037,0.1438807916,,0.1976214477,,-0.830469592
heldout,elevator,0.4,theta_change_deg,1,1,-6.768426236,-16.79973263,,-11.78407943,10.94892377,2.635058941,,6.791991356,,-18.57607079
heldout,elevator,0.4,response_altitude_loss_m,1,1,0.3512215294,0.5212365631,,0.4362290462,0.4657406703,0.6252752029,,0.5455079366,,-0.1092788904
heldout,elevator,0.4,max_abs_alpha_deg,1,1,23.04422686,14.05366982,,18.54894834,30.56594112,15.93109599,,23.24851855,,-4.699570217
heldout,elevator,0.6,peak_q_rad_s,1,1,-1.068523839,-2.361697945,,-1.715110892,-1.131481852,-2.526017025,,-1.828749438,,0.1136385461
heldout,elevator,0.6,q_impulse_rad,1,1,-0.3140039284,-0.9913816729,,-0.6526928007,-0.4154533613,-0.9258889008,,-0.670671131,,0.01797833037
heldout,elevator,0.6,theta_change_deg,1,1,2.692447631,-31.55259849,,-14.43007543,12.94911199,-21.18374282,,-4.117315414,,-10.31276002
heldout,elevator,0.6,response_altitude_loss_m,1,1,0.4029104563,0.7245281289,,0.5637192926,0.4992257722,0.7923314073,,0.6457785898,,-0.08205929718
heldout,elevator,0.6,max_abs_alpha_deg,1,1,30.69737134,16.50143866,,23.599405,39.94494681,21.54367734,,30.74431208,,-7.144907077
heldout,elevator,0.8,peak_q_rad_s,1,1,-1.142556564,-3.183739637,,-2.163148101,-0.6627562665,0.2464627893,,-0.2081467386,,-1.955001362
heldout,elevator,0.8,q_impulse_rad,1,1,-0.3238187942,-1.229161757,,-0.7764902754,-0.1106407136,0.06072389165,,-0.02495841099,,-0.7515318644
heldout,elevator,0.8,theta_change_deg,1,1,11.72749626,-38.61848755,,-13.44549565,28.25984876,1.106695438,,14.6832721,,-28.12876775
heldout,elevator,0.8,response_altitude_loss_m,1,1,0.4800607081,0.7898338341,,0.6349472711,0.5937538221,0.6509708912,,0.6223623567,,0.01258491443
heldout,elevator,0.8,max_abs_alpha_deg,1,1,30.51364912,15.71465139,,23.11415026,46.33111327,10.74194961,,28.53653144,,-5.422381178
heldout,elevator,1,peak_q_rad_s,1,1,-1.155018056,-2.66931977,,-1.912168913,-0.5786614472,-0.277550593,,-0.4281060201,,-1.484062893
heldout,elevator,1,q_impulse_rad,1,1,-0.2633459817,-1.01728448,,-0.6403152306,-0.2021360025,-0.05430065128,,-0.1282183269,,-0.5120969037
heldout,elevator,1,theta_change_deg,1,1,7.786071173,-40.26040305,,-16.23716594,18.62485017,-10.70944274,,3.957703716,,-20.19486965
heldout,elevator,1,response_altitude_loss_m,1,1,0.503935254,0.7269450982,,0.6154401761,0.595164904,0.5017441894,,0.5484545467,,0.06698562939
