session_label,calibration_profile_hash,termination_group,throw_id,x0_m,y0_m,z0_m,launch_x_offset_m,launch_y_offset_m,launch_z_offset_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,speed0_m_s,horizontal_speed0_m_s,flight_path_angle_proxy0_deg,sideslip_proxy0_deg,termination_reason,duration_s,dx_m,dy_m,altitude_loss_m,sink_rate_m_s,glide_ratio_x_over_altloss
20260602_231554,,floor,v006,1.282377403,2.151396632,1.585956795,-0.0176225966,0.1513966324,0.03595679452,4.938562563,1.086732298,-0.1244416853,0.2612612538,-0.2022851802,-0.2812470568,2.043236396,-3.966392898,-1.189635523,5.058248017,5.056717045,1.409717904,12.41016881,exit_gate_floor,1.4004305,4.367354949,0.9316311053,1.18949532,0.8493783306,3.671603305
20260602_231554,,floor,v007,1.273114041,2.111557714,1.721342154,-0.02688595927,0.111557714,0.1713421542,4.849403687,1.223409091,-0.2251240738,0.1339445147,0.2982640509,-0.8102319794,-2.339212512,1.746877072,-4.645805041,5.00640857,5.001344412,2.577298681,14.15914435,exit_gate_floor,1.4842162,4.433191216,1.540267872,1.324961478,0.8927011292,3.345901968
20260602_231554,,floor,v008,1.278110724,2.105657835,1.640083395,-0.02188927588,0.1056578346,0.09008339486,5.084099198,1.504847576,-0.4293241497,0.1472329078,0.6712266861,-1.095028853,6.801326949,0.6604395072,-8.43562339,5.319487767,5.302134559,4.629251195,16.48827927,exit_gate_floor,1.4844281,4.022226633,1.07577576,1.247384809,0.8403133899,3.224527512
20260602_231554,,floor,v009,1.290099128,2.180765631,1.639588914,-0.009900872194,0.1807656306,0.08958891366,5.438040071,1.095859268,-0.1874194219,0.179381679,0.07215662408,-0.1855036784,8.777355247,-1.447496389,-1.405374085,5.550523704,5.547358592,1.935021638,11.39350044,exit_gate_floor,1.4392856,4.863714952,0.4226970331,1.242974322,0.8636050567,3.912964947
20260602_231554,,floor,v010,1.271554823,2.1786966,1.57924683,-0.02844517746,0.1786965999,0.02924683032,5.481054528,0.7525466379,-0.1184806549,-0.07903907126,-0.05691348878,-0.4401804306,2.078905545,-2.732291811,-1.581198235,5.533744017,5.532475502,1.22682947,7.817807633,exit_gate_floor,1.4259929,5.08478506,0.5947498638,1.189256903,0.8339851506,4.275598523
20260602_231554,,floor,v011,1.289711271,2.137684572,1.617469758,-0.01028872884,0.1376845717,0.06746975787,5.280294478,1.695567206,-0.09715961764,-0.4225267907,-0.2745700324,-1.111803288,3.14469167,-5.168691294,-8.79882565,5.546701535,5.545850514,1.003681326,17.80246033,exit_gate_floor,1.497133,5.136646136,1.296230242,1.220412094,0.8151661168,4.20894398
20260602_231554,,floor,v012,1.297164266,2.062861472,1.695168494,-0.002835734058,0.06286147199,0.1451684936,4.913531562,1.829323542,0.5363301629,0.09130975971,1.145190657,-0.7657278304,-0.2299085606,10.86221022,-9.911950444,5.270376369,5.243016024,-5.840710228,20.42046002,exit_gate_floor,1.4243016,3.09675226,0.9782280291,1.305220585,0.9163933991,2.372589198
20260602_231554,,floor,v013,1.284433828,2.022665121,1.68073574,-0.01556617221,0.02266512093,0.1307357403,5.493042209,-0.3902356204,0.08871619181,0.3341159531,0.1323899289,0.6384368875,4.072388218,2.620627467,10.8001922,5.507600849,5.506886285,-0.9229578076,-4.063568443,exit_gate_floor,1.4785759,4.043502031,-0.4477326371,1.289814805,0.8723358771,3.134947759
20260602_231554,,floor,v014,1.279150577,2.025478087,1.599978968,-0.0208494227,0.02547808695,0.04997896806,6.253436566,0.5118647061,0.2697596107,0.4922571159,0.9116734051,0.2006820789,0.4978040208,2.246343711,0.5711993253,6.280146862,6.274350513,-2.461860273,4.679419207,exit_gate_floor,1.6547334,4.83523577,0.2968091925,1.225718765,0.740734891,3.944816633
20260602_231554,,floor,v015,1.27907402,2.112197877,1.570081474,-0.02092597982,0.1121978773,0.02008147373,5.636640069,0.7496944838,0.4584440571,-0.07562709601,0.6591895935,-0.2274682168,2.687893656,2.066972851,-3.357562787,5.704728218,5.686277612,-4.609380736,7.576090851,exit_gate_floor,1.4588349,4.344216234,0.002226406245,1.182234926,0.8103966569,3.674579509
20260602_231554,,floor,v016,1.265291351,2.163065367,1.636062493,-0.03470864935,0.163065367,0.0860624928,5.619604115,1.447708155,0.1310302742,-0.4464127899,0.05978493277,-1.628535073,1.754794165,-1.921324891,-7.077232485,5.804565293,5.803086188,-1.293485225,14.44627657,exit_gate_floor,1.4625234,4.751215929,1.432502772,1.245628077,0.8516978783,3.814313451
20260602_231554,,floor,v017,1.242954097,2.140464519,1.767765775,-0.05704590312,0.1404645189,0.217765775,3.642759225,2.202832901,0.2920701058,0.04667733947,0.5947655496,-1.210196687,-0.368165442,12.76799616,-16.26936117,4.267021503,4.257013926,-3.924864033,31.16200304,exit_gate_floor,1.2308217,2.578562442,1.557778503,1.377375652,1.11907001,1.872083653
20260602_231554,,floor,v018,1.270658215,2.157144457,1.5246064,-0.02934178547,0.1571444569,-0.02539359955,4.910615239,1.433260964,0.2546672286,-0.4557101692,0.2931256669,-0.7344185682,-2.678962679,-3.164798804,-10.09830247,5.121838968,5.115503789,-2.850026415,16.2709376,exit_gate_floor,1.3246412,4.417660544,1.159119298,1.134564271,0.8565068573,3.893706735
20260602_231554,,floor,v019,1.335766158,2.040251753,1.647334035,0.03576615846,0.04025175314,0.09733403505,5.865945528,0.7058527215,0.08270525444,0.001546287236,0.3773395905,-0.8667204193,3.532323663,2.844945475,-6.961698575,5.908839578,5.908260742,-0.8019877171,6.861445548,exit_gate_floor,1.486635,4.695731691,0.09300955706,1.258973783,0.8468613902,3.729808956
20260602_231554,,floor,v020,1.283103943,2.138499254,1.571275891,-0.01689605722,0.1384992542,0.02127589132,5.756423139,0.8088386202,0.295494397,-0.2333989493,0.3583714071,-0.1826355962,0.1431096311,-0.8085060243,-4.901809302,5.820476287,5.812970606,-2.910047604,7.998302701,exit_gate_floor,1.4801292,4.771186188,0.2089607746,1.17466884,0.7936258807,4.061728741
20260602_231554,,floor,v021,1.290970936,2.063036854,1.520728462,-0.009029063814,0.06303685358,-0.02927153765,6.199900542,0.7655162348,0.05876163261,-0.1957278549,0.6371679206,-0.1894464967,-0.1603751901,-0.6679397799,-4.890767404,6.24725818,6.246981818,-0.5389313353,7.038818393,exit_gate_floor,1.5835711,5.21567088,-0.007170996021,1.137073525,0.7180438723,4.586924915
20260602_231554,,floor,v022,1.419269163,2.138084663,1.559203349,0.1192691633,0.1380846628,0.009203348632,5.527383466,1.576028076,0.2721586403,-0.2600128393,0.2175161596,-0.2573419644,-1.709149485,-1.363598545,-9.626468031,5.754120506,5.747680617,-2.710989691,15.91449072,exit_gate_floor,1.4493969,4.825586004,0.5313701347,1.161077645,0.8010763963,4.156126873
20260602_231554,,floor,v023,1.294554189,2.157051042,1.620440392,-0.005445811255,0.1570510419,0.07044039214,5.42550613,1.52679036,0.1838940985,-0.1630248062,0.7997087664,-0.02650489037,4.721349335,5.602919798,-8.763839285,5.639239542,5.636240375,-1.8687314,15.71711989,exit_gate_floor,1.4736096,4.106755499,0.3081044287,1.223021574,0.8299495159,3.357876579
20260602_231554,,front_wall,v024,1.313169932,2.035619694,1.572355932,0.01316993181,0.03561969382,0.0223559317,5.643958553,1.648888702,-0.411273735,-0.1751325002,-0.004060786147,-0.773710355,1.037264585,-6.63996328,-12.77636802,5.894255525,5.879889634,4.001084101,16.28578131,exit_gate_front_wall,1.4222646,5.289678036,0.6015245117,0.8443009829,0.5936314402,6.26515679
20260602_231554,,floor,v025,1.286708037,2.040137192,1.649452152,-0.01329196271,0.04013719241,0.09945215158,5.396995884,1.113670807,0.6119696874,-0.2572189175,0.7383199095,-0.2974545724,2.325868882,10.07428018,-9.217890273,5.544577002,5.510701156,-6.336797965,11.65934346,exit_gate_floor,1.4276458,3.31780233,0.2209168965,1.260149381,0.8826764884,2.632864309
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v001,1.248514459,2.12067046,1.442349325,-0.0514855415,0.1206704595,-0.107650675,4.331429774,1.683418274,0.4033580285,-0.5916876406,0.2783062614,-0.8578048971,-0.637777965,-5.086558547,-16.3310964,4.664534132,4.647061542,-4.960755275,21.23870828,exit_gate_floor,1.0822502,3.595143528,1.004620702,1.049555153,0.969789752,3.425397434
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v002,1.282419316,2.040891736,1.479950106,-0.0175806837,0.0408917355,-0.07004989364,4.589359399,0.6226423874,0.3052329553,-0.2698530317,-0.168013863,0.007753475554,-2.118223017,-6.950302658,-4.148907231,4.641451324,4.631404025,-3.770628822,7.726194493,exit_gate_floor,1.1385988,4.083504225,0.3503437092,1.086079577,0.9538738117,3.759857298
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v003,1.264145023,2.1037672,1.546616291,-0.03585497658,0.1037672001,-0.003383709465,3.828827366,0.6045006115,0.6316980748,-0.100084781,0.1554788065,0.0509267603,-1.199816133,2.13415795,-7.476351238,3.927388757,3.876253344,-9.255905493,8.971880861,exit_gate_floor,1.0095038,2.961092272,0.1488083818,1.157027502,1.146134866,2.559223758
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v004,1.287717601,2.170039157,1.490362653,-0.01228239944,0.170039157,-0.05963734706,4.360049276,1.564095846,0.03166564626,-0.06460566629,-0.4368514409,-0.1601302128,6.410150826,-9.506451433,-10.89387627,4.63221634,4.632108106,-0.3916747155,19.73461206,exit_gate_floor,1.0865236,4.04472823,0.4761062548,1.093604877,1.006517371,3.698527973
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v005,1.249733943,2.095042885,1.550297759,-0.0502660568,0.09504288492,0.000297758767,4.128559013,0.9632588229,0.05427418685,-0.1293190446,0.04685729334,-0.3059649249,3.313546796,-1.518962723,-7.697171352,4.239789237,4.239441836,-0.7334720209,13.13307977,exit_gate_floor,1.073812,3.510301964,0.4202923065,1.154511124,1.075152005,3.040509433
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v006,1.283840267,2.191147199,1.415967952,-0.01615973313,0.1911471995,-0.1340320476,5.18769646,1.808979066,0.2735891213,-0.1613633123,0.5006832893,-0.1884137294,6.589903103,-2.683867938,-10.68141719,5.5008591,5.494051313,-2.850822296,19.22395206,exit_gate_floor,1.2759417,4.539317543,0.3879471809,1.018412951,0.7981657395,4.457246484
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v007,1.308852143,2.069284926,1.423418004,0.008852142625,0.0692849258,-0.1265819955,5.532721761,1.237635636,0.1972143739,-0.1832383719,0.659258763,-0.5226210516,4.144436704,-4.56458292,-9.087163654,5.672886881,5.669457827,-1.992253467,12.60913084,exit_gate_floor,1.3306842,4.667183267,0.4341631685,1.029304935,0.7735155604,4.534305734
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v008,1.272363657,2.075107882,1.476109762,-0.02763634272,0.07510788231,-0.07389023849,4.998634286,1.021500925,0.269886967,-0.4887873504,0.2036736388,-0.07949877915,-0.6147122823,-4.125378717,-10.30900352,5.109075047,5.101941676,-3.028059829,11.54971157,exit_gate_floor,1.2316014,4.34298653,0.1157344709,1.095583697,0.8895602883,3.964084665
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v009,1.266411151,2.164762383,1.548826516,-0.03358884914,0.1647623832,-0.00117348406,4.999520858,1.185110272,0.3540636086,0.07851105979,0.7823782518,-0.4307779742,3.990776138,2.232568129,-9.96125723,5.15024817,5.138063368,-3.942016619,13.33552584,exit_gate_floor,1.2877676,3.849013933,0.3367139003,1.157135394,0.8985591767,3.326329789
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v010,1.261258504,2.087068075,1.521481343,-0.03874149555,0.08706807456,-0.02851865737,4.46216642,0.9288613308,0.516746985,-0.4587790367,0.5510324036,0.2795224437,2.128626023,2.191709572,-8.54750747,4.587018637,4.557818835,-6.46834219,11.75897682,exit_gate_floor,1.1676584,3.633908921,0.1086485437,1.133928147,0.9711129105,3.204708279
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v011,1.266200549,2.041535338,1.578809365,-0.03379945117,0.04153533787,0.02880936458,4.790958624,1.101735688,-0.05951377408,-0.1445983103,-0.05382749838,0.2025128742,5.833369868,-2.679817246,-8.866884937,4.91636532,4.916005092,0.6935960085,12.95066553,exit_gate_floor,1.1997485,4.544182201,0.02150275111,1.182128546,0.9853136273,3.844067733
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v012,1.313589342,2.053670839,1.540145669,0.01358934197,0.05367083906,-0.009854330641,4.797448282,0.4876684438,0.6433408596,-0.5120547069,1.126428865,0.702384911,-2.833251244,5.622311552,-5.151403541,4.864896503,4.822170728,-7.599135116,5.80427229,exit_gate_floor,1.186365,3.505154992,-0.1332185263,1.151919558,0.9709655615,3.042881742
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v013,1.253748132,2.074237394,1.594311152,-0.04625186766,0.07423739382,0.0443111525,4.728599015,0.8345013308,-0.5812027977,-0.3819178844,-0.04021811502,-0.1391659467,4.135066921,-1.170046129,-6.921891907,4.836717668,4.801670658,6.901608812,10.00848134,exit_gate_floor,1.3377003,4.711021829,0.3496998711,1.207307379,0.9025245629,3.902089818
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v014,1.263018052,2.131562858,1.46806759,-0.03698194836,0.1315628576,-0.08193240953,4.551469718,1.381281394,-0.08324873971,-0.1697356117,0.1333463154,-0.212903832,9.957521886,-4.673572643,-10.80463524,4.757178285,4.75644982,1.002704677,16.88201027,exit_gate_floor,1.125196,3.937141804,0.1581901036,1.077844246,0.9579168842,3.652792894
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v015,1.282376027,2.150113826,1.528979371,-0.01762397329,0.1501138257,-0.02102062871,4.623433357,0.4876545169,0.2529554432,-0.0501449105,-0.1768286541,0.9828316735,1.019767638,-6.803587441,-2.780158907,4.655956334,4.649079794,-3.114380308,6.020984396,exit_gate_floor,1.0201985,3.86175188,-0.4483339525,1.130869128,1.108479505,3.41485304
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v016,1.273660315,2.09135221,1.527515192,-0.02633968479,0.09135220993,-0.02248480771,4.828104012,1.429594194,0.4065069789,-0.05761573027,0.5783287371,-0.4214631321,1.816677215,-0.6895725479,-13.70578911,5.051690394,5.035308125,-4.61555287,16.4939408,exit_gate_floor,1.2229588,4.017568577,0.5678241053,1.137214604,0.9298879109,3.532814795
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v017,1.301497512,2.121591348,1.510517526,0.001497512177,0.1215913484,-0.03948247388,4.682130016,2.156782101,-0.1057216422,-0.2683403829,-0.08930354113,-0.7625171749,2.221077987,-6.435310017,-18.75089729,5.15608646,5.155002475,1.174888838,24.7327459,exit_gate_floor,1.2451841,4.681726621,0.8642969447,1.133586805,0.9103768715,4.130011569
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v018,1.289662653,2.09431263,1.503139351,-0.01033734672,0.09431263026,-0.04686064912,4.95692752,1.51774577,-0.0100985756,-0.2379778515,0.5267615965,0.02719930795,6.966938262,-2.416708978,-10.65595296,5.184089568,5.184079732,0.1116119078,17.02389663,exit_gate_floor,1.2761834,4.520715048,0.03733373632,1.106429163,0.8669828828,4.08586035
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v019,1.258235466,2.152350751,1.479674169,-0.04176453427,0.1523507505,-0.07032583118,4.472630901,1.171145417,0.1508608602,-0.2538357415,0.008051806672,0.1130369088,5.630616152,-3.70163475,-9.924875012,4.625880215,4.623419597,-1.868881835,14.67330122,exit_gate_floor,1.0940274,3.835872456,0.1081636117,1.089289868,0.9956696402,3.521443253
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v020,1.269532059,2.133984584,1.425908949,-0.03046794124,0.133984584,-0.1240910509,4.954493084,1.432150226,0.6579508208,-0.6753151275,0.6344623148,-0.5212436402,-1.375535003,-1.299111007,-11.71889329,5.199130242,5.157330316,-7.270285014,16.12251413,exit_gate_floor,1.1946584,4.042285293,0.7835829247,1.033689418,0.8652594064,3.910541428
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v021,1.293810037,2.087974345,1.564544854,-0.006189962576,0.08797434529,0.01454485359,4.784982621,1.397743694,0.4851499195,-0.3795438856,0.7675613304,0.1208873864,5.281453162,7.937318284,-10.79547371,5.008504424,4.984951968,-5.558684667,16.2836383,exit_gate_floor,1.2683023,3.620819701,0.257260152,1.172710647,0.9246302295,3.087564448
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v022,1.2962423,2.086298445,1.552412113,-0.003757699937,0.08629844532,0.002412112534,4.852397709,1.431725945,-0.4892960428,-0.2679959668,-0.4348080708,-0.6705522378,6.231255759,-5.845581457,-14.5784545,5.082815492,5.059209692,5.524119218,16.43897705,exit_gate_floor,1.3026617,4.83721672,0.2249194368,1.155909459,0.8873443192,4.184771291
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v023,1.257258786,2.144886512,1.429300185,-0.04274121402,0.1448865118,-0.1206998149,4.842359258,1.885268751,0.2193530219,-0.6524967953,0.1991864376,-0.7969515431,3.10528643,-6.286074184,-15.73911968,5.201038088,5.196410439,-2.417158069,21.27238418,exit_gate_floor,1.1649905,4.282406019,1.131259758,1.039220736,0.8920422404,4.12078577
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v024,1.306256582,2.077102077,1.38860105,0.006256582499,0.07710207732,-0.1613989504,5.185188125,1.698801732,0.1283542105,-0.7245069493,-0.0488780483,-0.9449583944,6.233836058,-7.380050057,-15.34099276,5.457891353,5.45638188,-1.347559362,18.14013403,exit_gate_floor,1.235884,4.43294823,0.5300203303,0.9887769943,0.8000564732,4.483263926
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v025,1.308977008,2.068617232,1.444943417,0.008977008147,0.06861723232,-0.1050565835,5.681339266,1.210246202,0.278348777,-0.07490372258,0.9003813751,-0.8225295385,7.249730345,0.7192528279,-10.78014227,5.815478464,5.80881328,-2.743421003,12.02547339,exit_gate_floor,1.3583783,4.471630415,0.05211692424,1.056293113,0.7776133591,4.23332346
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,front_wall,v026,1.262633103,2.024268499,1.350135612,-0.03736689694,0.02426849876,-0.1998643875,5.965119766,1.011350954,-0.07764114252,-0.487981018,0.9255798315,0.1928272951,4.213714995,-7.180549331,-9.167275574,6.050744808,6.050246655,0.7352205405,9.622656817,exit_gate_front_wall,1.4613187,5.342340549,-0.5554032401,0.8664255758,0.5929066505,6.165954351
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v027,1.273461869,2.086693408,1.453127062,-0.02653813148,0.0866934077,-0.09687293797,5.098216582,1.426511978,0.4491308255,-0.387414098,1.031376541,-0.0131511788,5.79574417,2.394182673,-11.01559497,5.313046889,5.294029537,-4.849203913,15.6319427,exit_gate_floor,1.3228131,4.135096611,0.1806782431,1.05649063,0.7986696155,3.913992698
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v028,1.257533018,2.103211301,1.375457455,-0.04246698164,0.1032113014,-0.1745425448,5.577017401,1.552305939,0.2752917343,-0.2782624047,0.6180789626,-0.08832250113,4.680065819,-3.836344156,-8.912987187,5.795564024,5.789022095,-2.722598164,15.55400176,exit_gate_floor,1.4047216,4.855493714,0.4388580998,0.9859418106,0.70187702,4.924726452
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,front_wall,v029,1.282081343,2.093689859,1.337127815,-0.01791865685,0.09368985865,-0.2128721851,6.345637463,1.150580506,-0.03611904591,-0.2674963762,0.7781245289,0.2182727827,8.419886461,-8.570275628,-7.692370565,6.449205757,6.449104614,0.3208890811,10.27712213,exit_gate_front_wall,1.3506091,5.320760731,-0.6301973053,0.5081485181,0.3762365573,10.4708772
20260603_134313,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v030,1.279068538,2.127967104,1.491597979,-0.0209314616,0.127967104,-0.05840202136,5.508778131,1.413343838,0.1373311414,-0.2637954778,0.3608924057,0.1401571192,7.36820565,-3.125679216,-8.14990387,5.688852006,5.68719415,-1.383277194,14.38955906,exit_gate_floor,1.3838315,5.123222228,-0.3127027038,1.092397343,0.7894005468,4.689888952
20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v001,1.260038115,2.050144523,1.47798015,-0.03996188456,0.05014452306,-0.07201984962,4.577520614,1.10233267,0.4712888027,-0.1014395685,0.3610688801,-0.393301499,0.1118682909,-1.153519482,-9.798287214,4.731907165,4.708378945,-5.716025815,13.53984299,exit_gate_floor,1.2434305,3.738306404,0.462497695,1.081422854,0.8697091265,3.456840578
20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v002,1.266777957,2.126771497,1.493288015,-0.0332220431,0.1267714973,-0.05671198546,4.376875822,1.438690609,0.2858661082,-0.3700669133,0.203460445,-0.5326546015,4.322546162,-1.039628672,-11.65477874,4.616123055,4.60726303,-3.550470471,18.19583042,exit_gate_floor,1.0961786,3.543490229,0.6811576221,1.10457285,1.007657739,3.208018583
20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v003,1.263429315,2.094050353,1.476445022,-0.03657068469,0.09405035303,-0.07355497774,4.292586497,0.9621579222,0.6069094399,-0.1177357807,0.628377564,-0.3394279232,5.228090993,2.953505661,-8.204714078,4.440764097,4.399096123,-7.855071499,12.6336983,exit_gate_floor,1.0620587,3.11079209,0.3548524292,1.095868436,1.03183415,2.838654704
20260603_140315,6a98a210147a67cc11ff623781cd0353ee5a411a51e4a8196adb354a7056c62e,floor,v001,1.277311371,2.025121918,1.517286247,-0.0226886287,0.02512191805,-0.03271375339,4.571334823,0.3831694291,0.4686582352,-0.1628525332,0.2035215541,0.5227622273,2.44343816,1.015861857,-3.042357823,4.611242936,4.587365352,-5.833260878,4.791334011,exit_gate_floor,1.0933033,3.643281844,-0.3380112205,1.136645042,1.039642926,3.205294274
